RORBWin CSV Output File
Refer output file for complete listing of inputs and outputs: E:\Library\Automation\ryan-tools\tests\test_data\RORB\areal-example\Fig6_7_ aep0p5EY_du12hourtp6.out
Inc,Time (hrs),Calculated hydrograph:
     0,     0.000,    0.0000
     1,     0.500,    0.0000
     2,     1.000,    0.0000
     3,     1.500,    0.0000
     4,     2.000,    0.0000
     5,     2.500,    0.0000
     6,     3.000,    0.0000
     7,     3.500,    0.0000
     8,     4.000,    0.0000
     9,     4.500,    0.0000
    10,     5.000,    0.0000
    11,     5.500,    0.0000
    12,     6.000,    0.0000
    13,     6.500,    0.0000
    14,     7.000,    0.0000
    15,     7.500,    0.0000
    16,     8.000,    0.0000
    17,     8.500,    0.0000
    18,     9.000,    0.0000
    19,     9.500,    0.0000
    20,    10.000,    0.0000
    21,    10.500,    0.0000
    22,    11.000,    0.0000
    23,    11.500,    0.0000
    24,    12.000,    0.0000
    25,    12.500,    0.0000
    26,    13.000,    0.0000
    27,    13.500,    0.0000
    28,    14.000,    0.0000
    29,    14.500,    0.0000
    30,    15.000,    0.0000
    31,    15.500,    0.0000
    32,    16.000,    0.0000
    33,    16.500,    0.0000
    34,    17.000,    0.0000
    35,    17.500,    0.0000
    36,    18.000,    0.0000
    37,    18.500,    0.0000
    38,    19.000,    0.0000
    39,    19.500,    0.0000
    40,    20.000,    0.0000
    41,    20.500,    0.0000
    42,    21.000,    0.0000
    43,    21.500,    0.0000
    44,    22.000,    0.0000
    45,    22.500,    0.0000
    46,    23.000,    0.0000
    47,    23.500,    0.0000
    48,    24.000,    0.0000
    49,    24.500,    0.0000
    50,    25.000,    0.0000
    51,    25.500,    0.0000
    52,    26.000,    0.0000
    53,    26.500,    0.0000
    54,    27.000,    0.0000
    55,    27.500,    0.0000
    56,    28.000,    0.0871
    57,    28.500,    0.8314
    58,    29.000,    3.3222
    59,    29.500,    8.8994
    60,    30.000,   17.3909
    61,    30.500,   26.0258
    62,    31.000,   33.4460
    63,    31.500,   40.3143
    64,    32.000,   46.5114
    65,    32.500,   51.8239
    66,    33.000,   55.9160
    67,    33.500,   57.7133
    68,    34.000,   56.8949
    69,    34.500,   54.8034
    70,    35.000,   53.1840
    71,    35.500,   52.7309
    72,    36.000,   52.8811
    73,    36.500,   52.4371
    74,    37.000,   50.5340
    75,    37.500,   47.4056
    76,    38.000,   43.7202
    77,    38.500,   39.8776
    78,    39.000,   36.0839
    79,    39.500,   32.4527
    80,    40.000,   29.0528
    81,    40.500,   25.9234
    82,    41.000,   23.0809
    83,    41.500,   20.5248
    84,    42.000,   18.2433
    85,    42.500,   16.2178
    86,    43.000,   14.4269
    87,    43.500,   12.8483
    88,    44.000,   11.4589
    89,    44.500,   10.2361
    90,    45.000,    9.1607
    91,    45.500,    8.2152
    92,    46.000,    7.3825
    93,    46.500,    6.6475
    94,    47.000,    5.9975
    95,    47.500,    5.4215
    96,    48.000,    4.9101
    97,    48.500,    4.4552
    98,    49.000,    4.0498
    99,    49.500,    3.6877
   100,    50.000,    3.3639
   101,    50.500,    3.0736
   102,    51.000,    2.8130
   103,    51.500,    2.5785
   104,    52.000,    2.3672
   105,    52.500,    2.1764
   106,    53.000,    2.0039
   107,    53.500,    1.8476
   108,    54.000,    1.7058
   109,    54.500,    1.5769
   110,    55.000,    1.4596
   111,    55.500,    1.3527
   112,    56.000,    1.2550
   113,    56.500,    1.1658
   114,    57.000,    1.0841
   115,    57.500,    1.0092
   116,    58.000,    0.9404
   117,    58.500,    0.8773
   118,    59.000,    0.8191
   119,    59.500,    0.7656
   120,    60.000,    0.7162
   121,    60.500,    0.6706
   122,    61.000,    0.6284
   123,    61.500,    0.5894
   124,    62.000,    0.5533
   125,    62.500,    0.5198
   126,    63.000,    0.4888
   127,    63.500,    0.4599
   128,    64.000,    0.4331
   129,    64.500,    0.4081
   130,    65.000,    0.3848
   131,    65.500,    0.3631
   132,    66.000,    0.3429
   133,    66.500,    0.3240
   134,    67.000,    0.3064
   135,    67.500,    0.2899
   136,    68.000,    0.2744
   137,    68.500,    0.2599
   138,    69.000,    0.2464
   139,    69.500,    0.2337
   140,    70.000,    0.2217
   141,    70.500,    0.2105
   142,    71.000,    0.2000
   143,    71.500,    0.1901
   144,    72.000,    0.1807
   145,    72.500,    0.1720
   146,    73.000,    0.1637
   147,    73.500,    0.1559
   148,    74.000,    0.1485
   149,    74.500,    0.1416
   150,    75.000,    0.1350
   151,    75.500,    0.1288
   152,    76.000,    0.1230
   153,    76.500,    0.1174
   154,    77.000,    0.1122
   155,    77.500,    0.1072
   156,    78.000,    0.1025
   157,    78.500,    0.0981
   158,    79.000,    0.0939
   159,    79.500,    0.0898
   160,    80.000,    0.0860
   161,    80.500,    0.0824
   162,    81.000,    0.0790
   163,    81.500,    0.0757
   164,    82.000,    0.0726
   165,    82.500,    0.0697
   166,    83.000,    0.0669
   167,    83.500,    0.0642
   168,    84.000,    0.0617
   169,    84.500,    0.0592
   170,    85.000,    0.0569
   171,    85.500,    0.0547
   172,    86.000,    0.0526
   173,    86.500,    0.0506
   174,    87.000,    0.0487
   175,    87.500,    0.0469
   176,    88.000,    0.0451
   177,    88.500,    0.0435
   178,    89.000,    0.0419
   179,    89.500,    0.0403
   180,    90.000,    0.0389
   181,    90.500,    0.0375
   182,    91.000,    0.0361
   183,    91.500,    0.0349
   184,    92.000,    0.0336
   185,    92.500,    0.0325
   186,    93.000,    0.0313
   187,    93.500,    0.0303
   188,    94.000,    0.0292
   189,    94.500,    0.0282
   190,    95.000,    0.0273
   191,    95.500,    0.0264
   192,    96.000,    0.0255
   193,    96.500,    0.0246
   194,    97.000,    0.0238
   195,    97.500,    0.0231
   196,    98.000,    0.0223
   197,    98.500,    0.0216
   198,    99.000,    0.0209
   199,    99.500,    0.0202
   200,   100.000,    0.0196
   201,   100.500,    0.0190
   202,   101.000,    0.0184
   203,   101.500,    0.0178
   204,   102.000,    0.0173
   205,   102.500,    0.0167
   206,   103.000,    0.0162
   207,   103.500,    0.0157
   208,   104.000,    0.0153
   209,   104.500,    0.0148
   210,   105.000,    0.0144
   211,   105.500,    0.0140
   212,   106.000,    0.0135
   213,   106.500,    0.0131
   214,   107.000,    0.0128
   215,   107.500,    0.0124
   216,   108.000,    0.0120
   217,   108.500,    0.0117
   218,   109.000,    0.0114
   219,   109.500,    0.0110
   220,   110.000,    0.0107
   221,   110.500,    0.0104
   222,   111.000,    0.0101
   223,   111.500,    0.0099
   224,   112.000,    0.0096
   225,   112.500,    0.0093
   226,   113.000,    0.0091
   227,   113.500,    0.0088
   228,   114.000,    0.0086
   229,   114.500,    0.0084
   230,   115.000,    0.0082
   231,   115.500,    0.0079
   232,   116.000,    0.0077
   233,   116.500,    0.0075
   234,   117.000,    0.0073
   235,   117.500,    0.0071
   236,   118.000,    0.0070
   237,   118.500,    0.0068
   238,   119.000,    0.0066
   239,   119.500,    0.0064
   240,   120.000,    0.0063
   241,   120.500,    0.0061
   242,   121.000,    0.0060
   243,   121.500,    0.0058
   244,   122.000,    0.0057
   245,   122.500,    0.0055
   246,   123.000,    0.0054
   247,   123.500,    0.0053
   248,   124.000,    0.0051
   249,   124.500,    0.0050
   250,   125.000,    0.0049
   251,   125.500,    0.0048
   252,   126.000,    0.0047
   253,   126.500,    0.0046
   254,   127.000,    0.0045
   255,   127.500,    0.0043
   256,   128.000,    0.0042
   257,   128.500,    0.0041
   258,   129.000,    0.0041
   259,   129.500,    0.0040
   260,   130.000,    0.0039
   261,   130.500,    0.0038
   262,   131.000,    0.0037
   263,   131.500,    0.0036
   264,   132.000,    0.0035
   265,   132.500,    0.0035
   266,   133.000,    0.0034
   267,   133.500,    0.0033
   268,   134.000,    0.0032
   269,   134.500,    0.0032
   270,   135.000,    0.0031
   271,   135.500,    0.0030
   272,   136.000,    0.0030
   273,   136.500,    0.0029
   274,   137.000,    0.0028
   275,   137.500,    0.0028
   276,   138.000,    0.0027
   277,   138.500,    0.0027
   278,   139.000,    0.0026
   279,   139.500,    0.0025
   280,   140.000,    0.0025
   281,   140.500,    0.0024
   282,   141.000,    0.0024
   283,   141.500,    0.0023
   284,   142.000,    0.0023
   285,   142.500,    0.0022
   286,   143.000,    0.0022
   287,   143.500,    0.0021
   288,   144.000,    0.0021
   289,   144.500,    0.0021
   290,   145.000,    0.0020
   291,   145.500,    0.0020
   292,   146.000,    0.0019
   293,   146.500,    0.0019
   294,   147.000,    0.0019
   295,   147.500,    0.0018
   296,   148.000,    0.0018
   297,   148.500,    0.0018
   298,   149.000,    0.0017
   299,   149.500,    0.0017
   300,   150.000,    0.0017
