RORBWin CSV Output File
Refer output file for complete listing of inputs and outputs: E:\Library\Automation\ryan-tools\tests\test_data\RORB\areal-example\Fig6_7_ aep5_du12hourtp3.out
Inc,Time (hrs),Calculated hydrograph:
     0,     0.000,     0.000
     1,     0.500,     0.000
     2,     1.000,     0.000
     3,     1.500,     0.000
     4,     2.000,     0.000
     5,     2.500,     0.000
     6,     3.000,     0.000
     7,     3.500,     0.000
     8,     4.000,     0.000
     9,     4.500,     0.000
    10,     5.000,     0.000
    11,     5.500,     0.000
    12,     6.000,     0.000
    13,     6.500,     0.000
    14,     7.000,     0.000
    15,     7.500,     0.000
    16,     8.000,     0.000
    17,     8.500,     0.000
    18,     9.000,     0.000
    19,     9.500,     0.000
    20,    10.000,     0.000
    21,    10.500,     0.000
    22,    11.000,     0.000
    23,    11.500,     0.000
    24,    12.000,     0.000
    25,    12.500,     0.000
    26,    13.000,     0.000
    27,    13.500,     0.000
    28,    14.000,     0.000
    29,    14.500,     0.000
    30,    15.000,     0.000
    31,    15.500,     0.000
    32,    16.000,     0.000
    33,    16.500,     0.000
    34,    17.000,     0.000
    35,    17.500,     0.000
    36,    18.000,     0.000
    37,    18.500,     0.000
    38,    19.000,     0.000
    39,    19.500,     0.000
    40,    20.000,     0.000
    41,    20.500,     0.000
    42,    21.000,     0.000
    43,    21.500,     0.000
    44,    22.000,     0.000
    45,    22.500,     0.000
    46,    23.000,     0.000
    47,    23.500,     0.000
    48,    24.000,     0.000
    49,    24.500,     0.000
    50,    25.000,     0.000
    51,    25.500,     0.000
    52,    26.000,     0.000
    53,    26.500,     0.000
    54,    27.000,     0.000
    55,    27.500,     0.062
    56,    28.000,     0.711
    57,    28.500,     3.840
    58,    29.000,    10.964
    59,    29.500,    19.716
    60,    30.000,    26.360
    61,    30.500,    30.827
    62,    31.000,    35.886
    63,    31.500,    43.477
    64,    32.000,    51.236
    65,    32.500,    56.794
    66,    33.000,    61.606
    67,    33.500,    68.869
    68,    34.000,    82.007
    69,    34.500,   105.321
    70,    35.000,   142.178
    71,    35.500,   188.349
    72,    36.000,   230.706
    73,    36.500,   254.446
    74,    37.000,   254.557
    75,    37.500,   238.473
    76,    38.000,   215.127
    77,    38.500,   189.370
    78,    39.000,   163.901
    79,    39.500,   140.292
    80,    40.000,   119.313
    81,    40.500,   101.183
    82,    41.000,    85.784
    83,    41.500,    72.828
    84,    42.000,    61.973
    85,    42.500,    52.893
    86,    43.000,    45.293
    87,    43.500,    38.921
    88,    44.000,    33.567
    89,    44.500,    29.058
    90,    45.000,    25.253
    91,    45.500,    22.030
    92,    46.000,    19.289
    93,    46.500,    16.948
    94,    47.000,    14.942
    95,    47.500,    13.215
    96,    48.000,    11.725
    97,    48.500,    10.433
    98,    49.000,     9.310
    99,    49.500,     8.330
   100,    50.000,     7.472
   101,    50.500,     6.720
   102,    51.000,     6.057
   103,    51.500,     5.472
   104,    52.000,     4.954
   105,    52.500,     4.494
   106,    53.000,     4.085
   107,    53.500,     3.720
   108,    54.000,     3.394
   109,    54.500,     3.102
   110,    55.000,     2.839
   111,    55.500,     2.603
   112,    56.000,     2.390
   113,    56.500,     2.198
   114,    57.000,     2.025
   115,    57.500,     1.867
   116,    58.000,     1.724
   117,    58.500,     1.594
   118,    59.000,     1.476
   119,    59.500,     1.368
   120,    60.000,     1.269
   121,    60.500,     1.179
   122,    61.000,     1.097
   123,    61.500,     1.021
   124,    62.000,     0.951
   125,    62.500,     0.888
   126,    63.000,     0.829
   127,    63.500,     0.775
   128,    64.000,     0.725
   129,    64.500,     0.679
   130,    65.000,     0.636
   131,    65.500,     0.597
   132,    66.000,     0.560
   133,    66.500,     0.526
   134,    67.000,     0.495
   135,    67.500,     0.465
   136,    68.000,     0.438
   137,    68.500,     0.413
   138,    69.000,     0.389
   139,    69.500,     0.367
   140,    70.000,     0.347
   141,    70.500,     0.328
   142,    71.000,     0.310
   143,    71.500,     0.293
   144,    72.000,     0.278
   145,    72.500,     0.263
   146,    73.000,     0.249
   147,    73.500,     0.236
   148,    74.000,     0.224
   149,    74.500,     0.213
   150,    75.000,     0.202
   151,    75.500,     0.192
   152,    76.000,     0.183
   153,    76.500,     0.174
   154,    77.000,     0.166
   155,    77.500,     0.158
   156,    78.000,     0.150
   157,    78.500,     0.143
   158,    79.000,     0.137
   159,    79.500,     0.130
   160,    80.000,     0.124
   161,    80.500,     0.119
   162,    81.000,     0.113
   163,    81.500,     0.108
   164,    82.000,     0.104
   165,    82.500,     0.099
   166,    83.000,     0.095
   167,    83.500,     0.091
   168,    84.000,     0.087
   169,    84.500,     0.083
   170,    85.000,     0.080
   171,    85.500,     0.077
   172,    86.000,     0.073
   173,    86.500,     0.070
   174,    87.000,     0.068
   175,    87.500,     0.065
   176,    88.000,     0.062
   177,    88.500,     0.060
   178,    89.000,     0.057
   179,    89.500,     0.055
   180,    90.000,     0.053
   181,    90.500,     0.051
   182,    91.000,     0.049
   183,    91.500,     0.047
   184,    92.000,     0.046
   185,    92.500,     0.044
   186,    93.000,     0.042
   187,    93.500,     0.041
   188,    94.000,     0.039
   189,    94.500,     0.038
   190,    95.000,     0.036
   191,    95.500,     0.035
   192,    96.000,     0.034
   193,    96.500,     0.033
   194,    97.000,     0.032
   195,    97.500,     0.031
   196,    98.000,     0.029
   197,    98.500,     0.028
   198,    99.000,     0.028
   199,    99.500,     0.027
   200,   100.000,     0.026
   201,   100.500,     0.025
   202,   101.000,     0.024
   203,   101.500,     0.023
   204,   102.000,     0.023
   205,   102.500,     0.022
   206,   103.000,     0.021
   207,   103.500,     0.020
   208,   104.000,     0.020
   209,   104.500,     0.019
   210,   105.000,     0.019
   211,   105.500,     0.018
   212,   106.000,     0.017
   213,   106.500,     0.017
   214,   107.000,     0.016
   215,   107.500,     0.016
   216,   108.000,     0.015
   217,   108.500,     0.015
   218,   109.000,     0.014
   219,   109.500,     0.014
   220,   110.000,     0.014
   221,   110.500,     0.013
   222,   111.000,     0.013
   223,   111.500,     0.012
   224,   112.000,     0.012
   225,   112.500,     0.012
   226,   113.000,     0.011
   227,   113.500,     0.011
   228,   114.000,     0.011
   229,   114.500,     0.011
   230,   115.000,     0.010
   231,   115.500,     0.010
   232,   116.000,     0.010
   233,   116.500,     0.009
   234,   117.000,     0.009
   235,   117.500,     0.009
   236,   118.000,     0.009
   237,   118.500,     0.008
   238,   119.000,     0.008
   239,   119.500,     0.008
   240,   120.000,     0.008
   241,   120.500,     0.008
   242,   121.000,     0.007
   243,   121.500,     0.007
   244,   122.000,     0.007
   245,   122.500,     0.007
   246,   123.000,     0.007
   247,   123.500,     0.006
   248,   124.000,     0.006
   249,   124.500,     0.006
   250,   125.000,     0.006
   251,   125.500,     0.006
   252,   126.000,     0.006
   253,   126.500,     0.006
   254,   127.000,     0.005
   255,   127.500,     0.005
   256,   128.000,     0.005
   257,   128.500,     0.005
   258,   129.000,     0.005
   259,   129.500,     0.005
   260,   130.000,     0.005
   261,   130.500,     0.005
   262,   131.000,     0.004
   263,   131.500,     0.004
   264,   132.000,     0.004
   265,   132.500,     0.004
   266,   133.000,     0.004
   267,   133.500,     0.004
   268,   134.000,     0.004
   269,   134.500,     0.004
   270,   135.000,     0.004
   271,   135.500,     0.004
   272,   136.000,     0.004
   273,   136.500,     0.003
   274,   137.000,     0.003
   275,   137.500,     0.003
   276,   138.000,     0.003
   277,   138.500,     0.003
   278,   139.000,     0.003
   279,   139.500,     0.003
   280,   140.000,     0.003
   281,   140.500,     0.003
   282,   141.000,     0.003
   283,   141.500,     0.003
   284,   142.000,     0.003
   285,   142.500,     0.003
   286,   143.000,     0.003
   287,   143.500,     0.003
   288,   144.000,     0.003
   289,   144.500,     0.002
   290,   145.000,     0.002
   291,   145.500,     0.002
   292,   146.000,     0.002
   293,   146.500,     0.002
   294,   147.000,     0.002
   295,   147.500,     0.002
   296,   148.000,     0.002
   297,   148.500,     0.002
   298,   149.000,     0.002
   299,   149.500,     0.002
   300,   150.000,     0.002
