RORBWin CSV Output File
Refer output file for complete listing of inputs and outputs: E:\Library\Automation\ryan-tools\tests\test_data\RORB\24hr-areal-example\Fig6_7_ aep0p5EY_du24hourtp5.out
Inc,Time (hrs),Calculated hydrograph:
     0,     0.000,    0.0000
     1,     1.000,    0.0000
     2,     2.000,    0.0000
     3,     3.000,    0.0000
     4,     4.000,    0.0000
     5,     5.000,    0.0000
     6,     6.000,    0.0000
     7,     7.000,    0.0000
     8,     8.000,    0.0000
     9,     9.000,    0.0000
    10,    10.000,    0.0000
    11,    11.000,    0.0000
    12,    12.000,    0.0000
    13,    13.000,    0.0000
    14,    14.000,    0.0000
    15,    15.000,    0.0000
    16,    16.000,    0.0000
    17,    17.000,    0.0000
    18,    18.000,    0.0000
    19,    19.000,    0.0000
    20,    20.000,    0.0000
    21,    21.000,    0.0000
    22,    22.000,    0.0000
    23,    23.000,    0.0000
    24,    24.000,    0.0000
    25,    25.000,    0.0000
    26,    26.000,    0.0000
    27,    27.000,    0.0000
    28,    28.000,    0.0000
    29,    29.000,    0.0000
    30,    30.000,    0.0000
    31,    31.000,    0.2348
    32,    32.000,    1.3007
    33,    33.000,    3.4800
    34,    34.000,    7.1719
    35,    35.000,   11.8345
    36,    36.000,   15.5082
    37,    37.000,   16.8226
    38,    38.000,   16.2980
    39,    39.000,   16.0645
    40,    40.000,   16.7086
    41,    41.000,   17.2137
    42,    42.000,   20.1925
    43,    43.000,   27.8750
    44,    44.000,   36.2025
    45,    45.000,   45.3091
    46,    46.000,   55.1592
    47,    47.000,   57.0706
    48,    48.000,   50.5299
    49,    49.000,   41.9575
    50,    50.000,   33.7089
    51,    51.000,   26.5356
    52,    52.000,   20.7407
    53,    53.000,   16.2254
    54,    54.000,   12.7582
    55,    55.000,   10.1045
    56,    56.000,    8.0712
    57,    57.000,    6.5062
    58,    58.000,    5.2904
    59,    59.000,    4.3371
    60,    60.000,    3.5833
    61,    61.000,    2.9821
    62,    62.000,    2.4988
    63,    63.000,    2.1072
    64,    64.000,    1.7875
    65,    65.000,    1.5247
    66,    66.000,    1.3073
    67,    67.000,    1.1263
    68,    68.000,    0.9747
    69,    69.000,    0.8471
    70,    70.000,    0.7392
    71,    71.000,    0.6474
    72,    72.000,    0.5690
    73,    73.000,    0.5018
    74,    74.000,    0.4440
    75,    75.000,    0.3940
    76,    76.000,    0.3506
    77,    77.000,    0.3129
    78,    78.000,    0.2799
    79,    79.000,    0.2510
    80,    80.000,    0.2257
    81,    81.000,    0.2033
    82,    82.000,    0.1836
    83,    83.000,    0.1661
    84,    84.000,    0.1506
    85,    85.000,    0.1368
    86,    86.000,    0.1245
    87,    87.000,    0.1135
    88,    88.000,    0.1037
    89,    89.000,    0.0949
    90,    90.000,    0.0869
    91,    91.000,    0.0797
    92,    92.000,    0.0733
    93,    93.000,    0.0674
    94,    94.000,    0.0621
    95,    95.000,    0.0573
    96,    96.000,    0.0530
    97,    97.000,    0.0490
    98,    98.000,    0.0454
    99,    99.000,    0.0421
   100,   100.000,    0.0391
   101,   101.000,    0.0363
   102,   102.000,    0.0338
   103,   103.000,    0.0315
   104,   104.000,    0.0293
   105,   105.000,    0.0274
   106,   106.000,    0.0256
   107,   107.000,    0.0239
   108,   108.000,    0.0224
   109,   109.000,    0.0210
   110,   110.000,    0.0196
   111,   111.000,    0.0184
   112,   112.000,    0.0173
   113,   113.000,    0.0163
   114,   114.000,    0.0153
   115,   115.000,    0.0144
   116,   116.000,    0.0136
   117,   117.000,    0.0128
   118,   118.000,    0.0121
   119,   119.000,    0.0114
   120,   120.000,    0.0107
   121,   121.000,    0.0102
   122,   122.000,    0.0096
   123,   123.000,    0.0091
   124,   124.000,    0.0086
   125,   125.000,    0.0081
