 RORBWin Batch Run Summary
 *************************
 
 Program version 6.52 (last updated 1st June 2023)
 Copyright Monash University and Hydrology and Risk Consulting
 
 Date run: 08 Aug 2026 22:32

 Catchment file   : E:\Library\Automation\ryan-tools\tests\test_data\RORB\Fig6_7.catg
 Rainfall location: User defined
 Temporal pattern : ARR2016 areal temporal patterns, 200 km² standard area
 Spatial pattern  : Uniform
 Areal Red. Fact. : Based on ARR 2016 (Book 2 Chapter 4)
 Loss factors     : Constant with ARI
 

 Parameters:  kc =    10.00    m = 0.80

 Loss parameters     Initial loss (mm)   Cont. loss (mm/h)
                           12.00              1.90

 Peak  Description
   01  Calculated hydrograph:
 
 Run        Duration             AEP   TPat  Rain(mm)     ARF  PbDepth  Peak0001
   1         48 hour             50%      1     61.80    0.96     0.00   24.7996 
   1         48 hour             50%      2     61.80    0.96     0.00   23.6788 
   1         48 hour             50%      3     61.80    0.96     0.00    2.5164 
   1         48 hour             50%      4     61.80    0.96     0.00   68.5575 
   1         48 hour             50%      5     61.80    0.96     0.00    0.0712 
   1         48 hour             50%      6     61.80    0.96     0.00    3.2885 
   1         48 hour             50%      7     61.80    0.96     0.00   18.9519 
   1         48 hour             50%      8     61.80    0.96     0.00   38.1553 
   1         48 hour             50%      9     61.80    0.96     0.00   14.2212 
   1         48 hour             50%     10     61.80    0.96     0.00   42.9388 
   2         72 hour             50%      1     67.80    0.97     0.00   39.4283 
   2         72 hour             50%      2     67.80    0.97     0.00    9.0243 
   2         72 hour             50%      3     67.80    0.97     0.00    3.0488 
   2         72 hour             50%      4     67.80    0.97     0.00    0.1584 
   2         72 hour             50%      5     67.80    0.97     0.00    0.0060 
   2         72 hour             50%      6     67.80    0.97     0.00   32.0277 
   2         72 hour             50%      7     67.80    0.97     0.00   41.4479 
   2         72 hour             50%      8     67.80    0.97     0.00   16.6567 
   2         72 hour             50%      9     67.80    0.97     0.00    0.7413 
   2         72 hour             50%     10     67.80    0.97     0.00    8.1160 
   3         96 hour             50%      1     71.50    0.97     0.00   41.2222 
   3         96 hour             50%      2     71.50    0.97     0.00    3.2943 
   3         96 hour             50%      3     71.50    0.97     0.00    0.0852 
   3         96 hour             50%      4     71.50    0.97     0.00   38.4629 
   3         96 hour             50%      5     71.50    0.97     0.00   20.9283 
   3         96 hour             50%      6     71.50    0.97     0.00    6.7620 
   3         96 hour             50%      7     71.50    0.97     0.00   54.2617 
   3         96 hour             50%      8     71.50    0.97     0.00   22.9512 
   3         96 hour             50%      9     71.50    0.97     0.00   22.6002 
   3         96 hour             50%     10     71.50    0.97     0.00   142.411 
   4        120 hour             50%      1     74.00    0.97     0.00   29.8143 
   4        120 hour             50%      2     74.00    0.97     0.00   39.9143 
   4        120 hour             50%      3     74.00    0.97     0.00    1.4244 
   4        120 hour             50%      4     74.00    0.97     0.00   11.3482 
   4        120 hour             50%      5     74.00    0.97     0.00    0.1044 
   4        120 hour             50%      6     74.00    0.97     0.00    6.9227 
   4        120 hour             50%      7     74.00    0.97     0.00   177.142 
   4        120 hour             50%      8     74.00    0.97     0.00   25.7134 
   4        120 hour             50%      9     74.00    0.97     0.00    0.0000 
   4        120 hour             50%     10     74.00    0.97     0.00    0.3455 
   5        144 hour             50%      1     75.60    0.98     0.00   24.8345 
   5        144 hour             50%      2     75.60    0.98     0.00    0.0000 
   5        144 hour             50%      3     75.60    0.98     0.00   17.3629 
   5        144 hour             50%      4     75.60    0.98     0.00    3.8450 
   5        144 hour             50%      5     75.60    0.98     0.00    0.0000 
   5        144 hour             50%      6     75.60    0.98     0.00   22.5382 
   5        144 hour             50%      7     75.60    0.98     0.00    0.0000 
   5        144 hour             50%      8     75.60    0.98     0.00   48.7776 
   5        144 hour             50%      9     75.60    0.98     0.00   14.2822 
   5        144 hour             50%     10     75.60    0.98     0.00    2.0804 
   6        168 hour             50%      1     76.80    0.98     0.00    0.0000 
   6        168 hour             50%      2     76.80    0.98     0.00   10.0852 
   6        168 hour             50%      3     76.80    0.98     0.00    0.6693 
   6        168 hour             50%      4     76.80    0.98     0.00    0.0302 
   6        168 hour             50%      5     76.80    0.98     0.00    2.1601 
   6        168 hour             50%      6     76.80    0.98     0.00   12.2360 
   6        168 hour             50%      7     76.80    0.98     0.00    0.0000 
   6        168 hour             50%      8     76.80    0.98     0.00   17.9951 
   6        168 hour             50%      9     76.80    0.98     0.00    0.0000 
   6        168 hour             50%     10     76.80    0.98     0.00    1.7093 
   7         48 hour           0.5EY      1     68.60    0.96     0.00   37.1283 
   7         48 hour           0.5EY      2     68.60    0.96     0.00   34.3735 
   7         48 hour           0.5EY      3     68.60    0.96     0.00    8.3865 
   7         48 hour           0.5EY      4     68.60    0.96     0.00   90.0477 
   7         48 hour           0.5EY      5     68.60    0.96     0.00    3.6617 
   7         48 hour           0.5EY      6     68.60    0.96     0.00   11.2268 
   7         48 hour           0.5EY      7     68.60    0.96     0.00   34.9262 
   7         48 hour           0.5EY      8     68.60    0.96     0.00   52.0812 
   7         48 hour           0.5EY      9     68.60    0.96     0.00   22.1846 
   7         48 hour           0.5EY     10     68.60    0.96     0.00   54.2150 
   8         72 hour           0.5EY      1     75.30    0.97     0.00   53.5392 
   8         72 hour           0.5EY      2     75.30    0.97     0.00   17.9054 
   8         72 hour           0.5EY      3     75.30    0.97     0.00    6.7162 
   8         72 hour           0.5EY      4     75.30    0.97     0.00    2.2765 
   8         72 hour           0.5EY      5     75.30    0.97     0.00    3.8826 
   8         72 hour           0.5EY      6     75.30    0.97     0.00   39.9868 
   8         72 hour           0.5EY      7     75.30    0.97     0.00   55.7189 
   8         72 hour           0.5EY      8     75.30    0.97     0.00   26.3084 
   8         72 hour           0.5EY      9     75.30    0.97     0.00    8.8363 
   8         72 hour           0.5EY     10     75.30    0.97     0.00   15.4102 
   9         96 hour           0.5EY      1     79.40    0.97     0.00   54.7658 
   9         96 hour           0.5EY      2     79.40    0.97     0.00    7.0095 
   9         96 hour           0.5EY      3     79.40    0.97     0.00    2.1682 
   9         96 hour           0.5EY      4     79.40    0.97     0.00   53.1084 
   9         96 hour           0.5EY      5     79.40    0.97     0.00   31.3262 
   9         96 hour           0.5EY      6     79.40    0.97     0.00   16.4411 
   9         96 hour           0.5EY      7     79.40    0.97     0.00   67.5430 
   9         96 hour           0.5EY      8     79.40    0.97     0.00   39.7682 
   9         96 hour           0.5EY      9     79.40    0.97     0.00   32.8592 
   9         96 hour           0.5EY     10     79.40    0.97     0.00   165.521 
  10        120 hour           0.5EY      1     82.10    0.97     0.00   41.6511 
