EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
6238,Southern Slopes (mainland),Southern Slopes (mainland),720,30,393.963,100,1.5,0,1703,-34.5875,150.7125
6239,Southern Slopes (mainland),Southern Slopes (mainland),720,30,261.129,100,1.5,0,2282,-34.4125,150.8375
6240,Southern Slopes (mainland),Southern Slopes (mainland),720,30,243.664,100,1.5,1.5707963,2443,-34.7125,150.6375
6241,Southern Slopes (mainland),Southern Slopes (mainland),720,30,218.867,100,1.5,1.5707963,1768,-34.6875,150.6625
6242,Southern Slopes (mainland),Southern Slopes (mainland),720,30,207.761,100,1.5,0,1311,-34.6125,150.5875
6243,Southern Slopes (mainland),Southern Slopes (mainland),720,30,194.942,100,1.5,1.5707963,1090,-34.7125,150.6125
6244,Southern Slopes (mainland),Southern Slopes (mainland),720,30,192.686,100,3.6,2.3561945,1073,-34.6375,150.7375
6245,Southern Slopes (mainland),Southern Slopes (mainland),720,30,184.463,100,1.5,0,3121,-34.6375,150.7125
6246,Southern Slopes (mainland),Southern Slopes (mainland),720,30,183.27,100,1.5,0.7853982,1031,-34.6125,150.6375
6247,Southern Slopes (mainland),Southern Slopes (mainland),720,30,181.992,100,1.5,0,1969,-34.6625,150.5875
6248,Southern Slopes (mainland),Southern Slopes (mainland),720,30,330.506,200,1.5,2.356194,1703,-34.5875,150.6875
6249,Southern Slopes (mainland),Southern Slopes (mainland),720,30,227.686,200,2.3,2.356194,2443,-34.7125,150.6125
6250,Southern Slopes (mainland),Southern Slopes (mainland),720,30,211.565,200,2.3,0,2282,-34.4375,150.8375
6251,Southern Slopes (mainland),Southern Slopes (mainland),720,30,190.077,200,2.3,1.570796,1768,-34.6875,150.6375
6252,Southern Slopes (mainland),Southern Slopes (mainland),720,30,180.6,200,2.3,0,1073,-34.6375,150.6625
6253,Southern Slopes (mainland),Southern Slopes (mainland),720,30,173.31,200,2.3,1.570796,3329,-37.5125,146.8625
6254,Southern Slopes (mainland),Southern Slopes (mainland),720,30,172.999,200,2.3,2.356194,3121,-34.6625,150.6875
6255,Southern Slopes (mainland),Southern Slopes (mainland),720,30,171.323,200,2.3,0,1969,-34.6375,150.5875
6256,Southern Slopes (mainland),Southern Slopes (mainland),720,30,171.195,200,2.3,2.356194,1090,-34.6875,150.6375
6257,Southern Slopes (mainland),Southern Slopes (mainland),720,30,169.821,200,3.6,2.356194,1311,-34.6625,150.4875
6258,Southern Slopes (mainland),Southern Slopes (mainland),720,30,249.757,500,1.5,2.3561945,1703,-34.6125,150.6875
6259,Southern Slopes (mainland),Southern Slopes (mainland),720,30,196.645,500,2.3,2.3561945,2444,-34.7625,150.5375
6260,Southern Slopes (mainland),Southern Slopes (mainland),720,30,158.692,500,1.5,0,1969,-34.6125,150.5625
6261,Southern Slopes (mainland),Southern Slopes (mainland),720,30,157.451,500,1.5,0.7853982,2259,-34.6875,150.5625
6262,Southern Slopes (mainland),Southern Slopes (mainland),720,30,152.625,500,1.5,2.3561945,1769,-34.6875,150.6375
6263,Southern Slopes (mainland),Southern Slopes (mainland),720,30,152.461,500,1.5,0.7853982,3329,-37.5125,146.8625
6264,Southern Slopes (mainland),Southern Slopes (mainland),720,30,150.62,500,3.6,2.3561945,1312,-34.6875,150.3875
6265,Southern Slopes (mainland),Southern Slopes (mainland),720,30,143.717,500,2.3,1.5707963,3062,-38.6625,143.6125
6266,Southern Slopes (mainland),Southern Slopes (mainland),720,30,143.701,500,1.5,0,3438,-34.5875,150.7875
6267,Southern Slopes (mainland),Southern Slopes (mainland),720,30,137.616,500,3.6,0,561,-34.8875,150.3125
6268,Southern Slopes (mainland),Southern Slopes (mainland),720,30,183.47,1000,1.5,0,1701,-34.4875,150.7625
6269,Southern Slopes (mainland),Southern Slopes (mainland),720,30,166.01,1000,3.6,1.5707963,181,-34.5875,150.4125
6270,Southern Slopes (mainland),Southern Slopes (mainland),720,30,158.71,1000,3.6,1.5707963,2445,-34.7875,150.3625
6271,Southern Slopes (mainland),Southern Slopes (mainland),720,30,150.05,1000,3.6,0.7853982,790,-35.2375,150.0125
6272,Southern Slopes (mainland),Southern Slopes (mainland),720,30,145.44,1000,2.3,1.5707963,1311,-34.5875,150.4125
6273,Southern Slopes (mainland),Southern Slopes (mainland),720,30,145.12,1000,2.3,0,2283,-34.3875,150.8625
6274,Southern Slopes (mainland),Southern Slopes (mainland),720,30,144.85,1000,3.6,1.5707963,566,-34.5875,150.4125
6275,Southern Slopes (mainland),Southern Slopes (mainland),720,30,137.18,1000,1.5,0.7853982,3281,-34.8875,150.4625
6276,Southern Slopes (mainland),Southern Slopes (mainland),720,30,137.23,1000,1.5,2.3561945,3328,-37.5375,146.8625
6277,Southern Slopes (mainland),Southern Slopes (mainland),720,30,134.93,1000,2.3,0,2062,-34.4375,150.8125
6278,Southern Slopes (mainland),Southern Slopes (mainland),720,30,158.78,2500,2.3,0.7853982,560,-34.6375,150.4625
6279,Southern Slopes (mainland),Southern Slopes (mainland),720,30,158.6,2500,1.5,1.5707963,181,-34.5875,150.4125
6280,Southern Slopes (mainland),Southern Slopes (mainland),720,30,158.2,2500,1.5,0.7853982,2235,-37.4875,148.7125
6281,Southern Slopes (mainland),Southern Slopes (mainland),720,30,145.09,2500,3.6,0.7853982,539,-34.7375,150.5625
6282,Southern Slopes (mainland),Southern Slopes (mainland),720,30,146.54,2500,2.3,0.7853982,2444,-34.6375,150.5625
6283,Southern Slopes (mainland),Southern Slopes (mainland),720,30,139.21,2500,2.3,0.7853982,790,-35.2875,149.9625
6284,Southern Slopes (mainland),Southern Slopes (mainland),720,30,126.73,2500,1.5,1.5707963,1311,-34.5875,150.4125
6285,Southern Slopes (mainland),Southern Slopes (mainland),720,30,120.47,2500,2.3,0.7853982,2260,-34.8875,150.4625
6286,Southern Slopes (mainland),Southern Slopes (mainland),720,30,117.05,2500,1.5,2.3561945,3326,-37.5375,146.9125
6287,Southern Slopes (mainland),Southern Slopes (mainland),720,30,108.48,2500,2.3,2.3561945,1968,-34.5875,150.4125
6288,Southern Slopes (mainland),Southern Slopes (mainland),720,30,145.54,5000,1.5,0.7853982,560,-34.5875,150.4125
6289,Southern Slopes (mainland),Southern Slopes (mainland),720,30,133.82,5000,1.5,2.3561945,182,-34.6875,150.3125
6290,Southern Slopes (mainland),Southern Slopes (mainland),720,30,132.12,5000,1.5,0,2515,-36.7875,149.7125
6291,Southern Slopes (mainland),Southern Slopes (mainland),720,30,121.5,5000,1.5,0.7853982,2444,-34.6875,150.5125
6292,Southern Slopes (mainland),Southern Slopes (mainland),720,30,120.37,5000,1.5,0.7853982,789,-35.2875,149.9125
6293,Southern Slopes (mainland),Southern Slopes (mainland),720,30,116.8,5000,1.5,0.7853982,1311,-34.5875,150.4125
6294,Southern Slopes (mainland),Southern Slopes (mainland),720,30,106.15,5000,1.5,0.7853982,2261,-34.8875,150.4125
6295,Southern Slopes (mainland),Southern Slopes (mainland),720,30,102.34,5000,3.6,0,2233,-37.0875,148.6125
6296,Southern Slopes (mainland),Southern Slopes (mainland),720,30,101.46,5000,1.5,1.5707963,3330,-37.5875,146.6125
6297,Southern Slopes (mainland),Southern Slopes (mainland),720,30,102.98,5000,1.5,2.3561945,1968,-34.5875,150.4125
6298,Southern Slopes (mainland),Southern Slopes (mainland),720,30,125.62,10000,1.5,0,182,-34.5875,150.4125
6299,Southern Slopes (mainland),Southern Slopes (mainland),720,30,123.51,10000,2.3,1.5707963,2234,-37.5875,148.5125
6300,Southern Slopes (mainland),Southern Slopes (mainland),720,30,117.35,10000,1.5,0,565,-34.5875,150.4125
6301,Southern Slopes (mainland),Southern Slopes (mainland),720,30,102.54,10000,1.5,0.7853982,789,-35.2875,149.8125
6302,Southern Slopes (mainland),Southern Slopes (mainland),720,30,101.15,10000,2.3,0,2515,-36.6875,149.7125
