Event ID,Region,Region (source),Burst Duration (min),Burst Loading,Original Burst Depth (mm),AEP Window,AEP (source) (%),Burst Start Date,Burst End Date,DB Event Reference No.,DB Pluviograph Reference No.,Offical Gauge,Lat,Long
5792,Southern Slopes (mainland),Southern Slopes (mainland),10,1,18.86,frequent,14.4483,1/18/1972 15:00,1/18/1972 15:05,42958,557,qcd_068117,-34.59,150.6085
5793,Southern Slopes (mainland),Southern Slopes (mainland),10,1,12.87,frequent,14.486,2/24/1977 15:35,2/24/1977 15:40,52099,666,qcd_086224,-37.9764,145.2247
5794,Southern Slopes (mainland),Southern Slopes (mainland),10,1,16.2,frequent,14.4895,2/10/2007 20:30,2/10/2007 20:35,49609,636,qcd_084122,-37.4772,149.6386
5796,Southern Slopes (mainland),Southern Slopes (mainland),10,2,11.4,frequent,20.1144,8/3/2008 15:40,8/3/2008 15:45,65168,1060,qcd_228228_151,-38.119,145.4017
5797,Southern Slopes (mainland),Southern Slopes (mainland),10,2,10.6,frequent,23.8427,10/16/1995 15:10,10/16/1995 15:15,70140,1136,qcd_232210_74,-37.6432,144.0422
5798,Southern Slopes (mainland),Southern Slopes (mainland),10,2,10.6,frequent,27.966,7/5/1977 10:10,7/5/1977 10:15,67470,1095,qcd_229621_151,-37.8315,145.0036
5799,Southern Slopes (mainland),Southern Slopes (mainland),10,2,10.4,frequent,28.0963,6/30/2004 19:50,6/30/2004 19:55,65534,1067,qcd_228366_151,-37.8657,145.2426
5800,Southern Slopes (mainland),Southern Slopes (mainland),10,2,9.2,frequent,32.4406,7/18/2002 13:40,7/18/2002 13:45,69757,1129,qcd_231104_151,-37.7651,144.7661
5801,Southern Slopes (mainland),Southern Slopes (mainland),10,3,12.4,frequent,14.4447,11/4/1995 19:15,11/4/1995 19:20,69375,1123,qcd_230105_151,-37.7271,144.8361
5802,Southern Slopes (mainland),Southern Slopes (mainland),10,3,12.28,frequent,14.4631,12/3/1985 19:30,12/3/1985 19:35,52168,667,qcd_086234,-37.7869,145.2847
5779,Southern Slopes (mainland),Southern Slopes (mainland),10,1,14.12,intermediate,9.9858,2/18/1993 16:15,2/18/1993 16:20,52653,672,qcd_086351,-37.7163,145.0453
5780,Southern Slopes (mainland),Southern Slopes (mainland),10,1,26.5,intermediate,6.9636,3/2/1997 21:10,3/2/1997 21:15,121287,1959,qcd_568186_233,-34.581,150.718
