Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

All Design Rainfall Depth (mm)
Issued:,08 August 2026
Location Label:,melbourne
Requested coordinate:,Latitude,-37.762,Longitude,145.038
Nearest grid cell:,Latitude,37.7625 (S),Longitude,145.0375 (E)

,,Exceedances per Year (EY),Annual Exceedance Probability (AEP)
Duration,Duration in min,12EY,6EY,4EY,3EY,2EY,63.2%,50%,0.5EY,20%,0.2EY,10%,5%,2%,1%,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,0.571,0.657,0.819,0.945,1.14,1.53,1.72,1.90,2.38,2.43,2.91,3.50,4.40,5.20,5.96,6.96,7.78,8.66
2 min,2,1.00,1.15,1.43,1.64,1.97,2.61,2.90,3.21,3.93,4.00,4.72,5.61,6.93,8.05,9.10,10.5,11.6,12.8
3 min,3,1.35,1.55,1.93,2.21,2.65,3.51,3.90,4.33,5.32,5.42,6.41,7.64,9.46,11.0,12.5,14.5,16.1,17.8
4 min,4,1.65,1.89,2.35,2.70,3.23,4.28,4.77,5.29,6.53,6.66,7.91,9.45,11.8,13.8,15.7,18.2,20.3,22.5
5 min,5,1.90,2.19,2.72,3.12,3.74,4.94,5.52,6.13,7.60,7.75,9.24,11.1,13.8,16.2,18.5,21.6,24.1,26.8
10 min,10,2.87,3.29,4.06,4.66,5.57,7.33,8.24,9.15,11.5,11.7,14.1,17.0,21.4,25.4,29.2,34.1,38.2,42.6
15 min,15,3.56,4.06,5.00,5.71,6.80,8.93,10.0,11.2,14.1,14.3,17.3,20.9,26.4,31.2,35.9,42.0,47.1,52.5
20 min,20,4.11,4.67,5.72,6.53,7.75,10.1,11.4,12.7,15.9,16.3,19.6,23.6,29.9,35.4,40.6,47.5,53.2,59.3
25 min,25,4.56,5.18,6.32,7.20,8.53,11.1,12.5,13.9,17.4,17.8,21.4,25.8,32.5,38.5,44.2,51.6,57.8,64.3
30 min,30,4.96,5.62,6.84,7.78,9.20,12.0,13.4,14.9,18.6,19.0,22.8,27.5,34.7,41.0,47.0,54.9,61.3,68.2
45 min,45,5.91,6.68,8.08,9.16,10.8,13.9,15.6,17.3,21.4,21.9,26.1,31.4,39.3,46.4,53.0,61.8,69.0,76.6
1 hour,60,6.66,7.50,9.05,10.2,12.0,15.4,17.2,19.1,23.5,24.0,28.5,34.1,42.6,50.1,57.2,66.6,74.3,82.5
1.5 hour,90.0,7.80,8.78,10.6,11.9,13.9,17.8,19.7,21.9,26.6,27.2,32.1,38.2,47.4,55.4,63.3,73.7,82.2,91.3
2 hour,120,8.68,9.77,11.7,13.2,15.5,19.6,21.7,24.1,29.1,29.7,34.9,41.4,51.1,59.5,68.0,79.3,88.5,98.3
3 hour,180,10.0,11.3,13.6,15.3,17.8,22.5,24.9,27.6,33.0,33.7,39.4,46.5,57.0,66.1,75.7,88.4,98.9,110
4.5 hour,270.0,11.5,13.0,15.7,17.7,20.6,25.9,28.6,31.7,37.7,38.5,44.9,52.6,64.2,74.1,85.1,99.7,112,125
6 hour,360,12.6,14.3,17.3,19.5,22.7,28.6,31.6,35.0,41.7,42.5,49.4,57.8,70.3,80.9,93.2,109,123,137
9 hour,540,14.3,16.2,19.7,22.3,26.0,32.9,36.4,40.4,48.2,49.1,57.1,66.6,80.6,92.5,107,125,141,158
12 hour,720,15.5,17.7,21.5,24.4,28.6,36.2,40.2,44.6,53.5,54.6,63.5,73.9,89.4,102,118,139,156,174
18 hour,1080,17.4,19.8,24.2,27.5,32.4,41.3,46.1,51.2,62.2,63.5,74.0,86.1,104,118,136,160,179,200
24 hour,1440,18.7,21.4,26.2,29.8,35.1,45.1,50.7,56.2,69.1,70.4,82.3,95.8,115,131,150,176,196,219
30 hour,1800,19.8,22.6,27.7,31.5,37.3,48.0,54.3,60.2,74.7,76.1,89.2,104,125,142,162,189,210,233
36 hour,2160,20.7,23.6,28.9,32.9,39.0,50.5,57.2,63.5,79.3,80.9,94.9,111,133,150,172,199,220,243
48 hour,2880,22.1,25.2,30.8,35.2,41.7,54.2,61.8,68.6,86.6,88.3,104,121,145,164,185,213,234,257
72 hour,4320,24.0,27.3,33.5,38.2,45.4,59.2,67.8,75.3,95.9,97.8,115,135,161,181,201,228,250,271
96 hour,5760,25.4,28.9,35.4,40.4,48.0,62.5,71.5,79.4,101,103,122,143,170,190,210,237,258,280
120 hour,7200,26.4,30.2,37.0,42.2,50.0,64.8,74.0,82.1,104,106,125,147,174,195,215,243,264,285
144 hour,8640,27.3,31.2,38.4,43.8,51.8,66.7,75.6,84.0,105,107,127,149,176,197,218,246,268,290
168 hour,10080,28.0,32.2,39.8,45.3,53.5,68.3,76.8,85.3,105,107,127,149,176,197,220,249,271,294
