"EG02_010","Location","Flow","Flow","Water Level","Velocity","Water Level","Velocity","Flow into Region","Flow out of Region","Volume"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_010.tcf","Time","PO_01","PO_02","PO_01","PO_01","PO_02","PO_02","PO_Vol1","PO_Vol1","PO_Vol1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG02\EG02_010_PO.csv",        0.000000,          0.0000,          0.0000,         39.0175,          0.0000,         36.5000,          0.0000,          0.0000,          0.0000,          5.9863
,        0.016667,          0.0000,          0.0000,         39.0175,          0.0000,         36.5000,          0.0000,          0.0000,          0.0000,          5.9863
,        0.033333,          0.0000,          0.0001,         39.0175,          0.0000,         36.5000,          0.0001,          0.0000,          0.0000,          5.9863
,        0.050000,          0.0000,          0.0123,         39.0175,          0.0000,         36.4957,          0.0234,          0.0000,          0.0000,          5.9863
,        0.066667,          0.0000,          0.0120,         39.0175,          0.0000,         36.4895,          0.0247,          0.0000,          0.0000,          5.9863
,        0.083333,          0.0000,          0.0115,         39.0175,          0.0000,         36.4835,          0.0259,          0.0000,          0.0000,          5.9863
,        0.100000,          0.0000,          0.0107,         39.0175,          0.0000,         36.4776,          0.0266,          0.0000,          0.0000,          5.9863
,        0.116667,          0.0000,          0.0098,         39.0175,          0.0000,         36.4721,          0.0268,          0.0000,          0.0000,          5.9863
,        0.133333,          0.0000,          0.0089,         39.0175,          0.0000,         36.4670,          0.0268,          0.0000,          0.0000,          5.9863
,        0.150000,          0.0000,          0.0079,         39.0175,          0.0000,         36.4622,          0.0265,          0.0000,          0.0000,          5.9863
,        0.166667,          0.0000,          0.0071,         39.0175,          0.0000,         36.4579,          0.0260,          0.0000,          0.0000,          5.9863
,        0.183333,          0.0000,          0.0063,         39.0175,          0.0000,         36.4539,          0.0255,          0.0000,          0.0000,          5.9863
,        0.200000,          0.0000,          0.0055,         39.0175,          0.0000,         36.4502,          0.0248,          0.0000,          0.0000,          5.9863
,        0.216667,          0.0000,          0.0049,         39.0175,          0.0000,         36.4468,          0.0241,          0.0000,          0.0000,          5.9863
,        0.233333,          0.0000,          0.0043,         39.0175,          0.0000,         36.4438,          0.0233,          0.0000,          0.0000,          5.9863
,        0.250000,          0.0000,          0.0038,         39.0175,          0.0000,         36.4410,          0.0225,          0.0000,          0.0000,          5.9863
,        0.266667,          0.0000,          0.0033,         39.0175,          0.0000,         36.4384,          0.0216,          0.0000,          0.0000,          5.9863
,        0.283333,          0.0000,          0.0029,         39.0175,          0.0000,         36.4360,          0.0207,          0.0000,          0.0000,          5.9863
,        0.300000,          0.0000,          0.0025,         39.0175,          0.0000,         36.4339,          0.0197,          0.0000,          0.0000,          5.9863
,        0.316667,          0.0000,          0.0022,         39.0175,          0.0000,         36.4319,          0.0188,          0.0000,          0.0000,          5.9863
,        0.333333,          0.0000,          0.0019,         39.0175,          0.0000,         36.4300,          0.0178,          0.0000,          0.0000,          5.9863
,        0.350000,          0.0000,          0.0016,         39.0175,          0.0000,         36.4283,          0.0169,          0.0000,          0.0000,          5.9863
,        0.366667,          0.0000,          0.0014,         39.0175,          0.0000,         36.4266,          0.0160,          0.0000,          0.0000,          5.9863
,        0.383333,          0.0000,          0.0012,         39.0175,          0.0000,         36.4252,          0.0152,          0.0473,          0.0000,          6.2957
,        0.400000,          0.0000,          0.0011,         39.0175,          0.0000,         36.4237,          0.0144,          0.2390,          0.0000,         15.3410
,        0.416667,          0.0000,          0.0009,         39.0175,          0.0000,         36.4224,          0.0138,          0.4686,          0.0000,         36.2893
,        0.433333,          0.0000,          0.0008,         39.0175,          0.0000,         36.4212,          0.0133,          0.7546,          0.0000,         72.5677
,        0.450000,          0.0000,          0.0007,         39.0175,          0.0000,         36.4202,          0.0128,          1.1089,          0.0000,        128.6587
,        0.466667,          0.0000,          0.0007,         39.0175,          0.0000,         36.4193,          0.0124,          1.7512,          0.0000,        211.9691
,        0.483333,          0.0000,          0.0006,         39.0175,          0.0000,         36.4184,          0.0120,          3.2320,          0.0000,        337.2733
,        0.500000,          0.0000,          0.0005,         39.0175,          0.0000,         36.4177,          0.0117,          2.3486,          0.0000,        504.2351
,        0.516667,          0.0000,          0.0005,         39.0175,          0.0000,         36.4170,          0.0113,          4.4400,          0.0000,        726.7913
,        0.533333,          0.0000,          0.0004,         39.0175,          0.0000,         36.4163,          0.0110,          7.3462,          0.0000,       1069.1304
,        0.550000,          0.0000,          0.0004,         39.0175,          0.0000,         36.4157,          0.0108,         11.4809,          0.0000,       1633.3319
,        0.566667,          0.0000,          0.0004,         39.0175,          0.0000,         36.4152,          0.0109,         17.1587,          0.0000,       2482.6069
,        0.583333,          0.0000,          0.0004,         39.0175,          0.0000,         36.4147,          0.0108,         24.6845,          0.0000,       3720.3914
,        0.600000,          0.0000,          0.0003,         39.0175,          0.0000,         36.4143,          0.0106,         34.9467,          0.0000,       5451.6108
,        0.616667,          0.0000,          0.0003,         39.0175,          0.0000,         36.4139,          0.0104,         43.8747,          0.0000,       7787.8940
,        0.633333,          0.0000,          0.0003,         39.0175,          0.0000,         36.4135,          0.0102,         53.9282,          0.0000,      10735.1387
,        0.650000,          2.0165,          0.0003,         39.4655,          0.8535,         36.4131,          0.0100,         62.3620,          0.0000,      14246.9541
,        0.666667,          7.6248,          0.0003,         40.1267,          0.9549,         36.4127,          0.0098,         70.8668,          0.0000,      18121.8379
,        0.683333,         18.3384,          0.0002,         40.8106,          1.1375,         36.4124,          0.0096,         77.4389,          0.0000,      22340.5508
,        0.700000,         33.3869,          0.0002,         41.3668,          0.9941,         36.4121,          0.0095,         81.1167,          0.0000,      26838.1523
,        0.716667,         44.9462,          0.0002,         41.6874,          0.9076,         36.4117,          0.0093,         78.9444,          0.0000,      31522.2480
,        0.733333,         54.5720,          0.0002,         41.9021,          0.8570,         36.4114,          0.0091,         81.8540,          0.0000,      36366.3828
,        0.750000,         62.8283,          0.0002,         42.0405,          0.8415,         36.4111,          0.0089,         84.4896,          0.0000,      41356.2227
,        0.766667,         69.1827,          0.0002,         42.1358,          0.8450,         36.4109,          0.0088,         86.6043,          0.0000,      46474.8438
,        0.783333,         73.7507,          0.0002,         42.2057,          0.8381,         36.4106,          0.0086,         87.8842,          0.0000,      51694.9297
,        0.800000,         76.8667,          0.0002,         42.2660,          0.8150,         36.4103,          0.0085,         88.1814,          0.0000,      56979.3320
,        0.816667,         78.2044,          0.0002,         42.3303,          0.7671,         36.4101,          0.0084,         88.9986,          0.0000,      62314.1445
,        0.833333,         77.4760,          0.0001,         42.4108,          0.6921,         36.4098,          0.0082,         89.7253,          0.0000,      67693.8828
,        0.850000,         75.7188,          0.0001,         42.5028,          0.6128,         36.4096,          0.0081,         90.4323,          0.0000,      73116.0234
,        0.866667,         73.6127,          0.0001,         42.5993,          0.5409,         36.4094,          0.0080,         90.7700,          0.0000,      78568.8828
,        0.883333,         71.8471,          0.0001,         42.6947,          0.4853,         36.4092,          0.0079,         91.0879,          0.6203,      84033.3672
,        0.900000,         69.6129,          0.0001,         42.7837,          0.4408,         36.4090,          0.0078,         91.3694,          5.3929,      89359.3438
,        0.916667,         68.4931,          0.0001,         42.8614,          0.4111,         36.4088,          0.0076,         91.6408,         12.5222,      94333.1172
,        0.933333,         69.1661,          5.5327,         42.9286,          0.3978,         37.3003,          0.7487,         91.8675,         20.7915,      98857.3828
,        0.950000,         70.0110,         11.5698,         42.9824,          0.3879,         37.9496,          0.7819,         91.9527,         29.3467,     102881.8672
,        0.966667,         70.4459,         17.4383,         43.0274,          0.3756,         38.4674,          0.7818,         91.9000,         37.1419,     106413.5547
,        0.983333,         76.0515,         26.6220,         43.0730,          0.3973,         38.9047,          0.8042,         91.8685,         44.3360,     109497.5234
,        1.000000,         81.7500,         35.5764,         43.1081,          0.4253,         39.2204,          0.8531,         91.7674,         52.1517,     112128.0000
