"EG02_011","Location","Structure Flow","U/S Structure Water Level","D/S Structure Water Level"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_011.tcf","Time","Bridge","Bridge","Bridge"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG02\EG02_011_PO.csv",        0.000000,          0.0000,     -99999.0000,     -99999.0000
,        0.016667,          0.0000,     -99999.0000,     -99999.0000
,        0.033333,          0.0000,     -99999.0000,     -99999.0000
,        0.050000,          0.0000,     -99999.0000,     -99999.0000
,        0.066667,          0.0000,     -99999.0000,     -99999.0000
,        0.083333,          0.0000,     -99999.0000,     -99999.0000
,        0.100000,          0.0000,     -99999.0000,     -99999.0000
,        0.116667,          0.0000,     -99999.0000,     -99999.0000
,        0.133333,          0.0000,     -99999.0000,     -99999.0000
,        0.150000,          0.0000,     -99999.0000,     -99999.0000
,        0.166667,          0.0000,     -99999.0000,     -99999.0000
,        0.183333,          0.0000,     -99999.0000,     -99999.0000
,        0.200000,          0.0000,     -99999.0000,     -99999.0000
,        0.216667,          0.0000,     -99999.0000,     -99999.0000
,        0.233333,          0.0000,     -99999.0000,     -99999.0000
,        0.250000,          0.0000,     -99999.0000,     -99999.0000
,        0.266667,          0.0000,     -99999.0000,     -99999.0000
,        0.283333,          0.0000,     -99999.0000,     -99999.0000
,        0.300000,          0.0000,     -99999.0000,     -99999.0000
,        0.316667,          0.0000,     -99999.0000,     -99999.0000
,        0.333333,          0.0000,     -99999.0000,     -99999.0000
,        0.350000,          0.0000,     -99999.0000,     -99999.0000
,        0.366667,          0.0000,     -99999.0000,     -99999.0000
,        0.383333,          0.0000,     -99999.0000,     -99999.0000
,        0.400000,          0.0000,     -99999.0000,     -99999.0000
,        0.416667,          0.0000,     -99999.0000,     -99999.0000
,        0.433333,          0.0000,     -99999.0000,     -99999.0000
,        0.450000,          0.0000,     -99999.0000,     -99999.0000
,        0.466667,          0.0000,     -99999.0000,     -99999.0000
,        0.483333,          0.0000,     -99999.0000,     -99999.0000
,        0.500000,          0.0000,     -99999.0000,     -99999.0000
,        0.516667,          0.0000,     -99999.0000,     -99999.0000
,        0.533333,          0.0000,     -99999.0000,     -99999.0000
,        0.550000,          0.0000,     -99999.0000,     -99999.0000
,        0.566667,          0.0000,     -99999.0000,     -99999.0000
,        0.583333,          0.0000,     -99999.0000,     -99999.0000
