"EG02_014","Location"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf","Time"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG02\EG02_014_PO.csv",        0.000000
,        0.016667
,        0.033333
,        0.050000
,        0.066667
,        0.083333
,        0.100000
,        0.116667
,        0.133333
,        0.150000
,        0.166667
,        0.183333
,        0.200000
,        0.216667
,        0.233333
,        0.250000
,        0.266667
,        0.283333
,        0.300000
,        0.316667
,        0.333333
,        0.350000
,        0.366667
,        0.383333
,        0.400000
,        0.416667
,        0.433333
,        0.450000
,        0.466667
,        0.483333
,        0.500000
,        0.516667
,        0.533333
,        0.550000
,        0.566667
,        0.583333
,        0.600000
,        0.616667
,        0.633333
,        0.650000
,        0.666667
,        0.683333
,        0.700000
,        0.716667
,        0.733333
,        0.750000
,        0.766667
,        0.783333
,        0.800000
,        0.816667
,        0.833333
,        0.850000
,        0.866667
,        0.883333
,        0.900000
,        0.916667
,        0.933333
,        0.950000
,        0.966667
,        0.983333
,        1.000000
,        1.016667
,        1.033333
,        1.050000
,        1.066667
,        1.083333
,        1.100000
,        1.116667
,        1.133333
,        1.150000
,        1.166667
,        1.183333
,        1.200000
,        1.216667
,        1.233333
,        1.250000
,        1.266667
,        1.283333
,        1.300000
,        1.316667
,        1.333333
,        1.350000
,        1.366667
,        1.383333
,        1.400000
,        1.416667
,        1.433333
,        1.450000
,        1.466667
,        1.483333
,        1.500000
,        1.516667
,        1.533333
,        1.550000
,        1.566667
,        1.583333
,        1.600000
,        1.616667
,        1.633333
,        1.650000
,        1.666667
,        1.683333
,        1.700000
,        1.716667
,        1.733333
,        1.750000
,        1.766667
,        1.783333
,        1.800000
,        1.816667
,        1.833333
,        1.850000
,        1.866667
,        1.883333
,        1.900000
,        1.916667
,        1.933333
,        1.950000
,        1.966667
,        1.983333
,        2.000000
,        2.016667
,        2.033333
,        2.050000
,        2.066667
,        2.083333
,        2.100000
,        2.116667
,        2.133333
,        2.150000
,        2.166667
,        2.183333
,        2.200000
,        2.216667
,        2.233333
,        2.250000
,        2.266667
,        2.283333
,        2.300000
,        2.316667
,        2.333333
,        2.350000
,        2.366667
,        2.383333
,        2.400000
,        2.416667
,        2.433333
,        2.450000
,        2.466667
,        2.483333
,        2.500000
,        2.516667
,        2.533333
,        2.550000
,        2.566667
,        2.583333
,        2.600000
,        2.616667
,        2.633333
,        2.650000
,        2.666667
,        2.683333
,        2.700000
,        2.716667
,        2.733333
,        2.750000
,        2.766667
,        2.783333
,        2.800000
,        2.816667
,        2.833333
,        2.850000
,        2.866667
,        2.883333
,        2.900000
,        2.916667
,        2.933333
,        2.950000
,        2.966667
,        2.983333
,        3.000000

