"EG02_019","Location","Gauge Level"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_019.tcf","Time","Gauge1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG02\EG02_019_PO.csv",        0.000000,         37.6996
,        0.016667,         37.6996
,        0.033333,         37.6996
,        0.050000,         37.6996
,        0.066667,         37.6996
,        0.083333,         37.6996
,        0.100000,         37.6996
,        0.116667,         37.6996
,        0.133333,         37.6996
,        0.150000,         37.6996
,        0.166667,         37.6996
,        0.183333,         37.6996
,        0.200000,         37.6996
,        0.216667,         37.6996
,        0.233333,         37.6996
,        0.250000,         37.6996
,        0.266667,         37.6996
,        0.283333,         37.6996
,        0.300000,         37.6996
,        0.316667,         37.6996
,        0.333333,         37.6996
,        0.350000,         37.6996
,        0.366667,         37.6996
,        0.383333,         37.6996
,        0.400000,         37.6996
,        0.416667,         37.6996
,        0.433333,         37.6996
,        0.450000,         37.6996
,        0.466667,         37.6996
,        0.483333,         37.6996
,        0.500000,         37.6996
,        0.516667,         37.6996
,        0.533333,         37.6996
,        0.550000,         37.6996
,        0.566667,         37.6996
,        0.583333,         37.6996
,        0.600000,         37.6996
,        0.616667,         37.6996
,        0.633333,         37.6996
,        0.650000,         37.6996
,        0.666667,         37.6996
,        0.683333,         37.6996
,        0.700000,         38.7433
,        0.716667,         40.0448
,        0.733333,         40.6114
,        0.750000,         41.0675
,        0.766667,         41.4250
,        0.783333,         41.7159
,        0.800000,         41.9535
,        0.816667,         42.1471
,        0.833333,         42.3082
,        0.850000,         42.4442
,        0.866667,         42.5633
,        0.883333,         42.6700
,        0.900000,         42.7631
,        0.916667,         42.8425
,        0.933333,         42.9088
,        0.950000,         42.9652
,        0.966667,         43.0104
,        0.983333,         43.0485
,        1.000000,         43.0868
,        1.016667,         43.1174
,        1.033333,         43.1419
,        1.050000,         43.1601
,        1.066667,         43.1758
,        1.083333,         43.1877
,        1.100000,         43.1972
,        1.116667,         43.2045
,        1.133333,         43.2099
,        1.150000,         43.2139
,        1.166667,         43.2162
,        1.183333,         43.2173
,        1.200000,         43.2172
,        1.216667,         43.2161
,        1.233333,         43.2143
,        1.250000,         43.2118
,        1.266667,         43.2087
,        1.283333,         43.2050
,        1.300000,         43.2010
,        1.316667,         43.1965
,        1.333333,         43.1916
,        1.350000,         43.1861
,        1.366667,         43.1802
,        1.383333,         43.1738
,        1.400000,         43.1672
,        1.416667,         43.1607
,        1.433333,         43.1539
,        1.450000,         43.1467
,        1.466667,         43.1390
,        1.483333,         43.1310
,        1.500000,         43.1228
,        1.516667,         43.1146
,        1.533333,         43.1063
,        1.550000,         43.0983
,        1.566667,         43.0907
,        1.583333,         43.0831
,        1.600000,         43.0753
,        1.616667,         43.0674
,        1.633333,         43.0594
,        1.650000,         43.0515
,        1.666667,         43.0436
,        1.683333,         43.0359
,        1.700000,         43.0285
,        1.716667,         43.0215
,        1.733333,         43.0148
,        1.750000,         43.0084
,        1.766667,         43.0023
,        1.783333,         42.9965
,        1.800000,         42.9906
,        1.816667,         42.9849
,        1.833333,         42.9792
,        1.850000,         42.9738
,        1.866667,         42.9685
,        1.883333,         42.9634
,        1.900000,         42.9584
,        1.916667,         42.9536
,        1.933333,         42.9493
,        1.950000,         42.9450
,        1.966667,         42.9407
,        1.983333,         42.9366
,        2.000000,         42.9327
,        2.016667,         42.9289
,        2.033333,         42.9254
,        2.050000,         42.9220
,        2.066667,         42.9187
,        2.083333,         42.9156
,        2.100000,         42.9126
,        2.116667,         42.9097
,        2.133333,         42.9069
,        2.150000,         42.9041
,        2.166667,         42.9014
,        2.183333,         42.8987
,        2.200000,         42.8959
,        2.216667,         42.8931
,        2.233333,         42.8902
,        2.250000,         42.8873
,        2.266667,         42.8843
,        2.283333,         42.8814
,        2.300000,         42.8786
,        2.316667,         42.8758
,        2.333333,         42.8731
,        2.350000,         42.8704
,        2.366667,         42.8678
,        2.383333,         42.8651
,        2.400000,         42.8626
,        2.416667,         42.8601
,        2.433333,         42.8575
,        2.450000,         42.8550
,        2.466667,         42.8526
,        2.483333,         42.8503
,        2.500000,         42.8480
,        2.516667,         42.8456
,        2.533333,         42.8433
,        2.550000,         42.8411
,        2.566667,         42.8390
,        2.583333,         42.8368
,        2.600000,         42.8346
,        2.616667,         42.8325
,        2.633333,         42.8304
,        2.650000,         42.8284
,        2.666667,         42.8263
,        2.683333,         42.8240
,        2.700000,         42.8218
,        2.716667,         42.8197
,        2.733333,         42.8175
,        2.750000,         42.8154
,        2.766667,         42.8132
,        2.783333,         42.8110
,        2.800000,         42.8088
,        2.816667,         42.8066
,        2.833333,         42.8044
,        2.850000,         42.8022
,        2.866667,         42.7999
,        2.883333,         42.7976
,        2.900000,         42.7954
,        2.916667,         42.7931
,        2.933333,         42.7909
,        2.950000,         42.7886
,        2.966667,         42.7863
,        2.983333,         42.7840
,        3.000000,         42.7817

