"EG02_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_011.tcf]","Time (h)","HD Bridge [EG02_011]"
           1,        0.000000,     -99999.0000
           2,        0.016667,     -99999.0000
           3,        0.033333,     -99999.0000
           4,        0.050000,     -99999.0000
           5,        0.066667,     -99999.0000
           6,        0.083333,     -99999.0000
           7,        0.100000,     -99999.0000
           8,        0.116667,     -99999.0000
           9,        0.133333,     -99999.0000
          10,        0.150000,     -99999.0000
          11,        0.166667,     -99999.0000
          12,        0.183333,     -99999.0000
          13,        0.200000,     -99999.0000
          14,        0.216667,     -99999.0000
          15,        0.233333,     -99999.0000
          16,        0.250000,     -99999.0000
          17,        0.266667,     -99999.0000
          18,        0.283333,     -99999.0000
          19,        0.300000,     -99999.0000
          20,        0.316667,     -99999.0000
          21,        0.333333,     -99999.0000
          22,        0.350000,     -99999.0000
          23,        0.366667,     -99999.0000
          24,        0.383333,     -99999.0000
          25,        0.400000,     -99999.0000
          26,        0.416667,     -99999.0000
          27,        0.433333,     -99999.0000
          28,        0.450000,     -99999.0000
          29,        0.466667,     -99999.0000
          30,        0.483333,     -99999.0000
          31,        0.500000,     -99999.0000
          32,        0.516667,     -99999.0000
          33,        0.533333,     -99999.0000
          34,        0.550000,     -99999.0000
          35,        0.566667,     -99999.0000
          36,        0.583333,     -99999.0000
          37,        0.600000,     -99999.0000
          38,        0.616667,     -99999.0000
          39,        0.633333,     -99999.0000
          40,        0.650000,     -99999.0000
          41,        0.666667,     -99999.0000
          42,        0.683333,     -99999.0000
          43,        0.700000,     -99999.0000
          44,        0.716667,     -99999.0000
          45,        0.733333,         38.3981
          46,        0.750000,         39.0517
          47,        0.766667,         39.4913
          48,        0.783333,         39.8011
          49,        0.800000,         40.0362
          50,        0.816667,         40.2236
          51,        0.833333,         40.3666
          52,        0.850000,         40.4688
          53,        0.866667,         40.5404
          54,        0.883333,         40.5887
          55,        0.900000,         40.6211
          56,        0.916667,         40.6431
          57,        0.933333,         40.6576
          58,        0.950000,         40.6674
          59,        0.966667,         40.6742
          60,        0.983333,         40.6792
          61,        1.000000,         40.6832
          62,        1.016667,         40.6861
          63,        1.033333,         40.6881
          64,        1.050000,         40.6895
          65,        1.066667,         40.6912
          66,        1.083333,         40.6941
          67,        1.100000,         40.6969
          68,        1.116667,         40.6988
          69,        1.133333,         40.6995
          70,        1.150000,         40.6991
          71,        1.166667,         40.6976
          72,        1.183333,         40.6948
          73,        1.200000,         40.6906
          74,        1.216667,         40.6852
          75,        1.233333,         40.6785
          76,        1.250000,         40.6707
          77,        1.266667,         40.6622
          78,        1.283333,         40.6527
          79,        1.300000,         40.6423
          80,        1.316667,         40.6316
          81,        1.333333,         40.6202
          82,        1.350000,         40.6079
          83,        1.366667,         40.5947
          84,        1.383333,         40.5804
          85,        1.400000,         40.5651
          86,        1.416667,         40.5488
          87,        1.433333,         40.5317
          88,        1.450000,         40.5137
          89,        1.466667,         40.4949
          90,        1.483333,         40.4748
          91,        1.500000,         40.4540
          92,        1.516667,         40.4324
          93,        1.533333,         40.4100
          94,        1.550000,         40.3869
          95,        1.566667,         40.3630
          96,        1.583333,         40.3381
          97,        1.600000,         40.3121
          98,        1.616667,         40.2851
          99,        1.633333,         40.2569
         100,        1.650000,         40.2276
         101,        1.666667,         40.1968
         102,        1.683333,         40.1648
         103,        1.700000,         40.1319
         104,        1.716667,         40.0981
         105,        1.733333,         40.0637
         106,        1.750000,         40.0286
         107,        1.766667,         39.9937
         108,        1.783333,         39.9589
         109,        1.800000,         39.9249
         110,        1.816667,         39.8916
         111,        1.833333,         39.8591
         112,        1.850000,         39.8272
         113,        1.866667,         39.7940
         114,        1.883333,         39.7627
         115,        1.900000,         39.7311
         116,        1.916667,         39.6998
         117,        1.933333,         39.6704
         118,        1.950000,         39.6418
         119,        1.966667,         39.6147
         120,        1.983333,         39.5890
         121,        2.000000,         39.5649
         122,        2.016667,         39.5423
         123,        2.033333,         39.5207
