"EG02_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_011.tcf]","Time (h)","HU Bridge [EG02_011]"
           1,        0.000000,     -99999.0000
           2,        0.016667,     -99999.0000
           3,        0.033333,     -99999.0000
           4,        0.050000,     -99999.0000
           5,        0.066667,     -99999.0000
           6,        0.083333,     -99999.0000
           7,        0.100000,     -99999.0000
           8,        0.116667,     -99999.0000
           9,        0.133333,     -99999.0000
          10,        0.150000,     -99999.0000
          11,        0.166667,     -99999.0000
          12,        0.183333,     -99999.0000
          13,        0.200000,     -99999.0000
          14,        0.216667,     -99999.0000
          15,        0.233333,     -99999.0000
          16,        0.250000,     -99999.0000
          17,        0.266667,     -99999.0000
          18,        0.283333,     -99999.0000
          19,        0.300000,     -99999.0000
          20,        0.316667,     -99999.0000
          21,        0.333333,     -99999.0000
          22,        0.350000,     -99999.0000
          23,        0.366667,     -99999.0000
          24,        0.383333,     -99999.0000
          25,        0.400000,     -99999.0000
          26,        0.416667,     -99999.0000
          27,        0.433333,     -99999.0000
          28,        0.450000,     -99999.0000
          29,        0.466667,     -99999.0000
          30,        0.483333,     -99999.0000
          31,        0.500000,     -99999.0000
          32,        0.516667,     -99999.0000
          33,        0.533333,     -99999.0000
          34,        0.550000,     -99999.0000
          35,        0.566667,     -99999.0000
          36,        0.583333,     -99999.0000
          37,        0.600000,     -99999.0000
          38,        0.616667,     -99999.0000
          39,        0.633333,     -99999.0000
          40,        0.650000,     -99999.0000
          41,        0.666667,     -99999.0000
          42,        0.683333,     -99999.0000
          43,        0.700000,     -99999.0000
          44,        0.716667,     -99999.0000
          45,        0.733333,         38.6572
          46,        0.750000,         39.2469
          47,        0.766667,         39.6097
          48,        0.783333,         39.8958
          49,        0.800000,         40.1157
          50,        0.816667,         40.2964
          51,        0.833333,         40.4357
          52,        0.850000,         40.5373
          53,        0.866667,         40.6105
          54,        0.883333,         40.6627
          55,        0.900000,         40.6985
          56,        0.916667,         40.7228
          57,        0.933333,         40.7390
          58,        0.950000,         40.7500
          59,        0.966667,         40.7577
          60,        0.983333,         40.7635
          61,        1.000000,         40.7682
          62,        1.016667,         40.7716
          63,        1.033333,         40.7738
          64,        1.050000,         40.7754
          65,        1.066667,         40.7777
          66,        1.083333,         40.7814
          67,        1.100000,         40.7849
          68,        1.116667,         40.7870
          69,        1.133333,         40.7877
          70,        1.150000,         40.7870
          71,        1.166667,         40.7849
          72,        1.183333,         40.7811
          73,        1.200000,         40.7757
          74,        1.216667,         40.7689
          75,        1.233333,         40.7604
          76,        1.250000,         40.7510
          77,        1.266667,         40.7401
          78,        1.283333,         40.7285
          79,        1.300000,         40.7155
          80,        1.316667,         40.7027
          81,        1.333333,         40.6892
          82,        1.350000,         40.6744
          83,        1.366667,         40.6589
          84,        1.383333,         40.6419
          85,        1.400000,         40.6241
          86,        1.416667,         40.6053
          87,        1.433333,         40.5857
          88,        1.450000,         40.5657
          89,        1.466667,         40.5449
          90,        1.483333,         40.5232
          91,        1.500000,         40.5007
          92,        1.516667,         40.4775
          93,        1.533333,         40.4534
          94,        1.550000,         40.4289
          95,        1.566667,         40.4036
          96,        1.583333,         40.3775
          97,        1.600000,         40.3505
          98,        1.616667,         40.3226
          99,        1.633333,         40.2934
         100,        1.650000,         40.2634
         101,        1.666667,         40.2318
         102,        1.683333,         40.1991
         103,        1.700000,         40.1656
         104,        1.716667,         40.1313
         105,        1.733333,         40.0965
         106,        1.750000,         40.0622
         107,        1.766667,         40.0272
         108,        1.783333,         39.9925
         109,        1.800000,         39.9587
         110,        1.816667,         39.9255
         111,        1.833333,         39.8936
         112,        1.850000,         39.8614
         113,        1.866667,         39.8301
         114,        1.883333,         39.7995
         115,        1.900000,         39.7682
         116,        1.916667,         39.7376
         117,        1.933333,         39.7076
         118,        1.950000,         39.6795
         119,        1.966667,         39.6526
         120,        1.983333,         39.6275
         121,        2.000000,         39.6009
         122,        2.016667,         39.5779
         123,        2.033333,         39.5566
