"EG02_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_011.tcf]","Time (h)","QS Bridge [EG02_011]"
           1,        0.000000,          0.0000
           2,        0.016667,          0.0000
           3,        0.033333,          0.0000
           4,        0.050000,          0.0000
           5,        0.066667,          0.0000
           6,        0.083333,          0.0000
           7,        0.100000,          0.0000
           8,        0.116667,          0.0000
           9,        0.133333,          0.0000
          10,        0.150000,          0.0000
          11,        0.166667,          0.0000
          12,        0.183333,          0.0000
          13,        0.200000,          0.0000
          14,        0.216667,          0.0000
          15,        0.233333,          0.0000
          16,        0.250000,          0.0000
          17,        0.266667,          0.0000
          18,        0.283333,          0.0000
          19,        0.300000,          0.0000
          20,        0.316667,          0.0000
          21,        0.333333,          0.0000
          22,        0.350000,          0.0000
          23,        0.366667,          0.0000
          24,        0.383333,          0.0000
          25,        0.400000,          0.0000
          26,        0.416667,          0.0000
          27,        0.433333,          0.0000
          28,        0.450000,          0.0000
          29,        0.466667,          0.0000
          30,        0.483333,          0.0000
          31,        0.500000,          0.0000
          32,        0.516667,          0.0000
          33,        0.533333,          0.0000
          34,        0.550000,          0.0000
          35,        0.566667,          0.0000
          36,        0.583333,          0.0000
          37,        0.600000,          0.0000
          38,        0.616667,          0.0000
          39,        0.633333,          0.0000
          40,        0.650000,          0.0000
          41,        0.666667,          0.0000
          42,        0.683333,          0.0000
          43,        0.700000,          0.0000
          44,        0.716667,          0.0000
          45,        0.733333,          9.8217
          46,        0.750000,         25.8238
          47,        0.766667,         36.2588
          48,        0.783333,         45.1623
          49,        0.800000,         52.5741
          50,        0.816667,         58.8566
          51,        0.833333,         63.7166
          52,        0.850000,         67.6927
          53,        0.866667,         70.8035
          54,        0.883333,         73.2227
          55,        0.900000,         75.1062
          56,        0.916667,         76.4458
          57,        0.933333,         77.3698
          58,        0.950000,         78.0455
          59,        0.966667,         78.5197
          60,        0.983333,         78.9290
          61,        1.000000,         79.2874
          62,        1.016667,         79.5348
          63,        1.033333,         79.6732
          64,        1.050000,         79.7839
          65,        1.066667,         80.0125
          66,        1.083333,         80.4258
          67,        1.100000,         80.7543
          68,        1.116667,         80.8936
          69,        1.133333,         80.8835
          70,        1.150000,         80.7452
          71,        1.166667,         80.4666
          72,        1.183333,         80.0223
          73,        1.200000,         79.4267
          74,        1.216667,         78.6967
          75,        1.233333,         77.8265
          76,        1.250000,         76.8463
          77,        1.266667,         75.8302
          78,        1.283333,         74.6988
          79,        1.300000,         73.4720
          80,        1.316667,         72.3019
          81,        1.333333,         71.0556
          82,        1.350000,         69.6958
          83,        1.366667,         68.2882
          84,        1.383333,         66.7655
          85,        1.400000,         65.2126
          86,        1.416667,         63.6066
          87,        1.433333,         61.9717
          88,        1.450000,         60.3075
          89,        1.466667,         58.6055
          90,        1.483333,         56.8315
          91,        1.500000,         55.0996
          92,        1.516667,         53.3621
          93,        1.533333,         51.6503
          94,        1.550000,         50.0041
          95,        1.566667,         48.3711
          96,        1.583333,         46.7612
          97,        1.600000,         45.2456
          98,        1.616667,         43.7706
          99,        1.633333,         42.3087
         100,        1.650000,         40.9247
         101,        1.666667,         39.5301
         102,        1.683333,         38.2143
         103,        1.700000,         36.9174
         104,        1.716667,         35.7148
         105,        1.733333,         34.5546
         106,        1.750000,         33.4533
         107,        1.766667,         32.4537
         108,        1.783333,         31.4580
         109,        1.800000,         30.5662
         110,        1.816667,         29.7577
         111,        1.833333,         28.8816
         112,        1.850000,         28.0239
         113,        1.866667,         27.2617
         114,        1.883333,         26.1663
         115,        1.900000,         25.6189
         116,        1.916667,         24.9057
         117,        1.933333,         24.2749
         118,        1.950000,         23.6404
         119,        1.966667,         23.0465
         120,        1.983333,         22.5995
         121,        2.000000,         22.1430
         122,        2.016667,         21.6084
         123,        2.033333,         21.1579
         124,        2.050000,         20.6916
         125,        2.066667,         20.3546
         126,        2.083333,         19.9741
         127,        2.100000,         19.6503
         128,        2.116667,         19.3394
         129,        2.133333,         19.0319
         130,        2.150000,         18.7214
         131,        2.166667,         18.3907
         132,        2.183333,         18.0748
         133,        2.200000,         17.7671
         134,        2.216667,         17.4261
         135,        2.233333,         17.0900
         136,        2.250000,         16.7021
         137,        2.266667,         16.3157
         138,        2.283333,         15.9281
         139,        2.300000,         15.5323
         140,        2.316667,         15.1561
         141,        2.333333,         14.7968
         142,        2.350000,         14.4634
         143,        2.366667,         14.1816
         144,        2.383333,         13.8671
         145,        2.400000,         13.5817
         146,        2.416667,         13.2579
         147,        2.433333,         13.0137
         148,        2.450000,         12.7333
         149,        2.466667,         12.4945
         150,        2.483333,         12.2575
         151,        2.500000,         12.0306
         152,        2.516667,         11.8172
         153,        2.533333,         11.6333
         154,        2.550000,         11.4210
         155,        2.566667,         11.2222
         156,        2.583333,         11.0373
         157,        2.600000,         10.8122
         158,        2.616667,         10.5842
         159,        2.633333,         10.3606
         160,        2.650000,         10.1492
         161,        2.666667,          9.9329
         162,        2.683333,          9.7237
         163,        2.700000,          9.5065
         164,        2.716667,          9.2919
         165,        2.733333,          9.1139
         166,        2.750000,          8.8763
         167,        2.766667,          8.7273
         168,        2.783333,          8.5273
         169,        2.800000,          8.2545
         170,        2.816667,          8.0310
         171,        2.833333,          7.8445
         172,        2.850000,          7.6755
         173,        2.866667,          7.4954
         174,        2.883333,          7.3138
         175,        2.900000,          7.0905
         176,        2.916667,          6.8919
         177,        2.933333,          6.7195
         178,        2.950000,          6.5101
         179,        2.966667,          6.3109
         180,        2.983333,          6.1431
         181,        3.000000,          5.9286

