"EG02_013 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_013.tcf]","Time (h)","H RL_01 [EG02_013]","H RL_02 [EG02_013]"
       1,          0.000000,     39.0113, -99999.0000
       2,          0.016667, -99999.0000, -99999.0000
       3,          0.033333, -99999.0000, -99999.0000
       4,          0.050000, -99999.0000, -99999.0000
       5,          0.066667, -99999.0000, -99999.0000
       6,          0.083333, -99999.0000, -99999.0000
       7,          0.100000, -99999.0000, -99999.0000
       8,          0.116667, -99999.0000, -99999.0000
       9,          0.133333, -99999.0000, -99999.0000
      10,          0.150000, -99999.0000, -99999.0000
      11,          0.166667, -99999.0000, -99999.0000
      12,          0.183333, -99999.0000, -99999.0000
      13,          0.200000, -99999.0000, -99999.0000
      14,          0.216667, -99999.0000, -99999.0000
      15,          0.233333, -99999.0000, -99999.0000
      16,          0.250000, -99999.0000, -99999.0000
      17,          0.266667, -99999.0000, -99999.0000
      18,          0.283333, -99999.0000, -99999.0000
      19,          0.300000, -99999.0000, -99999.0000
      20,          0.316667, -99999.0000, -99999.0000
      21,          0.333333, -99999.0000, -99999.0000
      22,          0.350000, -99999.0000, -99999.0000
      23,          0.366667, -99999.0000, -99999.0000
      24,          0.383333,     39.0348, -99999.0000
      25,          0.400000,     39.1824, -99999.0000
      26,          0.416667,     39.5194, -99999.0000
      27,          0.433333,     39.7931, -99999.0000
      28,          0.450000,     39.9576, -99999.0000
      29,          0.466667,     40.0995, -99999.0000
      30,          0.483333,     40.2231, -99999.0000
      31,          0.500000,     40.3361, -99999.0000
      32,          0.516667,     40.4424, -99999.0000
      33,          0.533333,     40.5462, -99999.0000
      34,          0.550000,     40.6496, -99999.0000
      35,          0.566667,     40.7551, -99999.0000
      36,          0.583333,     40.8683, -99999.0000
      37,          0.600000,     40.9876, -99999.0000
      38,          0.616667,     41.1007, -99999.0000
      39,          0.633333,     41.2033, -99999.0000
      40,          0.650000,     41.3335, -99999.0000
      41,          0.666667,     41.4672, -99999.0000
      42,          0.683333,     41.5848, -99999.0000
      43,          0.700000,     41.6799, -99999.0000
      44,          0.716667,     41.7579, -99999.0000
      45,          0.733333,     41.8138, -99999.0000
      46,          0.750000,     41.8606,     41.6942
      47,          0.766667,     41.9165,     41.7405
      48,          0.783333,     41.9673,     41.7890
      49,          0.800000,     42.0305,     41.8378
      50,          0.816667,     42.0961,     41.8959
      51,          0.833333,     42.1567,     41.9526
      52,          0.850000,     42.2055,     42.0023
      53,          0.866667,     42.2431,     42.0408
      54,          0.883333,     42.2700,     42.0687
      55,          0.900000,     42.2901,     42.0900
      56,          0.916667,     42.3054,     42.1071
      57,          0.933333,     42.3176,     42.1218
      58,          0.950000,     42.3283,     42.1354
      59,          0.966667,     42.3384,     42.1489
      60,          0.983333,     42.3477,     42.1624
      61,          1.000000,     42.3572,     42.1764
      62,          1.016667,     42.3665,     42.1910
      63,          1.033333,     42.3762,     42.2065
      64,          1.050000,     42.3863,     42.2228
      65,          1.066667,     42.3963,     42.2395
      66,          1.083333,     42.4065,     42.2565
      67,          1.100000,     42.4165,     42.2735
      68,          1.116667,     42.4265,     42.2901
      69,          1.133333,     42.4361,     42.3064
      70,          1.150000,     42.4453,     42.3219
      71,          1.166667,     42.4534,     42.3362
      72,          1.183333,     42.4607,     42.3494
      73,          1.200000,     42.4668,     42.3608
      74,          1.216667,     42.4720,     42.3707
      75,          1.233333,     42.4762,     42.3790
      76,          1.250000,     42.4793,     42.3858
      77,          1.266667,     42.4810,     42.3909
      78,          1.283333,     42.4816,     42.3942
      79,          1.300000,     42.4809,     42.3958
      80,          1.316667,     42.4784,     42.3955
      81,          1.333333,     42.4744,     42.3932
      82,          1.350000,     42.4686,     42.3888
      83,          1.366667,     42.4618,     42.3826
      84,          1.383333,     42.4525,     42.3741
      85,          1.400000,     42.4415,     42.3633
      86,          1.416667,     42.4290,     42.3505
      87,          1.433333,     42.4144,     42.3356
      88,          1.450000,     42.3983,     42.3182
      89,          1.466667,     42.3780,     42.2978
      90,          1.483333,     42.3556,     42.2740
      91,          1.500000,     42.3321,     42.2480
      92,          1.516667,     42.3078,     42.2201
      93,          1.533333,     42.2827,     42.1909
      94,          1.550000,     42.2574,     42.1606
      95,          1.566667,     42.2324,     42.1299
      96,          1.583333,     42.2077,     42.0993
      97,          1.600000,     42.1840,     42.0694
      98,          1.616667,     42.1594,     42.0399
      99,          1.633333,     42.1353,     42.0104
     100,          1.650000,     42.1117,     41.9823
     101,          1.666667,     42.0883,     41.9557
     102,          1.683333,     42.0654,     41.9302
     103,          1.700000,     42.0430,     41.9063
     104,          1.716667,     42.0202,     41.8836
     105,          1.733333,     41.9977,     41.8620
     106,          1.750000,     41.9753,     41.8416
     107,          1.766667,     41.9523,     41.8223
     108,          1.783333,     41.9286,     41.8035
     109,          1.800000,     41.9043,     41.7856
     110,          1.816667,     41.8771,     41.7676
     111,          1.833333,     41.8370,     41.7489
     112,          1.850000,     41.7997,     41.7302
     113,          1.866667,     41.7605,     41.7183
     114,          1.883333,     41.7207,     41.7140
     115,          1.900000,     41.6787,     41.7110
     116,          1.916667,     41.6360,     41.7086
     117,          1.933333,     41.5960,     41.7060
     118,          1.950000,     41.5573,     41.7044
     119,          1.966667,     41.5218,     41.7031
     120,          1.983333,     41.4884,     41.7020
     121,          2.000000,     41.4578,     41.7011
     122,          2.016667,     41.4292,     41.7003
     123,          2.033334,     41.4035,     41.6996
     124,          2.050000,     41.3793,     41.6990
     125,          2.066667,     41.3573,     41.6984
     126,          2.083333,     41.3366,     41.6979
     127,          2.100000,     41.3167,     41.6975
     128,          2.116667,     41.2976,     41.6971
     129,          2.133333,     41.2784,     41.6967
     130,          2.150000,     41.2593,     41.6964
     131,          2.166667,     41.2400,     41.6961
     132,          2.183333,     41.2202,     41.6958
     133,          2.200000,     41.1993,     41.6955
     134,          2.216667,     41.1778,     41.6953
     135,          2.233333,     41.1553,     41.6951
     136,          2.250000,     41.1321,     41.6949
     137,          2.266667,     41.1080,     41.6947
     138,          2.283334,     41.0843,     41.6945
     139,          2.300000,     41.0611,     41.6944
     140,          2.316667,     41.0385,     41.6942
     141,          2.333333,     41.0173,     41.6941
     142,          2.350000,     40.9969,     41.6939
     143,          2.366667,     40.9775,     41.6938
     144,          2.383333,     40.9587,     41.6937
     145,          2.400000,     40.9403,     41.6935
     146,          2.416667,     40.9225,     41.6934
     147,          2.433333,     40.9052,     41.6933
     148,          2.450000,     40.8885,     41.6932
     149,          2.466667,     40.8723,     41.6931
     150,          2.483333,     40.8565,     41.6930
     151,          2.500000,     40.8412,     41.6929
     152,          2.516667,     40.8264,     41.6928
     153,          2.533334,     40.8118,     41.6927
     154,          2.550000,     40.7970,     41.6926
     155,          2.566667,     40.7820,     41.6925
     156,          2.583333,     40.7667,     41.6925
     157,          2.600000,     40.7510,     41.6924
     158,          2.616667,     40.7347,     41.6923
     159,          2.633333,     40.7179,     41.6922
     160,          2.650000,     40.7003,     41.6921
     161,          2.666667,     40.6824,     41.6920
     162,          2.683333,     40.6640,     41.6919
     163,          2.700000,     40.6454,     41.6918
     164,          2.716667,     40.6269,     41.6918
     165,          2.733334,     40.6090,     41.6917
     166,          2.750000,     40.5914,     41.6916
     167,          2.766667,     40.5743,     41.6915
     168,          2.783334,     40.5572,     41.6914
     169,          2.800000,     40.5402,     41.6914
     170,          2.816667,     40.5229,     41.6913
     171,          2.833333,     40.5053,     41.6912
     172,          2.850000,     40.4871,     41.6911
     173,          2.866667,     40.4682,     41.6910
     174,          2.883333,     40.4485,     41.6909
     175,          2.900000,     40.4282,     41.6908
     176,          2.916667,     40.4071,     41.6907
     177,          2.933333,     40.3852,     41.6906
     178,          2.950000,     40.3628,     41.6903
     179,          2.966667,     40.3397,     41.6901
     180,          2.983334,     40.3164,     41.6899
     181,          3.000000,     40.2927,     41.6896
