"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time (h)","Q RL_03 [EG02_014]","Q RL_04 [EG02_014]","Q RL_05 [EG02_014]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,          -0.009,           0.001
       3,          0.033333,           0.000,          -0.009,           0.002
       4,          0.050000,           0.000,          -0.009,           0.005
       5,          0.066667,           0.002,           0.003,           0.008
       6,          0.083333,           0.003,           0.011,           0.014
       7,          0.100000,           0.010,           0.032,           0.024
       8,          0.116667,           0.026,           0.067,           0.036
       9,          0.133333,           0.050,           0.115,           0.048
      10,          0.150000,           0.089,           0.174,           0.061
      11,          0.166667,           0.079,           0.181,           0.079
      12,          0.183333,           0.098,           0.226,           0.100
      13,          0.200000,          -0.002,           0.025,           0.126
      14,          0.216667,           0.009,           0.737,          -0.013
      15,          0.233333,           0.009,           0.184,           0.058
      16,          0.250000,          -0.008,           0.033,           0.299
      17,          0.266667,          -0.008,           0.096,           0.344
      18,          0.283333,          -0.008,          -0.133,           0.374
      19,          0.300000,          -0.008,           0.976,           0.452
      20,          0.316667,          -0.008,          -0.072,           0.545
      21,          0.333333,          -0.008,           0.891,           0.638
      22,          0.350000,          -0.008,           0.562,           0.716
      23,          0.366667,          -0.008,           1.036,           0.773
      24,          0.383333,          -0.008,          -0.874,           0.813
      25,          0.400000,          -0.008,           1.870,           0.838
      26,          0.416667,          -0.008,           2.488,           0.847
      27,          0.433333,          -0.008,           3.575,           0.844
      28,          0.450000,          -0.008,          -0.296,           0.839
      29,          0.466667,          -0.008,           5.789,           0.837
      30,          0.483333,          -0.008,           7.418,           0.831
      31,          0.500000,          -0.008,           8.693,           0.825
      32,          0.516667,          -0.008,           6.296,           0.815
      33,          0.533333,          -0.008,           7.139,           0.810
      34,          0.550000,          -0.008,           8.273,           0.811
      35,          0.566667,          -0.008,           9.347,           0.800
      36,          0.583333,          -0.008,          10.770,           0.789
      37,          0.600000,          -0.008,          12.243,           0.780
      38,          0.616667,          -0.008,          13.859,           0.763
      39,          0.633333,          -0.008,          16.090,           0.744
      40,          0.650000,          -0.008,          18.603,           0.718
      41,          0.666667,          -0.007,          21.504,           0.699
      42,          0.683333,          -0.007,          24.301,           0.666
      43,          0.700000,          -0.006,          26.838,           0.638
      44,          0.716667,          -0.006,          29.382,           0.614
      45,          0.733333,          -0.007,          31.700,           0.594
      46,          0.750000,          -0.005,          34.041,           0.580
      47,          0.766667,          -0.005,          36.600,           0.560
      48,          0.783333,          -0.006,          39.618,           0.539
      49,          0.800000,           0.020,          43.252,           0.522
      50,          0.816667,           0.023,          47.362,           0.507
      51,          0.833333,          -0.122,          51.111,           0.491
      52,          0.850000,          -0.365,          54.248,           0.472
      53,          0.866667,          -0.586,          56.742,           0.454
      54,          0.883333,          -0.747,          58.777,           0.435
      55,          0.900000,          -0.886,          60.485,           0.420
      56,          0.916667,          -0.991,          61.974,           0.406
      57,          0.933333,          -1.055,          63.267,           0.392
      58,          0.950000,          -1.090,          64.431,           0.377
      59,          0.966667,          -1.099,          65.474,           0.357
      60,          0.983333,          -1.086,          66.417,           0.341
      61,          1.000000,          -1.063,          67.278,           0.334
