"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time (h)","Vol RL_06 [EG02_014]"
       1,          0.000000,           0.004
       2,          0.016667,           0.077
       3,          0.033333,           0.169
       4,          0.050000,           0.306
       5,          0.066667,           0.618
       6,          0.083333,           1.215
       7,          0.100000,           2.245
       8,          0.116667,           3.581
       9,          0.133333,           5.502
      10,          0.150000,           8.024
      11,          0.166667,          12.908
      12,          0.183333,          21.505
      13,          0.200000,          31.400
      14,          0.216667,          32.376
      15,          0.233333,          33.563
      16,          0.250000,          35.744
      17,          0.266667,          36.832
      18,          0.283333,          37.473
      19,          0.300000,          38.633
      20,          0.316667,          40.072
      21,          0.333333,          41.419
      22,          0.350000,          42.880
      23,          0.366667,          44.371
      24,          0.383333,          45.748
      25,          0.400000,          47.185
      26,          0.416667,          48.526
      27,          0.433333,          49.728
      28,          0.450000,          50.848
      29,          0.466667,          51.845
      30,          0.483333,          52.806
      31,          0.500000,          53.702
      32,          0.516667,          54.518
      33,          0.533333,          55.310
      34,          0.550000,          56.033
      35,          0.566667,          56.744
      36,          0.583333,          57.383
      37,          0.600000,          58.000
      38,          0.616667,          58.568
      39,          0.633333,          59.106
      40,          0.650000,          59.606
      41,          0.666667,          60.083
      42,          0.683333,          60.525
      43,          0.700000,          60.941
      44,          0.716667,          61.346
      45,          0.733333,          61.722
      46,          0.750000,          62.098
      47,          0.766667,          62.443
      48,          0.783333,          62.774
      49,          0.800000,          63.095
      50,          0.816667,          63.401
      51,          0.833333,          63.698
      52,          0.850000,          63.975
      53,          0.866667,          64.242
      54,          0.883333,          64.492
      55,          0.900000,          64.735
      56,          0.916667,          64.971
      57,          0.933333,          65.192
      58,          0.950000,          65.402
      59,          0.966667,          65.600
      60,          0.983333,          65.789
      61,          1.000000,          65.974
      62,          1.016667,          66.150
      63,          1.033333,          66.315
      64,          1.050000,          66.469
      65,          1.066667,          66.617
      66,          1.083333,          66.762
      67,          1.100000,          66.902
      68,          1.116667,          67.032
      69,          1.133333,          67.156
      70,          1.150000,          67.279
      71,          1.166667,          67.400
      72,          1.183333,          67.512
      73,          1.200000,          67.620
      74,          1.216667,          67.719
      75,          1.233333,          67.814
      76,          1.250000,          67.911
      77,          1.266667,          68.006
      78,          1.283333,          68.095
      79,          1.300000,          68.175
      80,          1.316667,          68.257
      81,          1.333333,          68.341
      82,          1.350000,          68.417
      83,          1.366667,          68.492
      84,          1.383333,          68.564
      85,          1.400000,          68.635
      86,          1.416667,          68.705
      87,          1.433333,          68.773
      88,          1.450000,          68.836
      89,          1.466667,          68.902
      90,          1.483333,          68.966
      91,          1.500000,          69.025
      92,          1.516667,          69.087
      93,          1.533333,          69.144
      94,          1.550000,          69.200
      95,          1.566667,          69.257
      96,          1.583333,          69.311
      97,          1.600000,          69.364
      98,          1.616667,          69.416
      99,          1.633333,          69.464
     100,          1.650000,          69.512
     101,          1.666667,          69.560
     102,          1.683333,          69.606
     103,          1.700000,          69.652
     104,          1.716667,          69.694
     105,          1.733333,          69.737
     106,          1.750000,          69.780
     107,          1.766667,          69.821
     108,          1.783333,          69.858
     109,          1.800000,          69.896
     110,          1.816667,          69.935
     111,          1.833333,          69.970
     112,          1.850000,          70.006
     113,          1.866667,          70.039
     114,          1.883333,          70.074
     115,          1.900000,          70.109
     116,          1.916667,          70.139
     117,          1.933333,          70.171
     118,          1.950000,          70.202
     119,          1.966667,          70.231
     120,          1.983333,          70.261
     121,          2.000000,          70.289
     122,          2.016667,          70.316
     123,          2.033334,          70.344
     124,          2.050000,          70.369
     125,          2.066667,          70.393
     126,          2.083333,          70.418
     127,          2.100000,          70.442
     128,          2.116667,          70.466
     129,          2.133333,          70.488
     130,          2.150000,          70.509
     131,          2.166667,          70.532
     132,          2.183333,          70.553
     133,          2.200000,          70.571
     134,          2.216667,          70.590
     135,          2.233333,          70.609
     136,          2.250000,          70.628
     137,          2.266667,          70.645
     138,          2.283334,          70.660
     139,          2.300000,          70.676
     140,          2.316667,          70.693
     141,          2.333333,          70.707
     142,          2.350000,          70.720
     143,          2.366667,          70.733
     144,          2.383333,          70.746
     145,          2.400000,          70.758
     146,          2.416667,          70.770
     147,          2.433333,          70.780
     148,          2.450000,          70.791
     149,          2.466667,          70.801
     150,          2.483333,          70.810
     151,          2.500000,          70.819
     152,          2.516667,          70.828
     153,          2.533334,          70.837
     154,          2.550000,          70.844
     155,          2.566667,          70.852
     156,          2.583333,          70.860
     157,          2.600000,          70.867
     158,          2.616667,          70.873
     159,          2.633333,          70.880
     160,          2.650000,          70.886
     161,          2.666667,          70.893
     162,          2.683333,          70.898
     163,          2.700000,          70.904
     164,          2.716667,          70.909
     165,          2.733334,          70.914
     166,          2.750000,          70.918
     167,          2.766667,          70.923
     168,          2.783334,          70.927
     169,          2.800000,          70.932
     170,          2.816667,          70.936
     171,          2.833333,          70.940
     172,          2.850000,          70.943
     173,          2.866667,          70.947
     174,          2.883333,          70.950
     175,          2.900000,          70.954
     176,          2.916667,          70.957
     177,          2.933333,          70.960
     178,          2.950000,          70.964
     179,          2.966667,          70.966
     180,          2.983334,          70.969
     181,          3.000000,          70.972
