"EG02_019 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_019.tcf]","Time (h)","G Gauge1 [EG02_019]"
           1,        0.000000,         37.6996
           2,        0.016667,         37.6996
           3,        0.033333,         37.6996
           4,        0.050000,         37.6996
           5,        0.066667,         37.6996
           6,        0.083333,         37.6996
           7,        0.100000,         37.6996
           8,        0.116667,         37.6996
           9,        0.133333,         37.6996
          10,        0.150000,         37.6996
          11,        0.166667,         37.6996
          12,        0.183333,         37.6996
          13,        0.200000,         37.6996
          14,        0.216667,         37.6996
          15,        0.233333,         37.6996
          16,        0.250000,         37.6996
          17,        0.266667,         37.6996
          18,        0.283333,         37.6996
          19,        0.300000,         37.6996
          20,        0.316667,         37.6996
          21,        0.333333,         37.6996
          22,        0.350000,         37.6996
          23,        0.366667,         37.6996
          24,        0.383333,         37.6996
          25,        0.400000,         37.6996
          26,        0.416667,         37.6996
          27,        0.433333,         37.6996
          28,        0.450000,         37.6996
          29,        0.466667,         37.6996
          30,        0.483333,         37.6996
          31,        0.500000,         37.6996
          32,        0.516667,         37.6996
          33,        0.533333,         37.6996
          34,        0.550000,         37.6996
          35,        0.566667,         37.6996
          36,        0.583333,         37.6996
          37,        0.600000,         37.6996
          38,        0.616667,         37.6996
          39,        0.633333,         37.6996
          40,        0.650000,         37.6996
          41,        0.666667,         37.6996
          42,        0.683333,         37.6996
          43,        0.700000,         38.7433
          44,        0.716667,         40.0448
          45,        0.733333,         40.6114
          46,        0.750000,         41.0675
          47,        0.766667,         41.4250
          48,        0.783333,         41.7159
          49,        0.800000,         41.9535
          50,        0.816667,         42.1471
          51,        0.833333,         42.3082
          52,        0.850000,         42.4442
          53,        0.866667,         42.5633
          54,        0.883333,         42.6700
          55,        0.900000,         42.7631
          56,        0.916667,         42.8425
          57,        0.933333,         42.9088
          58,        0.950000,         42.9652
          59,        0.966667,         43.0104
          60,        0.983333,         43.0485
          61,        1.000000,         43.0868
          62,        1.016667,         43.1174
          63,        1.033333,         43.1419
          64,        1.050000,         43.1601
          65,        1.066667,         43.1758
          66,        1.083333,         43.1877
          67,        1.100000,         43.1972
          68,        1.116667,         43.2045
          69,        1.133333,         43.2099
          70,        1.150000,         43.2139
          71,        1.166667,         43.2162
          72,        1.183333,         43.2173
          73,        1.200000,         43.2172
          74,        1.216667,         43.2161
          75,        1.233333,         43.2143
          76,        1.250000,         43.2118
          77,        1.266667,         43.2087
          78,        1.283333,         43.2050
          79,        1.300000,         43.2010
          80,        1.316667,         43.1965
          81,        1.333333,         43.1916
          82,        1.350000,         43.1861
          83,        1.366667,         43.1802
          84,        1.383333,         43.1738
          85,        1.400000,         43.1672
          86,        1.416667,         43.1607
          87,        1.433333,         43.1539
          88,        1.450000,         43.1467
          89,        1.466667,         43.1390
          90,        1.483333,         43.1310
          91,        1.500000,         43.1228
          92,        1.516667,         43.1146
          93,        1.533333,         43.1063
          94,        1.550000,         43.0983
          95,        1.566667,         43.0907
          96,        1.583333,         43.0831
          97,        1.600000,         43.0753
          98,        1.616667,         43.0674
          99,        1.633333,         43.0594
         100,        1.650000,         43.0515
         101,        1.666667,         43.0436
         102,        1.683333,         43.0359
         103,        1.700000,         43.0285
         104,        1.716667,         43.0215
         105,        1.733333,         43.0148
         106,        1.750000,         43.0084
         107,        1.766667,         43.0023
         108,        1.783333,         42.9965
         109,        1.800000,         42.9906
         110,        1.816667,         42.9849
         111,        1.833333,         42.9792
         112,        1.850000,         42.9738
         113,        1.866667,         42.9685
         114,        1.883333,         42.9634
         115,        1.900000,         42.9584
         116,        1.916667,         42.9536
         117,        1.933333,         42.9493
         118,        1.950000,         42.9450
         119,        1.966667,         42.9407
         120,        1.983333,         42.9366
         121,        2.000000,         42.9327
         122,        2.016667,         42.9289
         123,        2.033333,         42.9254
         124,        2.050000,         42.9220
         125,        2.066667,         42.9187
         126,        2.083333,         42.9156
         127,        2.100000,         42.9126
         128,        2.116667,         42.9097
         129,        2.133333,         42.9069
         130,        2.150000,         42.9041
         131,        2.166667,         42.9014
         132,        2.183333,         42.8987
         133,        2.200000,         42.8959
         134,        2.216667,         42.8931
         135,        2.233333,         42.8902
         136,        2.250000,         42.8873
         137,        2.266667,         42.8843
         138,        2.283333,         42.8814
         139,        2.300000,         42.8786
         140,        2.316667,         42.8758
         141,        2.333333,         42.8731
         142,        2.350000,         42.8704
         143,        2.366667,         42.8678
         144,        2.383333,         42.8651
         145,        2.400000,         42.8626
         146,        2.416667,         42.8601
         147,        2.433333,         42.8575
         148,        2.450000,         42.8550
         149,        2.466667,         42.8526
         150,        2.483333,         42.8503
         151,        2.500000,         42.8480
         152,        2.516667,         42.8456
         153,        2.533333,         42.8433
         154,        2.550000,         42.8411
         155,        2.566667,         42.8390
         156,        2.583333,         42.8368
         157,        2.600000,         42.8346
         158,        2.616667,         42.8325
         159,        2.633333,         42.8304
         160,        2.650000,         42.8284
         161,        2.666667,         42.8263
         162,        2.683333,         42.8240
         163,        2.700000,         42.8218
         164,        2.716667,         42.8197
         165,        2.733333,         42.8175
         166,        2.750000,         42.8154
         167,        2.766667,         42.8132
         168,        2.783333,         42.8110
         169,        2.800000,         42.8088
         170,        2.816667,         42.8066
         171,        2.833333,         42.8044
         172,        2.850000,         42.8022
         173,        2.866667,         42.7999
         174,        2.883333,         42.7976
         175,        2.900000,         42.7954
         176,        2.916667,         42.7931
         177,        2.933333,         42.7909
         178,        2.950000,         42.7886
         179,        2.966667,         42.7863
         180,        2.983333,         42.7840
         181,        3.000000,         42.7817

