"EG04_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_004.tcf]","Time (h)","H ds1.1 [EG04_004]","H ds1.2 [EG04_004]","H ds2.2 [EG04_004]","H ds3.2 [EG04_004]","H ds4.2 [EG04_004]","H ds5.2 [EG04_004]","H ds6.2 [EG04_004]","H FC01.01.1 [EG04_004]","H FC01.02.1 [EG04_004]","H FC01.03.1 [EG04_004]","H FC01.04.1 [EG04_004]","H FC01.05.1 [EG04_004]","H FC01.06.1 [EG04_004]","H FC01.07.1 [EG04_004]","H FC01.08.1 [EG04_004]","H FC01.09.1 [EG04_004]","H FC01.12.1 [EG04_004]","H FC01.12.2 [EG04_004]","H FC01.13.1 [EG04_004]","H FC01.14.1 [EG04_004]","H FC01.15.1 [EG04_004]","H FC01.16.1 [EG04_004]","H FC01.17.1 [EG04_004]","H FC01.18.1 [EG04_004]","H FC01.19.1 [EG04_004]","H FC01.1_R.1 [EG04_004]","H FC01.1_R.2 [EG04_004]","H FC01.20.1 [EG04_004]","H FC01.21.1 [EG04_004]","H FC01.22.1 [EG04_004]","H FC01.23.1 [EG04_004]","H FC01.24.1 [EG04_004]","H FC01.25.1 [EG04_004]","H FC01.26.1 [EG04_004]","H FC01.27.1 [EG04_004]","H FC01.28A.1 [EG04_004]","H FC01.28B.1 [EG04_004]","H FC01.29.1 [EG04_004]","H FC01.30.1 [EG04_004]","H FC01.31.1 [EG04_004]","H FC01.32.1 [EG04_004]","H FC01.33.1 [EG04_004]","H FC01.36.1 [EG04_004]","H FC01.37.1 [EG04_004]","H FC01.38.1 [EG04_004]","H FC01.39.1 [EG04_004]","H FC01.40.1 [EG04_004]","H FC02.01.1 [EG04_004]","H FC02.02.1 [EG04_004]","H FC02.03.1 [EG04_004]","H FC02.04.1 [EG04_004]","H FC02.05.1 [EG04_004]","H FC02.06.1 [EG04_004]"
       1,          0.000000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1649,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3068,     44.6057,     45.0163,     45.9790,     48.5390,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
       2,          0.016667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1649,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3068,     44.6057,     45.0184,     45.9975,     48.6413,     39.9741,     40.3990,     40.7690,     40.4990,     40.5000,     43.6837
       3,          0.033333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1649,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3084,     44.6077,     45.0366,     46.0508,     48.7250,     39.9741,     40.3990,     40.7690,     40.4991,     40.5067,     43.7273
       4,          0.050000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1691,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3100,     44.6100,     45.0666,     46.1329,     48.7702,     39.9741,     40.3990,     40.7690,     40.5003,     40.5268,     43.7628
       5,          0.066667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1714,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3105,     44.6220,     45.1124,     46.2141,     48.7919,     39.9741,     40.3990,     40.7690,     40.5060,     40.5615,     43.7843
       6,          0.083333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1730,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3120,     44.6467,     45.1722,     46.2871,     48.8065,     39.9741,     40.3990,     40.7690,     40.5218,     40.6033,     43.7902
       7,          0.100000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1746,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3188,     44.6908,     45.2421,     46.3657,     48.8478,     39.9741,     40.3990,     40.7690,     40.5526,     40.6479,     43.7938
       8,          0.116667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1766,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3382,     44.7620,     45.3295,     46.4581,     48.9024,     39.9741,     40.3990,     40.7690,     40.6038,     40.6936,     43.7926
       9,          0.133333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.1826,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.3832,     44.8725,     45.4412,     46.5590,     48.9484,     39.9741,     40.3990,     40.7690,     40.6748,     40.7361,     43.7853
      10,          0.150000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.2118,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.4866,     45.0407,     45.5654,     46.6562,     48.9830,     39.9741,     40.3990,     40.7690,     40.7502,     40.7774,     43.7744
