"EG04_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_004.tcf]","Time (h)","SQ FC01.1_R [EG04_004]","SQ FC01.2_R [EG04_004]","SQ FC02.04 [EG04_004]","SQ FC_weir1 [EG04_004]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0781,      0.0000,      0.0000,      0.0000
      13,          0.200000,      1.1123,      0.0000,      0.0000,      0.0000
      14,          0.216667,      1.8474,      0.0000,      0.0000,      0.0000
      15,          0.233333,      2.4462,      0.0000,      0.0000,      0.8628
      16,          0.250000,      2.9442,      0.0000,      0.0000,      2.4687
      17,          0.266667,      3.3636,      0.0000,      0.0000,      3.1233
      18,          0.283333,      3.7342,      0.0000,      0.0000,      3.5459
      19,          0.300000,      4.1020,      0.0000,      0.0000,      3.9195
      20,          0.316667,      4.5035,      0.0000,      0.0000,      4.3089
      21,          0.333333,      4.9536,      0.0000,      0.0000,      4.7404
      22,          0.350000,      5.4459,      0.0000,      0.0000,      5.2169
      23,          0.366667,      5.9980,      0.0000,      0.0000,      5.7417
      24,          0.383333,      6.6688,      0.0000,      0.0000,      6.3623
      25,          0.400000,      7.4790,      0.0000,      0.0000,      7.1190
      26,          0.416667,      8.3982,      0.0000,      0.0000,      8.0017
      27,          0.433333,      9.3849,      0.0000,      0.0000,      8.9709
      28,          0.450000,     10.4528,      0.0000,      0.0000,     10.0043
      29,          0.466667,     11.7955,      0.1934,      0.0000,     11.2379
      30,          0.483333,     13.4314,      2.0127,      0.0000,     12.7825
      31,          0.500000,     15.2679,      3.7122,      0.0000,     14.5642
      32,          0.516667,     17.2808,      4.9121,      0.0000,     16.5130
      33,          0.533333,     20.1236,      5.9756,      0.0000,     19.0067
      34,          0.550000,     24.4954,      7.0616,      0.0000,     22.8521
      35,          0.566667,     29.6022,      8.1999,      0.3410,     27.5937
      36,          0.583333,     34.5374,      9.4002,      1.5760,     32.1607
      37,          0.600000,     38.0835,     11.1739,      3.1210,     36.3502
      38,          0.616667,     40.6609,     13.2155,      4.4406,     39.3177
      39,          0.633333,     42.8750,     15.7131,      5.4049,     41.8391
      40,          0.650000,     44.6667,     18.3951,      6.1131,     43.8407
      41,          0.666667,     46.0196,     22.1297,      6.6662,     45.4051
      42,          0.683333,     47.5166,     26.2927,      7.1125,     46.8420
      43,          0.700000,     48.9359,     30.6742,      7.4390,     48.3354
      44,          0.716667,     50.2919,     34.8266,      7.6989,     49.6766
      45,          0.733333,     53.8176,     38.6202,      7.9231,     53.2193
      46,          0.750000,     57.4637,     42.1395,      8.1306,     61.4155
      47,          0.766667,     60.2503,     45.4063,      8.3059,     69.5597
      48,          0.783333,     62.0899,     48.6568,      8.4270,     73.1935
      49,          0.800000,     63.2509,     52.2366,      8.5224,     76.2277
      50,          0.816667,     63.9955,     54.2375,      8.6052,     78.1755
      51,          0.833333,     64.5077,     56.7816,      8.6828,     79.5088
      52,          0.850000,     64.8823,     59.4982,      8.7392,     80.4664
      53,          0.866667,     65.1155,     62.1022,      8.7749,     81.1644
      54,          0.883333,     65.2685,     64.4275,      8.8013,     81.5762
      55,          0.900000,     65.3752,     66.3643,      8.8275,     81.8463
      56,          0.916667,     65.4601,     67.9800,      8.8462,     82.0496
      57,          0.933333,     65.5302,     69.3413,      8.8611,     82.2163
      58,          0.950000,     65.5743,     70.5177,      8.8643,     82.3364
      59,          0.966667,     65.5819,     71.4832,      8.8643,     82.3832
      60,          0.983333,     65.5774,     72.3285,      8.8586,     82.3800
      61,          1.000000,     65.5591,     73.0635,      8.8503,     82.3494
      62,          1.016667,     65.5353,     73.7127,      8.8323,     82.3053
      63,          1.033333,     65.4718,     74.2925,      8.7980,     82.2032
      64,          1.050000,     65.3702,     74.8113,      8.7576,     82.0085
      65,          1.066667,     65.2499,     75.2795,      8.7091,     81.7568
      66,          1.083333,     65.1167,     75.7078,      8.6587,     81.4754
      67,          1.100000,     64.9687,     76.0977,      8.5855,     81.1622
      68,          1.116667,     64.7247,     76.4546,      8.4827,     80.6566
      69,          1.133333,     64.4114,     76.7805,      8.3658,     79.9894
      70,          1.150000,     64.0630,     77.0782,      8.2387,     79.2347
      71,          1.166667,     63.6949,     77.3472,      8.1126,     78.4238
      72,          1.183333,     63.3125,     77.5885,      7.9790,     77.6374
      73,          1.200000,     62.9029,     77.8022,      7.8304,     76.8921
      74,          1.216667,     62.4505,     77.9905,      7.6709,     76.0034
      75,          1.233333,     61.9657,     78.1551,      7.5120,     74.9282
      76,          1.250000,     61.4821,     78.2969,      7.3495,     73.8882
      77,          1.266667,     60.9758,     78.4151,      7.1740,     72.9053
      78,          1.283333,     60.4108,     78.5115,      6.9775,     71.4654
      79,          1.300000,     59.7772,     78.5864,      6.7710,     70.4292
      80,          1.316667,     59.1007,     78.6404,      6.5572,     69.1351
      81,          1.333333,     58.3998,     78.6721,      6.3439,     68.6468
      82,          1.350000,     57.6717,     78.6811,      6.1338,     66.5896
      83,          1.366667,     56.9332,     78.6691,      5.9266,     64.9654
      84,          1.383333,     56.1864,     78.6375,      5.7206,     63.2150
      85,          1.400000,     55.4220,     78.5816,      5.5139,     61.6544
      86,          1.416667,     54.6375,     78.5000,      5.3086,     60.3006
      87,          1.433333,     53.8325,     78.3936,      5.1066,     56.8321
      88,          1.450000,     53.0146,     78.2640,      4.9079,     54.7669
      89,          1.466667,     52.1804,     78.1083,      4.7139,     53.3980
      90,          1.483333,     51.3426,     77.9168,      4.5162,     52.2855
      91,          1.500000,     50.5694,     77.6918,      4.3210,     51.1725
      92,          1.516667,     50.0132,     77.4404,      4.1333,     50.3701
      93,          1.533333,     49.6275,     77.1660,      3.9538,     49.8483
      94,          1.550000,     49.1968,     76.8683,      3.7790,     49.3938
      95,          1.566667,     48.6963,     76.5504,      3.6037,     48.9079
      96,          1.583333,     48.1203,     76.2136,      3.4339,     48.3585
      97,          1.600000,     47.4630,     75.8598,      3.2860,     47.7311
      98,          1.616667,     46.7445,     75.4893,      3.1697,     47.0386
      99,          1.633333,     45.9623,     75.0946,      3.0711,     46.2839
     100,          1.650000,     45.1165,     74.6718,      2.9809,     45.4640
     101,          1.666667,     44.2041,     74.2222,      2.8976,     44.5809
     102,          1.683333,     43.2074,     73.7396,      2.8138,     43.6242
     103,          1.700000,     42.0775,     73.2154,      2.7228,     42.5488
     104,          1.716667,     40.7593,     72.6499,      2.6264,     41.3091
     105,          1.733333,     39.2254,     72.0326,      2.5272,     39.8713
     106,          1.750000,     37.3552,     71.3527,      2.4253,     38.1541
     107,          1.766667,     34.8255,     70.5948,      2.3322,     35.9065
     108,          1.783333,     31.9738,     69.6984,      2.2572,     33.2203
     109,          1.800000,     29.2985,     68.7602,      2.1954,     30.5286
     110,          1.816667,     26.6925,     67.6327,      2.1415,     27.9347
     111,          1.833333,     24.7202,     66.3121,      2.0929,     25.7055
     112,          1.850000,     23.3269,     64.7188,      2.0489,     24.0670
     113,          1.866667,     22.3258,     62.7064,      2.0109,     22.8720
     114,          1.883333,     21.5562,     60.1416,      1.9738,     21.9678
     115,          1.900000,     20.9576,     56.8064,      1.9418,     21.2708
     116,          1.916667,     20.4725,     45.3831,      1.9121,     20.7191
     117,          1.933333,     20.0302,     38.6453,      1.8829,     20.2449
     118,          1.950000,     19.6509,     35.5167,      1.8543,     19.8319
     119,          1.966667,     19.3177,     33.0154,      1.8258,     19.4732
     120,          1.983333,     19.0175,     30.9226,      1.7991,     19.1532
     121,          2.000000,     18.7361,     29.1466,      1.7757,     18.8629
     122,          2.016667,     18.4479,     27.6526,      1.7490,     18.5703
     123,          2.033334,     18.1588,     26.3749,      1.7188,     18.2789
     124,          2.050000,     17.8342,     25.2952,      1.6847,     17.9654
     125,          2.066667,     17.4817,     24.3849,      1.6496,     17.6214
     126,          2.083333,     17.1119,     23.5994,      1.6099,     17.2540
     127,          2.100000,     16.6980,     22.9135,      1.5705,     16.8517
     128,          2.116667,     16.2732,     22.3046,      1.5272,     16.4310
     129,          2.133333,     15.8271,     21.7412,      1.4825,     15.9923
     130,          2.150000,     15.3544,     21.2172,      1.4358,     15.5321
     131,          2.166667,     14.8571,     20.7092,      1.3878,     15.0409
     132,          2.183333,     14.3444,     20.1991,      1.3417,     14.5340
     133,          2.200000,     13.8490,     19.7053,      1.3037,     14.0355
     134,          2.216667,     13.4259,     19.2008,      1.2725,     13.5801
     135,          2.233333,     13.0859,     18.7066,      1.2453,     13.2111
     136,          2.250000,     12.8064,     18.2069,      1.2221,     12.9114
     137,          2.266667,     12.5656,     17.7127,      1.1992,     12.6578
     138,          2.283334,     12.3418,     17.2196,      1.1768,     12.4275
     139,          2.300000,     12.1141,     16.7390,      1.1545,     12.2013
     140,          2.316667,     11.8720,     16.2707,      1.1324,     11.9658
     141,          2.333333,     11.6244,     15.8368,      1.1088,     11.7204
     142,          2.350000,     11.3735,     15.4483,      1.0872,     11.4725
     143,          2.366667,     11.1302,     15.0669,      1.0658,     11.2269
     144,          2.383333,     10.9127,     14.7014,      1.0452,     10.9989
     145,          2.400000,     10.7180,     14.3573,      1.0295,     10.7962
     146,          2.416667,     10.5411,     14.0131,      1.0122,     10.6128
     147,          2.433333,     10.3730,     13.7023,      0.9962,     10.4429
     148,          2.450000,     10.2068,     13.3927,      0.9759,     10.2763
     149,          2.466667,     10.0267,     13.1129,      0.9557,     10.0997
     150,          2.483333,      9.8265,     12.8427,      0.9357,      9.9076
     151,          2.500000,      9.6087,     12.5867,      0.9126,      9.6973
     152,          2.516667,      9.3781,     12.3350,      0.8891,      9.4718
     153,          2.533334,      9.1400,     12.0963,      0.8651,      9.2374
     154,          2.550000,      8.8963,     11.8686,      0.8415,      8.9940
     155,          2.566667,      8.6476,     11.6346,      0.8182,      8.7515
     156,          2.583333,      8.3983,     11.4125,      0.7954,      8.5021
     157,          2.600000,      8.1456,     11.1819,      0.7728,      8.2504
     158,          2.616667,      7.9034,     10.9371,      0.7539,      8.0049
     159,          2.633333,      7.6799,     10.6758,      0.7363,      7.7738
     160,          2.650000,      7.4806,     10.4170,      0.7189,      7.5648
     161,          2.666667,      7.2997,     10.1863,      0.7018,      7.3774
     162,          2.683333,      7.1314,      9.9834,      0.6847,      7.2044
     163,          2.700000,      6.9658,      9.7221,      0.6680,      7.0381
     164,          2.716667,      6.7925,      9.5146,      0.6483,      6.8669
     165,          2.733334,      6.6019,      9.3142,      0.6279,      6.6848
     166,          2.750000,      6.3937,      9.1108,      0.6089,      6.4844
     167,          2.766667,      6.1745,      8.8626,      0.5891,      6.2711
     168,          2.783334,      5.9466,      8.6394,      0.5670,      6.0476
     169,          2.800000,      5.7106,      8.4075,      0.5442,      5.8154
     170,          2.816667,      5.4678,      8.1916,      0.5219,      5.5779
     171,          2.833333,      5.2207,      7.9756,      0.4994,      5.3324
     172,          2.850000,      4.9693,      7.7680,      0.4777,      5.0847
     173,          2.866667,      4.7195,      7.5553,      0.4568,      4.8350
     174,          2.883333,      4.4768,      7.3370,      0.4364,      4.5896
     175,          2.900000,      4.2443,      7.1128,      0.4159,      4.3556
     176,          2.916667,      4.0213,      6.8847,      0.3944,      4.1285
     177,          2.933333,      3.8064,      6.6532,      0.3754,      3.9094
     178,          2.950000,      3.5998,      6.4167,      0.3569,      3.6999
     179,          2.966667,      3.3998,      6.1832,      0.3389,      3.4990
     180,          2.983334,      3.2140,      5.9443,      0.3215,      3.3077
     181,          3.000000,      3.0377,      5.7101,      0.3052,      3.1260
