"EG04_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_005.tcf]","Time (h)","Q ds1 [EG04_005]","Q ds2 [EG04_005]","Q ds3 [EG04_005]","Q ds4 [EG04_005]","Q ds5 [EG04_005]","Q ds_weir [EG04_005]","Q FC01.01 [EG04_005]","Q FC01.02 [EG04_005]","Q FC01.03 [EG04_005]","Q FC01.04 [EG04_005]","Q FC01.05 [EG04_005]","Q FC01.06 [EG04_005]","Q FC01.07 [EG04_005]","Q FC01.08 [EG04_005]","Q FC01.09 [EG04_005]","Q FC01.12 [EG04_005]","Q FC01.13 [EG04_005]","Q FC01.14 [EG04_005]","Q FC01.15 [EG04_005]","Q FC01.16 [EG04_005]","Q FC01.17 [EG04_005]","Q FC01.18 [EG04_005]","Q FC01.19 [EG04_005]","Q FC01.1_R [EG04_005]","Q FC01.20 [EG04_005]","Q FC01.21 [EG04_005]","Q FC01.22 [EG04_005]","Q FC01.23 [EG04_005]","Q FC01.24 [EG04_005]","Q FC01.25 [EG04_005]","Q FC01.26 [EG04_005]","Q FC01.27 [EG04_005]","Q FC01.28A [EG04_005]","Q FC01.28B [EG04_005]","Q FC01.29 [EG04_005]","Q FC01.2_R [EG04_005]","Q FC01.30 [EG04_005]","Q FC01.31 [EG04_005]","Q FC01.32 [EG04_005]","Q FC01.33 [EG04_005]","Q FC01.34 [EG04_005]","Q FC01.36 [EG04_005]","Q FC01.37 [EG04_005]","Q FC01.38 [EG04_005]","Q FC01.39 [EG04_005]","Q FC01.40 [EG04_005]","Q FC02.01 [EG04_005]","Q FC02.02 [EG04_005]","Q FC02.03 [EG04_005]","Q FC02.04 [EG04_005]","Q FC02.05 [EG04_005]","Q FC02.06 [EG04_005]","Q FC_weir1 [EG04_005]","Q RD_weir [EG04_005]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.020,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,           0.155,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.045,           0.425,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.004,           0.122,           0.635,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.018,           0.254,           0.837,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.061,           0.445,           1.159,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.007,           0.176,           0.738,           1.614,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.036,           0.419,           1.168,           2.122,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.009,           0.189,           0.864,           1.702,           2.618,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.097,           0.680,           1.435,           2.262,           3.080,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.078,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.627,           1.382,           1.986,           2.799,           3.467,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           1.112,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.799,           1.331,           1.946,           2.515,           3.256,           3.736,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      14,          0.216667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           1.847,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.881,           2.001,           2.437,           2.973,           3.613,           3.974,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      15,          0.233333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           2.446,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.015,           0.365,           0.000,           1.928,           2.566,           2.899,           3.347,           3.905,           4.220,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.863,           0.000
      16,          0.250000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           2.944,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.000,           0.281,           1.694,           2.288,           0.000,           2.793,           3.040,           3.302,           3.672,           4.168,           4.482,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           2.469,           0.000
      17,          0.266667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           3.364,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.031,           0.747,           0.000,           2.526,           2.789,           3.044,           0.000,           3.279,           3.443,           3.660,           3.979,           4.448,           4.870,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           3.123,           0.000
      18,          0.283333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           3.734,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.006,           0.217,           1.539,           2.651,           0.000,           2.982,           3.300,           3.488,           0.000,           3.665,           3.807,           4.005,           4.314,           4.815,           5.382,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           3.546,           0.000
      19,          0.300000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           4.102,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.286,           1.689,           2.383,           2.859,           3.224,           0.000,           3.495,           3.718,           3.869,           0.000,           4.033,           4.177,           4.382,           4.712,           5.269,           5.920,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           3.920,           0.000
      20,          0.316667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           4.504,           0.000,           0.000,           0.001,           0.011,           0.544,           1.932,           2.909,           3.012,           3.188,           3.440,           3.688,           0.000,           3.919,           4.115,           4.259,           0.000,           4.428,           4.586,           4.809,           5.169,           5.775,           6.449,          -0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           4.309,           0.000
      21,          0.333333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           4.954,           0.000,           0.000,           1.300,           1.969,           3.170,           3.240,           3.484,           3.616,           3.734,           3.919,           4.127,           0.000,           4.346,           4.540,           4.687,           0.000,           4.871,           5.044,           5.281,           5.664,           6.298,           6.980,          -0.870,           0.000,           0.000,           0.000,           0.000,           0.000,           4.740,           0.000
      22,          0.350000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           5.446,           0.055,           1.233,           2.658,           2.627,           3.776,           3.838,           3.997,           4.109,           4.213,           4.384,           4.584,           0.000,           4.807,           5.006,           5.161,           0.000,           5.355,           5.542,           5.794,           6.204,           6.916,           7.830,          -0.691,          -0.117,           0.000,           0.000,           0.000,           0.000,           5.217,           0.000
      23,          0.366667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.006,           0.173,           5.998,           1.141,           2.269,           3.459,           3.678,           4.266,           4.349,           4.488,           4.596,           4.698,           4.869,           5.073,           0.000,           5.306,           5.515,           5.681,           0.000,           5.895,           6.110,           6.400,           6.883,           7.741,           8.854,          -0.408,          -0.173,           0.000,           0.000,           0.000,           0.000,           5.742,           0.000
