"EG05_015","Location","GW flow layer 1","GW flow layer 1","GW flow layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_015.tcf","Time","Loc1_L","Loc3_L","Loc2_L","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG05\EG05_015_PO.csv",        0.000000,          0.0000,          0.0000,          0.0000,         38.8089,  0.000    ,         35.9714,  0.000    ,         42.2559,  0.000    
,        0.016667,          0.0000,          0.0000,          0.0000,         38.8095, 0.5684E-03,         35.9774, 0.6020E-02,         42.2567, 0.8583E-03
,        0.033333,          0.0000,          0.0000,          0.0000,         38.8101, 0.1167E-02,         35.9774, 0.6039E-02,         42.2576, 0.1724E-02
,        0.050000,          0.0000,          0.0000,          0.0000,         38.8107, 0.1774E-02,         35.9774, 0.6062E-02,         42.2585, 0.2605E-02
,        0.066667,          0.0000,          0.0000,          0.0000,         38.8113, 0.2388E-02,         35.9774, 0.6081E-02,         42.2593, 0.3487E-02
,        0.083333,          0.0000,          0.0000,          0.0000,         38.8119, 0.3002E-02,         35.9775, 0.6100E-02,         42.2602, 0.4372E-02
,        0.100000,          0.0000,          0.0000,          0.0000,         38.8128, 0.3876E-02,         35.9775, 0.6119E-02,         42.2614, 0.5543E-02
,        0.116667,          0.0000,          0.0000,          0.0000,         38.8137, 0.4768E-02,         35.9775, 0.6142E-02,         42.2619, 0.6012E-02
,        0.133333,          0.0000,          0.0000,          0.0000,         38.8149, 0.6008E-02,         35.9775, 0.6161E-02,         42.2619, 0.6031E-02
,        0.150000,          0.0000,          0.0000,          0.0000,         38.8149, 0.6027E-02,         35.9775, 0.6180E-02,         42.2619, 0.6050E-02
,        0.166667,          0.0000,          0.0000,          0.0000,         38.8150, 0.6046E-02,         35.9776, 0.6199E-02,         42.2619, 0.6073E-02
,        0.183333,          0.0000,          0.0000,          0.0000,         38.8150, 0.6065E-02,         35.9776, 0.6222E-02,         42.2620, 0.6092E-02
,        0.200000,          0.0000,          0.0000,          0.0000,         38.8150, 0.6088E-02,         35.9776, 0.6241E-02,         42.2620, 0.6111E-02
,        0.216667,          0.0000,          0.0000,          0.0000,         38.8150, 0.6107E-02,         35.9776, 0.6260E-02,         42.2620, 0.6130E-02
,        0.233333,          0.0000,          0.0000,          0.0000,         38.8150, 0.6126E-02,         35.9776, 0.6279E-02,         42.2620, 0.6153E-02
,        0.250000,          0.0000,          0.0000,          0.0000,         38.8151, 0.6145E-02,         35.9777, 0.6302E-02,         42.2620, 0.6172E-02
,        0.266667,          0.0000,          0.0000,          0.0000,         38.8151, 0.6168E-02,         35.9777, 0.6321E-02,         42.2621, 0.6191E-02
,        0.283333,          0.0000,          0.0000,          0.0000,         38.8151, 0.6187E-02,         35.9777, 0.6340E-02,         42.2621, 0.6210E-02
,        0.300000,          0.0000,          0.0000,          0.0000,         38.8151, 0.6207E-02,         35.9777, 0.6359E-02,         42.2621, 0.6233E-02
,        0.316667,          0.0000,          0.0000,          0.0000,         38.8151, 0.6226E-02,         35.9777, 0.6378E-02,         42.2621, 0.6252E-02
,        0.333333,          0.0000,          0.0000,          0.0000,         38.8152, 0.6248E-02,         35.9778, 0.6401E-02,         42.2621, 0.6271E-02
,        0.350000,          0.0000,          0.0000,          0.0000,         38.8152, 0.6268E-02,         35.9778, 0.6420E-02,         42.2621, 0.6290E-02
,        0.366667,          0.0000,          0.0000,          0.0000,         38.8152, 0.6287E-02,         35.9778, 0.6439E-02,         42.2622, 0.6313E-02
,        0.383333,          0.0000,          0.0000,          0.0000,         38.8152, 0.6306E-02,         35.9778, 0.6458E-02,         42.2622, 0.6332E-02
,        0.400000,          0.0000,          0.0000,          0.0000,         38.8152, 0.6329E-02,         35.9778, 0.6481E-02,         42.2622, 0.6351E-02
,        0.416667,          0.0000,          0.0000,          0.0000,         38.8153, 0.6348E-02,         35.9779, 0.6500E-02,         42.2622, 0.6371E-02
,        0.433333,          0.0000,          0.0000,          0.0000,         38.8153, 0.6367E-02,         35.9779, 0.6519E-02,         42.2623, 0.6393E-02
,        0.450000,          0.0000,          0.0000,          0.0000,         38.8153, 0.6386E-02,         35.9779, 0.6538E-02,         42.2623, 0.6413E-02
,        0.466667,          0.0000,          0.0000,          0.0000,         38.8153, 0.6405E-02,         35.9779, 0.6561E-02,         42.2623, 0.6432E-02
,        0.483333,          0.0000,          0.0000,          0.0000,         38.8153, 0.6428E-02,         35.9779, 0.6580E-02,         42.2623, 0.6451E-02
,        0.500000,          0.0000,          0.0000,          0.0000,         38.8154, 0.6447E-02,         35.9780, 0.6599E-02,         42.2623, 0.6474E-02
,        0.516667,          0.0000,          0.0000,          0.0000,         38.8154, 0.6466E-02,         35.9780, 0.6618E-02,         42.2624, 0.6493E-02
,        0.533333,          0.0000,          0.0000,          0.0000,         38.8154, 0.6485E-02,         35.9780, 0.6641E-02,         42.2624, 0.6512E-02
,        0.550000,          0.0000,          0.0000,          0.0000,         38.8154, 0.6508E-02,         35.9780, 0.6660E-02,         42.2624, 0.6531E-02
,        0.566667,          0.0000,          0.0000,          0.0000,         38.8154, 0.6527E-02,         35.9780, 0.6680E-02,         42.2624, 0.6554E-02
,        0.583333,          0.0000,          0.0000,          0.0000,         38.8155, 0.6546E-02,         35.9781, 0.6699E-02,         42.2624, 0.6573E-02
,        0.600000,          0.0000,          0.0000,          0.0000,         38.8155, 0.6565E-02,         35.9781, 0.6721E-02,         42.2625, 0.6592E-02
,        0.616667,          0.0000,          0.0000,          0.0000,         38.8155, 0.6588E-02,         35.9781, 0.6741E-02,         42.2625, 0.6611E-02
,        0.633333,          0.0000,          0.0000,          0.0000,         38.8155, 0.6607E-02,         35.9781, 0.6760E-02,         42.2625, 0.6634E-02
,        0.650000,          0.0000,          0.0000,          0.0000,         38.8155, 0.6626E-02,         35.9781, 0.6779E-02,         42.2625, 0.6653E-02
,        0.666667,          0.0000,          0.0000,          0.0000,         38.8156, 0.6645E-02,         35.9782, 0.6802E-02,         42.2625, 0.6672E-02
,        0.683333,          0.0000,          0.0000,          0.0000,         38.8156, 0.6668E-02,         35.9782, 0.6821E-02,         42.2626, 0.6691E-02
,        0.700000,          0.0000,          0.0000,          0.0000,         38.8156, 0.6687E-02,         35.9782, 0.6840E-02,         42.2626, 0.6710E-02
,        0.716667,          0.0000,          0.0000,          0.0000,         38.8156, 0.6706E-02,         35.9782, 0.6859E-02,         42.2626, 0.6733E-02
,        0.733333,          0.0000,          0.0000,          0.0000,         38.8156, 0.6725E-02,         35.9782, 0.6882E-02,         42.2626, 0.6752E-02
,        0.750000,          0.0000,          0.0000,          0.0000,         38.8157, 0.6748E-02,         35.9783, 0.6901E-02,         42.2626, 0.6771E-02
,        0.766667,          0.0000,          0.0000,          0.0000,         38.8157, 0.6767E-02,         35.9783, 0.6920E-02,         42.2626, 0.6790E-02
,        0.783333,          0.0000,          0.0000,          0.0000,         38.8157, 0.6786E-02,         35.9783, 0.6939E-02,         42.2627, 0.6813E-02
