"EG05_017","Location","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf","Time","Loc1_L","Loc1_L","Loc3_L","Loc3_L","Loc2_L","Loc2_L","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG05\EG05_017_PO.csv",        0.000000,  0.000    ,  0.000    ,  0.000    ,  0.000    ,  0.000    ,  0.000    ,         38.8089,         38.7089,          0.0000,          0.0000,         35.9714,         35.8714,          0.0000,          0.0000,         42.2559,         42.1559,          0.0000,          0.0000
,        0.016667, 0.4878E-04, 0.3684E-07, 0.5063E-04, 0.3560E-07, 0.4814E-04, 0.3251E-07,         38.8092,         38.7095,          0.0003,          0.0006,         35.9774,         35.8720,          0.0060,          0.0007,         42.2564,         42.1565,          0.0005,          0.0007
,        0.033333, 0.9950E-04, 0.7394E-07, 0.8795E-04, 0.7146E-07, 0.9671E-04, 0.6524E-07,         38.8095,         38.7102,          0.0005,          0.0013,         35.9774,         35.8727,          0.0060,          0.0013,         42.2569,         42.1572,          0.0011,          0.0013
,        0.050000, 0.1536E-03, 0.1115E-06, 0.1270E-03, 0.1078E-06, 0.1473E-03, 0.9836E-07,         38.8097,         38.7109,          0.0008,          0.0019,         35.9774,         35.8734,          0.0060,          0.0020,         42.2575,         42.1579,          0.0017,          0.0020
,        0.066667, 0.2097E-03, 0.1492E-06, 0.1667E-03, 0.1442E-06, 0.1988E-03, 0.1317E-06,         38.8101,         38.7115,          0.0011,          0.0026,         35.9774,         35.8740,          0.0060,          0.0027,         42.2581,         42.1585,          0.0023,          0.0027
,        0.083333, 0.2667E-03, 0.1870E-06, 0.2060E-03, 0.1807E-06, 0.2503E-03, 0.1650E-06,         38.8104,         38.7122,          0.0014,          0.0033,         35.9774,         35.8747,          0.0060,          0.0033,         42.2588,         42.1592,          0.0029,          0.0033
,        0.100000, 0.3535E-03, 0.2250E-06, 0.2694E-03, 0.2175E-06, 0.3291E-03, 0.1985E-06,         38.8109,         38.7129,          0.0020,          0.0039,         35.9774,         35.8754,          0.0060,          0.0040,         42.2597,         42.1599,          0.0038,          0.0040
,        0.116667, 0.4424E-03, 0.2627E-06, 0.3329E-03, 0.2539E-06, 0.4085E-03, 0.2318E-06,         38.8116,         38.7135,          0.0026,          0.0046,         35.9774,         35.8760,          0.0060,          0.0047,         42.2606,         42.1605,          0.0048,          0.0047
,        0.133333, 0.5337E-03, 0.3006E-06, 0.3971E-03, 0.2906E-06, 0.4892E-03, 0.2652E-06,         38.8122,         38.7142,          0.0033,          0.0053,         35.9774,         35.8767,          0.0060,          0.0053,         42.2616,         42.1612,          0.0057,          0.0053
,        0.150000, 0.6245E-03, 0.3384E-06, 0.4600E-03, 0.3271E-06, 0.5668E-03, 0.2985E-06,         38.8135,         38.7149,          0.0046,          0.0059,         35.9774,         35.8774,          0.0060,          0.0060,         42.2619,         42.1619,          0.0060,          0.0060
,        0.166667, 0.7047E-03, 0.3762E-06, 0.5226E-03, 0.3636E-06, 0.5908E-03, 0.3319E-06,         38.8149,         38.7155,          0.0060,          0.0066,         35.9774,         35.8780,          0.0060,          0.0067,         42.2619,         42.1625,          0.0060,          0.0067
,        0.183333, 0.7231E-03, 0.4140E-06, 0.5966E-03, 0.4002E-06, 0.5975E-03, 0.3652E-06,         38.8149,         38.7162,          0.0060,          0.0073,         35.9774,         35.8787,          0.0060,          0.0073,         42.2619,         42.1632,          0.0060,          0.0073
,        0.200000, 0.7158E-03, 0.4519E-06, 0.6573E-03, 0.4368E-06, 0.5977E-03, 0.3986E-06,         38.8149,         38.7169,          0.0060,          0.0079,         35.9775,         35.8794,          0.0061,          0.0080,         42.2619,         42.1639,          0.0060,          0.0080
,        0.216667, 0.7048E-03, 0.4901E-06, 0.6642E-03, 0.4737E-06, 0.5986E-03, 0.4323E-06,         38.8149,         38.7175,          0.0060,          0.0086,         35.9776,         35.8800,          0.0063,          0.0087,         42.2619,         42.1645,          0.0060,          0.0087
,        0.233333, 0.6833E-03, 0.5276E-06, 0.6561E-03, 0.5099E-06, 0.5981E-03, 0.4654E-06,         38.8149,         38.7182,          0.0060,          0.0093,         35.9778,         35.8807,          0.0064,          0.0093,         42.2619,         42.1652,          0.0060,          0.0093
