"EG05_016 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_016.tcf]","Time (h)","GWd1 Loc1_P [EG05_016]","GWd1 Loc8_P [EG05_016]","GWd1 Loc10_P [EG05_016]"
           1,        0.000000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0006,          0.0061,          0.0009
           3,        0.033333,          0.0012,          0.0062,          0.0018
           4,        0.050000,          0.0018,          0.0064,          0.0027
           5,        0.066667,          0.0025,          0.0066,          0.0037
           6,        0.083333,          0.0032,          0.0069,          0.0047
           7,        0.100000,          0.0042,          0.0072,          0.0060
           8,        0.116667,          0.0060,          0.0076,          0.0062
           9,        0.133333,          0.0061,          0.0081,          0.0064
          10,        0.150000,          0.0063,          0.0086,          0.0066
          11,        0.166667,          0.0064,          0.0092,          0.0068
          12,        0.183333,          0.0065,          0.0099,          0.0070
          13,        0.200000,          0.0067,          0.0105,          0.0071
          14,        0.216667,          0.0069,          0.0112,          0.0073
          15,        0.233333,          0.0071,          0.0119,          0.0075
          16,        0.250000,          0.0073,          0.0126,          0.0077
          17,        0.266667,          0.0075,          0.0132,          0.0079
          18,        0.283333,          0.0078,          0.0139,          0.0082
          19,        0.300000,          0.0080,          0.0146,          0.0084
          20,        0.316667,          0.0083,          0.0152,          0.0086
          21,        0.333333,          0.0086,          0.0159,          0.0088
          22,        0.350000,          0.0089,          0.0166,          0.0090
          23,        0.366667,          0.0092,          0.0173,          0.0092
          24,        0.383333,          0.0095,          0.0179,          0.0094
          25,        0.400000,          0.0098,          0.0186,          0.0096
          26,        0.416667,          0.0102,          0.0193,          0.0098
          27,        0.433333,          0.0105,          0.0200,          0.0100
          28,        0.450000,          0.0109,          0.0206,          0.0103
          29,        0.466667,          0.0113,          0.0213,          0.0105
          30,        0.483333,          0.0117,          0.0220,          0.0107
          31,        0.500000,          0.0121,          0.0227,          0.0109
          32,        0.516667,          0.0125,          0.0233,          0.0111
          33,        0.533333,          0.0129,          0.0240,          0.0114
          34,        0.550000,          0.0133,          0.0247,          0.0116
          35,        0.566667,          0.0138,          0.0254,          0.0118
          36,        0.583333,          0.0142,          0.0260,          0.0120
          37,        0.600000,          0.0147,          0.0267,          0.0123
          38,        0.616667,          0.0152,          0.0274,          0.0125
          39,        0.633333,          0.0157,          0.0281,          0.0127
          40,        0.650000,          0.0162,          0.0288,          0.0130
          41,        0.666667,          0.0167,          0.0294,          0.0132
          42,        0.683333,          0.0172,          0.0301,          0.0134
          43,        0.700000,          0.0177,          0.0308,          0.0136
          44,        0.716667,          0.0182,          0.0315,          0.0139
          45,        0.733333,          0.0188,          0.0322,          0.0141
          46,        0.750000,          0.0193,          0.0329,          0.0144
          47,        0.766667,          0.0199,          0.0335,          0.0146
          48,        0.783333,          0.0204,          0.0342,          0.0148
          49,        0.800000,          0.0210,          0.0349,          0.0151
          50,        0.816667,          0.0216,          0.0356,          0.0153
          51,        0.833333,          0.0221,          0.0363,          0.0156
          52,        0.850000,          0.0227,          0.0370,          0.0158
          53,        0.866667,          0.0233,          0.0377,          0.0160
          54,        0.883333,          0.0239,          0.0384,          0.0163
          55,        0.900000,          0.0245,          0.0391,          0.0165
          56,        0.916667,          0.0251,          0.0398,          0.0168
          57,        0.933333,          0.0257,          0.0405,          0.0170
          58,        0.950000,          0.0264,          0.0412,          0.0173
          59,        0.966667,          0.0270,          0.0419,          0.0175
          60,        0.983333,          0.0276,          0.0426,          0.0178
          61,        1.000000,          0.0282,          0.0433,          0.0180
          62,        1.016667,          0.0289,          0.0440,          0.0183
          63,        1.033333,          0.0295,          0.0447,          0.0185
          64,        1.050000,          0.0302,          0.0454,          0.0188
          65,        1.066667,          0.0308,          0.0461,          0.0190
          66,        1.083333,          0.0315,          0.0468,          0.0193
          67,        1.100000,          0.0321,          0.0475,          0.0195
          68,        1.116667,          0.0328,          0.0483,          0.0198
          69,        1.133333,          0.0334,          0.0490,          0.0201
