"EG05_016 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_016.tcf]","Time (h)","GWh1 Loc1_P [EG05_016]","GWh1 Loc8_P [EG05_016]","GWh1 Loc10_P [EG05_016]"
           1,        0.000000,         38.8089,         35.9714,         42.2559
           2,        0.016667,         38.8095,         35.9774,         42.2567
           3,        0.033333,         38.8101,         35.9775,         42.2576
           4,        0.050000,         38.8107,         35.9777,         42.2586
           5,        0.066667,         38.8114,         35.9779,         42.2595
           6,        0.083333,         38.8121,         35.9782,         42.2605
           7,        0.100000,         38.8131,         35.9786,         42.2618
           8,        0.116667,         38.8149,         35.9790,         42.2620
           9,        0.133333,         38.8150,         35.9794,         42.2622
          10,        0.150000,         38.8152,         35.9799,         42.2624
          11,        0.166667,         38.8153,         35.9805,         42.2626
          12,        0.183333,         38.8155,         35.9812,         42.2628
          13,        0.200000,         38.8156,         35.9819,         42.2630
          14,        0.216667,         38.8158,         35.9826,         42.2632
          15,        0.233333,         38.8160,         35.9832,         42.2634
          16,        0.250000,         38.8162,         35.9839,         42.2636
          17,        0.266667,         38.8164,         35.9846,         42.2638
          18,        0.283333,         38.8167,         35.9853,         42.2640
          19,        0.300000,         38.8169,         35.9859,         42.2642
          20,        0.316667,         38.8172,         35.9866,         42.2644
          21,        0.333333,         38.8175,         35.9873,         42.2646
          22,        0.350000,         38.8178,         35.9880,         42.2648
          23,        0.366667,         38.8181,         35.9886,         42.2650
          24,        0.383333,         38.8184,         35.9893,         42.2653
          25,        0.400000,         38.8187,         35.9900,         42.2655
          26,        0.416667,         38.8191,         35.9907,         42.2657
          27,        0.433333,         38.8194,         35.9913,         42.2659
          28,        0.450000,         38.8198,         35.9920,         42.2661
          29,        0.466667,         38.8202,         35.9927,         42.2663
          30,        0.483333,         38.8206,         35.9934,         42.2666
          31,        0.500000,         38.8210,         35.9940,         42.2668
          32,        0.516667,         38.8214,         35.9947,         42.2670
          33,        0.533333,         38.8218,         35.9954,         42.2672
          34,        0.550000,         38.8223,         35.9961,         42.2674
          35,        0.566667,         38.8227,         35.9967,         42.2677
          36,        0.583333,         38.8232,         35.9974,         42.2679
          37,        0.600000,         38.8236,         35.9981,         42.2681
          38,        0.616667,         38.8241,         35.9988,         42.2683
          39,        0.633333,         38.8246,         35.9994,         42.2686
          40,        0.650000,         38.8251,         36.0001,         42.2688
          41,        0.666667,         38.8256,         36.0008,         42.2690
          42,        0.683333,         38.8261,         36.0015,         42.2693
          43,        0.700000,         38.8266,         36.0022,         42.2695
          44,        0.716667,         38.8272,         36.0028,         42.2697
          45,        0.733333,         38.8277,         36.0035,         42.2700
          46,        0.750000,         38.8282,         36.0042,         42.2702
          47,        0.766667,         38.8288,         36.0049,         42.2705
          48,        0.783333,         38.8293,         36.0056,         42.2707
          49,        0.800000,         38.8299,         36.0063,         42.2709
          50,        0.816667,         38.8305,         36.0070,         42.2712
          51,        0.833333,         38.8311,         36.0077,         42.2714
          52,        0.850000,         38.8316,         36.0084,         42.2717
          53,        0.866667,         38.8322,         36.0090,         42.2719
          54,        0.883333,         38.8328,         36.0097,         42.2721
          55,        0.900000,         38.8334,         36.0104,         42.2724
          56,        0.916667,         38.8340,         36.0111,         42.2726
          57,        0.933333,         38.8347,         36.0118,         42.2729
          58,        0.950000,         38.8353,         36.0125,         42.2731
          59,        0.966667,         38.8359,         36.0132,         42.2734
          60,        0.983333,         38.8365,         36.0139,         42.2736
          61,        1.000000,         38.8372,         36.0146,         42.2739
          62,        1.016667,         38.8378,         36.0153,         42.2741
          63,        1.033333,         38.8384,         36.0161,         42.2744
          64,        1.050000,         38.8391,         36.0168,         42.2746
          65,        1.066667,         38.8397,         36.0175,         42.2749
          66,        1.083333,         38.8404,         36.0182,         42.2752
          67,        1.100000,         38.8410,         36.0189,         42.2754
          68,        1.116667,         38.8417,         36.0196,         42.2757
          69,        1.133333,         38.8423,         36.0203,         42.2759
          70,        1.150000,         38.8430,         36.0210,         42.2762
          71,        1.166667,         38.8437,         36.0218,         42.2764
          72,        1.183333,         38.8444,         36.0225,         42.2767
          73,        1.200000,         38.8450,         36.0232,         42.2770
          74,        1.216667,         38.8457,         36.0239,         42.2772
          75,        1.233333,         38.8464,         36.0247,         42.2775
          76,        1.250000,         38.8471,         36.0254,         42.2777
          77,        1.266667,         38.8478,         36.0261,         42.2780
          78,        1.283333,         38.8484,         36.0269,         42.2783
          79,        1.300000,         38.8491,         36.0276,         42.2785
          80,        1.316667,         38.8498,         36.0283,         42.2788
          81,        1.333333,         38.8505,         36.0291,         42.2791
          82,        1.350000,         38.8512,         36.0298,         42.2793
          83,        1.366667,         38.8519,         36.0306,         42.2796
          84,        1.383333,         38.8526,         36.0313,         42.2799
          85,        1.400000,         38.8533,         36.0321,         42.2801
          86,        1.416667,         38.8540,         36.0328,         42.2804
          87,        1.433333,         38.8547,         36.0336,         42.2807
          88,        1.450000,         38.8554,         36.0343,         42.2809
          89,        1.466667,         38.8561,         36.0351,         42.2812
          90,        1.483333,         38.8569,         36.0358,         42.2815
          91,        1.500000,         38.8576,         36.0366,         42.2818
          92,        1.516667,         38.8583,         36.0373,         42.2820
          93,        1.533333,         38.8590,         36.0381,         42.2823
          94,        1.550000,         38.8597,         36.0388,         42.2826
          95,        1.566667,         38.8604,         36.0396,         42.2829
          96,        1.583333,         38.8611,         36.0404,         42.2831
          97,        1.600000,         38.8619,         36.0411,         42.2834
          98,        1.616667,         38.8626,         36.0419,         42.2837
          99,        1.633333,         38.8633,         36.0427,         42.2840
         100,        1.650000,         38.8640,         36.0435,         42.2842
         101,        1.666667,         38.8648,         36.0442,         42.2845
         102,        1.683333,         38.8655,         36.0450,         42.2848
         103,        1.700000,         38.8662,         36.0458,         42.2851
         104,        1.716667,         38.8669,         36.0465,         42.2854
         105,        1.733333,         38.8677,         36.0473,         42.2856
         106,        1.750000,         38.8684,         36.0481,         42.2859
         107,        1.766667,         38.8691,         36.0489,         42.2862
         108,        1.783333,         38.8699,         36.0497,         42.2865
         109,        1.800000,         38.8706,         36.0504,         42.2868
         110,        1.816667,         38.8713,         36.0512,         42.2871
         111,        1.833333,         38.8721,         36.0520,         42.2873
         112,        1.850000,         38.8728,         36.0528,         42.2876
         113,        1.866667,         38.8735,         36.0536,         42.2879
         114,        1.883333,         38.8743,         36.0544,         42.2882
         115,        1.900000,         38.8750,         36.0552,         42.2885
         116,        1.916667,         38.8757,         36.0560,         42.2888
         117,        1.933333,         38.8765,         36.0568,         42.2891
         118,        1.950000,         38.8772,         36.0575,         42.2894
         119,        1.966667,         38.8779,         36.0583,         42.2896
         120,        1.983333,         38.8787,         36.0591,         42.2899
         121,        2.000000,         38.8794,         36.0599,         42.2902
         122,        2.016667,         38.8802,         36.0607,         42.2905
         123,        2.033333,         38.8809,         36.0615,         42.2908
         124,        2.050000,         38.8816,         36.0623,         42.2911
         125,        2.066667,         38.8824,         36.0631,         42.2914
         126,        2.083333,         38.8831,         36.0639,         42.2917
         127,        2.100000,         38.8839,         36.0647,         42.2920
         128,        2.116667,         38.8846,         36.0655,         42.2923
         129,        2.133333,         38.8854,         36.0663,         42.2926
         130,        2.150000,         38.8861,         36.0671,         42.2929
         131,        2.166667,         38.8868,         36.0679,         42.2932
         132,        2.183333,         38.8876,         36.0687,         42.2935
         133,        2.200000,         38.8883,         36.0695,         42.2938
