"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWQ1 Loc1_L [EG05_017]","GWQ1 Loc3_L [EG05_017]","GWQ1 Loc2_L [EG05_017]"
           1,        0.000000,  0.000    ,  0.000    ,  0.000    
           2,        0.016667, 0.4878E-04, 0.5063E-04, 0.4814E-04
           3,        0.033333, 0.9950E-04, 0.8795E-04, 0.9671E-04
           4,        0.050000, 0.1536E-03, 0.1270E-03, 0.1473E-03
           5,        0.066667, 0.2097E-03, 0.1667E-03, 0.1988E-03
           6,        0.083333, 0.2667E-03, 0.2060E-03, 0.2503E-03
           7,        0.100000, 0.3535E-03, 0.2694E-03, 0.3291E-03
           8,        0.116667, 0.4424E-03, 0.3329E-03, 0.4085E-03
           9,        0.133333, 0.5337E-03, 0.3971E-03, 0.4892E-03
          10,        0.150000, 0.6245E-03, 0.4600E-03, 0.5668E-03
          11,        0.166667, 0.7047E-03, 0.5226E-03, 0.5908E-03
          12,        0.183333, 0.7231E-03, 0.5966E-03, 0.5975E-03
          13,        0.200000, 0.7158E-03, 0.6573E-03, 0.5977E-03
          14,        0.216667, 0.7048E-03, 0.6642E-03, 0.5986E-03
          15,        0.233333, 0.6833E-03, 0.6561E-03, 0.5981E-03
          16,        0.250000, 0.6858E-03, 0.6391E-03, 0.5981E-03
          17,        0.266667, 0.6881E-03, 0.6537E-03, 0.5982E-03
          18,        0.283333, 0.6901E-03, 0.6636E-03, 0.5982E-03
          19,        0.300000, 0.6919E-03, 0.6649E-03, 0.5982E-03
          20,        0.316667, 0.6936E-03, 0.6662E-03, 0.5983E-03
          21,        0.333333, 0.6952E-03, 0.6677E-03, 0.5984E-03
          22,        0.350000, 0.6964E-03, 0.6688E-03, 0.5983E-03
          23,        0.366667, 0.6976E-03, 0.6702E-03, 0.5983E-03
          24,        0.383333, 0.6986E-03, 0.6714E-03, 0.5983E-03
          25,        0.400000, 0.6996E-03, 0.6728E-03, 0.5984E-03
          26,        0.416667, 0.7004E-03, 0.6740E-03, 0.5984E-03
          27,        0.433333, 0.7011E-03, 0.6753E-03, 0.5984E-03
          28,        0.450000, 0.7017E-03, 0.6766E-03, 0.5984E-03
          29,        0.466667, 0.7023E-03, 0.6778E-03, 0.5984E-03
          30,        0.483333, 0.7028E-03, 0.6790E-03, 0.5984E-03
          31,        0.500000, 0.7032E-03, 0.6803E-03, 0.5985E-03
