"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWd1 Loc1_P [EG05_018]","GWd1 Loc8_P [EG05_018]","GWd1 Loc10_P [EG05_018]","GWd1 Loc4_P [EG05_018]"
           1,      -72.000000,          0.0000,          0.0000,  0.000    ,          0.0000
           2,      -71.983330,          0.0000,          0.0060,  0.000    ,          0.0000
           3,      -71.966667,          0.0000,          0.0060,  0.000    ,          0.0000
           4,      -71.949997,          0.0000,          0.0060,  0.000    ,          0.0000
           5,      -71.933334,          0.0000,          0.0060,  0.000    ,          0.0000
           6,      -71.916664,          0.0000,          0.0060,  0.000    ,          0.0000
           7,      -71.900002,          0.0000,          0.0060,  0.000    ,          0.0000
           8,      -71.883331,          0.0000,          0.0060,  0.000    ,          0.0000
           9,      -71.866669,          0.0000,          0.0060,  0.000    ,          0.0000
          10,      -71.849998,          0.0000,          0.0060,  0.000    ,          0.0000
          11,      -71.833336,          0.0000,          0.0060,  0.000    ,          0.0000
          12,      -71.816666,          0.0000,          0.0060,  0.000    ,          0.0000
          13,      -71.800003,          0.0000,          0.0060,  0.000    ,          0.0000
          14,      -71.783333,          0.0000,          0.0060,  0.000    ,          0.0000
          15,      -71.766670,          0.0000,          0.0060,  0.000    ,          0.0000
          16,      -71.750000,          0.0000,          0.0060,  0.000    ,          0.0000
          17,      -71.733330,          0.0000,          0.0060,  0.000    ,          0.0000
          18,      -71.716667,          0.0000,          0.0060,  0.000    ,          0.0000
          19,      -71.699997,          0.0000,          0.0060,  0.000    ,          0.0000
          20,      -71.683334,          0.0000,          0.0060,  0.000    ,          0.0000
          21,      -71.666664,          0.0000,          0.0060,  0.000    ,          0.0000
          22,      -71.650002,          0.0000,          0.0060,  0.000    ,          0.0000
          23,      -71.633331,          0.0000,          0.0060,  0.000    ,          0.0000
          24,      -71.616669,          0.0000,          0.0060,  0.000    ,          0.0000
          25,      -71.599998,          0.0000,          0.0060,  0.000    ,          0.0000
          26,      -71.583336,          0.0000,          0.0060,  0.000    ,          0.0000
          27,      -71.566666,          0.0000,          0.0060,  0.000    ,          0.0000
          28,      -71.550003,          0.0000,          0.0060,  0.000    ,          0.0000
          29,      -71.533333,          0.0000,          0.0060,  0.000    ,          0.0000
          30,      -71.516670,          0.0000,          0.0060,  0.000    ,          0.0000
          31,      -71.500000,          0.0000,          0.0060,  0.000    ,          0.0000
          32,      -71.483330,          0.0000,          0.0060,  0.000    ,          0.0000
          33,      -71.466667,          0.0000,          0.0060,  0.000    ,          0.0000
          34,      -71.449997,          0.0000,          0.0060,  0.000    ,          0.0000
          35,      -71.433334,          0.0000,          0.0056,  0.000    ,          0.0000
          36,      -71.416664,          0.0000,          0.0053,  0.000    ,          0.0000
          37,      -71.400002,          0.0000,          0.0050,  0.000    ,          0.0000
          38,      -71.383331,          0.0000,          0.0046,  0.000    ,          0.0000
          39,      -71.366669,          0.0000,          0.0043,  0.000    ,          0.0000
          40,      -71.349998,          0.0000,          0.0040,  0.000    ,          0.0000
          41,      -71.333336,          0.0000,          0.0036,  0.000    ,          0.0000
          42,      -71.316666,          0.0000,          0.0033,  0.000    ,          0.0000
          43,      -71.300003,          0.0000,          0.0030,  0.000    ,          0.0000
          44,      -71.283333,          0.0000,          0.0026,  0.000    ,          0.0000
          45,      -71.266670,          0.0000,          0.0023,  0.000    ,          0.0000
          46,      -71.250000,          0.0000,          0.0019,  0.000    ,          0.0000
          47,      -71.233330,          0.0000,          0.0016,  0.000    ,          0.0000
          48,      -71.216667,          0.0000,          0.0013,  0.000    ,          0.0000
          49,      -71.199997,          0.0000,          0.0009,  0.000    ,          0.0000
          50,      -71.183334,          0.0000,          0.0006,  0.000    ,          0.0000
          51,      -71.166664,          0.0000,          0.0003,  0.000    ,          0.0000
          52,      -71.150002,          0.0000,          0.0000,  0.000    ,          0.0000
          53,      -71.133331,          0.0000,          0.0000,  0.000    ,          0.0000
          54,      -71.116669,          0.0000,          0.0000,  0.000    ,          0.0000
          55,      -71.099998,          0.0000,          0.0000,  0.000    ,          0.0000
          56,      -71.083336,          0.0000,          0.0000,  0.000    ,          0.0000
          57,      -71.066666,          0.0000,          0.0000,  0.000    ,          0.0000
          58,      -71.050003,          0.0000,          0.0000,  0.000    ,          0.0000
          59,      -71.033333,          0.0000,          0.0000,  0.000    ,          0.0000
          60,      -71.016670,          0.0000,          0.0000,  0.000    ,          0.0000
          61,      -71.000000,          0.0000,          0.0000,  0.000    ,          0.0000
          62,      -70.983330,          0.0000,          0.0000,  0.000    ,          0.0000
          63,      -70.966667,          0.0000,          0.0000,  0.000    ,          0.0000
          64,      -70.949997,          0.0000,          0.0000,  0.000    ,          0.0000
          65,      -70.933334,          0.0000,          0.0000,  0.000    ,          0.0000
          66,      -70.916664,          0.0000,          0.0000,  0.000    ,          0.0000
          67,      -70.900002,          0.0000,          0.0000,  0.000    ,          0.0000
          68,      -70.883331,          0.0000,          0.0000,  0.000    ,          0.0000
