"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWh1 Loc1_P [EG05_018]","GWh1 Loc8_P [EG05_018]","GWh1 Loc10_P [EG05_018]","GWh1 Loc4_P [EG05_018]"
           1,      -72.000000,         38.8089,         35.9714,         42.2559,         40.4115
           2,      -71.983330,         38.8089,         35.9774,         42.2559,         40.4115
           3,      -71.966667,         38.8089,         35.9773,         42.2559,         40.4115
           4,      -71.949997,         38.8089,         35.9773,         42.2559,         40.4115
           5,      -71.933334,         38.8089,         35.9773,         42.2559,         40.4115
           6,      -71.916664,         38.8089,         35.9773,         42.2559,         40.4115
           7,      -71.900002,         38.8089,         35.9773,         42.2559,         40.4115
           8,      -71.883331,         38.8089,         35.9773,         42.2559,         40.4115
           9,      -71.866669,         38.8089,         35.9773,         42.2559,         40.4115
          10,      -71.849998,         38.8089,         35.9773,         42.2559,         40.4115
          11,      -71.833336,         38.8089,         35.9773,         42.2559,         40.4115
          12,      -71.816666,         38.8089,         35.9773,         42.2559,         40.4115
          13,      -71.800003,         38.8089,         35.9773,         42.2559,         40.4115
          14,      -71.783333,         38.8089,         35.9773,         42.2559,         40.4115
          15,      -71.766670,         38.8089,         35.9773,         42.2559,         40.4115
          16,      -71.750000,         38.8089,         35.9773,         42.2559,         40.4115
          17,      -71.733330,         38.8089,         35.9773,         42.2559,         40.4115
          18,      -71.716667,         38.8089,         35.9773,         42.2559,         40.4115
          19,      -71.699997,         38.8089,         35.9773,         42.2559,         40.4115
          20,      -71.683334,         38.8089,         35.9773,         42.2559,         40.4115
          21,      -71.666664,         38.8089,         35.9773,         42.2559,         40.4115
          22,      -71.650002,         38.8089,         35.9773,         42.2559,         40.4115
          23,      -71.633331,         38.8089,         35.9773,         42.2559,         40.4115
          24,      -71.616669,         38.8089,         35.9773,         42.2559,         40.4115
          25,      -71.599998,         38.8089,         35.9773,         42.2559,         40.4115
          26,      -71.583336,         38.8089,         35.9773,         42.2559,         40.4115
          27,      -71.566666,         38.8089,         35.9773,         42.2559,         40.4115
          28,      -71.550003,         38.8089,         35.9773,         42.2559,         40.4115
          29,      -71.533333,         38.8089,         35.9773,         42.2559,         40.4115
          30,      -71.516670,         38.8089,         35.9773,         42.2559,         40.4115
          31,      -71.500000,         38.8089,         35.9773,         42.2559,         40.4115
          32,      -71.483330,         38.8089,         35.9773,         42.2559,         40.4115
          33,      -71.466667,         38.8089,         35.9773,         42.2559,         40.4115
