"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","H Loc1_P [EG05_018]","H Loc8_P [EG05_018]","H Loc10_P [EG05_018]","H Loc4_P [EG05_018]"
           1,      -72.000000,         39.0108,         36.5000,         42.4578,         40.6134
           2,      -71.983330,         39.0108,         36.4735,         42.4578,         40.6134
           3,      -71.966667,         39.0108,         36.4416,         42.4578,         40.6134
           4,      -71.949997,         39.0108,         36.4167,         42.4578,         40.6134
           5,      -71.933334,         39.0108,         36.3956,         42.4578,         40.6134
           6,      -71.916664,         39.0108,         36.3778,         42.4578,         40.6134
           7,      -71.900002,         39.0108,         36.3624,         42.4578,         40.6134
           8,      -71.883331,         39.0108,         36.3489,         42.4578,         40.6134
           9,      -71.866669,         39.0108,         36.3369,         42.4578,         40.6134
          10,      -71.849998,         39.0108,         36.3265,         42.4578,         40.6134
          11,      -71.833336,         39.0108,         36.3173,         42.4578,         40.6134
          12,      -71.816666,         39.0108,         36.3088,         42.4578,         40.6134
          13,      -71.800003,         39.0108,         36.3016,         42.4578,         40.6134
          14,      -71.783333,         39.0108,         36.2952,         42.4578,         40.6134
          15,      -71.766670,         39.0108,         36.2891,         42.4578,         40.6134
          16,      -71.750000,         39.0108,         36.2831,         42.4578,         40.6134
          17,      -71.733330,         39.0108,         36.2770,         42.4578,         40.6134
          18,      -71.716667,         39.0108,         36.2711,         42.4578,         40.6134
          19,      -71.699997,         39.0108,         36.2647,         42.4578,         40.6134
          20,      -71.683334,         39.0108,         36.2576,         42.4578,         40.6134
          21,      -71.666664,         39.0108,         36.2497,         42.4578,         40.6134
          22,      -71.650002,         39.0108,         36.2402,         42.4578,         40.6134
          23,      -71.633331,         39.0108,         36.2273,         42.4578,         40.6134
          24,      -71.616669,         39.0108,         36.2128,         42.4578,         40.6134
          25,      -71.599998,         39.0108,         36.2007,         42.4578,         40.6134
          26,      -71.583336,         39.0108,         36.1927,         42.4578,         40.6134
          27,      -71.566666,         39.0108,         36.1882,         42.4578,         40.6134
          28,      -71.550003,         39.0108,         36.1858,         42.4578,         40.6134
          29,      -71.533333,         39.0108,         36.1835,         42.4578,         40.6134
          30,      -71.516670,         39.0108,         36.1814,         42.4578,         40.6134
          31,      -71.500000,         39.0108,         36.1793,         42.4578,         40.6134
          32,      -71.483330,         39.0108,         36.1774,         42.4578,         40.6134
          33,      -71.466667,         39.0108,         36.1753,         42.4578,         40.6134
          34,      -71.449997,         39.0108,         36.1733,         42.4578,         40.6134
          35,      -71.433334,         39.0108,         36.1733,         42.4578,         40.6134
          36,      -71.416664,         39.0108,         36.1733,         42.4578,         40.6134
          37,      -71.400002,         39.0108,         36.1733,         42.4578,         40.6134
          38,      -71.383331,         39.0108,         36.1733,         42.4578,         40.6134
          39,      -71.366669,         39.0108,         36.1733,         42.4578,         40.6134
          40,      -71.349998,         39.0108,         36.1733,         42.4578,         40.6134
          41,      -71.333336,         39.0108,         36.1733,         42.4578,         40.6134
          42,      -71.316666,         39.0108,         36.1733,         42.4578,         40.6134
          43,      -71.300003,         39.0108,         36.1733,         42.4578,         40.6134
          44,      -71.283333,         39.0108,         36.1733,         42.4578,         40.6134
          45,      -71.266670,         39.0108,         36.1733,         42.4578,         40.6134
          46,      -71.250000,         39.0108,         36.1733,         42.4578,         40.6134
