"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow","PF01 Status","PF01 Trigger","PF01 Orifice Height","PF01 Orifice Width","PF01 Flow"
       1,          0.000000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
       2,          0.016667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
       3,          0.033333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
       4,          0.050000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
       5,          0.066667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
       6,          0.083333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
       7,          0.100000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
       8,          0.116667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
       9,          0.133333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
      10,          0.150000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
      11,          0.166667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
      12,          0.183333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          44.999001,    0.000,    0.000,              0.000
      13,          0.200000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          45.322906,    0.000,    0.000,              0.000
      14,          0.216667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          45.636559,    0.000,    0.000,              0.000
      15,          0.233333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          45.891323,    0.000,    0.000,              0.000
      16,          0.250000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          46.095909,    0.000,    0.000,              0.000
      17,          0.266667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          46.269318,    0.000,    0.000,              0.000
      18,          0.283333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          46.433029,    0.000,    0.000,              0.000
      19,          0.300000,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          46.592373,    0.000,    0.000,              0.000
      20,          0.316667,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          46.750782,    0.000,    0.000,              0.000
      21,          0.333333,"Closed      ",           0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Closed      ",          46.900307,    0.000,    0.000,              0.000
      22,          0.350000,"Closed      ",           0.035086,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.044304,    0.053,    0.175,              0.028
      23,          0.366667,"Closed      ",           0.146171,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.178516,    0.219,    0.731,              0.542
      24,          0.383333,"Closed      ",           0.257269,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.305786,    0.386,    1.286,              1.755
      25,          0.400000,"Closed      ",           0.368366,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.408226,    0.553,    1.842,              3.711
      26,          0.416667,"Closed      ",           0.479465,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.484131,    0.719,    2.397,              6.422
      27,          0.433333,"Closed      ",           0.590572,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.516808,    0.886,    2.953,              9.833
      28,          0.450000,"Closed      ",           0.701674,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.509872,    1.053,    3.508,             13.867
      29,          0.466667,"Closed      ",           0.812799,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.464146,    1.219,    4.064,             17.677
      30,          0.483333,"Closed      ",           0.923905,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000,"Opening     ",          47.375553,    1.386,    4.620,             21.213
      31,          0.500000,"Opening     ",           0.685714,    1.300,    2.762,    0.162,    0.000,    0.000,              0.000,"Closing     ",          47.427757,    1.029,    3.429,             12.558
      32,          0.516667,"Opening     ",           0.000000,    4.041,    8.589,    0.506,    0.000,    0.000,              0.000,"Closed      ",          47.833267,    0.000,    0.000,              0.000
      33,          0.533333,"Opening     ",           0.000000,    4.141,    8.806,    0.523,    0.000,    0.147,              0.147,"Closed      ",          48.137554,    0.000,    0.000,              0.000
      34,          0.550000,"Opening     ",           0.000000,    4.241,    9.022,    0.540,    0.000,    0.914,              0.914,"Closed      ",          48.457230,    0.000,    0.000,              0.000
      35,          0.566667,"Opening     ",           0.000000,    4.341,    9.239,    0.556,    0.000,    2.519,              2.519,"Closed      ",          48.777473,    0.000,    0.000,              0.000
      36,          0.583333,"Opening     ",           0.000000,    4.441,    9.455,    0.573,    0.000,    5.021,              5.021,"Closed      ",          49.082134,    0.000,    0.000,              0.000
      37,          0.600000,"Opening     ",           0.000000,    4.541,    9.672,    0.590,    0.000,    8.422,              8.422,"Closed      ",          49.369141,    0.000,    0.000,              0.000
      38,          0.616667,"Opening     ",           0.000000,    4.641,    9.889,    0.607,    0.000,   12.483,             12.483,"Closed      ",          49.622826,    0.000,    0.000,              0.000
      39,          0.633333,"Opening     ",           0.000000,    4.741,   10.105,    0.623,    0.000,   17.057,             17.057,"Closed      ",          49.845356,    0.000,    0.000,              0.000
      40,          0.650000,"Opening     ",           0.000000,    4.841,   10.322,    0.640,    0.000,   22.069,             22.069,"Closed      ",          50.043694,    0.000,    0.000,              0.000
      41,          0.666667,"Opening     ",           0.000000,    4.941,   10.539,    0.657,    0.000,   27.486,             27.486,"Closed      ",          50.222847,    0.000,    0.000,              0.000
      42,          0.683333,"Opening     ",           0.000000,    5.041,   10.755,    0.673,    0.000,   33.178,             33.178,"Closed      ",          50.382210,    0.000,    0.000,              0.000
      43,          0.700000,"Opening     ",           0.000000,    5.141,   10.972,    0.690,    0.000,   38.918,             38.918,"Closed      ",          50.517441,    0.000,    0.000,              0.000
      44,          0.716667,"Opening     ",           0.000000,    5.241,   11.189,    0.707,    0.000,   44.754,             44.754,"Closed      ",          50.635750,    0.000,    0.000,              0.000
      45,          0.733333,"Opening     ",           0.000000,    5.341,   11.406,    0.723,    0.000,   50.573,             50.573,"Closed      ",          50.736572,    0.000,    0.000,              0.000
      46,          0.750000,"Opening     ",           0.000000,    5.441,   11.622,    0.740,    0.000,   56.331,             56.331,"Closed      ",          50.821495,    0.000,    0.000,              0.000
      47,          0.766667,"Opening     ",           0.000000,    5.541,   11.839,    0.757,    0.000,   61.966,             61.966,"Closed      ",          50.891388,    0.000,    0.000,              0.000
      48,          0.783333,"Opening     ",           0.000000,    5.641,   12.056,    0.773,    0.000,   67.346,             67.346,"Closed      ",          50.944515,    0.000,    0.000,              0.000
      49,          0.800000,"Opening     ",           0.000000,    5.741,   12.273,    0.790,    0.000,   72.489,             72.489,"Closed      ",          50.983753,    0.000,    0.000,              0.000
      50,          0.816667,"Opening     ",           0.000000,    5.841,   12.489,    0.807,    0.000,   77.366,             77.366,"Closed      ",          51.009842,    0.000,    0.000,              0.000
      51,          0.833333,"Opening     ",           0.000000,    5.941,   12.706,    0.824,    0.000,   81.967,             81.967,"Closed      ",          51.023952,    0.000,    0.000,              0.000
      52,          0.850000,"Opening     ",           0.000000,    6.041,   12.923,    0.840,    0.000,   86.289,             86.289,"Closed      ",          51.027122,    0.000,    0.000,              0.000
      53,          0.866667,"Opening     ",           0.000000,    6.141,   13.139,    0.857,    0.000,   90.296,             90.296,"Closed      ",          51.019447,    0.000,    0.000,              0.000
      54,          0.883333,"Opening     ",           0.000000,    6.241,   13.356,    0.874,    0.000,   94.006,             94.006,"Closed      ",          51.002171,    0.000,    0.000,              0.000
      55,          0.900000,"Opening     ",           0.000000,    6.341,   13.573,    0.891,    0.000,   97.433,             97.433,"Closed      ",          50.976265,    0.000,    0.000,              0.000
      56,          0.916667,"Opening     ",           0.000000,    6.441,   13.789,    0.908,    0.000,  100.587,            100.587,"Closed      ",          50.942509,    0.000,    0.000,              0.000
      57,          0.933333,"Opening     ",           0.000000,    6.541,   14.006,    0.924,    0.000,  103.482,            103.482,"Closed      ",          50.901611,    0.000,    0.000,              0.000
      58,          0.950000,"Opening     ",           0.000000,    6.641,   14.223,    0.941,    0.000,  106.074,            106.074,"Closed      ",          50.852985,    0.000,    0.000,              0.000
      59,          0.966667,"Opening     ",           0.000000,    6.741,   14.439,    0.958,    0.000,  108.404,            108.404,"Closed      ",          50.797829,    0.000,    0.000,              0.000
      60,          0.983333,"Opening     ",           0.000000,    6.841,   14.656,    0.975,    0.000,  110.478,            110.478,"Closed      ",          50.736477,    0.000,    0.000,              0.000
      61,          1.000000,"Opening     ",           0.000000,    6.941,   14.873,    0.991,    0.000,  112.305,            112.305,"Closed      ",          50.669361,    0.000,    0.000,              0.000
      62,          1.016667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  112.273,            112.273,"Closed      ",          50.605637,    0.000,    0.000,              0.000
      63,          1.033333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  109.763,            109.763,"Closed      ",          50.551933,    0.000,    0.000,              0.000
      64,          1.050000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  107.493,            107.493,"Closed      ",          50.502754,    0.000,    0.000,              0.000
      65,          1.066667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  105.428,            105.428,"Closed      ",          50.457458,    0.000,    0.000,              0.000
      66,          1.083333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  103.536,            103.536,"Closed      ",          50.415482,    0.000,    0.000,              0.000
      67,          1.100000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  101.778,            101.778,"Closed      ",          50.376060,    0.000,    0.000,              0.000
      68,          1.116667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,  100.025,            100.025,"Closed      ",          50.336327,    0.000,    0.000,              0.000
