"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow"
       1,          0.000000,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
       2,          0.016667,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
       3,          0.033333,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
       4,          0.050000,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
       5,          0.066667,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
       6,          0.083333,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
       7,          0.100000,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
       8,          0.116667,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
       9,          0.133333,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      10,          0.150000,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      11,          0.166667,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      12,          0.183333,"Closed      ",          44.999001,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      13,          0.200000,"Closed      ",          45.338718,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      14,          0.216667,"Closed      ",          45.649300,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      15,          0.233333,"Closed      ",          45.903210,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      16,          0.250000,"Closed      ",          46.106579,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      17,          0.266667,"Closed      ",          46.279598,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      18,          0.283333,"Closed      ",          46.444023,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      19,          0.300000,"Closed      ",          46.602707,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      20,          0.316667,"Closed      ",          46.761070,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      21,          0.333333,"Closed      ",          46.910652,    0.000,    0.000,    0.000,    0.000,    0.000,              0.000
      22,          0.350000,"Opening     ",          47.053635,    1.540,    3.273,    0.193,    0.000,    0.000,              0.000
      23,          0.366667,"Opening     ",          47.196365,    4.048,    8.604,    0.508,    0.000,    0.000,              0.000
      24,          0.383333,"Opening     ",          47.350254,    4.148,    8.821,    0.524,    0.000,    0.000,              0.000
      25,          0.400000,"Opening     ",          47.500618,    4.248,    9.037,    0.541,    0.000,    0.000,              0.000
      26,          0.416667,"Opening     ",          47.657513,    4.348,    9.254,    0.557,    0.000,    0.000,              0.000
      27,          0.433333,"Opening     ",          47.804443,    4.448,    9.471,    0.574,    0.000,    0.132,              0.132
      28,          0.450000,"Opening     ",          47.959156,    4.548,    9.687,    0.591,    0.000,    0.503,              0.503
      29,          0.466667,"Opening     ",          48.115364,    4.648,    9.904,    0.607,    0.000,    1.163,              1.163
      30,          0.483333,"Opening     ",          48.267105,    4.748,   10.121,    0.624,    0.000,    2.137,              2.137
      31,          0.500000,"Opening     ",          48.413033,    4.848,   10.337,    0.641,    0.000,    3.436,              3.436
      32,          0.516667,"Opening     ",          48.556934,    4.948,   10.554,    0.658,    0.000,    5.096,              5.096
      33,          0.533333,"Opening     ",          48.728458,    5.048,   10.771,    0.674,    0.000,    7.407,              7.407
      34,          0.550000,"Opening     ",          48.917091,    5.148,   10.987,    0.691,    0.000,   10.444,             10.444
      35,          0.566667,"Opening     ",          49.108929,    5.248,   11.204,    0.708,    0.000,   14.165,             14.165
      36,          0.583333,"Opening     ",          49.299904,    5.348,   11.421,    0.724,    0.000,   18.565,             18.565
      37,          0.600000,"Opening     ",          49.486660,    5.448,   11.637,    0.741,    0.000,   23.619,             23.619
      38,          0.616667,"Opening     ",          49.650730,    5.548,   11.854,    0.758,    0.000,   28.937,             28.937
      39,          0.633333,"Opening     ",          49.795815,    5.648,   12.070,    0.774,    0.000,   34.473,             34.473
      40,          0.650000,"Opening     ",          49.924286,    5.748,   12.287,    0.791,    0.000,   40.171,             40.171
      41,          0.666667,"Opening     ",          50.039284,    5.848,   12.504,    0.807,    0.000,   46.027,             46.027
      42,          0.683333,"Opening     ",          50.139202,    5.948,   12.720,    0.824,    0.000,   51.922,             51.922
