"EG08_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_011.tcf]","Time (h)","Q DF01 [EG08_011]"
       1,          0.000000,           0.000
       2,          0.016667,           0.000
       3,          0.033333,           0.000
       4,          0.050000,           0.000
       5,          0.066667,           0.000
       6,          0.083333,           0.000
       7,          0.100000,           0.000
       8,          0.116667,           0.000
       9,          0.133333,           0.000
      10,          0.150000,           0.000
      11,          0.166667,           0.000
      12,          0.183333,           0.000
      13,          0.200000,           0.000
      14,          0.216667,           0.000
      15,          0.233333,           0.000
      16,          0.250000,           0.000
      17,          0.266667,           0.000
      18,          0.283333,           0.000
      19,          0.300000,           0.000
      20,          0.316667,           0.000
      21,          0.333333,           0.000
      22,          0.350000,           0.000
      23,          0.366667,           0.000
      24,          0.383333,           0.000
      25,          0.400000,           0.000
      26,          0.416667,           0.000
      27,          0.433333,           0.000
      28,          0.450000,           0.000
      29,          0.466667,           0.000
      30,          0.483333,           0.000
      31,          0.500000,           0.000
      32,          0.516667,           0.672
      33,          0.533333,           1.726
      34,          0.550000,           3.298
      35,          0.566667,           5.532
      36,          0.583333,           8.485
      37,          0.600000,          12.142
      38,          0.616667,          16.276
      39,          0.633333,          20.864
      40,          0.650000,          25.834
      41,          0.666667,          31.158
      42,          0.683333,          36.711
      43,          0.700000,          42.353
      44,          0.716667,          48.002
      45,          0.733333,          53.612
      46,          0.750000,          59.158
      47,          0.766667,          64.570
      48,          0.783333,          69.735
      49,          0.800000,          74.652
      50,          0.816667,          79.301
      51,          0.833333,          83.694
      52,          0.850000,          87.816
      53,          0.866667,          91.633
      54,          0.883333,          95.178
      55,          0.900000,          98.463
      56,          0.916667,         101.493
      57,          0.933333,         104.271
      58,          0.950000,         106.777
      59,          0.966667,         109.032
      60,          0.983333,         111.035
      61,          1.000000,         112.807
      62,          1.016667,         113.923
      63,          1.033333,         111.263
      64,          1.050000,         108.812
      65,          1.066667,         106.586
      66,          1.083333,         104.570
      67,          1.100000,         102.688
      68,          1.116667,         100.826
      69,          1.133333,          99.006
      70,          1.150000,          97.209
      71,          1.166667,          95.444
      72,          1.183333,          93.704
      73,          1.200000,          91.971
      74,          1.216667,          90.236
      75,          1.233333,          88.489
      76,          1.250000,          86.739
      77,          1.266667,          84.981
      78,          1.283333,          83.142
      79,          1.300000,          81.254
      80,          1.316667,          79.293
      81,          1.333333,          77.288
      82,          1.350000,          75.233
      83,          1.366667,          73.128
      84,          1.383333,          70.983
      85,          1.400000,          68.797
      86,          1.416667,          66.586
      87,          1.433333,          64.331
      88,          1.450000,          62.095
      89,          1.466667,          59.869
      90,          1.483333,          57.671
      91,          1.500000,          55.488
      92,          1.516667,          53.326
      93,          1.533333,          51.209
      94,          1.550000,          49.129
      95,          1.566667,          47.069
      96,          1.583333,          45.034
      97,          1.600000,          43.012
      98,          1.616667,          41.140
      99,          1.633333,          39.423
     100,          1.650000,          37.826
     101,          1.666667,          36.336
     102,          1.683333,          34.935
     103,          1.700000,          33.591
     104,          1.716667,          32.283
     105,          1.733333,          31.000
     106,          1.750000,          29.742
     107,          1.766667,          28.496
     108,          1.783333,          27.359
     109,          1.800000,          26.356
     110,          1.816667,          25.451
     111,          1.833333,          24.638
     112,          1.850000,          23.890
     113,          1.866667,          23.214
     114,          1.883333,          22.596
     115,          1.900000,          22.031
     116,          1.916667,          21.522
     117,          1.933333,          21.033
     118,          1.950000,          20.577
     119,          1.966667,          20.163
     120,          1.983333,          19.787
     121,          2.000000,          19.434
     122,          2.016667,          19.102
     123,          2.033334,          18.763
     124,          2.050000,          18.409
     125,          2.066667,          18.046
     126,          2.083333,          17.666
     127,          2.100000,          17.276
     128,          2.116667,          16.859
     129,          2.133333,          16.409
     130,          2.150000,          15.938
     131,          2.166667,          15.441
     132,          2.183333,          14.926
     133,          2.200000,          14.445
     134,          2.216667,          14.037
     135,          2.233333,          13.681
     136,          2.250000,          13.365
     137,          2.266667,          13.082
     138,          2.283334,          12.819
     139,          2.300000,          12.551
     140,          2.316667,          12.285
     141,          2.333333,          12.025
     142,          2.350000,          11.764
     143,          2.366667,          11.516
     144,          2.383333,          11.288
     145,          2.400000,          11.079
     146,          2.416667,          10.878
     147,          2.433333,          10.697
     148,          2.450000,          10.512
     149,          2.466667,          10.312
     150,          2.483333,          10.116
     151,          2.500000,           9.893
     152,          2.516667,           9.677
     153,          2.533334,           9.450
     154,          2.550000,           9.212
     155,          2.566667,           8.968
     156,          2.583333,           8.722
     157,          2.600000,           8.477
     158,          2.616667,           8.248
     159,          2.633333,           8.028
     160,          2.650000,           7.817
     161,          2.666667,           7.612
     162,          2.683333,           7.418
     163,          2.700000,           7.227
     164,          2.716667,           7.037
     165,          2.733334,           6.860
     166,          2.750000,           6.646
     167,          2.766667,           6.439
     168,          2.783334,           6.223
     169,          2.800000,           6.001
     170,          2.816667,           5.767
     171,          2.833333,           5.536
     172,          2.850000,           5.302
     173,          2.866667,           5.060
     174,          2.883333,           4.824
     175,          2.900000,           4.616
     176,          2.916667,           4.395
     177,          2.933333,           4.169
     178,          2.950000,           3.953
     179,          2.966667,           3.747
     180,          2.983334,           3.554
     181,          3.000000,           3.372
