"EG08_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_011.tcf]","Time (h)","SQ DF01 [EG08_011]"
       1,          0.000000,      0.0000
       2,          0.016667,      0.0000
       3,          0.033333,      0.0000
       4,          0.050000,      0.0000
       5,          0.066667,      0.0000
       6,          0.083333,      0.0000
       7,          0.100000,      0.0000
       8,          0.116667,      0.0000
       9,          0.133333,      0.0000
      10,          0.150000,      0.0000
      11,          0.166667,      0.0000
      12,          0.183333,      0.0000
      13,          0.200000,      0.0000
      14,          0.216667,      0.0000
      15,          0.233333,      0.0000
      16,          0.250000,      0.0000
      17,          0.266667,      0.0000
      18,          0.283333,      0.0000
      19,          0.300000,      0.0000
      20,          0.316667,      0.0000
      21,          0.333333,      0.0000
      22,          0.350000,      0.0000
      23,          0.366667,      0.0000
      24,          0.383333,      0.0000
      25,          0.400000,      0.0000
      26,          0.416667,      0.0000
      27,          0.433333,      0.0000
      28,          0.450000,      0.0000
      29,          0.466667,      0.0000
      30,          0.483333,      0.0000
      31,          0.500000,      0.0000
      32,          0.516667,      0.6715
      33,          0.533333,      1.7257
      34,          0.550000,      3.2983
      35,          0.566667,      5.5322
      36,          0.583333,      8.4848
      37,          0.600000,     12.1421
      38,          0.616667,     16.2755
      39,          0.633333,     20.8638
      40,          0.650000,     25.8335
      41,          0.666667,     31.1576
      42,          0.683333,     36.7111
      43,          0.700000,     42.3526
      44,          0.716667,     48.0018
      45,          0.733333,     53.6119
      46,          0.750000,     59.1575
      47,          0.766667,     64.5701
      48,          0.783333,     69.7349
      49,          0.800000,     74.6520
      50,          0.816667,     79.3013
      51,          0.833333,     83.6940
      52,          0.850000,     87.8155
      53,          0.866667,     91.6331
      54,          0.883333,     95.1777
      55,          0.900000,     98.4626
      56,          0.916667,    101.4928
      57,          0.933333,    104.2712
      58,          0.950000,    106.7770
      59,          0.966667,    109.0320
      60,          0.983333,    111.0355
      61,          1.000000,    112.8074
      62,          1.016667,    113.9231
      63,          1.033333,    111.2626
      64,          1.050000,    108.8123
      65,          1.066667,    106.5865
      66,          1.083333,    104.5697
      67,          1.100000,    102.6880
      68,          1.116667,    100.8259
      69,          1.133333,     99.0058
      70,          1.150000,     97.2093
      71,          1.166667,     95.4443
      72,          1.183333,     93.7041
      73,          1.200000,     91.9714
      74,          1.216667,     90.2364
      75,          1.233333,     88.4887
      76,          1.250000,     86.7388
      77,          1.266667,     84.9806
      78,          1.283333,     83.1422
      79,          1.300000,     81.2543
      80,          1.316667,     79.2935
      81,          1.333333,     77.2883
      82,          1.350000,     75.2328
      83,          1.366667,     73.1284
      84,          1.383333,     70.9828
      85,          1.400000,     68.7970
      86,          1.416667,     66.5856
      87,          1.433333,     64.3307
      88,          1.450000,     62.0948
      89,          1.466667,     59.8690
      90,          1.483333,     57.6712
      91,          1.500000,     55.4877
      92,          1.516667,     53.3258
      93,          1.533333,     51.2094
      94,          1.550000,     49.1291
      95,          1.566667,     47.0692
      96,          1.583333,     45.0336
      97,          1.600000,     43.0118
      98,          1.616667,     41.1397
      99,          1.633333,     39.4231
     100,          1.650000,     37.8262
     101,          1.666667,     36.3356
     102,          1.683333,     34.9355
     103,          1.700000,     33.5911
     104,          1.716667,     32.2830
     105,          1.733333,     31.0000
     106,          1.750000,     29.7420
     107,          1.766667,     28.4958
     108,          1.783333,     27.3588
     109,          1.800000,     26.3555
     110,          1.816667,     25.4508
     111,          1.833333,     24.6380
     112,          1.850000,     23.8905
     113,          1.866667,     23.2141
     114,          1.883333,     22.5960
     115,          1.900000,     22.0312
     116,          1.916667,     21.5223
     117,          1.933333,     21.0328
     118,          1.950000,     20.5771
     119,          1.966667,     20.1628
     120,          1.983333,     19.7868
     121,          2.000000,     19.4345
     122,          2.016667,     19.1021
     123,          2.033334,     18.7635
     124,          2.050000,     18.4087
     125,          2.066667,     18.0457
     126,          2.083333,     17.6662
     127,          2.100000,     17.2757
     128,          2.116667,     16.8586
     129,          2.133333,     16.4090
     130,          2.150000,     15.9385
     131,          2.166667,     15.4406
     132,          2.183333,     14.9256
     133,          2.200000,     14.4452
     134,          2.216667,     14.0368
     135,          2.233333,     13.6814
     136,          2.250000,     13.3649
     137,          2.266667,     13.0823
     138,          2.283334,     12.8185
     139,          2.300000,     12.5509
     140,          2.316667,     12.2854
     141,          2.333333,     12.0249
     142,          2.350000,     11.7645
     143,          2.366667,     11.5164
     144,          2.383333,     11.2883
     145,          2.400000,     11.0793
     146,          2.416667,     10.8782
     147,          2.433333,     10.6975
     148,          2.450000,     10.5123
     149,          2.466667,     10.3124
     150,          2.483333,     10.1158
     151,          2.500000,      9.8931
     152,          2.516667,      9.6774
     153,          2.533334,      9.4500
     154,          2.550000,      9.2118
     155,          2.566667,      8.9678
     156,          2.583333,      8.7223
     157,          2.600000,      8.4768
     158,          2.616667,      8.2482
     159,          2.633333,      8.0283
     160,          2.650000,      7.8169
     161,          2.666667,      7.6116
     162,          2.683333,      7.4177
     163,          2.700000,      7.2274
     164,          2.716667,      7.0373
     165,          2.733334,      6.8601
     166,          2.750000,      6.6458
     167,          2.766667,      6.4389
     168,          2.783334,      6.2229
     169,          2.800000,      6.0007
     170,          2.816667,      5.7667
     171,          2.833333,      5.5365
     172,          2.850000,      5.3016
     173,          2.866667,      5.0602
     174,          2.883333,      4.8244
     175,          2.900000,      4.6163
     176,          2.916667,      4.3953
     177,          2.933333,      4.1693
     178,          2.950000,      3.9530
     179,          2.966667,      3.7469
     180,          2.983334,      3.5542
     181,          3.000000,      3.3721
