"EG08_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_012.tcf]","Time (h)","H DF01.1 [EG08_012]","H DF01.2 [EG08_012]"
       1,          0.000000,     44.9990,     44.9990
       2,          0.016667,     44.9990,     44.9990
       3,          0.033333,     44.9990,     44.9990
       4,          0.050000,     44.9990,     44.9990
       5,          0.066667,     44.9990,     44.9990
       6,          0.083333,     44.9990,     44.9990
       7,          0.100000,     44.9990,     44.9990
       8,          0.116667,     44.9990,     44.9990
       9,          0.133333,     44.9990,     44.9990
      10,          0.150000,     44.9990,     44.9990
      11,          0.166667,     44.9990,     44.9990
      12,          0.183333,     44.9990,     44.9990
      13,          0.200000,     45.3199,     44.9990
      14,          0.216667,     45.6346,     44.9990
      15,          0.233333,     45.8898,     44.9990
      16,          0.250000,     46.0947,     44.9990
      17,          0.266667,     46.2683,     44.9990
      18,          0.283333,     46.4320,     44.9990
      19,          0.300000,     46.5914,     44.9990
      20,          0.316667,     46.7495,     44.9990
      21,          0.333333,     46.8991,     44.9990
      22,          0.350000,     47.0433,     44.9990
      23,          0.366667,     47.1776,     44.9990
      24,          0.383333,     47.3049,     44.9990
      25,          0.400000,     47.4076,     44.9990
      26,          0.416667,     47.4837,     44.9990
      27,          0.433333,     47.5168,     45.2052
      28,          0.450000,     47.5101,     45.4735
      29,          0.466667,     47.4646,     45.6528
      30,          0.483333,     47.3764,     45.8148
      31,          0.500000,     47.4237,     45.7314
      32,          0.516667,     47.8312,     45.2518
      33,          0.533333,     48.1357,     44.9990
      34,          0.550000,     48.4551,     44.9990
      35,          0.566667,     48.7755,     44.9990
      36,          0.583333,     49.0804,     44.9990
      37,          0.600000,     49.3676,     45.1691
      38,          0.616667,     49.6215,     45.4266
      39,          0.633333,     49.8442,     45.6426
      40,          0.650000,     50.0426,     45.8405
      41,          0.666667,     50.2219,     46.0411
      42,          0.683333,     50.3814,     46.2446
      43,          0.700000,     50.5168,     46.4382
      44,          0.716667,     50.6352,     46.6089
      45,          0.733333,     50.7361,     46.7666
      46,          0.750000,     50.8211,     46.8973
      47,          0.766667,     50.8911,     47.0072
      48,          0.783333,     50.9443,     47.1110
      49,          0.800000,     50.9836,     47.1976
      50,          0.816667,     51.0097,     47.2727
      51,          0.833333,     51.0239,     47.3380
      52,          0.850000,     51.0271,     47.3945
      53,          0.866667,     51.0195,     47.4437
      54,          0.883333,     51.0023,     47.4867
      55,          0.900000,     50.9764,     47.5247
      56,          0.916667,     50.9427,     47.5577
      57,          0.933333,     50.9018,     47.5868
      58,          0.950000,     50.8532,     47.6124
      59,          0.966667,     50.7981,     47.6343
      60,          0.983333,     50.7368,     47.6533
      61,          1.000000,     50.6697,     47.6693
      62,          1.016667,     50.6059,     47.6699
      63,          1.033333,     50.5522,     47.6453
      64,          1.050000,     50.5030,     47.6213
      65,          1.066667,     50.4577,     47.5993
      66,          1.083333,     50.4157,     47.5793
      67,          1.100000,     50.3763,     47.5607
      68,          1.116667,     50.3365,     47.5423
      69,          1.133333,     50.2969,     47.5241
      70,          1.150000,     50.2574,     47.5060
      71,          1.166667,     50.2179,     47.4880
      72,          1.183333,     50.1783,     47.4699
      73,          1.200000,     50.1383,     47.4517
      74,          1.216667,     50.0975,     47.4332
      75,          1.233333,     50.0560,     47.4143
      76,          1.250000,     50.0139,     47.3951
      77,          1.266667,     49.9708,     47.3752
      78,          1.283333,     49.9252,     47.3543
      79,          1.300000,     49.8775,     47.3322
      80,          1.316667,     49.8272,     47.3089
      81,          1.333333,     49.7748,     47.2841
      82,          1.350000,     49.7202,     47.2585
      83,          1.366667,     49.6634,     47.2317
      84,          1.383333,     49.6043,     47.2036
      85,          1.400000,     49.5430,     47.1741
      86,          1.416667,     49.4797,     47.1435
      87,          1.433333,     49.4138,     47.1115
      88,          1.450000,     49.3471,     47.0784
      89,          1.466667,     49.2792,     47.0448
      90,          1.483333,     49.2107,     47.0096
      91,          1.500000,     49.1410,     46.9727
      92,          1.516667,     49.0704,     46.9342
      93,          1.533333,     48.9995,     46.8957
      94,          1.550000,     48.9282,     46.8561
      95,          1.566667,     48.8557,     46.8152
      96,          1.583333,     48.7822,     46.7722
      97,          1.600000,     48.7072,     46.7269
      98,          1.616667,     48.6358,     46.6822
      99,          1.633333,     48.5687,     46.6381
     100,          1.650000,     48.5046,     46.5965
     101,          1.666667,     48.4433,     46.5532
     102,          1.683333,     48.3844,     46.5112
     103,          1.700000,     48.3265,     46.4700
     104,          1.716667,     48.2687,     46.4304
     105,          1.733333,     48.2108,     46.3909
     106,          1.750000,     48.1525,     46.3513
     107,          1.766667,     48.0934,     46.3107
     108,          1.783333,     48.0381,     46.2720
     109,          1.800000,     47.9881,     46.2357
     110,          1.816667,     47.9420,     46.2006
     111,          1.833333,     47.8998,     46.1696
     112,          1.850000,     47.8602,     46.1384
     113,          1.866667,     47.8237,     46.1106
     114,          1.883333,     47.7899,     46.0839
     115,          1.900000,     47.7584,     46.0604
     116,          1.916667,     47.7297,     46.0392
     117,          1.933333,     47.7016,     46.0188
     118,          1.950000,     47.6752,     45.9995
     119,          1.966667,     47.6508,     45.9815
     120,          1.983333,     47.6284,     45.9650
     121,          2.000000,     47.6073,     45.9498
     122,          2.016667,     47.5871,     45.9354
     123,          2.033334,     47.5663,     45.9213
     124,          2.050000,     47.5443,     45.9068
     125,          2.066667,     47.5216,     45.8918
     126,          2.083333,     47.4975,     45.8761
     127,          2.100000,     47.4724,     45.8595
     128,          2.116667,     47.4453,     45.8418
     129,          2.133333,     47.4156,     45.8226
     130,          2.150000,     47.3840,     45.8021
     131,          2.166667,     47.3499,     45.7801
     132,          2.183333,     47.3140,     45.7561
     133,          2.200000,     47.2799,     45.7303
     134,          2.216667,     47.2502,     45.7080
     135,          2.233333,     47.2241,     45.6879
     136,          2.250000,     47.2004,     45.6695
     137,          2.266667,     47.1789,     45.6529
     138,          2.283334,     47.1587,     45.6381
     139,          2.300000,     47.1379,     45.6219
     140,          2.316667,     47.1170,     45.6063
     141,          2.333333,     47.0963,     45.5910
     142,          2.350000,     47.0753,     45.5756
     143,          2.366667,     47.0550,     45.5606
     144,          2.383333,     47.0361,     45.5462
     145,          2.400000,     47.0186,     45.5319
     146,          2.416667,     47.0016,     45.5183
     147,          2.433333,     46.9862,     45.5043
     148,          2.450000,     46.9702,     45.4911
     149,          2.466667,     46.9528,     45.4782
     150,          2.483333,     46.9356,     45.4654
     151,          2.500000,     46.9157,     45.4516
     152,          2.516667,     46.8961,     45.4373
     153,          2.533334,     46.8753,     45.4227
     154,          2.550000,     46.8532,     45.4073
     155,          2.566667,     46.8303,     45.3910
     156,          2.583333,     46.8068,     45.3744
     157,          2.600000,     46.7829,     45.3579
     158,          2.616667,     46.7602,     45.3412
     159,          2.633333,     46.7382,     45.3250
     160,          2.650000,     46.7166,     45.3089
     161,          2.666667,     46.6954,     45.2931
     162,          2.683333,     46.6749,     45.2776
     163,          2.700000,     46.6545,     45.2627
     164,          2.716667,     46.6337,     45.2476
     165,          2.733334,     46.6143,     45.2336
     166,          2.750000,     46.5903,     45.2171
     167,          2.766667,     46.5667,     45.2006
     168,          2.783334,     46.5415,     45.1835
     169,          2.800000,     46.5152,     45.1651
     170,          2.816667,     46.4868,     45.1452
     171,          2.833333,     46.4582,     45.1234
     172,          2.850000,     46.4283,     45.1010
     173,          2.866667,     46.3968,     45.0757
     174,          2.883333,     46.3652,     45.0485
     175,          2.900000,     46.3364,     45.0205
     176,          2.916667,     46.3053,     44.9990
     177,          2.933333,     46.2723,     44.9990
     178,          2.950000,     46.2399,     44.9990
     179,          2.966667,     46.2079,     44.9990
     180,          2.983334,     46.1772,     44.9990
     181,          3.000000,     46.1472,     44.9990
