"EG08_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_012.tcf]","Time (h)","Q DF01 [EG08_012]","Q PF01 [EG08_012]"
       1,          0.000000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000
       3,          0.033333,           0.000,           0.000
       4,          0.050000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000
       6,          0.083333,           0.000,           0.000
       7,          0.100000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000
       9,          0.133333,           0.000,           0.000
      10,          0.150000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000
      12,          0.183333,           0.000,           0.000
      13,          0.200000,           0.000,           0.000
      14,          0.216667,           0.000,           0.000
      15,          0.233333,           0.000,           0.000
      16,          0.250000,           0.000,           0.000
      17,          0.266667,           0.000,           0.000
      18,          0.283333,           0.000,           0.000
      19,          0.300000,           0.000,           0.000
      20,          0.316667,           0.000,           0.000
      21,          0.333333,           0.000,           0.000
      22,          0.350000,           0.000,           0.028
      23,          0.366667,           0.000,           0.542
      24,          0.383333,           0.000,           1.755
      25,          0.400000,           0.000,           3.711
      26,          0.416667,           0.000,           6.422
      27,          0.433333,           0.000,           9.833
      28,          0.450000,           0.000,          13.867
      29,          0.466667,           0.000,          17.677
      30,          0.483333,           0.000,          21.213
      31,          0.500000,           0.000,          12.558
      32,          0.516667,           0.000,           0.000
      33,          0.533333,           0.147,           0.000
      34,          0.550000,           0.914,           0.000
      35,          0.566667,           2.519,           0.000
      36,          0.583333,           5.021,           0.000
      37,          0.600000,           8.422,           0.000
      38,          0.616667,          12.483,           0.000
      39,          0.633333,          17.057,           0.000
      40,          0.650000,          22.069,           0.000
      41,          0.666667,          27.486,           0.000
      42,          0.683333,          33.178,           0.000
      43,          0.700000,          38.918,           0.000
      44,          0.716667,          44.754,           0.000
      45,          0.733333,          50.573,           0.000
      46,          0.750000,          56.331,           0.000
      47,          0.766667,          61.966,           0.000
      48,          0.783333,          67.346,           0.000
