"EG08_013 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_013.tcf]","Time (h)","F DF01.1 [EG08_013]","F DF01.2 [EG08_013]"
       1,          0.000000,E,E
       2,          0.016667,E,E
       3,          0.033333,E,E
       4,          0.050000,E,E
       5,          0.066667,E,E
       6,          0.083333,E,E
       7,          0.100000,E,E
       8,          0.116667,E,E
       9,          0.133333,E,E
      10,          0.150000,E,E
      11,          0.166667,E,E
      12,          0.183333,E,E
      13,          0.200000,,E
      14,          0.216667,,E
      15,          0.233333,,E
      16,          0.250000,,E
      17,          0.266667,,E
      18,          0.283333,,E
      19,          0.300000,,E
      20,          0.316667,,E
      21,          0.333333,,E
      22,          0.350000,,E
      23,          0.366667,,E
      24,          0.383333,,E
      25,          0.400000,,E
      26,          0.416667,,E
      27,          0.433333,,E
      28,          0.450000,,E
      29,          0.466667,,E
      30,          0.483333,,E
      31,          0.500000,,E
      32,          0.516667,,E
      33,          0.533333,,
      34,          0.550000,,
      35,          0.566667,,
      36,          0.583333,,
      37,          0.600000,,
      38,          0.616667,,
      39,          0.633333,,
      40,          0.650000,,
      41,          0.666667,,
      42,          0.683333,,
      43,          0.700000,,
      44,          0.716667,,
      45,          0.733333,,
      46,          0.750000,,
      47,          0.766667,,
      48,          0.783333,,
      49,          0.800000,,
      50,          0.816667,,
      51,          0.833333,,
      52,          0.850000,,
      53,          0.866667,,
      54,          0.883333,,
      55,          0.900000,,
      56,          0.916667,,
      57,          0.933333,,
      58,          0.950000,,
      59,          0.966667,,
      60,          0.983333,,
      61,          1.000000,,
      62,          1.016667,,
      63,          1.033333,,
      64,          1.050000,,
      65,          1.066667,,
      66,          1.083333,,
      67,          1.100000,,
      68,          1.116667,,
      69,          1.133333,,
      70,          1.150000,,
      71,          1.166667,,
      72,          1.183333,,
      73,          1.200000,,
      74,          1.216667,,
      75,          1.233333,,
      76,          1.250000,,
      77,          1.266667,,
      78,          1.283333,,
      79,          1.300000,,
      80,          1.316667,,
      81,          1.333333,,
      82,          1.350000,,
      83,          1.366667,,
      84,          1.383333,,
      85,          1.400000,,
      86,          1.416667,,
      87,          1.433333,,
      88,          1.450000,,
      89,          1.466667,,
      90,          1.483333,,
      91,          1.500000,,
      92,          1.516667,,
      93,          1.533333,,
      94,          1.550000,,
      95,          1.566667,,
      96,          1.583333,,
      97,          1.600000,,
      98,          1.616667,,
      99,          1.633333,,
     100,          1.650000,,
     101,          1.666667,,
     102,          1.683333,,
     103,          1.700000,,
     104,          1.716667,,
     105,          1.733333,,
     106,          1.750000,,
     107,          1.766667,,
     108,          1.783333,,
     109,          1.800000,,
     110,          1.816667,,
     111,          1.833333,,
     112,          1.850000,,
     113,          1.866667,,
     114,          1.883333,,
     115,          1.900000,,
     116,          1.916667,,
     117,          1.933333,,
     118,          1.950000,,
     119,          1.966667,,
     120,          1.983333,,
     121,          2.000000,,
     122,          2.016667,,
     123,          2.033334,,
     124,          2.050000,,
     125,          2.066667,,
     126,          2.083333,,
     127,          2.100000,,
     128,          2.116667,,
     129,          2.133333,,
     130,          2.150000,,
     131,          2.166667,,
     132,          2.183333,,
     133,          2.200000,,
     134,          2.216667,,
     135,          2.233333,,
     136,          2.250000,,
     137,          2.266667,,
     138,          2.283334,,
     139,          2.300000,,
     140,          2.316667,,
     141,          2.333333,,
     142,          2.350000,,
     143,          2.366667,,
     144,          2.383333,,
     145,          2.400000,,
     146,          2.416667,,
     147,          2.433333,,
     148,          2.450000,,
     149,          2.466667,,
     150,          2.483333,,
     151,          2.500000,,
     152,          2.516667,,
     153,          2.533334,,
     154,          2.550000,,
     155,          2.566667,,
     156,          2.583333,,
     157,          2.600000,,
     158,          2.616667,,
     159,          2.633333,,
     160,          2.650000,,
     161,          2.666667,,
     162,          2.683333,,
     163,          2.700000,,
     164,          2.716667,,
     165,          2.733334,,
     166,          2.750000,,
     167,          2.766667,,
     168,          2.783334,,
     169,          2.800000,,
     170,          2.816667,,
     171,          2.833333,,
     172,          2.850000,,
     173,          2.866667,,
     174,          2.883333,,
     175,          2.900000,,
     176,          2.916667,,E
     177,          2.933333,,E
     178,          2.950000,,E
     179,          2.966667,,E
     180,          2.983334,,E
     181,          3.000000,,E
