"EG08_013 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_013.tcf]","Time(h)","V DF01 [EG08_013]"
       1,          0.000000,    0.000
       2,          0.016667,    0.000
       3,          0.033333,    0.000
       4,          0.050000,    0.000
       5,          0.066667,    0.000
       6,          0.083333,    0.000
       7,          0.100000,    0.000
       8,          0.116667,    0.000
       9,          0.133333,    0.000
      10,          0.150000,    0.000
      11,          0.166667,    0.000
      12,          0.183333,    0.000
      13,          0.200000,    0.000
      14,          0.216667,    0.000
      15,          0.233333,    0.000
      16,          0.250000,    0.000
      17,          0.266667,    0.000
      18,          0.283333,    0.000
      19,          0.300000,    0.000
      20,          0.316667,    0.000
      21,          0.333333,    0.000
      22,          0.350000,    0.000
      23,          0.366667,    0.000
      24,          0.383333,    0.000
      25,          0.400000,    0.000
      26,          0.416667,    0.070
      27,          0.433333,    0.640
      28,          0.450000,    0.910
      29,          0.466667,    1.117
      30,          0.483333,    1.289
      31,          0.500000,    1.437
      32,          0.516667,    1.570
      33,          0.533333,    1.705
      34,          0.550000,    1.839
      35,          0.566667,    1.965
      36,          0.583333,    2.083
      37,          0.600000,    2.193
      38,          0.616667,    2.289
      39,          0.633333,    2.375
      40,          0.650000,    2.453
      41,          0.666667,    2.524
      42,          0.683333,    2.588
      43,          0.700000,    2.645
      44,          0.716667,    2.696
      45,          0.733333,    2.741
      46,          0.750000,    2.782
      47,          0.766667,    2.819
      48,          0.783333,    2.851
      49,          0.800000,    2.880
      50,          0.816667,    2.905
      51,          0.833333,    2.928
      52,          0.850000,    2.947
      53,          0.866667,    2.954
      54,          0.883333,    2.947
      55,          0.900000,    2.942
      56,          0.916667,    2.938
      57,          0.933333,    2.934
      58,          0.950000,    2.931
      59,          0.966667,    2.928
      60,          0.983333,    2.925
      61,          1.000000,    2.922
      62,          1.016667,    2.920
      63,          1.033333,    2.917
      64,          1.050000,    2.915
      65,          1.066667,    2.912
      66,          1.083333,    2.909
      67,          1.100000,    2.906
      68,          1.116667,    2.902
      69,          1.133333,    2.897
      70,          1.150000,    2.892
      71,          1.166667,    2.886
      72,          1.183333,    2.879
      73,          1.200000,    2.871
      74,          1.216667,    2.863
      75,          1.233333,    2.855
      76,          1.250000,    2.845
      77,          1.266667,    2.835
      78,          1.283333,    2.824
      79,          1.300000,    2.812
      80,          1.316667,    2.799
      81,          1.333333,    2.786
      82,          1.350000,    2.771
      83,          1.366667,    2.755
      84,          1.383333,    2.739
      85,          1.400000,    2.721
      86,          1.416667,    2.703
      87,          1.433333,    2.684
      88,          1.450000,    2.664
      89,          1.466667,    2.644
      90,          1.483333,    2.623
      91,          1.500000,    2.602
      92,          1.516667,    2.580
      93,          1.533333,    2.557
      94,          1.550000,    2.535
      95,          1.566667,    2.512
      96,          1.583333,    2.488
      97,          1.600000,    2.463
      98,          1.616667,    2.440
      99,          1.633333,    2.417
     100,          1.650000,    2.395
     101,          1.666667,    2.375
     102,          1.683333,    2.354
     103,          1.700000,    2.334
     104,          1.716667,    2.314
     105,          1.733333,    2.293
     106,          1.750000,    2.273
     107,          1.766667,    2.251
     108,          1.783333,    2.231
     109,          1.800000,    2.213
     110,          1.816667,    2.196
     111,          1.833333,    2.180
     112,          1.850000,    2.165
     113,          1.866667,    2.151
     114,          1.883333,    2.138
     115,          1.900000,    2.126
     116,          1.916667,    2.115
     117,          1.933333,    2.104
     118,          1.950000,    2.094
     119,          1.966667,    2.084
     120,          1.983333,    2.076
     121,          2.000000,    2.067
     122,          2.016667,    2.059
     123,          2.033334,    2.051
     124,          2.050000,    2.042
     125,          2.066667,    2.033
     126,          2.083333,    2.023
     127,          2.100000,    2.013
     128,          2.116667,    2.002
     129,          2.133333,    1.990
     130,          2.150000,    1.977
     131,          2.166667,    1.962
     132,          2.183333,    1.947
     133,          2.200000,    1.933
     134,          2.216667,    1.920
     135,          2.233333,    1.909
     136,          2.250000,    1.899
     137,          2.266667,    1.890
     138,          2.283334,    1.881
     139,          2.300000,    1.872
     140,          2.316667,    1.863
     141,          2.333333,    1.854
     142,          2.350000,    1.844
     143,          2.366667,    1.835
     144,          2.383333,    1.827
     145,          2.400000,    1.819
     146,          2.416667,    1.811
     147,          2.433333,    1.804
     148,          2.450000,    1.797
     149,          2.466667,    1.789
     150,          2.483333,    1.781
     151,          2.500000,    1.772
     152,          2.516667,    1.763
     153,          2.533334,    1.753
     154,          2.550000,    1.743
     155,          2.566667,    1.732
     156,          2.583333,    1.721
     157,          2.600000,    1.709
     158,          2.616667,    1.698
     159,          2.633333,    1.688
     160,          2.650000,    1.677
     161,          2.666667,    1.667
     162,          2.683333,    1.657
     163,          2.700000,    1.647
     164,          2.716667,    1.636
     165,          2.733334,    1.626
     166,          2.750000,    1.614
     167,          2.766667,    1.602
     168,          2.783334,    1.589
     169,          2.800000,    1.576
     170,          2.816667,    1.561
     171,          2.833333,    1.546
     172,          2.850000,    1.530
     173,          2.866667,    1.513
     174,          2.883333,    1.496
     175,          2.900000,    1.480
     176,          2.916667,    1.462
     177,          2.933333,    1.444
     178,          2.950000,    1.425
     179,          2.966667,    1.407
     180,          2.983334,    1.389
     181,          3.000000,    1.371
