"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,              ,  0.000000    ,  37.58951    ,  5.079493    ,  0.000000    ,  5.079493    ,  37.58951    , -32.51001    , -32.50948    , 0.5375794E-03, 0.1259883E-02,  42.66900    ,  236.8473    ,  42.66900    , 0.5375794E-03, 0.2269730E-03, 0.1259883E-02
         0.033,              ,  0.000000    ,  26.21555    ,  15.23246    ,  0.000000    ,  15.23246    ,  26.21555    , -10.98309    , -10.84821    , 0.1348790    , 0.3254172    ,  41.44801    ,  225.9991    ,  84.11701    , 0.1354165    , 0.5991907E-01, 0.1609859    
         0.050,              ,  0.000000    ,  21.02676    ,  25.74225    ,  0.000000    ,  25.74225    ,  21.02676    ,  4.715489    ,  5.134159    , 0.4186697    , 0.8951864    ,  46.76900    ,  231.1333    ,  130.8860    , 0.5540863    , 0.2397259    , 0.4233350    
         0.067,              ,  0.000000    ,  17.47646    ,  36.34896    ,  0.000000    ,  36.34896    ,  17.47646    ,  18.87251    ,  19.43727    , 0.5647596    ,  1.049243    ,  53.82542    ,  250.5705    ,  184.7114    ,  1.118846    , 0.4465193    , 0.6057264    
         0.083,              ,  0.000000    ,  14.79979    ,  47.07951    ,  0.000000    ,  47.07951    ,  14.79979    ,  32.27973    ,  32.92438    , 0.6446511    ,  1.041788    ,  61.87930    ,  283.4949    ,  246.5907    ,  1.763497    , 0.6220559    , 0.7151513    
         0.100,              ,  0.000000    ,  12.74334    ,  68.95092    ,  0.000000    ,  68.95092    ,  12.74334    ,  56.20758    ,  56.95799    , 0.7504171    , 0.9185677    ,  81.69426    ,  340.4529    ,  328.2850    ,  2.513914    , 0.7384030    , 0.7657719    
         0.117,              ,  0.000000    ,  11.14844    ,  96.98175    ,  0.000000    ,  96.98175    ,  11.14844    ,  85.83330    ,  86.41875    , 0.5854509    , 0.5414314    ,  108.1302    ,  426.8716    ,  436.4152    ,  3.099365    , 0.7101873    , 0.7101873    
         0.133,              ,  0.000000    ,  9.798617    ,  123.6288    ,  0.000000    ,  123.6288    ,  9.798617    ,  113.8302    ,  115.0291    ,  1.198909    , 0.8985478    ,  133.4274    ,  541.9007    ,  569.8426    ,  4.298274    , 0.7542915    , 0.7542915    
         0.150,              ,  0.000000    ,  8.664500    ,  151.4819    ,  0.000000    ,  151.4819    ,  8.664500    ,  142.8174    ,  143.7171    , 0.8996388    , 0.5617601    ,  160.1464    ,  685.6178    ,  729.9890    ,  5.197913    , 0.7120536    , 0.7120536    
