"Time (h) ","All 1D Domains:","H V In      ","H V Out     ","Q V In      ","Q V Out     ","QR V In     ","QR V Out    ","X1DH V In   ","X1DH V Out  ","X1DQ V In   ","X1DQ V Out  ","SX2D V In   ","SX2D V Out  ","HX2D V In   ","HX2D V Out  ","Q2D V In    ","Q2D V Out   ","Vol In-Out  ","dVol        ","Vol Err     ","Q ME (%)    ","Total Vol   ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.2307932E-01,  5.079493    ,  0.000000    ,  5.056414    ,  5.053956    ,-0.2458367E-02,-0.4817898E-01,  5.053956    ,  5.102573    ,-0.2458367E-02,-0.4817898E-01,-0.4817898E-01
         0.033,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1.257821    ,  15.23246    ,  0.000000    ,  13.97464    ,  13.97404    ,-0.6006839E-03,-0.3642654E-02,  19.02799    ,  21.59285    ,-0.3059051E-02,-0.1416696E-01,-0.1416696E-01
         0.050,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  6.897937    ,  25.74225    ,  0.000000    ,  18.84431    ,  18.84005    ,-0.4263485E-02,-0.1306207E-01,  37.86804    ,  54.23304    ,-0.7322536E-02,-0.1350198E-01,-0.1350198E-01
         0.067,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  16.85513    ,  36.34896    ,  0.000000    ,  19.49384    ,  19.49417    , 0.3314465E-03, 0.6229719E-03,  57.36221    ,  107.4371    ,-0.6991090E-02,-0.6507145E-02,-0.6507145E-02
         0.083,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  28.64130    ,  47.07951    ,  0.000000    ,  18.43822    ,  18.43924    , 0.1023114E-02, 0.1351166E-02,  75.80145    ,  183.1579    ,-0.5967976E-02,-0.3258377E-02,-0.3258377E-02
         0.100,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  44.28587    ,  68.95092    ,  0.000000    ,  24.66505    ,  24.66223    ,-0.2816707E-02,-0.2487449E-02,  100.4637    ,  296.3947    ,-0.8784683E-02,-0.2963846E-02,-0.2963846E-02
         0.117,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  68.06632    ,  96.98175    ,  0.000000    ,  28.91543    ,  28.91584    , 0.4112422E-03, 0.2491651E-03,  129.3795    ,  461.4428    ,-0.8373441E-02,-0.1814622E-02,-0.1814622E-02
         0.133,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  95.21876    ,  123.6288    ,  0.000000    ,  28.41001    ,  28.41026    , 0.2494454E-03, 0.1139814E-03,  157.7898    ,  680.2903    ,-0.8123995E-02,-0.1194195E-02,-0.1194195E-02
         0.150,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  123.9843    ,  151.4819    ,  0.000000    ,  27.49762    ,  27.50380    , 0.6177843E-02, 0.2242686E-02,  185.2936    ,  955.7566    ,-0.1946153E-02,-0.2036243E-03,-0.2036243E-03
