"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.017,         129,         0,         0,  1.354679    , 0.1666667E-01,  0.000000    ,  37.58951    , 0.2604442E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -37.56346    , -37.56343    , 0.3085283E-04,  231.7934    ,     0.000
         0.033,         162,         0,         0,  2.500000    , 0.3333334E-01,  0.000000    ,  26.21555    ,  1.393323    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -24.82223    , -24.82225    ,-0.2272543E-04,  206.9711    ,    -0.000
         0.050,         186,         0,         0,  2.500000    , 0.5000000E-01,  0.000000    ,  21.02676    ,  7.320840    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -13.70592    , -13.70589    , 0.2977252E-04,  193.2652    ,     0.000
         0.067,         210,         0,         0,  2.500000    , 0.6666667E-01,  0.000000    ,  17.47646    ,  17.41959    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,-0.5686373E-01,-0.5690002E-01,-0.3629923E-04,  193.2083    ,    -0.000
         0.083,         234,         0,         0,  2.500000    , 0.8333334E-01,  0.000000    ,  14.79979    ,  29.28489    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  14.48510    ,  14.48514    , 0.3904104E-04,  207.6935    ,     0.000
         0.100,         260,         0,         0,  2.273872    , 0.1000000    ,  0.000000    ,  12.74334    ,  45.03913    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  32.29579    ,  32.29576    ,-0.2604723E-04,  239.9892    ,    -0.000
         0.117,         289,         0,         0,  2.080014    , 0.1166667    ,  0.000000    ,  11.14844    ,  68.65137    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  57.50292    ,  57.50291    ,-0.7241964E-05,  297.4921    ,    -0.000
         0.133,         320,         0,         0,  1.936995    , 0.1333333    ,  0.000000    ,  9.798617    ,  96.41735    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  86.61873    ,  86.61880    , 0.7367134E-04,  384.1109    ,     0.000
         0.150,         353,         0,         0,  1.830923    , 0.1500000    ,  0.000000    ,  8.664500    ,  124.8778    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  116.2133    ,  116.2133    , 0.3218651E-05,  500.3242    ,     0.000
         0.167,         388,         0,         0,  1.748466    , 0.1666667    ,  0.000000    ,  7.706212    ,  154.2061    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  146.4999    ,  146.4997    ,-0.2079606E-03,  646.8239    ,    -0.000
         0.183,         424,         0,         0,  1.669824    , 0.1833333    ,  0.000000    ,  6.891352    ,  181.9915    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  6.699764    ,  6.699763    ,  0.000000    ,  0.000000    ,  175.1002    ,  175.1003    , 0.1028180E-03,  821.9242    ,     0.000
         0.200,         462,         0,         0,  1.563350    , 0.2000000    ,  0.000000    ,  6.192877    ,  203.4907    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  61.19338    ,  61.19338    ,  0.000000    ,  0.000000    ,  197.2978    ,  197.2979    , 0.5584955E-04,  1019.222    ,     0.000
         0.217,         503,         0,         0,  1.472807    , 0.2166667    ,  0.000000    ,  5.580767    ,  221.5762    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  103.5446    ,  103.5446    ,  0.000000    ,  0.000000    ,  215.9954    ,  215.9952    ,-0.1793951E-03,  1235.217    ,    -0.000
         0.233,         546,         0,         0,  1.411174    , 0.2333333    ,  0.000000    ,  5.063115    ,  238.5714    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  137.1877    ,  137.1877    ,  0.000000    ,  0.000000    ,  233.5083    ,  233.5083    , 0.2366304E-04,  1468.726    ,     0.000
         0.250,         590,         0,         0,  1.368293    , 0.2500000    ,  0.000000    ,  4.662479    ,  255.0746    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  164.5278    ,  164.5278    ,  0.000000    ,  0.000000    ,  250.4121    ,  250.4125    , 0.3438443E-03,  1719.138    ,     0.000
         0.267,         635,         0,         0,  1.335750    , 0.2666667    ,  0.000000    ,  4.290304    ,  274.0514    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  188.1270    ,  188.1270    ,  0.000000    ,  0.000000    ,  269.7611    ,  269.7610    ,-0.6502867E-04,  1988.899    ,    -0.000
