"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,              ,  0.000000    ,  37.55043    ,  8.933060    ,  0.000000    ,  8.933060    ,  37.55043    , -28.61737    , -28.60608    , 0.1129174E-01, 0.2429194E-01,  46.48349    ,  240.7507    ,  46.48349    , 0.1129174E-01, 0.4690221E-02, 0.2429194E-01
         0.033,              ,  0.000000    ,  26.23120    ,  26.69593    ,  0.000000    ,  26.69593    ,  26.23120    , 0.4647300    , 0.7856054    , 0.3208754    , 0.6062589    ,  52.92712    ,  241.5363    ,  99.41062    , 0.3321672    , 0.1375227    , 0.3341365    
         0.050,              ,  0.000000    ,  21.02980    ,  44.96214    ,  0.000000    ,  44.96214    ,  21.02980    ,  23.93234    ,  24.84322    , 0.9108862    ,  1.380299    ,  65.99193    ,  266.3795    ,  165.4026    ,  1.243053    , 0.4666475    , 0.7515322    
         0.067,              ,  0.000000    ,  17.48369    ,  63.88877    ,  0.000000    ,  63.88877    ,  17.48369    ,  46.40507    ,  47.29702    , 0.8919420    ,  1.096123    ,  81.37246    ,  313.6765    ,  246.7750    ,  2.134995    , 0.6806360    , 0.8651587    
         0.083,              ,  0.000000    ,  14.81250    ,  83.48343    ,  0.000000    ,  83.48343    ,  14.81250    ,  68.67093    ,  68.99607    , 0.3251403    , 0.3307770    ,  98.29593    ,  382.6726    ,  345.0709    ,  2.460136    , 0.6428826    , 0.7129362    
         0.100,              ,  0.000000    ,  12.74936    ,  120.0317    ,  0.000000    ,  120.0317    ,  12.74936    ,  107.2823    ,  109.0311    ,  1.748794    ,  1.317051    ,  132.7810    ,  491.7037    ,  477.8520    ,  4.208930    , 0.8559889    , 0.8808020    
         0.117,              ,  0.000000    ,  11.15008    ,  169.1184    ,  0.000000    ,  169.1184    ,  11.15008    ,  157.9683    ,  159.3094    ,  1.341046    , 0.7439157    ,  180.2685    ,  651.0131    ,  658.1205    ,  5.549975    , 0.8433069    , 0.8433069    
         0.133,              ,  0.000000    ,  9.799161    ,  216.7788    ,  0.000000    ,  216.7788    ,  9.799161    ,  206.9796    ,  208.6799    ,  1.700342    , 0.7504445    ,  226.5779    ,  859.6931    ,  884.6984    ,  7.250317    , 0.8195241    , 0.8195241    
         0.150,              ,  0.000000    ,  8.665250    ,  266.0790    ,  0.000000    ,  266.0790    ,  8.665250    ,  257.4138    ,  257.9911    , 0.5773635    , 0.2101458    ,  274.7443    ,  1117.684    ,  1159.443    ,  7.827680    , 0.6751244    , 0.6751244    
         0.167,              ,  0.000000    ,  7.706363    ,  313.1334    ,  0.000000    ,  313.1334    ,  7.706363    ,  305.4270    ,  306.7596    ,  1.332641    , 0.4153603    ,  320.8397    ,  1424.444    ,  1480.282    ,  9.160321    , 0.6188226    , 0.6188226    
