"Time (h) ","All 1D Domains:","H V In      ","H V Out     ","Q V In      ","Q V Out     ","QR V In     ","QR V Out    ","X1DH V In   ","X1DH V Out  ","X1DQ V In   ","X1DQ V Out  ","SX2D V In   ","SX2D V Out  ","HX2D V In   ","HX2D V Out  ","Q2D V In    ","Q2D V Out   ","Vol In-Out  ","dVol        ","Vol Err     ","Q ME (%)    ","Total Vol   ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , 0.9564270E-01,  8.933060    ,  0.000000    ,  8.837417    ,  8.838376    , 0.9589553E-03, 0.1062119E-01,  8.838376    ,  9.028702    , 0.9589553E-03, 0.1062119E-01, 0.1062119E-01
         0.033,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3.663315    ,  26.69593    ,  0.000000    ,  23.03261    ,  23.03304    , 0.4295290E-03, 0.1414821E-02,  31.87142    ,  39.38795    , 0.1388484E-02, 0.3525150E-02, 0.3525150E-02
         0.050,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  16.24901    ,  44.96214    ,  0.000000    ,  28.71312    ,  28.71256    ,-0.5595647E-03,-0.9141547E-03,  60.58398    ,  100.5991    , 0.8289196E-03, 0.8239832E-03, 0.8239832E-03
         0.067,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  35.29656    ,  63.88877    ,  0.000000    ,  28.59221    ,  28.59406    , 0.1849890E-02, 0.1865084E-02,  89.17804    ,  199.7844    , 0.2678809E-02, 0.1340850E-02, 0.1340850E-02
         0.083,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  57.14800    ,  83.48343    ,  0.000000    ,  26.33543    ,  26.33231    ,-0.3117621E-02,-0.2216874E-02,  115.5104    ,  340.4158    ,-0.4388116E-03,-0.1289046E-03,-0.1289046E-03
         0.100,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  84.14125    ,  120.0317    ,  0.000000    ,  35.89044    ,  35.88845    ,-0.1986802E-02,-0.9730975E-03,  151.3988    ,  544.5888    ,-0.2425613E-02,-0.4454027E-03,-0.4454027E-03
         0.117,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  126.5331    ,  169.1184    ,  0.000000    ,  42.58537    ,  42.58575    , 0.3814101E-03, 0.1290067E-03,  193.9846    ,  840.2402    ,-0.2044203E-02,-0.2432879E-03,-0.2432879E-03
         0.133,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  174.9202    ,  216.7788    ,  0.000000    ,  41.85852    ,  41.85681    ,-0.1711845E-02,-0.4370309E-03,  235.8414    ,  1231.939    ,-0.3756048E-02,-0.3048891E-03,-0.3048891E-03
         0.150,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  226.2730    ,  266.0790    ,  0.000000    ,  39.80601    ,  39.81015    , 0.4136086E-02, 0.8400668E-03,  275.6515    ,  1724.291    , 0.3800371E-03, 0.2204019E-04, 0.2204019E-04
         0.167,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  22.86732    ,  22.86732    ,  0.000000    ,  275.3557    ,  313.1334    ,  0.000000    ,  37.77771    ,  37.77411    ,-0.3597140E-02,-0.5671722E-03,  313.4256    ,  2358.515    ,-0.3217103E-02,-0.1364038E-03,-0.1364038E-03
         0.183,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  83.04022    ,  83.04022    ,  0.000000    ,  323.3349    ,  355.4166    ,  0.000000    ,  32.08172    ,  32.08466    , 0.2934933E-02, 0.3473984E-03,  345.5103    ,  3203.347    ,-0.2821706E-03,-0.8808617E-05,-0.8808617E-05
         0.200,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  135.7385    ,  135.7385    ,  0.000000    ,  358.6843    ,  384.2370    ,  0.000000    ,  25.55270    ,  25.54926    ,-0.3441334E-02,-0.3392488E-03,  371.0595    ,  4217.745    ,-0.3723504E-02,-0.8828187E-04,-0.8828187E-04
         0.217,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  172.3985    ,  172.3985    ,  0.000000    ,  391.2023    ,  412.3947    ,  0.000000    ,  21.19238    ,  21.19003    ,-0.2344847E-02,-0.2041849E-03,  392.2496    ,  5366.139    ,-0.6068351E-02,-0.1130860E-03,-0.1130860E-03
         0.233,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  211.1081    ,  211.1081    ,  0.000000    ,  421.9161    ,  441.6395    ,  0.000000    ,  19.72340    ,  19.72833    , 0.4928350E-02, 0.3832990E-03,  411.9779    ,  6651.911    ,-0.1140001E-02,-0.1713794E-04,-0.1713794E-04
         0.250,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  246.3073    ,  246.3073    ,  0.000000    ,  449.7393    ,  468.6446    ,  0.000000    ,  18.90530    ,  18.88522    ,-0.2008128E-01,-0.1423197E-02,  430.8631    ,  8062.909    ,-0.2122128E-01,-0.2631964E-03,-0.2631964E-03
         0.267,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  279.0862    ,  279.0862    ,  0.000000    ,  482.7555    ,  508.0304    ,  0.000000    ,  25.27487    ,  25.27200    ,-0.2861977E-02,-0.1847678E-03,  456.1351    ,  9611.867    ,-0.2408326E-01,-0.2505575E-03,-0.2505575E-03
         0.283,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  310.4514    ,  310.4514    ,  0.000000    ,  532.1697    ,  562.4957    ,  0.000000    ,  30.32598    ,  30.33072    , 0.4737377E-02, 0.2761404E-03,  486.4659    ,  11327.44    ,-0.1934588E-01,-0.1707878E-03,-0.1707878E-03
         0.300,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  339.3710    ,  339.3710    ,  0.000000    ,  583.9430    ,  615.1608    ,  0.000000    ,  31.21775    ,  31.22214    , 0.4383564E-02, 0.2334358E-03,  517.6880    ,  13205.28    ,-0.1496232E-01,-0.1133056E-03,-0.1133056E-03
         0.317,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  373.4082    ,  373.4082    ,  0.000000    ,  636.6254    ,  669.7363    ,  0.000000    ,  33.11094    ,  33.11334    , 0.2406836E-02, 0.1172249E-03,  550.8013    ,  15258.46    ,-0.1255548E-01,-0.8228538E-04,-0.8228538E-04
         0.333,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  405.9533    ,  405.9533    ,  0.000000    ,  689.1625    ,  721.7320    ,  0.000000    ,  32.56950    ,  32.56793    ,-0.1572132E-02,-0.7072752E-04,  583.3693    ,  17481.26    ,-0.1412761E-01,-0.8081576E-04,-0.8081576E-04
         0.350,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  424.9274    ,  424.9274    ,  0.000000    ,  761.8641    ,  809.9052    ,  0.000000    ,  48.04110    ,  48.03857    ,-0.2528191E-02,-0.1044006E-03,  631.4078    ,  19902.88    ,-0.1665580E-01,-0.8368538E-04,-0.8368538E-04
         0.367,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  469.9482    ,  469.9482    ,  0.000000    ,  858.0248    ,  914.7252    ,  0.000000    ,  56.70039    ,  56.70581    , 0.5423069E-02, 0.1999180E-03,  688.1136    ,  22615.53    ,-0.1123274E-01,-0.4966824E-04,-0.4966824E-04
         0.383,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  516.2636    ,  516.2636    ,  0.000000    ,  962.5593    ,  1018.427    ,  0.000000    ,  55.86781    ,  55.87524    , 0.7435799E-02, 0.2467484E-03,  743.9889    ,  25629.04    ,-0.3796937E-02,-0.1481498E-04,-0.1481498E-04
         0.400,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  563.2758    ,  563.2758    ,  0.000000    ,  1068.518    ,  1123.282    ,  0.000000    ,  54.76430    ,  54.76758    , 0.3279686E-02, 0.9883480E-04,  798.7565    ,  28947.40    ,-0.5172513E-03,-0.1786866E-05,-0.1786866E-05
         0.417,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  605.9194    ,  605.9194    ,  0.000000    ,  1178.292    ,  1227.979    ,  0.000000    ,  49.68757    ,  49.67505    ,-0.1252460E-01,-0.3461643E-03,  848.4315    ,  32565.51    ,-0.1304186E-01,-0.4004807E-04,-0.4004807E-04
         0.433,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  634.4417    ,  634.4417    ,  0.000000    ,  1302.442    ,  1367.978    ,  0.000000    ,  65.53663    ,  65.53333    ,-0.3302574E-02,-0.8383649E-04,  913.9648    ,  36504.81    ,-0.1634443E-01,-0.4477336E-04,-0.4477336E-04
         0.450,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  662.1570    ,  662.1570    ,  0.000000    ,  1508.624    ,  1590.679    ,  0.000000    ,  82.05507    ,  82.06726    , 0.1219177E-01, 0.2756064E-03,  996.0321    ,  40928.43    ,-0.4152658E-02,-0.1014615E-04,-0.1014615E-04
         0.467,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  691.0829    ,  691.0829    ,  0.000000    ,  1722.101    ,  1815.854    ,  0.000000    ,  93.75228    ,  93.74670    ,-0.5572319E-02,-0.1132557E-03,  1089.779    ,  45848.55    ,-0.9724977E-02,-0.2121109E-04,-0.2121109E-04
         0.483,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  722.1633    ,  722.1633    ,  0.000000    ,  1953.156    ,  2036.729    ,  0.000000    ,  83.57291    ,  83.58435    , 0.1143646E-01, 0.2104530E-03,  1173.363    ,  51282.76    , 0.1711486E-02, 0.3337351E-05, 0.3337351E-05
         0.500,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  753.4923    ,  753.4923    ,  0.000000    ,  2183.744    ,  2262.845    ,  0.000000    ,  79.10081    ,  79.10193    , 0.1119614E-02, 0.1880574E-04,  1252.465    ,  57236.33    , 0.2831099E-02, 0.4946332E-05, 0.4946332E-05
         0.517,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  781.8216    ,  781.8216    ,  0.000000    ,  2589.521    ,  2757.257    ,  0.000000    ,  167.7357    ,  167.7377    , 0.2005577E-02, 0.2902250E-04,  1420.203    ,  64146.76    , 0.4836676E-02, 0.7540017E-05, 0.7540017E-05
         0.533,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  813.3689    ,  813.3689    ,  0.000000    ,  3312.729    ,  3543.456    ,  0.000000    ,  230.7268    ,  230.7272    , 0.3414154E-03, 0.4024738E-05,  1650.930    ,  72629.68    , 0.5178092E-02, 0.7129443E-05, 0.7129443E-05
         0.550,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  842.7343    ,  842.7343    ,  0.000000    ,  4082.278    ,  4300.673    ,  0.000000    ,  218.3944    ,  218.3956    , 0.1230240E-02, 0.1221880E-04,  1869.326    ,  82698.10    , 0.6408332E-02, 0.7749068E-05, 0.7749068E-05
