"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.5000000E-01,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.017,         162,         0,         0,  1.319307    , 0.1666667E-01,  0.000000    ,  37.55043    , 0.1059143    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -37.44452    , -37.44446    , 0.6119822E-04,  231.9123    ,     0.000
         0.033,         196,         0,         0,  2.500000    , 0.3333334E-01,  0.000000    ,  26.23120    ,  3.983777    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -22.24742    , -22.24744    ,-0.1570303E-04,  209.6649    ,    -0.000
         0.050,         220,         0,         0,  2.500000    , 0.5000000E-01,  0.000000    ,  21.02980    ,  17.16046    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    , -3.869338    , -3.869339    ,-0.6556511E-06,  205.7955    ,    -0.000
         0.067,         245,         0,         0,  2.373348    , 0.6666667E-01,  0.000000    ,  17.48369    ,  36.18666    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  18.70297    ,  18.70296    ,-0.1502037E-04,  224.4985    ,    -0.000
         0.083,         273,         0,         0,  2.164727    , 0.8333334E-01,  0.000000    ,  14.81250    ,  57.47624    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  42.66374    ,  42.66376    , 0.1966953E-04,  267.1623    ,     0.000
         0.100,         303,         0,         0,  1.970725    , 0.1000000    ,  0.000000    ,  12.74936    ,  85.89201    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  73.14265    ,  73.14267    , 0.1552701E-04,  340.3049    ,     0.000
         0.117,         336,         0,         0,  1.805674    , 0.1166667    ,  0.000000    ,  11.15008    ,  127.8738    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  116.7237    ,  116.7236    ,-0.5924702E-04,  457.0286    ,    -0.000
         0.133,         371,         0,         0,  1.686863    , 0.1333333    ,  0.000000    ,  9.799161    ,  176.6222    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  166.8230    ,  166.8231    , 0.9179115E-04,  623.8517    ,     0.000
         0.150,         409,         0,         0,  1.590232    , 0.1500000    ,  0.000000    ,  8.665250    ,  226.8464    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  218.1811    ,  218.1810    ,-0.1522154E-03,  842.0327    ,    -0.000
         0.167,         449,         0,         0,  1.512419    , 0.1666667    ,  0.000000    ,  7.706363    ,  276.6920    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  23.27552    ,  23.27553    ,  0.000000    ,  0.000000    ,  268.9856    ,  268.9855    ,-0.6832182E-04,  1111.018    ,    -0.000
         0.183,         492,         0,         0,  1.355371    , 0.1833333    ,  0.000000    ,  6.891092    ,  324.1632    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  83.26037    ,  83.26037    ,  0.000000    ,  0.000000    ,  317.2721    ,  317.2721    ,-0.5513430E-04,  1428.290    ,    -0.000
         0.200,         539,         0,         0,  1.263126    , 0.2000000    ,  0.000000    ,  6.192404    ,  359.1078    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  135.8675    ,  135.8675    ,  0.000000    ,  0.000000    ,  352.9154    ,  352.9155    , 0.1549348E-03,  1781.206    ,     0.000
         0.217,         589,         0,         0,  1.188492    , 0.2166667    ,  0.000000    ,  5.580013    ,  391.5703    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  172.4553    ,  172.4553    ,  0.000000    ,  0.000000    ,  385.9903    ,  385.9905    , 0.2226233E-03,  2167.196    ,     0.000
         0.233,         642,         0,         0,  1.140872    , 0.2333333    ,  0.000000    ,  5.062466    ,  421.2485    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  210.6312    ,  210.6312    ,  0.000000    ,  0.000000    ,  416.1861    ,  416.1858    ,-0.2795160E-03,  2583.382    ,    -0.000
         0.250,         697,         0,         0,  1.100935    , 0.2500000    ,  0.000000    ,  4.662851    ,  450.2042    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  246.3811    ,  246.3811    ,  0.000000    ,  0.000000    ,  445.5414    ,  445.5420    , 0.5963519E-03,  3028.924    ,     0.000
         0.267,         753,         0,         0,  1.069483    , 0.2666667    ,  0.000000    ,  4.289825    ,  484.3943    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  279.6871    ,  279.6871    ,  0.000000    ,  0.000000    ,  480.1045    ,  480.1042    ,-0.2392456E-03,  3509.028    ,    -0.000
         0.283,         811,         0,         0,  1.044475    , 0.2833333    ,  0.000000    ,  3.938696    ,  532.7444    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  310.3244    ,  310.3244    ,  0.000000    ,  0.000000    ,  528.8057    ,  528.8062    , 0.4667342E-03,  4037.834    ,     0.000
         0.300,         870,         0,         0,  1.018730    , 0.3000000    ,  0.000000    ,  3.617264    ,  585.0275    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  339.5400    ,  339.5400    ,  0.000000    ,  0.000000    ,  581.4102    ,  581.4102    ,-0.2839789E-04,  4619.245    ,    -0.000
         0.317,         931,         0,         0, 0.9951062    , 0.3166667    ,  0.000000    ,  3.326280    ,  636.3806    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  372.8014    ,  372.8014    ,  0.000000    ,  0.000000    ,  633.0543    ,  633.0537    ,-0.5799122E-03,  5252.298    ,    -0.000
         0.333,         993,         0,         0, 0.9719701    , 0.3333333    ,  0.000000    ,  3.063743    ,  690.9266    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  406.5070    ,  406.5070    ,  0.000000    ,  0.000000    ,  687.8629    ,  687.8633    , 0.4121214E-03,  5940.162    ,     0.000
         0.350,        1056,         0,         0, 0.9482586    , 0.3500000    ,  0.000000    ,  2.826667    ,  763.4844    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  424.8567    ,  424.8567    ,  0.000000    ,  0.000000    ,  760.6577    ,  760.6587    , 0.9725951E-03,  6700.820    ,     0.000
         0.367,        1121,         0,         0, 0.9269463    , 0.3666667    ,  0.000000    ,  2.612869    ,  859.3126    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  469.8241    ,  469.8241    ,  0.000000    ,  0.000000    ,  856.6998    ,  856.6992    ,-0.5392283E-03,  7557.520    ,    -0.000
         0.383,        1187,         0,         0, 0.9057536    , 0.3833333    ,  0.000000    ,  2.419403    ,  964.4887    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  516.4088    ,  516.4088    ,  0.000000    ,  0.000000    ,  962.0693    ,  962.0684    ,-0.9558797E-03,  8519.588    ,    -0.000
         0.400,        1255,         0,         0, 0.8840470    , 0.4000000    ,  0.000000    ,  2.244124    ,  1069.780    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  563.1172    ,  563.1172    ,  0.000000    ,  0.000000    ,  1067.536    ,  1067.538    , 0.2176795E-02,  9587.126    ,     0.000
         0.417,        1325,         0,         0, 0.8633212    , 0.4166667    ,  0.000000    ,  2.085323    ,  1179.062    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  605.5026    ,  605.5026    ,  0.000000    ,  0.000000    ,  1176.976    ,  1176.974    ,-0.2707604E-02,  10764.10    ,    -0.000
         0.433,        1396,         0,         0, 0.8435572    , 0.4333334    ,  0.000000    ,  1.940945    ,  1305.547    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  634.7682    ,  634.7682    ,  0.000000    ,  0.000000    ,  1303.606    ,  1303.607    , 0.1188843E-02,  12067.71    ,     0.000
         0.450,        1469,         0,         0, 0.8246858    , 0.4500000    ,  0.000000    ,  1.809387    ,  1511.248    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  661.9023    ,  661.9023    ,  0.000000    ,  0.000000    ,  1509.439    ,  1509.438    ,-0.1553053E-02,  13577.14    ,    -0.000
         0.467,        1544,         0,         0, 0.8056832    , 0.4666667    ,  0.000000    ,  1.690260    ,  1723.860    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  690.4642    ,  690.4642    ,  0.000000    ,  0.000000    ,  1722.170    ,  1722.171    , 0.7292163E-03,  15299.32    ,     0.000
         0.483,        1620,         0,         0, 0.7869864    , 0.4833334    ,  0.000000    ,  1.581954    ,  1957.892    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  722.7088    ,  722.7088    ,  0.000000    ,  0.000000    ,  1956.310    ,  1956.312    , 0.1624919E-02,  17255.63    ,     0.000
         0.500,        1698,         0,         0, 0.7693100    , 0.5000000    ,  0.000000    ,  1.481964    ,  2186.337    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  753.3013    ,  753.3013    ,  0.000000    ,  0.000000    ,  2184.855    ,  2184.854    ,-0.1445130E-02,  19440.48    ,    -0.000
         0.517,        1778,         0,         0, 0.7531098    , 0.5166667    ,  0.000000    ,  1.389888    ,  2596.871    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  781.5534    ,  781.5534    ,  0.000000    ,  0.000000    ,  2595.481    ,  2595.482    , 0.1351079E-02,  22035.96    ,     0.000
         0.533,        1861,         0,         0, 0.7051919    , 0.5333333    ,  0.000000    ,  1.304913    ,  3310.466    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  810.6841    ,  810.6841    ,  0.000000    ,  0.000000    ,  3309.162    ,  3309.162    , 0.5560229E-03,  25345.12    ,     0.000
         0.550,        1953,         0,         0, 0.6237207    , 0.5500000    ,  0.000000    ,  1.226800    ,  4095.830    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  843.8774    ,  843.8774    ,  0.000000    ,  0.000000    ,  4094.603    ,  4094.600    ,-0.3216191E-02,  29439.72    ,    -0.000
         0.567,        2056,         0,         0, 0.5604658    , 0.5666667    ,  0.000000    ,  1.154555    ,  4888.368    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  877.0047    ,  877.0047    ,  0.000000    ,  0.000000    ,  4887.213    ,  4887.217    , 0.3375243E-02,  34326.94    ,     0.000
         0.583,        2169,         0,         0, 0.5138616    , 0.5833334    ,  0.000000    ,  1.094976    ,  5679.434    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  907.5485    ,  907.5485    ,  0.000000    ,  0.000000    ,  5678.339    ,  5678.340    , 0.1254135E-02,  40005.28    ,     0.000
         0.600,        2289,         0,         0, 0.4962213    , 0.6000000    ,  0.000000    ,  1.043866    ,  6264.681    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  931.6581    ,  931.6581    ,  0.000000    ,  0.000000    ,  6263.637    ,  6263.637    ,-0.1088064E-04,  46268.92    ,    -0.000
         0.617,        2413,         0,         0, 0.4789000    , 0.6166667    ,  0.000000    , 0.9890839    ,  6664.265    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  947.7149    ,  947.7149    ,  0.000000    ,  0.000000    ,  6663.276    ,  6663.277    , 0.1814968E-02,  52932.20    ,     0.000
         0.633,        2541,         0,         0, 0.4649696    , 0.6333334    ,  0.000000    , 0.9350977    ,  7052.194    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  957.2093    ,  957.2093    ,  0.000000    ,  0.000000    ,  7051.259    ,  7051.254    ,-0.4845636E-02,  59983.45    ,    -0.000
         0.650,        2673,         0,         0, 0.4528719    , 0.6500000    ,  0.000000    , 0.8833422    ,  7448.567    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  957.6903    ,  957.6903    ,  0.000000    ,  0.000000    ,  7447.684    ,  7447.676    ,-0.8370957E-02,  67431.12    ,    -0.000
         0.667,        2808,         0,         0, 0.4426271    , 0.6666667    ,  0.000000    , 0.8343953    ,  7844.461    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  954.2565    ,  954.2565    ,  0.000000    ,  0.000000    ,  7843.627    ,  7843.641    , 0.1386965E-01,  75274.77    ,     0.000
         0.683,        2946,         0,         0, 0.4364239    , 0.6833334    ,  0.000000    , 0.7884616    ,  8204.999    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  952.7284    ,  952.7284    ,  0.000000    ,  0.000000    ,  8204.211    ,  8204.203    ,-0.7851692E-02,  83478.97    ,    -0.000
         0.700,        3085,         0,         0, 0.4318372    , 0.7000000    ,  0.000000    , 0.7455547    ,  8436.385    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  951.6219    ,  951.6219    ,  0.000000    ,  0.000000    ,  8435.640    ,  8435.641    , 0.8403952E-03,  91914.61    ,     0.000
         0.717,        3226,         0,         0, 0.4276805    , 0.7166667    ,  0.000000    , 0.7056655    ,  8645.706    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  950.8930    ,  950.8930    ,  0.000000    ,  0.000000    ,  8645.000    ,  8645.008    , 0.7754725E-02,  100559.6    ,     0.000
         0.733,        3368,         0,         0, 0.4236671    , 0.7333334    ,  0.000000    , 0.6686234    ,  8854.233    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  950.5611    ,  950.5611    ,  0.000000    ,  0.000000    ,  8853.565    ,  8853.562    ,-0.2328905E-02,  109413.2    ,    -0.000
         0.750,        3511,         0,         0, 0.4198150    , 0.7500000    ,  0.000000    , 0.6342061    ,  9062.086    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  950.3862    ,  950.3862    ,  0.000000    ,  0.000000    ,  9061.452    ,  9061.453    , 0.8943905E-03,  118474.6    ,     0.000
         0.767,        3655,         0,         0, 0.4182864    , 0.7666667    ,  0.000000    , 0.6025182    ,  9223.058    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  950.2956    ,  950.2956    ,  0.000000    ,  0.000000    ,  9222.456    ,  9222.453    ,-0.2804597E-02,  127697.1    ,    -0.000
         0.783,        3799,         0,         0, 0.4169119    , 0.7833333    ,  0.000000    , 0.5819403    ,  9304.966    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  949.9670    ,  949.9670    ,  0.000000    ,  0.000000    ,  9304.384    ,  9304.383    ,-0.1581083E-02,  137001.5    ,    -0.000
         0.800,        3944,         0,         0, 0.4154953    , 0.8000000    ,  0.000000    , 0.6964816    ,  9381.172    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  949.7471    ,  949.7471    ,  0.000000    ,  0.000000    ,  9380.475    ,  9380.484    , 0.9136135E-02,  146382.0    ,     0.000
         0.817,        4089,         0,         0, 0.4140625    , 0.8166667    ,  0.000000    ,  1.872432    ,  9456.837    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  948.8608    ,  948.8608    ,  0.000000    ,  0.000000    ,  9454.964    ,  9454.969    , 0.4325807E-02,  155836.9    ,     0.000
         0.833,        4235,         0,         0, 0.4127565    , 0.8333334    ,  0.000000    ,  4.410246    ,  9532.332    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  947.6120    ,  947.6120    ,  0.000000    ,  0.000000    ,  9527.922    ,  9527.938    , 0.1576225E-01,  165364.9    ,     0.000
