"EG11_001 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_001.tcf]","Time (h)","Q FC01.1_R [EG11_001]","Q FC01.2_R [EG11_001]","Q FC04.1_C [EG11_001]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000
      14,          0.216667,           0.872,           0.000,           0.000
      15,          0.233333,           1.801,           0.000,           0.000
      16,          0.250000,           2.469,           0.000,           0.000
      17,          0.266667,           2.990,           0.000,           0.000
      18,          0.283333,           3.429,           0.000,           0.000
      19,          0.300000,           3.783,           0.000,           0.000
      20,          0.316667,           4.277,           0.000,           0.000
      21,          0.333333,           4.776,           0.000,           0.000
      22,          0.350000,           5.278,           0.000,           0.000
      23,          0.366667,           5.824,           0.000,           0.000
      24,          0.383333,           6.509,           0.000,           0.000
      25,          0.400000,           7.212,           0.000,           0.000
      26,          0.416667,           8.027,           0.000,           0.000
      27,          0.433333,           8.989,           0.000,           0.000
      28,          0.450000,          10.141,           0.000,           0.000
      29,          0.466667,          11.350,           0.000,           0.000
      30,          0.483333,          13.102,           0.000,           0.000
      31,          0.500000,          14.918,           0.000,           0.000
      32,          0.516667,          16.854,           0.000,           0.000
      33,          0.533333,          19.577,           2.537,           0.000
      34,          0.550000,          23.265,           3.637,           0.000
      35,          0.566667,          27.559,           4.769,           0.000
      36,          0.583333,          30.573,           5.489,           0.000
      37,          0.600000,          33.230,           6.780,           0.000
      38,          0.616667,          35.505,           8.195,           0.000
      39,          0.633333,          37.359,          10.177,           0.000
      40,          0.650000,          39.004,          12.339,           0.000
      41,          0.666667,          40.333,          15.036,           0.000
      42,          0.683333,          41.499,          18.433,           0.000
      43,          0.700000,          42.410,          22.100,           0.000
      44,          0.716667,          43.096,          25.627,           0.000
      45,          0.733333,          43.594,          28.751,           0.000
      46,          0.750000,          43.954,          31.875,           0.000
      47,          0.766667,          44.215,          34.936,           0.000
      48,          0.783333,          44.392,          38.235,           0.000
      49,          0.800000,          44.509,          41.518,           0.000
      50,          0.816667,          44.594,          44.817,           0.000
      51,          0.833333,          44.658,          48.030,           0.000
      52,          0.850000,          44.709,          50.799,           0.000
      53,          0.866667,          44.743,          53.138,           0.000
      54,          0.883333,          44.766,          55.080,           0.000
      55,          0.900000,          44.784,          56.731,           0.000
      56,          0.916667,          44.799,          58.153,           0.000
      57,          0.933333,          44.812,          59.384,           0.000
      58,          0.950000,          44.817,          60.459,           0.000
      59,          0.966667,          44.817,          61.413,           0.000
      60,          0.983333,          44.815,          62.277,           0.000
      61,          1.000000,          44.811,          63.069,           0.000
      62,          1.016667,          44.806,          63.787,           0.000
      63,          1.033333,          44.791,          64.443,           0.000
      64,          1.050000,          44.771,          65.057,           0.000
      65,          1.066667,          44.747,          65.672,           0.000
      66,          1.083333,          44.722,          66.258,           0.000
      67,          1.100000,          44.693,          66.802,           0.000
      68,          1.116667,          44.641,          67.301,           0.000
      69,          1.133333,          44.574,          67.766,           0.000
      70,          1.150000,          44.497,          68.194,           0.000
      71,          1.166667,          44.416,          68.587,           0.000
      72,          1.183333,          44.327,          68.927,           0.000
      73,          1.200000,          44.233,          69.204,           0.000
      74,          1.216667,          44.129,          69.420,           0.000
      75,          1.233333,          44.021,          69.580,           0.000
      76,          1.250000,          43.902,          69.694,           0.000
      77,          1.266667,          43.778,          69.780,           0.000
      78,          1.283333,          43.633,          69.837,           0.000
      79,          1.300000,          43.472,          69.872,           0.000
      80,          1.316667,          43.298,          69.890,           0.000
      81,          1.333333,          43.099,          69.891,           0.000
      82,          1.350000,          42.872,          69.877,           0.000
      83,          1.366667,          42.622,          69.850,           0.000
      84,          1.383333,          42.343,          69.812,           0.000
      85,          1.400000,          42.050,          69.763,           0.000
      86,          1.416667,          41.733,          69.702,           0.000
      87,          1.433333,          41.396,          69.627,           0.000
      88,          1.450000,          41.046,          69.538,           0.000
      89,          1.466667,          40.679,          69.438,           0.000
      90,          1.483333,          40.285,          69.309,           0.000
      91,          1.500000,          39.862,          69.154,           0.000
      92,          1.516667,          39.401,          68.968,           0.000
      93,          1.533333,          38.927,          68.746,           0.000
      94,          1.550000,          38.411,          68.482,           0.000
      95,          1.566667,          37.870,          68.171,           0.000
      96,          1.583333,          37.300,          67.830,           0.000
      97,          1.600000,          36.680,          67.456,           0.000
      98,          1.616667,          35.960,          67.049,           0.000
      99,          1.633333,          35.273,          66.609,           0.000
     100,          1.650000,          34.522,          66.136,           0.000
     101,          1.666667,          33.774,          65.635,           0.000
     102,          1.683333,          33.001,          65.107,           0.000
     103,          1.700000,          32.181,          64.550,           0.000
     104,          1.716667,          31.221,          63.960,           0.000
     105,          1.733333,          30.222,          63.335,           0.000
     106,          1.750000,          29.166,          62.671,           0.000
     107,          1.766667,          28.057,          61.968,           0.000
     108,          1.783333,          26.596,          61.217,           0.000
     109,          1.800000,          25.334,          60.418,           0.000
     110,          1.816667,          24.300,          59.563,           0.000
     111,          1.833333,          23.416,          58.641,           0.000
     112,          1.850000,          22.678,          57.636,           0.000
     113,          1.866667,          22.061,          56.538,           0.000
     114,          1.883333,          21.530,          55.337,           0.000
     115,          1.900000,          21.060,          54.025,           0.000
     116,          1.916667,          20.622,          52.608,           0.000
     117,          1.933333,          20.207,          51.077,           0.000
     118,          1.950000,          19.824,          49.413,           0.000
     119,          1.966667,          19.477,          47.591,           0.000
     120,          1.983333,          19.158,          45.596,           0.000
     121,          2.000000,          18.856,          43.407,           0.000
     122,          2.016667,          18.566,          41.007,           0.000
     123,          2.033334,          18.271,          38.509,           0.000
     124,          2.050000,          17.948,          36.000,           0.000
     125,          2.066667,          17.584,          33.524,           0.000
     126,          2.083333,          17.205,          31.174,           0.000
     127,          2.100000,          16.812,          28.962,           0.000
     128,          2.116667,          16.388,          26.915,           0.000
     129,          2.133333,          15.929,          25.075,           0.000
     130,          2.150000,          15.442,          23.472,           0.000
     131,          2.166667,          14.937,          22.068,           0.000
     132,          2.183333,          14.447,          20.914,           0.000
     133,          2.200000,          13.941,          19.990,           0.000
     134,          2.216667,          13.529,          19.172,           0.000
     135,          2.233333,          13.189,          18.487,           0.000
     136,          2.250000,          12.899,          17.911,           0.000
     137,          2.266667,          12.651,          17.395,           0.000
     138,          2.283334,          12.431,          16.901,           0.000
     139,          2.300000,          12.224,          16.432,           0.000
     140,          2.316667,          11.977,          15.998,           0.000
     141,          2.333333,          11.723,          15.579,           0.000
     142,          2.350000,          11.471,          15.174,           0.000
     143,          2.366667,          11.263,          14.848,           0.000
     144,          2.383333,          11.021,          14.500,           0.000
     145,          2.400000,          10.803,          14.179,           0.000
     146,          2.416667,          10.603,          13.849,           0.000
     147,          2.433333,          10.411,          13.534,           0.000
     148,          2.450000,          10.253,          13.236,           0.000
     149,          2.466667,          10.093,          12.966,           0.000
     150,          2.483333,           9.881,          12.711,           0.000
     151,          2.500000,           9.658,          12.462,           0.000
     152,          2.516667,           9.431,          12.219,           0.000
     153,          2.533334,           9.196,          11.983,           0.000
     154,          2.550000,           8.987,          11.761,           0.000
     155,          2.566667,           8.777,          11.564,           0.000
     156,          2.583333,           8.526,          11.350,           0.000
     157,          2.600000,           8.266,          11.179,           0.000
     158,          2.616667,           8.029,          10.940,           0.000
     159,          2.633333,           7.818,          10.702,           0.000
     160,          2.650000,           7.639,          10.478,           0.000
     161,          2.666667,           7.445,          10.253,           0.000
     162,          2.683333,           7.253,          10.040,           0.000
     163,          2.700000,           7.069,           9.809,           0.000
     164,          2.716667,           6.878,           9.586,           0.000
     165,          2.733334,           6.673,           9.380,           0.000
     166,          2.750000,           6.466,           9.167,           0.000
     167,          2.766667,           6.254,           8.969,           0.000
     168,          2.783334,           6.076,           8.811,           0.000
     169,          2.800000,           5.833,           8.585,           0.000
     170,          2.816667,           5.581,           8.420,           0.000
     171,          2.833333,           5.332,           0.693,           0.000
     172,          2.850000,           5.081,          16.433,           0.000
     173,          2.866667,           4.829,           2.243,           0.000
     174,          2.883333,           4.585,           1.202,           0.000
     175,          2.900000,           4.336,           1.943,           0.000
     176,          2.916667,           4.095,           1.153,           0.000
     177,          2.933333,           3.862,          11.111,           0.000
     178,          2.950000,           3.625,           1.992,           0.000
     179,          2.966667,           3.432,          14.237,           0.000
     180,          2.983334,           3.250,          13.721,           0.000
     181,          3.000000,           3.083,          14.781,           0.000
