"EG11_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_002.tcf]","Time(h)","F FC01.1 [EG11_002]","F FC01.2 [EG11_002]","F FC04.1 [EG11_002]"
       1,          0.000000,,,
       2,          0.016667,G,G,G
       3,          0.033333,G,G,G
       4,          0.050000,G,G,G
       5,          0.066667,G,G,G
       6,          0.083333,G,G,G
       7,          0.100000,G,G,G
       8,          0.116667,G,G,G
       9,          0.133333,G,G,G
      10,          0.150000,G,G,G
      11,          0.166667,G,G,G
      12,          0.183333,G,G,G
      13,          0.200000,G,G,G
      14,          0.216667,A,G,G
      15,          0.233333,A,G,G
      16,          0.250000,A,G,G
      17,          0.266667,A,G,G
      18,          0.283333,A,G,G
      19,          0.300000,A,G,G
      20,          0.316667,A,G,G
      21,          0.333333,A,G,G
      22,          0.350000,A,G,G
      23,          0.366667,A,G,G
      24,          0.383333,A,G,G
      25,          0.400000,A,G,G
      26,          0.416667,A,G,G
      27,          0.433333,A,G,G
      28,          0.450000,A,G,G
      29,          0.466667,A,G,G
      30,          0.483333,A,G,G
      31,          0.500000,A,G,G
      32,          0.516667,A,A L,G
      33,          0.533333,A,D,G
      34,          0.550000,A,D,G
      35,          0.566667,A,D,G
      36,          0.583333,A,D,G
      37,          0.600000,B,D,G
      38,          0.616667,L,D,G
      39,          0.633333,K,D,G
      40,          0.650000,F,D,G
      41,          0.666667,F,D,G
      42,          0.683333,F,D,G
      43,          0.700000,F,D,G
      44,          0.716667,F,D,G
      45,          0.733333,F,F,G
      46,          0.750000,F,F,G
      47,          0.766667,F,F,G
      48,          0.783333,F,F,G
      49,          0.800000,F,F,G
      50,          0.816667,F,F,G
      51,          0.833333,F,F,G
      52,          0.850000,F,F,G
      53,          0.866667,F,F,G
      54,          0.883333,F,F,G
      55,          0.900000,F,F,G
      56,          0.916667,F,F,G
      57,          0.933333,F,F,G
      58,          0.950000,F,F,G
      59,          0.966667,F,F,G
      60,          0.983333,F,F,G
      61,          1.000000,F,F,G
      62,          1.016667,F,F,G
      63,          1.033333,F,F,G
      64,          1.050000,F,F,G
      65,          1.066667,F,F,G
      66,          1.083333,F,F,G
      67,          1.100000,F,F,G
      68,          1.116667,F,F,G
      69,          1.133333,F,F,G
      70,          1.150000,F,F,G
      71,          1.166667,F,F,G
      72,          1.183333,F,F,G
      73,          1.200000,F,F,G
      74,          1.216667,F,F,G
      75,          1.233333,F,F,G
      76,          1.250000,F,F,G
      77,          1.266667,F,F,G
      78,          1.283333,F,F,G
      79,          1.300000,F,F,G
      80,          1.316667,F,F,G
      81,          1.333333,F,F,G
      82,          1.350000,F,F,G
      83,          1.366667,F,F,G
      84,          1.383333,F,F,G
      85,          1.400000,F,F,G
      86,          1.416667,F,F,G
      87,          1.433333,F,F,G
      88,          1.450000,F,F,G
      89,          1.466667,F,F,G
      90,          1.483333,F,F,G
      91,          1.500000,F,F,G
      92,          1.516667,F,F,G
      93,          1.533333,K,F,G
      94,          1.550000,K,F,G
      95,          1.566667,L,F,G
      96,          1.583333,L,F,G
      97,          1.600000,L,F,G
      98,          1.616667,L,F,G
      99,          1.633333,A,F,G
     100,          1.650000,A,F,G
     101,          1.666667,A,F,G
     102,          1.683333,A,F,G
     103,          1.700000,A,F,G
     104,          1.716667,A,F,G
     105,          1.733333,A,F,G
     106,          1.750000,A,F,G
     107,          1.766667,A,F,G
     108,          1.783333,A,F,G
     109,          1.800000,A,F,G
     110,          1.816667,A,F,G
     111,          1.833333,A,F,G
     112,          1.850000,A,F,G
     113,          1.866667,A,F,G
     114,          1.883333,A,F,G
     115,          1.900000,A,F,G
     116,          1.916667,A,F,G
     117,          1.933333,A,F,G
     118,          1.950000,A,F,G
     119,          1.966667,A,F,G
     120,          1.983333,A,F,G
     121,          2.000000,A,D,G
     122,          2.016667,A,D,G
     123,          2.033334,A,D,G
     124,          2.050000,A,D,G
     125,          2.066667,A,D,G
     126,          2.083333,A,D,G
     127,          2.100000,A,D,G
     128,          2.116667,A,D,G
     129,          2.133333,A,D,G
     130,          2.150000,A,D,G
     131,          2.166667,A,D,G
     132,          2.183333,A,D,G
     133,          2.200000,A,D,G
     134,          2.216667,A,D,G
     135,          2.233333,A,D,G
     136,          2.250000,A,D,G
     137,          2.266667,A,D,G
     138,          2.283334,A,D,G
     139,          2.300000,A,D,G
     140,          2.316667,A,D,G
     141,          2.333333,A,D,G
     142,          2.350000,A,D,G
     143,          2.366667,A,D,G
     144,          2.383333,A,D,G
     145,          2.400000,A,D,G
     146,          2.416667,A,D,G
     147,          2.433333,A,D,G
     148,          2.450000,A,D,G
     149,          2.466667,A,D,G
     150,          2.483333,A,D,G
     151,          2.500000,A,D,G
     152,          2.516667,A,D,G
     153,          2.533334,A,D,G
     154,          2.550000,A,D,G
     155,          2.566667,A,D,G
     156,          2.583333,A,D,G
     157,          2.600000,A,D,G
     158,          2.616667,A,D,G
     159,          2.633333,A,D,G
     160,          2.650000,A,D,G
     161,          2.666667,A,D,G
     162,          2.683333,A,D,G
     163,          2.700000,A,D,G
     164,          2.716667,A,D,G
     165,          2.733334,A,D,G
     166,          2.750000,A,D,G
     167,          2.766667,A,D,G
     168,          2.783334,A,J,G
     169,          2.800000,A,D,G
     170,          2.816667,A,J,G
     171,          2.833333,A,D,G
     172,          2.850000,A,D,G
     173,          2.866667,A,D,G
     174,          2.883333,A,D,G
     175,          2.900000,A,J,G
     176,          2.916667,A,D,G
     177,          2.933333,A,J L,G
     178,          2.950000,A,D,G
     179,          2.966667,A,D,G
     180,          2.983334,A,D,G
     181,          3.000000,A,D,G
