"EG11_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_002.tcf]","Time (h)","H FC01.1.1 [EG11_002]","H FC01.1.2 [EG11_002]","H FC01.2.1 [EG11_002]","H FC01.2.2 [EG11_002]","H FC04.1.1 [EG11_002]","H FC04.1.2 [EG11_002]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       5,          0.066667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       6,          0.083333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       7,          0.100000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       8,          0.116667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       9,          0.133333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      10,          0.150000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      11,          0.166667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      12,          0.183333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      13,          0.200000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      14,          0.216667,     45.6184,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      15,          0.233333,     45.7483,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      16,          0.250000,     45.8265,     44.5772,     37.5990,     37.4990,     43.3490,     42.7490
      17,          0.266667,     45.8817,     44.6622,     37.5990,     37.4990,     43.3490,     42.7490
      18,          0.283333,     45.9261,     44.7244,     37.5990,     37.4990,     43.3490,     42.7490
      19,          0.300000,     45.9594,     44.7857,     37.5990,     37.4990,     43.3490,     42.7490
      20,          0.316667,     46.0055,     44.8384,     37.5990,     37.4990,     43.3490,     42.7490
      21,          0.333333,     46.0513,     44.8901,     37.5990,     37.4990,     43.3490,     42.7490
      22,          0.350000,     46.0961,     44.9428,     37.5990,     37.4990,     43.3490,     42.7490
      23,          0.366667,     46.1428,     44.9988,     37.5990,     37.4990,     43.3490,     42.7490
      24,          0.383333,     46.2002,     45.0652,     37.5990,     37.4990,     43.3490,     42.7490
      25,          0.400000,     46.2658,     45.1414,     37.5990,     37.4990,     43.3490,     42.7490
      26,          0.416667,     46.3229,     45.2046,     37.5990,     37.4990,     43.3490,     42.7490
      27,          0.433333,     46.3912,     45.2719,     37.5990,     37.4990,     43.3490,     42.7490
      28,          0.450000,     46.4722,     45.3476,     37.5990,     37.4990,     43.3490,     42.7490
      29,          0.466667,     46.5588,     45.4336,     37.5990,     37.4990,     43.3490,     42.7490
      30,          0.483333,     46.6731,     45.5215,     37.5990,     37.4990,     43.3490,     42.7490
      31,          0.500000,     46.7965,     45.6207,     37.5990,     37.4990,     43.3490,     42.7490
      32,          0.516667,     46.9132,     45.7119,     37.7259,     37.4990,     43.3490,     42.7490
      33,          0.533333,     47.0800,     45.8364,     37.9351,     37.9093,     43.3490,     42.7490
      34,          0.550000,     47.2945,     45.9938,     38.0639,     38.0355,     43.3490,     42.7490
      35,          0.566667,     47.5336,     46.1687,     38.1787,     38.1494,     43.3490,     42.7490
      36,          0.583333,     47.7597,     46.3435,     38.2675,     38.2337,     43.3490,     42.7490
      37,          0.600000,     47.9786,     46.5100,     38.3756,     38.3378,     43.3490,     42.7490
      38,          0.616667,     48.1685,     46.6682,     38.5021,     38.4585,     43.3490,     42.7490
      39,          0.633333,     48.3340,     46.7986,     38.6483,     38.5976,     43.3490,     42.7490
      40,          0.650000,     48.4922,     46.8925,     38.8167,     38.7593,     43.3490,     42.7490
      41,          0.666667,     48.6409,     46.9622,     39.0078,     38.9395,     43.3490,     42.7490
      42,          0.683333,     48.7830,     47.0392,     39.2341,     39.1505,     43.3490,     42.7490
      43,          0.700000,     48.9058,     47.1007,     39.4731,     39.3749,     43.3490,     42.7490
      44,          0.716667,     49.0081,     47.1578,     39.6936,     39.5764,     43.3490,     42.7490
      45,          0.733333,     49.0920,     47.2079,     39.8877,     39.7369,     43.3490,     42.7490
      46,          0.750000,     49.1614,     47.2506,     40.0600,     39.8716,     43.3490,     42.7490
      47,          0.766667,     49.2211,     47.2874,     40.2227,     39.9917,     43.3490,     42.7490
      48,          0.783333,     49.2639,     47.3180,     40.3781,     40.1020,     43.3490,     42.7490
      49,          0.800000,     49.2941,     47.3438,     40.5312,     40.2044,     43.3490,     42.7490
      50,          0.816667,     49.3165,     47.3634,     40.6768,     40.2967,     43.3490,     42.7490
      51,          0.833333,     49.3334,     47.3782,     40.8172,     40.3798,     43.3490,     42.7490
      52,          0.850000,     49.3468,     47.3897,     40.9473,     40.4524,     43.3490,     42.7490
      53,          0.866667,     49.3561,     47.3981,     41.0657,     40.5145,     43.3490,     42.7490
      54,          0.883333,     49.3625,     47.4043,     41.1689,     40.5660,     43.3490,     42.7490
      55,          0.900000,     49.3673,     47.4087,     41.2587,     40.6085,     43.3490,     42.7490
      56,          0.916667,     49.3710,     47.4121,     41.3360,     40.6432,     43.3490,     42.7490
      57,          0.933333,     49.3740,     47.4148,     41.4022,     40.6715,     43.3490,     42.7490
      58,          0.950000,     49.3755,     47.4165,     41.4587,     40.6947,     43.3490,     42.7490
      59,          0.966667,     49.3761,     47.4172,     41.5068,     40.7137,     43.3490,     42.7490
      60,          0.983333,     49.3761,     47.4174,     41.5484,     40.7297,     43.3490,     42.7490
      61,          1.000000,     49.3757,     47.4172,     41.5854,     40.7435,     43.3490,     42.7490
      62,          1.016667,     49.3750,     47.4167,     41.6183,     40.7555,     43.3490,     42.7490
      63,          1.033333,     49.3729,     47.4152,     41.6471,     40.7658,     43.3490,     42.7490
      64,          1.050000,     49.3697,     47.4128,     41.6725,     40.7748,     43.3490,     42.7490
      65,          1.066667,     49.3659,     47.4099,     41.6965,     40.7829,     43.3490,     42.7518
      66,          1.083333,     49.3617,     47.4064,     41.7206,     40.7909,     43.3490,     42.7619
      67,          1.100000,     49.3569,     47.4025,     41.7432,     40.7983,     43.3490,     42.7637
      68,          1.116667,     49.3487,     47.3963,     41.7634,     40.8050,     43.3490,     42.7636
      69,          1.133333,     49.3378,     47.3884,     41.7811,     40.8108,     43.3490,     42.7657
      70,          1.150000,     49.3250,     47.3789,     41.7962,     40.8159,     43.3490,     42.7645
      71,          1.166667,     49.3108,     47.3677,     41.8087,     40.8200,     43.3490,     42.7611
      72,          1.183333,     49.2953,     47.3562,     41.8186,     40.8234,     43.3490,     42.7577
      73,          1.200000,     49.2787,     47.3441,     41.8256,     40.8258,     43.3490,     42.7530
      74,          1.216667,     49.2608,     47.3304,     41.8297,     40.8274,     43.3490,     42.7490
      75,          1.233333,     49.2410,     47.3171,     41.8310,     40.8281,     43.3490,     42.7490
      76,          1.250000,     49.2196,     47.3035,     41.8295,     40.8279,     43.3490,     42.7490
      77,          1.266667,     49.1953,     47.2907,     41.8251,     40.8268,     43.3490,     42.7490
      78,          1.283333,     49.1667,     47.2747,     41.8181,     40.8249,     43.3490,     42.7490
      79,          1.300000,     49.1345,     47.2579,     41.8084,     40.8222,     43.3490,     42.7490
      80,          1.316667,     49.0997,     47.2390,     41.7963,     40.8187,     43.3490,     42.7490
      81,          1.333333,     49.0618,     47.2182,     41.7818,     40.8144,     43.3490,     42.7490
      82,          1.350000,     49.0210,     47.1959,     41.7647,     40.8094,     43.3490,     42.7490
      83,          1.366667,     48.9776,     47.1730,     41.7450,     40.8034,     43.3490,     42.7490
      84,          1.383333,     48.9301,     47.1473,     41.7223,     40.7965,     43.3490,     42.7490
      85,          1.400000,     48.8785,     47.1224,     41.6965,     40.7885,     43.3490,     42.7490
      86,          1.416667,     48.8227,     47.0962,     41.6676,     40.7795,     43.3490,     42.7490
      87,          1.433333,     48.7610,     47.0650,     41.6356,     40.7694,     43.3490,     42.7490
      88,          1.450000,     48.6973,     47.0390,     41.6006,     40.7581,     43.3490,     42.7490
      89,          1.466667,     48.6312,     47.0091,     41.5626,     40.7457,     43.3490,     42.7490
      90,          1.483333,     48.5621,     46.9775,     41.5218,     40.7321,     43.3490,     42.7490
      91,          1.500000,     48.4884,     46.9436,     41.4780,     40.7172,     43.3490,     42.7490
      92,          1.516667,     48.4059,     46.9099,     41.4314,     40.7010,     43.3490,     42.7490
      93,          1.533333,     48.3198,     46.8717,     41.3818,     40.6834,     43.3490,     42.7490
      94,          1.550000,     48.2377,     46.8250,     41.3292,     40.6643,     43.3490,     42.7490
      95,          1.566667,     48.1584,     46.7761,     41.2736,     40.6435,     43.3490,     42.7490
      96,          1.583333,     48.0809,     46.7214,     41.2151,     40.6210,     43.3490,     42.7490
      97,          1.600000,     47.9943,     46.6687,     41.1539,     40.5968,     43.3490,     42.7490
      98,          1.616667,     47.9233,     46.6100,     41.0898,     40.5705,     43.3490,     42.7490
      99,          1.633333,     47.8360,     46.5737,     41.0231,     40.5421,     43.3490,     42.7490
     100,          1.650000,     47.7632,     46.5277,     40.9535,     40.5114,     43.3490,     42.7490
     101,          1.666667,     47.6981,     46.4792,     40.8830,     40.4785,     43.3490,     42.7490
     102,          1.683333,     47.6395,     46.4348,     40.8133,     40.4442,     43.3490,     42.7490
