"EG11_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_002.tcf]","Time (h)","Q FC01.1 [EG11_002]","Q FC01.2 [EG11_002]","Q FC04.1 [EG11_002]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000
      14,          0.216667,           0.939,           0.000,           0.000
      15,          0.233333,           1.894,           0.000,           0.000
      16,          0.250000,           2.567,           0.000,           0.000
      17,          0.266667,           3.081,           0.000,           0.000
      18,          0.283333,           3.517,           0.000,           0.000
      19,          0.300000,           3.856,           0.000,           0.000
      20,          0.316667,           4.342,           0.000,           0.000
      21,          0.333333,           4.843,           0.000,           0.000
      22,          0.350000,           5.351,           0.000,           0.000
      23,          0.366667,           5.897,           0.000,           0.000
      24,          0.383333,           6.594,           0.000,           0.000
      25,          0.400000,           7.420,           0.000,           0.000
      26,          0.416667,           8.166,           0.000,           0.000
      27,          0.433333,           9.088,           0.000,           0.000
      28,          0.450000,          10.223,           0.000,           0.000
      29,          0.466667,          11.484,           0.000,           0.000
      30,          0.483333,          13.224,           0.000,           0.000
      31,          0.500000,          15.193,           0.000,           0.000
      32,          0.516667,          17.139,           0.804,           0.000
      33,          0.533333,          20.042,           2.711,           0.000
      34,          0.550000,          24.003,           3.754,           0.000
      35,          0.566667,          28.687,           4.675,           0.000
      36,          0.583333,          33.366,           5.671,           0.000
      37,          0.600000,          37.421,           6.861,           0.000
      38,          0.616667,          42.272,           8.448,           0.000
      39,          0.633333,          45.929,          10.464,           0.000
      40,          0.650000,          48.479,          12.810,           0.000
      41,          0.666667,          49.658,          15.989,           0.000
      42,          0.683333,          50.614,          20.309,           0.000
      43,          0.700000,          51.494,          25.008,           0.000
      44,          0.716667,          52.136,          29.369,           0.000
      45,          0.733333,          52.610,          33.296,           0.000
      46,          0.750000,          52.983,          37.209,           0.000
      47,          0.766667,          53.299,          41.212,           0.000
      48,          0.783333,          53.467,          45.050,           0.000
      49,          0.800000,          53.528,          49.015,           0.000
      50,          0.816667,          53.566,          52.863,           0.000
      51,          0.833333,          53.596,          56.712,           0.000
      52,          0.850000,          53.621,          60.324,           0.000
      53,          0.866667,          53.633,          63.668,           0.000
      54,          0.883333,          53.637,          66.584,           0.000
      55,          0.900000,          53.641,          69.150,           0.000
      56,          0.916667,          53.646,          71.379,           0.000
      57,          0.933333,          53.649,          73.306,           0.000
      58,          0.950000,          53.648,          74.962,           0.000
      59,          0.966667,          53.645,          76.374,           0.000
      60,          0.983333,          53.643,          77.596,           0.000
      61,          1.000000,          53.641,          78.686,           0.000
      62,          1.016667,          53.638,          79.659,           0.000
      63,          1.033333,          53.629,          80.507,           0.000
      64,          1.050000,          53.619,          81.258,           0.000
      65,          1.066667,          53.606,          81.970,           0.000
      66,          1.083333,          53.597,          82.692,           0.000
      67,          1.100000,          53.585,          83.365,           0.000
      68,          1.116667,          53.557,          83.958,           0.000
      69,          1.133333,          53.515,          84.475,           0.000
      70,          1.150000,          53.470,          84.915,           0.000
      71,          1.166667,          53.430,          85.276,           0.000
      72,          1.183333,          53.376,          85.555,           0.000
      73,          1.200000,          53.311,          85.751,           0.000
      74,          1.216667,          53.254,          85.862,           0.000
      75,          1.233333,          53.163,          85.888,           0.000
      76,          1.250000,          53.056,          85.830,           0.000
      77,          1.266667,          52.897,          85.689,           0.000
      78,          1.283333,          52.722,          85.468,           0.000
      79,          1.300000,          52.507,          85.168,           0.000
      80,          1.316667,          52.284,          84.796,           0.000
      81,          1.333333,          52.045,          84.352,           0.000
      82,          1.350000,          51.783,          83.828,           0.000
      83,          1.366667,          51.491,          83.221,           0.000
      84,          1.383333,          51.179,          82.522,           0.000
      85,          1.400000,          50.795,          81.725,           0.000
      86,          1.416667,          50.364,          80.825,           0.000
      87,          1.433333,          49.918,          79.824,           0.000
      88,          1.450000,          49.361,          78.722,           0.000
      89,          1.466667,          48.819,          77.521,           0.000
      90,          1.483333,          48.251,          76.218,           0.000
      91,          1.500000,          47.642,          74.811,           0.000
      92,          1.516667,          46.884,          73.301,           0.000
      93,          1.533333,          45.653,          71.677,           0.000
      94,          1.550000,          43.914,          69.940,           0.000
      95,          1.566667,          42.045,          68.082,           0.000
      96,          1.583333,          40.126,          66.108,           0.000
      97,          1.600000,          37.867,          64.024,           0.000
      98,          1.616667,          35.907,          61.815,           0.000
      99,          1.633333,          35.019,          59.485,           0.000
     100,          1.650000,          33.460,          57.037,           0.000
     101,          1.666667,          32.086,          54.558,           0.000
     102,          1.683333,          30.866,          52.119,           0.000
     103,          1.700000,          29.718,          49.763,           0.000
     104,          1.716667,          28.643,          47.470,           0.000
     105,          1.733333,          27.580,          45.284,           0.000
     106,          1.750000,          26.533,          43.222,           0.000
     107,          1.766667,          25.485,          41.297,           0.000
     108,          1.783333,          24.563,          39.445,           0.000
     109,          1.800000,          23.817,          37.692,           0.000
     110,          1.816667,          23.184,          36.061,           0.000
     111,          1.833333,          22.602,          34.527,           0.000
     112,          1.850000,          22.065,          33.112,           0.000
     113,          1.866667,          21.570,          31.749,           0.000
     114,          1.883333,          21.124,          30.463,           0.000
     115,          1.900000,          20.708,          29.222,           0.000
     116,          1.916667,          20.318,          28.059,           0.000
     117,          1.933333,          19.949,          26.993,           0.000
     118,          1.950000,          19.597,          26.018,           0.000
     119,          1.966667,          19.273,          25.123,           0.000
     120,          1.983333,          18.974,          24.298,           0.000
     121,          2.000000,          18.696,          23.585,           0.000
     122,          2.016667,          18.433,          22.896,           0.000
     123,          2.033334,          18.142,          22.265,           0.000
     124,          2.050000,          17.821,          21.706,           0.000
     125,          2.066667,          17.464,          21.201,           0.000
     126,          2.083333,          17.089,          20.742,           0.000
     127,          2.100000,          16.702,          20.332,           0.000
     128,          2.116667,          16.285,          19.949,           0.000
     129,          2.133333,          15.831,          19.599,           0.000
     130,          2.150000,          15.377,          19.261,           0.000
     131,          2.166667,          14.847,          18.928,           0.000
     132,          2.183333,          14.302,          18.594,           0.000
     133,          2.200000,          13.801,          18.254,           0.000
     134,          2.216667,          13.400,          17.916,           0.000
     135,          2.233333,          13.074,          17.583,           0.000
     136,          2.250000,          12.808,          17.203,           0.000
     137,          2.266667,          12.590,          16.825,           0.000
     138,          2.283334,          12.397,          16.445,           0.000
     139,          2.300000,          12.164,          16.060,           0.000
     140,          2.316667,          11.895,          15.688,           0.000
     141,          2.333333,          11.653,          15.310,           0.000
     142,          2.350000,          11.424,          14.936,           0.000
     143,          2.366667,          11.200,          14.591,           0.000
     144,          2.383333,          10.983,          14.303,           0.000
     145,          2.400000,          10.796,          13.983,           0.000
     146,          2.416667,          10.606,          13.675,           0.000
     147,          2.433333,          10.438,          13.382,           0.000
     148,          2.450000,          10.249,          13.106,           0.000
     149,          2.466667,          10.049,          12.848,           0.000
     150,          2.483333,           9.841,          12.598,           0.000
     151,          2.500000,           9.655,          12.361,           0.000
     152,          2.516667,           9.418,          12.139,           0.000
     153,          2.533334,           9.213,          11.907,           0.000
     154,          2.550000,           8.959,          11.704,           0.000
     155,          2.566667,           8.713,          11.520,           0.000
     156,          2.583333,           8.471,          11.319,           0.000
     157,          2.600000,           8.277,          11.122,           0.000
     158,          2.616667,           8.029,          10.910,           0.000
     159,          2.633333,           7.802,          10.792,           0.000
     160,          2.650000,           7.592,           7.845,           0.000
     161,          2.666667,           7.400,          16.672,           0.000
     162,          2.683333,           7.216,           5.372,           0.000
     163,          2.700000,           7.038,          14.612,           0.000
     164,          2.716667,           6.914,          14.561,           0.000
     165,          2.733334,           6.697,          16.726,           0.000
     166,          2.750000,           6.473,          16.685,           0.000
     167,          2.766667,           6.251,          16.315,           0.000
     168,          2.783334,           6.019,           3.124,           0.000
     169,          2.800000,           5.776,          15.503,           0.000
     170,          2.816667,           5.530,          -1.811,           0.000
     171,          2.833333,           5.285,          16.757,           0.000
     172,          2.850000,           5.035,          12.549,           0.000
     173,          2.866667,           4.789,          16.162,           0.000
     174,          2.883333,           4.541,          12.134,           0.000
     175,          2.900000,           4.290,           1.938,           0.000
     176,          2.916667,           4.051,          15.719,           0.000
     177,          2.933333,           3.821,           0.726,           0.000
     178,          2.950000,           3.600,          11.246,           0.000
     179,          2.966667,           3.410,          11.478,           0.000
     180,          2.983334,           3.237,          11.216,           0.000
     181,          3.000000,           3.054,          11.579,           0.000
