"EG11_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_002.tcf]","Time(h)","V FC01.1 [EG11_002]","V FC01.2 [EG11_002]","V FC04.1 [EG11_002]"
       1,          0.000000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000
      11,          0.166667,    0.000,    0.000,    0.000
      12,          0.183333,    0.000,    0.000,    0.000
      13,          0.200000,    0.000,    0.000,    0.000
      14,          0.216667,    1.193,    0.000,    0.000
      15,          0.233333,    1.509,    0.000,    0.000
      16,          0.250000,    1.670,    0.000,    0.000
      17,          0.266667,    1.775,    0.000,    0.000
      18,          0.283333,    1.855,    0.000,    0.000
      19,          0.300000,    1.913,    0.000,    0.000
      20,          0.316667,    1.990,    0.000,    0.000
      21,          0.333333,    2.064,    0.000,    0.000
      22,          0.350000,    2.133,    0.000,    0.000
      23,          0.366667,    2.204,    0.000,    0.000
      24,          0.383333,    2.287,    0.000,    0.000
      25,          0.400000,    2.379,    0.000,    0.000
      26,          0.416667,    2.456,    0.000,    0.000
      27,          0.433333,    2.546,    0.000,    0.000
      28,          0.450000,    2.648,    0.000,    0.000
      29,          0.466667,    2.752,    0.000,    0.000
      30,          0.483333,    2.885,    0.000,    0.000
      31,          0.500000,    3.022,    0.000,    0.000
      32,          0.516667,    3.145,    0.899,    0.000
      33,          0.533333,    3.314,    0.552,    0.000
      34,          0.550000,    3.519,    0.584,    0.000
      35,          0.566667,    3.735,    0.600,    0.000
      36,          0.583333,    3.928,    0.644,    0.000
      37,          0.600000,    3.674,    0.682,    0.000
      38,          0.616667,    4.151,    0.734,    0.000
      39,          0.633333,    4.380,    0.795,    0.000
      40,          0.650000,    4.463,    0.848,    0.000
      41,          0.666667,    4.571,    0.926,    0.000
      42,          0.683333,    4.659,    1.025,    0.000
      43,          0.700000,    4.740,    1.113,    0.000
      44,          0.716667,    4.799,    1.210,    0.000
      45,          0.733333,    4.843,    1.370,    0.000
      46,          0.750000,    4.877,    1.531,    0.000
      47,          0.766667,    4.906,    1.696,    0.000
      48,          0.783333,    4.922,    1.854,    0.000
      49,          0.800000,    4.927,    2.017,    0.000
      50,          0.816667,    4.931,    2.175,    0.000
      51,          0.833333,    4.934,    2.333,    0.000
      52,          0.850000,    4.936,    2.482,    0.000
      53,          0.866667,    4.937,    2.620,    0.000
      54,          0.883333,    4.938,    2.739,    0.000
      55,          0.900000,    4.938,    2.845,    0.000
      56,          0.916667,    4.938,    2.937,    0.000
      57,          0.933333,    4.939,    3.016,    0.000
      58,          0.950000,    4.939,    3.084,    0.000
      59,          0.966667,    4.938,    3.142,    0.000
      60,          0.983333,    4.938,    3.193,    0.000
      61,          1.000000,    4.938,    3.237,    0.000
      62,          1.016667,    4.938,    3.277,    0.000
      63,          1.033333,    4.937,    3.312,    0.000
      64,          1.050000,    4.936,    3.343,    0.000
      65,          1.066667,    4.935,    3.373,    0.000
      66,          1.083333,    4.934,    3.402,    0.000
      67,          1.100000,    4.933,    3.430,    0.000
      68,          1.116667,    4.930,    3.454,    0.000
      69,          1.133333,    4.926,    3.476,    0.000
      70,          1.150000,    4.922,    3.494,    0.000
      71,          1.166667,    4.918,    3.509,    0.000
      72,          1.183333,    4.913,    3.520,    0.000
      73,          1.200000,    4.908,    3.528,    0.000
      74,          1.216667,    4.902,    3.533,    0.000
      75,          1.233333,    4.894,    3.534,    0.000
      76,          1.250000,    4.884,    3.531,    0.000
      77,          1.266667,    4.869,    3.526,    0.000
      78,          1.283333,    4.853,    3.516,    0.000
      79,          1.300000,    4.834,    3.504,    0.000
      80,          1.316667,    4.813,    3.489,    0.000
      81,          1.333333,    4.791,    3.471,    0.000
      82,          1.350000,    4.767,    3.449,    0.000
      83,          1.366667,    4.740,    3.424,    0.000
      84,          1.383333,    4.711,    3.395,    0.000
      85,          1.400000,    4.676,    3.362,    0.000
      86,          1.416667,    4.636,    3.325,    0.000
      87,          1.433333,    4.595,    3.284,    0.000
      88,          1.450000,    4.544,    3.239,    0.000
      89,          1.466667,    4.494,    3.189,    0.000
      90,          1.483333,    4.442,    3.136,    0.000
      91,          1.500000,    4.386,    3.078,    0.000
      92,          1.516667,    4.316,    3.016,    0.000
      93,          1.533333,    4.370,    2.949,    0.000
      94,          1.550000,    4.308,    2.878,    0.000
      95,          1.566667,    4.128,    2.801,    0.000
      96,          1.583333,    3.940,    2.720,    0.000
      97,          1.600000,    3.718,    2.634,    0.000
      98,          1.616667,    3.526,    2.543,    0.000
      99,          1.633333,    3.992,    2.447,    0.000
     100,          1.650000,    3.932,    2.347,    0.000
     101,          1.666667,    3.877,    2.245,    0.000
     102,          1.683333,    3.827,    2.144,    0.000
     103,          1.700000,    3.779,    2.047,    0.000
     104,          1.716667,    3.733,    1.953,    0.000
     105,          1.733333,    3.686,    1.863,    0.000
     106,          1.750000,    3.639,    1.778,    0.000
     107,          1.766667,    3.590,    1.699,    0.000
     108,          1.783333,    3.547,    1.623,    0.000
     109,          1.800000,    3.510,    1.551,    0.000
     110,          1.816667,    3.479,    1.484,    0.000
     111,          1.833333,    3.449,    1.421,    0.000
     112,          1.850000,    3.422,    1.362,    0.000
     113,          1.866667,    3.396,    1.306,    0.000
     114,          1.883333,    3.373,    1.253,    0.000
     115,          1.900000,    3.350,    1.202,    0.000
     116,          1.916667,    3.329,    1.154,    0.000
     117,          1.933333,    3.309,    1.111,    0.000
     118,          1.950000,    3.289,    1.070,    0.000
     119,          1.966667,    3.271,    1.034,    0.000
     120,          1.983333,    3.254,    1.000,    0.000
     121,          2.000000,    3.238,    0.970,    0.000
     122,          2.016667,    3.223,    0.942,    0.000
     123,          2.033334,    3.206,    0.916,    0.000
     124,          2.050000,    3.187,    0.894,    0.000
     125,          2.066667,    3.165,    0.876,    0.000
     126,          2.083333,    3.142,    0.861,    0.000
     127,          2.100000,    3.119,    0.850,    0.000
     128,          2.116667,    3.092,    0.841,    0.000
     129,          2.133333,    3.063,    0.833,    0.000
     130,          2.150000,    3.034,    0.825,    0.000
     131,          2.166667,    2.998,    0.816,    0.000
     132,          2.183333,    2.961,    0.808,    0.000
     133,          2.200000,    2.926,    0.800,    0.000
     134,          2.216667,    2.898,    0.791,    0.000
     135,          2.233333,    2.874,    0.783,    0.000
     136,          2.250000,    2.854,    0.773,    0.000
     137,          2.266667,    2.838,    0.763,    0.000
     138,          2.283334,    2.823,    0.754,    0.000
     139,          2.300000,    2.806,    0.744,    0.000
     140,          2.316667,    2.785,    0.735,    0.000
     141,          2.333333,    2.766,    0.725,    0.000
     142,          2.350000,    2.748,    0.716,    0.000
     143,          2.366667,    2.729,    0.708,    0.000
     144,          2.383333,    2.712,    0.701,    0.000
     145,          2.400000,    2.696,    0.694,    0.000
     146,          2.416667,    2.680,    0.686,    0.000
     147,          2.433333,    2.666,    0.679,    0.000
     148,          2.450000,    2.650,    0.672,    0.000
     149,          2.466667,    2.633,    0.666,    0.000
     150,          2.483333,    2.614,    0.661,    0.000
     151,          2.500000,    2.598,    0.655,    0.000
     152,          2.516667,    2.576,    0.650,    0.000
     153,          2.533334,    2.557,    0.644,    0.000
     154,          2.550000,    2.534,    0.639,    0.000
     155,          2.566667,    2.510,    0.635,    0.000
     156,          2.583333,    2.487,    0.630,    0.000
     157,          2.600000,    2.468,    0.626,    0.000
     158,          2.616667,    2.443,    0.623,    0.000
     159,          2.633333,    2.419,    0.623,    0.000
     160,          2.650000,    2.398,    0.457,    0.000
     161,          2.666667,    2.377,    1.002,    0.000
     162,          2.683333,    2.357,    0.320,    0.000
     163,          2.700000,    2.338,    0.896,    0.000
     164,          2.716667,    2.324,    0.906,    0.000
     165,          2.733334,    2.299,    1.058,    0.000
     166,          2.750000,    2.273,    1.072,    0.000
     167,          2.766667,    2.247,    1.063,    0.000
     168,          2.783334,    2.219,    0.203,    0.000
     169,          2.800000,    2.189,    1.036,    0.000
     170,          2.816667,    2.157,   -0.127,    0.000
     171,          2.833333,    2.125,    1.175,    0.000
     172,          2.850000,    2.091,    0.884,    0.000
     173,          2.866667,    2.056,    1.174,    0.000
     174,          2.883333,    2.020,    0.884,    0.000
     175,          2.900000,    1.982,    0.138,    0.000
     176,          2.916667,    1.944,    1.209,    0.000
     177,          2.933333,    1.907,    0.051,    0.000
     178,          2.950000,    1.869,    0.885,    0.000
     179,          2.966667,    1.836,    0.917,    0.000
     180,          2.983334,    1.804,    0.917,    0.000
     181,          3.000000,    1.769,    0.968,    0.000
