"EG11_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_003.tcf]","Time(h)","F FC01.1_R [EG11_003]","F FC01.2_R [EG11_003]","F FC04.1_C [EG11_003]"
       1,          0.000000,,,
       2,          0.016667,G,G,G
       3,          0.033333,G,G,G
       4,          0.050000,G,G,G
       5,          0.066667,G,G,G
       6,          0.083333,G,G,G
       7,          0.100000,G,G,G
       8,          0.116667,G,G,G
       9,          0.133333,G,G,G
      10,          0.150000,G,G,G
      11,          0.166667,G,G,G
      12,          0.183333,G,G,G
      13,          0.200000,G,G,G
      14,          0.216667,A,G,G
      15,          0.233333,A,G,G
      16,          0.250000,A,G,G
      17,          0.266667,A,G,G
      18,          0.283333,A,G,G
      19,          0.300000,A,G,G
      20,          0.316667,A,G,G
      21,          0.333333,A,G,G
      22,          0.350000,A,G,G
      23,          0.366667,A,G,G
      24,          0.383333,A,G,G
      25,          0.400000,A,G,G
      26,          0.416667,A,G,G
      27,          0.433333,A,G,G
      28,          0.450000,A,G,G
      29,          0.466667,A,G,G
      30,          0.483333,A,G,G
      31,          0.500000,A,G,G
      32,          0.516667,A,G,G
      33,          0.533333,A,D,G
      34,          0.550000,A,D,G
      35,          0.566667,A,D,G
      36,          0.583333,B,D,G
      37,          0.600000,L,D,G
      38,          0.616667,L,D,G
      39,          0.633333,L,D,G
      40,          0.650000,L,D,G
      41,          0.666667,L,F,G
      42,          0.683333,L,F,G
      43,          0.700000,L,F,G
      44,          0.716667,L,F,G
      45,          0.733333,L,F,G
      46,          0.750000,L,F,G
      47,          0.766667,L,F,G
      48,          0.783333,L,F,G
      49,          0.800000,L,F,G
      50,          0.816667,L,F,G
      51,          0.833333,L,F,G
      52,          0.850000,L,F,G
      53,          0.866667,L,F,G
      54,          0.883333,L,F,G
      55,          0.900000,L,F,G
      56,          0.916667,L,F,G
      57,          0.933333,L,F,G
      58,          0.950000,L,F,G
      59,          0.966667,L,F,G
      60,          0.983333,L,F,G
      61,          1.000000,L,F,G
      62,          1.016667,L,F,G
      63,          1.033333,L,F,G
      64,          1.050000,L,F,G
      65,          1.066667,L,F,G
      66,          1.083333,L,F,G
      67,          1.100000,L,F,G
      68,          1.116667,L,F,G
      69,          1.133333,L,F,G
      70,          1.150000,L,F,G
      71,          1.166667,L,F,G
      72,          1.183333,L,F,G
      73,          1.200000,L,F,G
      74,          1.216667,L,F,G
      75,          1.233333,L,F,G
      76,          1.250000,L,F,G
      77,          1.266667,L,F,G
      78,          1.283333,L,F,G
      79,          1.300000,L,F,G
      80,          1.316667,L,F,G
      81,          1.333333,L,F,G
      82,          1.350000,L,F,G
      83,          1.366667,L,F,G
      84,          1.383333,L,F,G
      85,          1.400000,L,F,G
      86,          1.416667,L,F,G
      87,          1.433333,L,F,G
      88,          1.450000,L,F,G
      89,          1.466667,L,F,G
      90,          1.483333,L,F,G
      91,          1.500000,L,F,G
      92,          1.516667,L,F,G
      93,          1.533333,L,F,G
      94,          1.550000,L,F,G
      95,          1.566667,L,F,G
      96,          1.583333,L,F,G
      97,          1.600000,L,F,G
      98,          1.616667,L,F,G
      99,          1.633333,L,F,G
     100,          1.650000,L,F,G
     101,          1.666667,L,F,G
     102,          1.683333,L,F,G
     103,          1.700000,L,F,G
     104,          1.716667,L,F,G
     105,          1.733333,L,F,G
     106,          1.750000,L,F,G
     107,          1.766667,L,F,G
     108,          1.783333,A,F,G
     109,          1.800000,A,F,G
     110,          1.816667,A,F,G
     111,          1.833333,A,F,G
     112,          1.850000,A,F,G
     113,          1.866667,A,F,G
     114,          1.883333,A,F,G
     115,          1.900000,A,F,G
     116,          1.916667,A,F,G
     117,          1.933333,A,F,G
     118,          1.950000,A,F,G
     119,          1.966667,A,F,G
     120,          1.983333,A,F,G
     121,          2.000000,A,F,G
     122,          2.016667,A,F,G
     123,          2.033334,A,F,G
     124,          2.050000,A,F,G
     125,          2.066667,A,F,G
     126,          2.083333,A,F,G
     127,          2.100000,A,F,G
     128,          2.116667,A,F,G
     129,          2.133333,A,F,G
     130,          2.150000,A,F,G
     131,          2.166667,A,F,G
     132,          2.183333,A,F,G
     133,          2.200000,A,F,G
     134,          2.216667,A,F,G
     135,          2.233333,A,F,G
     136,          2.250000,A,F,G
     137,          2.266667,A,F,G
     138,          2.283334,A,F,G
     139,          2.300000,A,F,G
     140,          2.316667,A,F,G
     141,          2.333333,A,F,G
     142,          2.350000,A,F,G
     143,          2.366667,A,F,G
     144,          2.383333,A,F,G
     145,          2.400000,A,F,G
     146,          2.416667,A,F,G
     147,          2.433333,A,F,G
     148,          2.450000,A,F,G
     149,          2.466667,A,F,G
     150,          2.483333,A,F,G
     151,          2.500000,A,F,G
     152,          2.516667,A,F,G
     153,          2.533334,A,F,G
     154,          2.550000,A,F,G
     155,          2.566667,A,F,G
     156,          2.583333,A,F,G
     157,          2.600000,A,F,G
     158,          2.616667,A,F,G
     159,          2.633333,A,F,G
     160,          2.650000,A,F,G
     161,          2.666667,A,F,G
     162,          2.683333,A,F,G
     163,          2.700000,A,F,G
     164,          2.716667,A,F,G
     165,          2.733334,A,F,G
     166,          2.750000,A,F,G
     167,          2.766667,A,F,G
     168,          2.783334,A,D,G
     169,          2.800000,A,D,G
     170,          2.816667,A,D,G
     171,          2.833333,A,G L,G
     172,          2.850000,A,D,G
     173,          2.866667,A,G L,G
     174,          2.883333,A,G L,G
     175,          2.900000,A,G L,G
     176,          2.916667,A,G L,G
     177,          2.933333,A,D,G
     178,          2.950000,A,G L,G
     179,          2.966667,A,D,G
     180,          2.983334,A,D,G
     181,          3.000000,A,D,G
