"EG11_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_003.tcf]","Time (h)","H FC01.1_R.1 [EG11_003]","H FC01.1_R.2 [EG11_003]","H FC01.2_R.1 [EG11_003]","H FC01.2_R.2 [EG11_003]","H FC04.1_C.1 [EG11_003]","H FC04.1_C.2 [EG11_003]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       5,          0.066667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       6,          0.083333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       7,          0.100000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       8,          0.116667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
       9,          0.133333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      10,          0.150000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      11,          0.166667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      12,          0.183333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      13,          0.200000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      14,          0.216667,     45.6237,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      15,          0.233333,     45.7619,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490
      16,          0.250000,     45.8463,     44.5590,     37.5990,     37.4990,     43.3490,     42.7490
      17,          0.266667,     45.9071,     44.6497,     37.5990,     37.4990,     43.3490,     42.7490
      18,          0.283333,     45.9555,     44.7127,     37.5990,     37.4990,     43.3490,     42.7490
      19,          0.300000,     45.9931,     44.7737,     37.5990,     37.4990,     43.3490,     42.7490
      20,          0.316667,     46.0437,     44.8283,     37.5990,     37.4990,     43.3490,     42.7490
      21,          0.333333,     46.0928,     44.8860,     37.5990,     37.4990,     43.3490,     42.7490
      22,          0.350000,     46.1405,     44.9384,     37.5990,     37.4990,     43.3490,     42.7490
      23,          0.366667,     46.1908,     44.9921,     37.5990,     37.4990,     43.3490,     42.7490
      24,          0.383333,     46.2516,     45.0562,     37.5990,     37.4990,     43.3490,     42.7490
      25,          0.400000,     46.3118,     45.1274,     37.5990,     37.4990,     43.3490,     42.7490
      26,          0.416667,     46.3793,     45.1951,     37.5990,     37.4990,     43.3490,     42.7490
      27,          0.433333,     46.4561,     45.2653,     37.5990,     37.4990,     43.3490,     42.7490
      28,          0.450000,     46.5446,     45.3478,     37.5990,     37.4990,     43.3490,     42.7490
      29,          0.466667,     46.6340,     45.4250,     37.5990,     37.4990,     43.3490,     42.7490
      30,          0.483333,     46.7578,     45.5152,     37.5990,     37.4990,     43.3490,     42.7490
      31,          0.500000,     46.8806,     45.6089,     37.5990,     37.4990,     43.3490,     42.7490
      32,          0.516667,     47.0061,     45.7030,     37.5990,     37.4990,     43.3490,     42.7490
      33,          0.533333,     47.1748,     45.8177,     37.9153,     37.8901,     43.3490,     42.7490
      34,          0.550000,     47.3912,     45.9723,     38.0506,     38.0226,     43.3490,     42.7490
      35,          0.566667,     47.6291,     46.1345,     38.1672,     38.1339,     43.3490,     42.7490
      36,          0.583333,     47.8815,     46.2839,     38.2543,     38.2214,     43.3490,     42.7490
      37,          0.600000,     48.1355,     46.4251,     38.3645,     38.3265,     43.3490,     42.7490
      38,          0.616667,     48.3697,     46.5405,     38.4849,     38.4424,     43.3490,     42.7490
      39,          0.633333,     48.5720,     46.6480,     38.6275,     38.5777,     43.3490,     42.7490
      40,          0.650000,     48.7603,     46.7451,     38.7923,     38.7335,     43.3490,     42.7490
      41,          0.666667,     48.9181,     46.8373,     38.9887,     38.8985,     43.3490,     42.7490
      42,          0.683333,     49.0610,     46.9423,     39.2173,     39.0818,     43.3490,     42.7490
      43,          0.700000,     49.1755,     47.0284,     39.4677,     39.2730,     43.3490,     42.7490
      44,          0.716667,     49.2633,     47.1006,     39.7158,     39.4541,     43.3490,     42.7490
      45,          0.733333,     49.3280,     47.1636,     39.9337,     39.6042,     43.3490,     42.7490
      46,          0.750000,     49.3752,     47.2173,     40.1325,     39.7275,     43.3490,     42.7490
      47,          0.766667,     49.4096,     47.2586,     40.3250,     39.8386,     43.3490,     42.7490
      48,          0.783333,     49.4331,     47.2886,     40.5219,     39.9393,     43.3490,     42.7490
      49,          0.800000,     49.4488,     47.3096,     40.7218,     40.0349,     43.3490,     42.7490
      50,          0.816667,     49.4601,     47.3240,     40.9256,     40.1252,     43.3490,     42.7490
      51,          0.833333,     49.4686,     47.3352,     41.1280,     40.2088,     43.3490,     42.7490
      52,          0.850000,     49.4755,     47.3437,     41.3088,     40.2806,     43.3490,     42.7490
      53,          0.866667,     49.4800,     47.3498,     41.4657,     40.3407,     43.3490,     42.7490
      54,          0.883333,     49.4830,     47.3540,     41.5988,     40.3901,     43.3490,     42.7490
      55,          0.900000,     49.4855,     47.3571,     41.7119,     40.4297,     43.3490,     42.7490
      56,          0.916667,     49.4875,     47.3596,     41.8088,     40.4616,     43.3490,     42.7490
      57,          0.933333,     49.4893,     47.3617,     41.8922,     40.4874,     43.3490,     42.7490
      58,          0.950000,     49.4899,     47.3629,     41.9648,     40.5086,     43.3490,     42.7490
      59,          0.966667,     49.4899,     47.3632,     42.0287,     40.5262,     43.3490,     42.7490
      60,          0.983333,     49.4896,     47.3630,     42.0861,     40.5411,     43.3490,     42.7490
      61,          1.000000,     49.4892,     47.3626,     42.1385,     40.5539,     43.3490,     42.7490
      62,          1.016667,     49.4884,     47.3620,     42.1860,     40.5651,     43.3490,     42.7490
      63,          1.033333,     49.4864,     47.3603,     42.2294,     40.5750,     43.3490,     42.7525
      64,          1.050000,     49.4837,     47.3576,     42.2699,     40.5839,     43.3490,     42.7990
      65,          1.066667,     49.4805,     47.3543,     42.3104,     40.5923,     43.3490,     42.8126
      66,          1.083333,     49.4771,     47.3507,     42.3492,     40.6003,     43.3490,     42.8306
      67,          1.100000,     49.4733,     47.3466,     42.3853,     40.6077,     43.3490,     42.8421
      68,          1.116667,     49.4662,     47.3401,     42.4188,     40.6144,     43.3490,     42.8540
      69,          1.133333,     49.4574,     47.3314,     42.4500,     40.6206,     43.3490,     42.8659
      70,          1.150000,     49.4471,     47.3212,     42.4789,     40.6263,     43.3490,     42.8764
      71,          1.166667,     49.4362,     47.3099,     42.5055,     40.6315,     43.3490,     42.8870
      72,          1.183333,     49.4244,     47.2979,     42.5298,     40.6372,     43.3490,     42.8957
      73,          1.200000,     49.4119,     47.2849,     42.5512,     40.6434,     43.3490,     42.9036
      74,          1.216667,     49.3982,     47.2716,     42.5698,     40.6501,     43.3490,     42.9103
      75,          1.233333,     49.3838,     47.2570,     42.5855,     40.6570,     43.3490,     42.9164
      76,          1.250000,     49.3682,     47.2432,     42.5988,     40.6639,     43.3490,     42.9213
      77,          1.266667,     49.3519,     47.2283,     42.6095,     40.6698,     43.3490,     42.9246
      78,          1.283333,     49.3329,     47.2113,     42.6178,     40.6750,     43.3490,     42.9269
      79,          1.300000,     49.3119,     47.1919,     42.6241,     40.6793,     43.3490,     42.9282
      80,          1.316667,     49.2892,     47.1730,     42.6283,     40.6825,     43.3490,     42.9283
      81,          1.333333,     49.2634,     47.1531,     42.6305,     40.6846,     43.3490,     42.9256
      82,          1.350000,     49.2343,     47.1336,     42.6306,     40.6856,     43.3490,     42.9218
      83,          1.366667,     49.2022,     47.1129,     42.6289,     40.6854,     43.3490,     42.9169
      84,          1.383333,     49.1667,     47.0907,     42.6255,     40.6841,     43.3490,     42.9107
      85,          1.400000,     49.1296,     47.0670,     42.6206,     40.6818,     43.3490,     42.9037
      86,          1.416667,     49.0898,     47.0413,     42.6141,     40.6788,     43.3490,     42.8958
      87,          1.433333,     49.0479,     47.0137,     42.6061,     40.6750,     43.3490,     42.8858
      88,          1.450000,     49.0046,     46.9852,     42.5968,     40.6706,     43.3490,     42.8756
      89,          1.466667,     48.9596,     46.9537,     42.5859,     40.6652,     43.3490,     42.8640
      90,          1.483333,     48.9118,     46.9250,     42.5734,     40.6599,     43.3490,     42.8507
      91,          1.500000,     48.8610,     46.8958,     42.5593,     40.6543,     43.3490,     42.8372
      92,          1.516667,     48.8062,     46.8619,     42.5435,     40.6488,     43.3490,     42.8224
      93,          1.533333,     48.7506,     46.8351,     42.5261,     40.6435,     43.3490,     42.8070
      94,          1.550000,     48.6907,     46.8012,     42.5068,     40.6387,     43.3490,     42.7906
      95,          1.566667,     48.6289,     46.7574,     42.4857,     40.6345,     43.3490,     42.7737
      96,          1.583333,     48.5647,     46.7191,     42.4630,     40.6303,     43.3490,     42.7573
      97,          1.600000,     48.4960,     46.6817,     42.4384,     40.6258,     43.3490,     42.7490
      98,          1.616667,     48.4172,     46.6584,     42.4118,     40.6210,     43.3490,     42.7490
      99,          1.633333,     48.3442,     46.6260,     42.3831,     40.6158,     43.3490,     42.7490
     100,          1.650000,     48.2656,     46.5971,     42.3525,     40.6102,     43.3490,     42.7490
     101,          1.666667,     48.1891,     46.5625,     42.3202,     40.6042,     43.3490,     42.7490
     102,          1.683333,     48.1117,     46.5265,     42.2863,     40.5978,     43.3490,     42.7490
