"EG11_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_003.tcf]","Time(h)","V FC01.1_R [EG11_003]","V FC01.2_R [EG11_003]","V FC04.1_C [EG11_003]"
       1,          0.000000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000
      11,          0.166667,    0.000,    0.000,    0.000
      12,          0.183333,    0.000,    0.000,    0.000
      13,          0.200000,    0.000,    0.000,    0.000
      14,          0.216667,    1.208,    0.000,    0.000
      15,          0.233333,    1.538,    0.000,    0.000
      16,          0.250000,    1.708,    0.000,    0.000
      17,          0.266667,    1.821,    0.000,    0.000
      18,          0.283333,    1.906,    0.000,    0.000
      19,          0.300000,    1.969,    0.000,    0.000
      20,          0.316667,    2.052,    0.000,    0.000
      21,          0.333333,    2.128,    0.000,    0.000
      22,          0.350000,    2.200,    0.000,    0.000
      23,          0.366667,    2.274,    0.000,    0.000
      24,          0.383333,    2.360,    0.000,    0.000
      25,          0.400000,    2.442,    0.000,    0.000
      26,          0.416667,    2.531,    0.000,    0.000
      27,          0.433333,    2.628,    0.000,    0.000
      28,          0.450000,    2.736,    0.000,    0.000
      29,          0.466667,    2.840,    0.000,    0.000
      30,          0.483333,    2.979,    0.000,    0.000
      31,          0.500000,    3.111,    0.000,    0.000
      32,          0.516667,    3.240,    0.000,    0.000
      33,          0.533333,    3.406,    0.543,    0.000
      34,          0.550000,    3.608,    0.580,    0.000
      35,          0.566667,    3.818,    0.627,    0.000
      36,          0.583333,    5.242,    0.634,    0.000
      37,          0.600000,    5.698,    0.684,    0.000
      38,          0.616667,    6.088,    0.725,    0.000
      39,          0.633333,    6.406,    0.787,    0.000
      40,          0.650000,    6.688,    0.857,    0.000
      41,          0.666667,    6.916,    1.044,    0.000
      42,          0.683333,    7.116,    1.280,    0.000
      43,          0.700000,    7.272,    1.535,    0.000
      44,          0.716667,    7.390,    1.780,    0.000
      45,          0.733333,    7.475,    1.997,    0.000
      46,          0.750000,    7.537,    2.214,    0.000
      47,          0.766667,    7.581,    2.426,    0.000
      48,          0.783333,    7.612,    2.655,    0.000
      49,          0.800000,    7.632,    2.883,    0.000
      50,          0.816667,    7.646,    3.112,    0.000
      51,          0.833333,    7.657,    3.335,    0.000
      52,          0.850000,    7.666,    3.528,    0.000
      53,          0.866667,    7.672,    3.690,    0.000
      54,          0.883333,    7.676,    3.825,    0.000
      55,          0.900000,    7.679,    3.940,    0.000
      56,          0.916667,    7.682,    4.038,    0.000
      57,          0.933333,    7.684,    4.124,    0.000
      58,          0.950000,    7.685,    4.199,    0.000
      59,          0.966667,    7.685,    4.265,    0.000
      60,          0.983333,    7.684,    4.325,    0.000
      61,          1.000000,    7.684,    4.380,    0.000
      62,          1.016667,    7.683,    4.430,    0.000
      63,          1.033333,    7.680,    4.475,    0.000
      64,          1.050000,    7.677,    4.518,    0.000
      65,          1.066667,    7.673,    4.561,    0.000
      66,          1.083333,    7.668,    4.601,    0.000
      67,          1.100000,    7.663,    4.639,    0.000
      68,          1.116667,    7.654,    4.674,    0.000
      69,          1.133333,    7.643,    4.706,    0.000
      70,          1.150000,    7.630,    4.736,    0.000
      71,          1.166667,    7.616,    4.763,    0.000
      72,          1.183333,    7.601,    4.787,    0.000
      73,          1.200000,    7.585,    4.806,    0.000
      74,          1.216667,    7.567,    4.821,    0.000
      75,          1.233333,    7.548,    4.832,    0.000
      76,          1.250000,    7.528,    4.840,    0.000
      77,          1.266667,    7.506,    4.846,    0.000
      78,          1.283333,    7.482,    4.850,    0.000
      79,          1.300000,    7.454,    4.852,    0.000
      80,          1.316667,    7.424,    4.853,    0.000
      81,          1.333333,    7.390,    4.854,    0.000
      82,          1.350000,    7.351,    4.853,    0.000
      83,          1.366667,    7.308,    4.851,    0.000
      84,          1.383333,    7.261,    4.848,    0.000
      85,          1.400000,    7.210,    4.845,    0.000
      86,          1.416667,    7.156,    4.840,    0.000
      87,          1.433333,    7.098,    4.835,    0.000
      88,          1.450000,    7.038,    4.829,    0.000
      89,          1.466667,    6.975,    4.822,    0.000
      90,          1.483333,    6.908,    4.813,    0.000
      91,          1.500000,    6.835,    4.802,    0.000
      92,          1.516667,    6.756,    4.789,    0.000
      93,          1.533333,    6.675,    4.774,    0.000
      94,          1.550000,    6.586,    4.756,    0.000
      95,          1.566667,    6.494,    4.734,    0.000
      96,          1.583333,    6.396,    4.710,    0.000
      97,          1.600000,    6.290,    4.684,    0.000
      98,          1.616667,    6.166,    4.656,    0.000
      99,          1.633333,    6.048,    4.626,    0.000
     100,          1.650000,    5.919,    4.593,    0.000
     101,          1.666667,    5.791,    4.558,    0.000
     102,          1.683333,    5.659,    4.521,    0.000
     103,          1.700000,    5.518,    4.483,    0.000
     104,          1.716667,    5.353,    4.442,    0.000
     105,          1.733333,    5.182,    4.398,    0.000
     106,          1.750000,    5.001,    4.352,    0.000
     107,          1.766667,    4.811,    4.303,    0.000
     108,          1.783333,    3.773,    4.251,    0.000
     109,          1.800000,    3.712,    4.196,    0.000
     110,          1.816667,    3.661,    4.136,    0.000
     111,          1.833333,    3.616,    4.072,    0.000
     112,          1.850000,    3.577,    4.002,    0.000
     113,          1.866667,    3.545,    3.926,    0.000
     114,          1.883333,    3.516,    3.843,    0.000
     115,          1.900000,    3.490,    3.752,    0.000
     116,          1.916667,    3.466,    3.653,    0.000
     117,          1.933333,    3.442,    3.547,    0.000
     118,          1.950000,    3.421,    3.431,    0.000
     119,          1.966667,    3.400,    3.305,    0.000
     120,          1.983333,    3.382,    3.166,    0.000
     121,          2.000000,    3.364,    3.014,    0.000
     122,          2.016667,    3.347,    2.848,    0.000
     123,          2.033334,    3.329,    2.674,    0.000
     124,          2.050000,    3.309,    2.500,    0.000
     125,          2.066667,    3.286,    2.328,    0.000
     126,          2.083333,    3.263,    2.165,    0.000
     127,          2.100000,    3.238,    2.011,    0.000
     128,          2.116667,    3.210,    1.869,    0.000
     129,          2.133333,    3.180,    1.741,    0.000
     130,          2.150000,    3.147,    1.630,    0.000
     131,          2.166667,    3.113,    1.532,    0.000
     132,          2.183333,    3.078,    1.452,    0.000
     133,          2.200000,    3.042,    1.388,    0.000
     134,          2.216667,    3.011,    1.331,    0.000
     135,          2.233333,    2.986,    1.284,    0.000
     136,          2.250000,    2.964,    1.244,    0.000
     137,          2.266667,    2.945,    1.208,    0.000
     138,          2.283334,    2.928,    1.174,    0.000
     139,          2.300000,    2.911,    1.141,    0.000
     140,          2.316667,    2.892,    1.111,    0.000
     141,          2.333333,    2.871,    1.082,    0.000
     142,          2.350000,    2.850,    1.054,    0.000
     143,          2.366667,    2.833,    1.031,    0.000
     144,          2.383333,    2.813,    1.007,    0.000
     145,          2.400000,    2.794,    0.985,    0.000
     146,          2.416667,    2.776,    0.962,    0.000
     147,          2.433333,    2.760,    0.940,    0.000
     148,          2.450000,    2.746,    0.919,    0.000
     149,          2.466667,    2.731,    0.900,    0.000
     150,          2.483333,    2.712,    0.883,    0.000
     151,          2.500000,    2.691,    0.865,    0.000
     152,          2.516667,    2.670,    0.849,    0.000
     153,          2.533334,    2.648,    0.832,    0.000
     154,          2.550000,    2.628,    0.817,    0.000
     155,          2.566667,    2.607,    0.803,    0.000
     156,          2.583333,    2.582,    0.788,    0.000
     157,          2.600000,    2.555,    0.776,    0.000
     158,          2.616667,    2.531,    0.760,    0.000
     159,          2.633333,    2.508,    0.743,    0.000
     160,          2.650000,    2.489,    0.728,    0.000
     161,          2.666667,    2.468,    0.712,    0.000
     162,          2.683333,    2.446,    0.697,    0.000
     163,          2.700000,    2.426,    0.681,    0.000
     164,          2.716667,    2.404,    0.666,    0.000
     165,          2.733334,    2.379,    0.651,    0.000
     166,          2.750000,    2.354,    0.637,    0.000
     167,          2.766667,    2.329,    0.623,    0.000
     168,          2.783334,    2.306,    0.612,    0.000
     169,          2.800000,    2.275,    0.596,    0.000
     170,          2.816667,    2.242,    0.585,    0.000
     171,          2.833333,    2.208,    0.266,    0.000
     172,          2.850000,    2.173,    0.997,    0.000
     173,          2.866667,    2.136,    0.258,    0.000
     174,          2.883333,    2.100,    0.248,    0.000
     175,          2.900000,    2.061,    0.242,    0.000
     176,          2.916667,    2.022,    0.237,    0.000
     177,          2.933333,    1.983,    0.965,    0.000
     178,          2.950000,    1.942,    0.221,    0.000
     179,          2.966667,    1.906,    0.970,    0.000
     180,          2.983334,    1.872,    0.962,    0.000
     181,          3.000000,    1.839,    1.035,    0.000
