"EG11_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_003.tcf]","Time (h)","SQ FC04.1_C [EG11_003]","SQ FC01.2_R [EG11_003]","SQ FC01.1_R [EG11_003]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724
      15,          0.233333,      0.0000,      0.0000,      1.8008
      16,          0.250000,      0.0000,      0.0000,      2.4688
      17,          0.266667,      0.0000,      0.0000,      2.9900
      18,          0.283333,      0.0000,      0.0000,      3.4291
      19,          0.300000,      0.0000,      0.0000,      3.7830
      20,          0.316667,      0.0000,      0.0000,      4.2773
      21,          0.333333,      0.0000,      0.0000,      4.7758
      22,          0.350000,      0.0000,      0.0000,      5.2782
      23,          0.366667,      0.0000,      0.0000,      5.8236
      24,          0.383333,      0.0000,      0.0000,      6.5091
      25,          0.400000,      0.0000,      0.0000,      7.2118
      26,          0.416667,      0.0000,      0.0000,      8.0268
      27,          0.433333,      0.0000,      0.0000,      8.9892
      28,          0.450000,      0.0000,      0.0000,     10.1407
      29,          0.466667,      0.0000,      0.0000,     11.3503
      30,          0.483333,      0.0000,      0.0000,     13.1020
      31,          0.500000,      0.0000,      0.0000,     14.9184
      32,          0.516667,      0.0000,      0.0000,     16.8543
      33,          0.533333,      0.0000,      2.5366,     19.5765
      34,          0.550000,      0.0000,      3.6367,     23.2646
      35,          0.566667,      0.0000,      4.7687,     27.5591
      36,          0.583333,      0.0000,      5.4890,     30.5734
      37,          0.600000,      0.0000,      6.7797,     33.2303
      38,          0.616667,      0.0000,      8.1952,     35.5050
      39,          0.633333,      0.0000,     10.1767,     37.3592
      40,          0.650000,      0.0000,     12.3387,     39.0038
      41,          0.666667,      0.0000,     15.0361,     40.3333
      42,          0.683333,      0.0000,     18.4329,     41.4989
      43,          0.700000,      0.0000,     22.0995,     42.4098
      44,          0.716667,      0.0000,     25.6266,     43.0957
      45,          0.733333,      0.0000,     28.7505,     43.5943
      46,          0.750000,      0.0000,     31.8750,     43.9537
      47,          0.766667,      0.0000,     34.9359,     44.2146
      48,          0.783333,      0.0000,     38.2348,     44.3917
      49,          0.800000,      0.0000,     41.5179,     44.5095
      50,          0.816667,      0.0000,     44.8165,     44.5941
      51,          0.833333,      0.0000,     48.0303,     44.6581
      52,          0.850000,      0.0000,     50.7991,     44.7094
      53,          0.866667,      0.0000,     53.1375,     44.7431
      54,          0.883333,      0.0000,     55.0800,     44.7655
      55,          0.900000,      0.0000,     56.7312,     44.7841
      56,          0.916667,      0.0000,     58.1528,     44.7994
      57,          0.933333,      0.0000,     59.3837,     44.8122
      58,          0.950000,      0.0000,     60.4589,     44.8172
      59,          0.966667,      0.0000,     61.4135,     44.8173
      60,          0.983333,      0.0000,     62.2772,     44.8150
      61,          1.000000,      0.0000,     63.0686,     44.8115
      62,          1.016667,      0.0000,     63.7867,     44.8062
      63,          1.033333,      0.0000,     64.4434,     44.7913
      64,          1.050000,      0.0000,     65.0574,     44.7709
      65,          1.066667,      0.0000,     65.6723,     44.7473
      66,          1.083333,      0.0000,     66.2583,     44.7220
      67,          1.100000,      0.0000,     66.8017,     44.6932
      68,          1.116667,      0.0000,     67.3009,     44.6407
      69,          1.133333,      0.0000,     67.7665,     44.5743
      70,          1.150000,      0.0000,     68.1938,     44.4973
      71,          1.166667,      0.0000,     68.5867,     44.4155
      72,          1.183333,      0.0000,     68.9265,     44.3267
      73,          1.200000,      0.0000,     69.2038,     44.2331
      74,          1.216667,      0.0000,     69.4201,     44.1290
      75,          1.233333,      0.0000,     69.5798,     44.0205
      76,          1.250000,      0.0000,     69.6943,     43.9019
      77,          1.266667,      0.0000,     69.7799,     43.7778
      78,          1.283333,      0.0000,     69.8374,     43.6326
      79,          1.300000,      0.0000,     69.8720,     43.4718
      80,          1.316667,      0.0000,     69.8901,     43.2976
      81,          1.333333,      0.0000,     69.8911,     43.0987
      82,          1.350000,      0.0000,     69.8767,     42.8723
      83,          1.366667,      0.0000,     69.8500,     42.6221
      84,          1.383333,      0.0000,     69.8120,     42.3435
      85,          1.400000,      0.0000,     69.7631,     42.0502
      86,          1.416667,      0.0000,     69.7017,     41.7332
      87,          1.433333,      0.0000,     69.6269,     41.3965
      88,          1.450000,      0.0000,     69.5384,     41.0462
      89,          1.466667,      0.0000,     69.4382,     40.6793
      90,          1.483333,      0.0000,     69.3089,     40.2847
