"EG11_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_005.tcf]","Time (h)","H FC01.2_R.1 [EG11_005]","H FC01.2_R.2 [EG11_005]"
       1,          0.000000,     37.5990,     37.5990
       2,          0.016667,     37.5990,     37.5990
       3,          0.033333,     37.5990,     37.5990
       4,          0.050000,     37.5990,     37.5990
       5,          0.066667,     37.5990,     37.5990
       6,          0.083333,     37.5990,     37.5990
       7,          0.100000,     37.5990,     37.5990
       8,          0.116667,     37.5990,     37.5990
       9,          0.133333,     37.5990,     37.5990
      10,          0.150000,     37.5990,     37.5990
      11,          0.166667,     37.5990,     37.5990
      12,          0.183333,     37.5990,     37.5990
      13,          0.200000,     37.5990,     37.5990
      14,          0.216667,     37.5990,     37.5990
      15,          0.233333,     37.5990,     37.5990
      16,          0.250000,     37.5990,     37.5990
      17,          0.266667,     37.5990,     37.5990
      18,          0.283333,     37.5990,     37.5990
      19,          0.300000,     37.5990,     37.5990
      20,          0.316667,     37.5990,     37.5990
      21,          0.333333,     37.5990,     37.5990
      22,          0.350000,     37.5990,     37.5990
      23,          0.366667,     37.5990,     37.5990
      24,          0.383333,     37.5990,     37.5990
      25,          0.400000,     37.5990,     37.5990
      26,          0.416667,     37.5990,     37.5990
      27,          0.433333,     37.5990,     37.5990
      28,          0.450000,     37.5990,     37.5990
      29,          0.466667,     37.5990,     37.5990
      30,          0.483333,     37.5990,     37.5990
      31,          0.500000,     37.5990,     37.5990
      32,          0.516667,     37.5990,     37.5990
      33,          0.533333,     37.5990,     37.5990
      34,          0.550000,     37.5990,     37.5990
      35,          0.566667,     37.5990,     37.5990
      36,          0.583333,     37.5990,     37.5990
      37,          0.600000,     37.5990,     37.5990
      38,          0.616667,     37.5990,     37.5990
      39,          0.633333,     37.5990,     37.5990
      40,          0.650000,     37.5990,     37.5990
      41,          0.666667,     37.5990,     37.5990
      42,          0.683333,     37.5990,     37.5990
      43,          0.700000,     38.1257,     37.9448
      44,          0.716667,     39.1013,     38.6278
      45,          0.733333,     39.7906,     39.0712
      46,          0.750000,     40.2225,     39.3427
      47,          0.766667,     40.5560,     39.5518
      48,          0.783333,     40.8719,     39.7024
      49,          0.800000,     41.1696,     39.8201
      50,          0.816667,     41.4235,     39.9177
      51,          0.833333,     41.6303,     39.9975
      52,          0.850000,     41.7970,     40.0625
