"EG11_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_005.tcf]","Time (h)","Q FC01.2_R [EG11_005]"
       1,          0.000000,           0.000
       2,          0.016667,           0.000
       3,          0.033333,           0.000
       4,          0.050000,           0.000
       5,          0.066667,           0.000
       6,          0.083333,           0.000
       7,          0.100000,           0.000
       8,          0.116667,           0.000
       9,          0.133333,           0.000
      10,          0.150000,           0.000
      11,          0.166667,           0.000
      12,          0.183333,           0.000
      13,          0.200000,           0.000
      14,          0.216667,           0.000
      15,          0.233333,           0.000
      16,          0.250000,           0.000
      17,          0.266667,           0.000
      18,          0.283333,           0.000
      19,          0.300000,           0.000
      20,          0.316667,           0.000
      21,          0.333333,           0.000
      22,          0.350000,           0.000
      23,          0.366667,           0.000
      24,          0.383333,           0.000
      25,          0.400000,           0.000
      26,          0.416667,           0.000
      27,          0.433333,           0.000
      28,          0.450000,           0.000
      29,          0.466667,           0.000
      30,          0.483333,           0.000
      31,          0.500000,           0.000
      32,          0.516667,           0.000
      33,          0.533333,           0.000
      34,          0.550000,           0.000
      35,          0.566667,           0.000
      36,          0.583333,           0.000
      37,          0.600000,           0.000
      38,          0.616667,           0.000
      39,          0.633333,           0.000
      40,          0.650000,           0.000
      41,          0.666667,           0.000
      42,          0.683333,           0.000
      43,          0.700000,           5.418
      44,          0.716667,          14.177
      45,          0.733333,          21.575
      46,          0.750000,          26.379
      47,          0.766667,          30.057
      48,          0.783333,          32.538
      49,          0.800000,          35.235
      50,          0.816667,          37.580
      51,          0.833333,          39.490
      52,          0.850000,          41.016
      53,          0.866667,          42.268
      54,          0.883333,          43.337
      55,          0.900000,          44.271
      56,          0.916667,          45.108
      57,          0.933333,          45.864
      58,          0.950000,          46.562
      59,          0.966667,          47.217
      60,          0.983333,          47.842
      61,          1.000000,          48.426
      62,          1.016667,          48.953
      63,          1.033333,          49.341
      64,          1.050000,          49.606
      65,          1.066667,          49.737
      66,          1.083333,          49.752
      67,          1.100000,          49.701
      68,          1.116667,          49.608
      69,          1.133333,          49.498
      70,          1.150000,          49.390
      71,          1.166667,          49.288
      72,          1.183333,          49.190
      73,          1.200000,          49.109
      74,          1.216667,          49.039
      75,          1.233333,          48.982
      76,          1.250000,          48.934
      77,          1.266667,          48.895
      78,          1.283333,          48.864
      79,          1.300000,          48.841
      80,          1.316667,          48.825
      81,          1.333333,          48.812
      82,          1.350000,          48.803
      83,          1.366667,          48.800
      84,          1.383333,          48.800
      85,          1.400000,          48.803
      86,          1.416667,          48.813
      87,          1.433333,          48.824
      88,          1.450000,          48.837
      89,          1.466667,          48.848
      90,          1.483333,          48.860
      91,          1.500000,          48.877
      92,          1.516667,          48.894
      93,          1.533333,          48.908
      94,          1.550000,          48.920
      95,          1.566667,          48.930
      96,          1.583333,          48.932
      97,          1.600000,          48.927
      98,          1.616667,          48.915
      99,          1.633333,          48.896
     100,          1.650000,          48.868
     101,          1.666667,          48.831
     102,          1.683333,          48.781
     103,          1.700000,          48.717
     104,          1.716667,          48.628
     105,          1.733333,          48.510
     106,          1.750000,          48.362
     107,          1.766667,          48.182
     108,          1.783333,          47.959
     109,          1.800000,          47.710
     110,          1.816667,          47.441
     111,          1.833333,          47.156
     112,          1.850000,          46.857
     113,          1.866667,          46.546
     114,          1.883333,          46.223
     115,          1.900000,          45.890
     116,          1.916667,          45.548
     117,          1.933333,          45.200
     118,          1.950000,          44.840
     119,          1.966667,          44.468
     120,          1.983333,          44.086
     121,          2.000000,          43.694
     122,          2.016667,          43.287
     123,          2.033334,          42.873
     124,          2.050000,          42.446
     125,          2.066667,          42.006
     126,          2.083333,          41.554
     127,          2.100000,          41.083
     128,          2.116667,          40.597
     129,          2.133333,          40.091
     130,          2.150000,          39.562
     131,          2.166667,          39.009
     132,          2.183333,          38.436
     133,          2.200000,          37.846
     134,          2.216667,          37.229
     135,          2.233333,          36.585
     136,          2.250000,          35.906
     137,          2.266667,          35.184
     138,          2.283334,          34.424
     139,          2.300000,          33.617
     140,          2.316667,          32.750
     141,          2.333333,          31.811
     142,          2.350000,          30.770
     143,          2.366667,          29.400
     144,          2.383333,          27.614
     145,          2.400000,          26.002
     146,          2.416667,          24.485
     147,          2.433333,          23.025
     148,          2.450000,          21.623
     149,          2.466667,          20.289
     150,          2.483333,          19.012
     151,          2.500000,          17.806
     152,          2.516667,          16.693
     153,          2.533334,          15.677
     154,          2.550000,          14.746
     155,          2.566667,          13.929
     156,          2.583333,          13.231
     157,          2.600000,          12.654
     158,          2.616667,          12.195
     159,          2.633333,          11.822
     160,          2.650000,          11.502
     161,          2.666667,          11.202
     162,          2.683333,          10.942
     163,          2.700000,          10.695
     164,          2.716667,          10.407
     165,          2.733334,          10.139
     166,          2.750000,           9.898
     167,          2.766667,           9.656
     168,          2.783334,           9.419
     169,          2.800000,           9.185
     170,          2.816667,           8.994
     171,          2.833333,           8.748
     172,          2.850000,           8.580
     173,          2.866667,           8.362
     174,          2.883333,           8.102
     175,          2.900000,           7.898
     176,          2.916667,           7.713
     177,          2.933333,           7.528
     178,          2.950000,           7.327
     179,          2.966667,           7.117
     180,          2.983334,           6.921
     181,          3.000000,           6.744
