"EG11_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_005.tcf]","Time(h)","V FC01.2_R [EG11_005]"
       1,          0.000000,    0.000
       2,          0.016667,    0.000
       3,          0.033333,    0.000
       4,          0.050000,    0.000
       5,          0.066667,    0.000
       6,          0.083333,    0.000
       7,          0.100000,    0.000
       8,          0.116667,    0.000
       9,          0.133333,    0.000
      10,          0.150000,    0.000
      11,          0.166667,    0.000
      12,          0.183333,    0.000
      13,          0.200000,    0.000
      14,          0.216667,    0.000
      15,          0.233333,    0.000
      16,          0.250000,    0.000
      17,          0.266667,    0.000
      18,          0.283333,    0.000
      19,          0.300000,    0.000
      20,          0.316667,    0.000
      21,          0.333333,    0.000
      22,          0.350000,    0.000
      23,          0.366667,    0.000
      24,          0.383333,    0.000
      25,          0.400000,    0.000
      26,          0.416667,    0.000
      27,          0.433333,    0.000
      28,          0.450000,    0.000
      29,          0.466667,    0.000
      30,          0.483333,    0.000
      31,          0.500000,    0.000
      32,          0.516667,    0.000
      33,          0.533333,    0.000
      34,          0.550000,    0.000
      35,          0.566667,    0.000
      36,          0.583333,    0.000
      37,          0.600000,    0.000
      38,          0.616667,    0.000
      39,          0.633333,    0.000
      40,          0.650000,    0.000
      41,          0.666667,    0.000
      42,          0.683333,    0.000
      43,          0.700000,    0.837
      44,          0.716667,    0.748
      45,          0.733333,    0.786
      46,          0.750000,    0.806
      47,          0.766667,    0.817
      48,          0.783333,    0.807
      49,          0.800000,    0.812
      50,          0.816667,    0.816
      51,          0.833333,    0.819
      52,          0.850000,    0.821
      53,          0.866667,    0.823
      54,          0.883333,    0.825
      55,          0.900000,    0.827
      56,          0.916667,    0.830
      57,          0.933333,    0.833
      58,          0.950000,    0.835
      59,          0.966667,    0.838
      60,          0.983333,    0.841
      61,          1.000000,    0.843
      62,          1.016667,    0.846
      63,          1.033333,    0.845
      64,          1.050000,    0.842
      65,          1.066667,    0.837
      66,          1.083333,    0.830
      67,          1.100000,    0.822
      68,          1.116667,    0.815
      69,          1.133333,    0.808
      70,          1.150000,    0.801
      71,          1.166667,    0.796
      72,          1.183333,    0.791
      73,          1.200000,    0.787
      74,          1.216667,    0.784
      75,          1.233333,    0.782
      76,          1.250000,    0.780
      77,          1.266667,    0.779
      78,          1.283333,    0.778
      79,          1.300000,    0.778
      80,          1.316667,    0.778
      81,          1.333333,    0.778
      82,          1.350000,    0.779
      83,          1.366667,    0.780
      84,          1.383333,    0.781
      85,          1.400000,    0.783
      86,          1.416667,    0.785
      87,          1.433333,    0.787
      88,          1.450000,    0.789
      89,          1.466667,    0.791
      90,          1.483333,    0.794
      91,          1.500000,    0.796
      92,          1.516667,    0.799
      93,          1.533333,    0.802
      94,          1.550000,    0.805
      95,          1.566667,    0.808
      96,          1.583333,    0.811
      97,          1.600000,    0.814
      98,          1.616667,    0.817
      99,          1.633333,    0.820
     100,          1.650000,    0.822
     101,          1.666667,    0.825
     102,          1.683333,    0.828
     103,          1.700000,    0.830
     104,          1.716667,    0.832
     105,          1.733333,    0.833
     106,          1.750000,    0.834
     107,          1.766667,    0.834
     108,          1.783333,    0.833
     109,          1.800000,    0.832
     110,          1.816667,    0.831
     111,          1.833333,    0.829
     112,          1.850000,    0.827
     113,          1.866667,    0.825
     114,          1.883333,    0.823
     115,          1.900000,    0.821
     116,          1.916667,    0.819
     117,          1.933333,    0.817
     118,          1.950000,    0.815
     119,          1.966667,    0.812
     120,          1.983333,    0.810
     121,          2.000000,    0.808
     122,          2.016667,    0.805
     123,          2.033334,    0.802
     124,          2.050000,    0.800
     125,          2.066667,    0.797
     126,          2.083333,    0.794
     127,          2.100000,    0.791
     128,          2.116667,    0.788
     129,          2.133333,    0.785
     130,          2.150000,    0.781
     131,          2.166667,    0.777
     132,          2.183333,    0.774
     133,          2.200000,    0.770
     134,          2.216667,    0.766
     135,          2.233333,    0.761
     136,          2.250000,    0.757
     137,          2.266667,    0.752
     138,          2.283334,    0.747
     139,          2.300000,    0.741
     140,          2.316667,    0.735
     141,          2.333333,    0.728
     142,          2.350000,    0.720
     143,          2.366667,    0.705
     144,          2.383333,    0.681
     145,          2.400000,    0.660
     146,          2.416667,    0.640
     147,          2.433333,    0.622
     148,          2.450000,    0.604
     149,          2.466667,    0.586
     150,          2.483333,    0.569
     151,          2.500000,    0.552
     152,          2.516667,    0.536
     153,          2.533334,    0.522
     154,          2.550000,    0.508
     155,          2.566667,    0.497
     156,          2.583333,    0.488
     157,          2.600000,    0.481
     158,          2.616667,    0.476
     159,          2.633333,    0.473
     160,          2.650000,    0.470
     161,          2.666667,    0.467
     162,          2.683333,    0.465
     163,          2.700000,    0.463
     164,          2.716667,    0.460
     165,          2.733334,    0.456
     166,          2.750000,    0.453
     167,          2.766667,    0.449
     168,          2.783334,    0.446
     169,          2.800000,    0.443
     170,          2.816667,    0.441
     171,          2.833333,    0.437
     172,          2.850000,    0.436
     173,          2.866667,    0.434
     174,          2.883333,    0.430
     175,          2.900000,    0.428
     176,          2.916667,    0.426
     177,          2.933333,    0.424
     178,          2.950000,    0.421
     179,          2.966667,    0.418
     180,          2.983334,    0.416
     181,          3.000000,    0.414
