"EG11_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_005.tcf]","Time (h)","SQ FC01.2_R [EG11_005]"
       1,          0.000000,      0.0000
       2,          0.016667,      0.0000
       3,          0.033333,      0.0000
       4,          0.050000,      0.0000
       5,          0.066667,      0.0000
       6,          0.083333,      0.0000
       7,          0.100000,      0.0000
       8,          0.116667,      0.0000
       9,          0.133333,      0.0000
      10,          0.150000,      0.0000
      11,          0.166667,      0.0000
      12,          0.183333,      0.0000
      13,          0.200000,      0.0000
      14,          0.216667,      0.0000
      15,          0.233333,      0.0000
      16,          0.250000,      0.0000
      17,          0.266667,      0.0000
      18,          0.283333,      0.0000
      19,          0.300000,      0.0000
      20,          0.316667,      0.0000
      21,          0.333333,      0.0000
      22,          0.350000,      0.0000
      23,          0.366667,      0.0000
      24,          0.383333,      0.0000
      25,          0.400000,      0.0000
      26,          0.416667,      0.0000
      27,          0.433333,      0.0000
      28,          0.450000,      0.0000
      29,          0.466667,      0.0000
      30,          0.483333,      0.0000
      31,          0.500000,      0.0000
      32,          0.516667,      0.0000
      33,          0.533333,      0.0000
      34,          0.550000,      0.0000
      35,          0.566667,      0.0000
      36,          0.583333,      0.0000
      37,          0.600000,      0.0000
      38,          0.616667,      0.0000
      39,          0.633333,      0.0000
      40,          0.650000,      0.0000
      41,          0.666667,      0.0000
      42,          0.683333,      0.0000
      43,          0.700000,      5.4182
      44,          0.716667,     14.1768
      45,          0.733333,     21.5747
      46,          0.750000,     26.3794
      47,          0.766667,     30.0575
      48,          0.783333,     32.5382
      49,          0.800000,     35.2350
      50,          0.816667,     37.5804
      51,          0.833333,     39.4898
      52,          0.850000,     41.0162
      53,          0.866667,     42.2683
      54,          0.883333,     43.3373
      55,          0.900000,     44.2711
      56,          0.916667,     45.1076
      57,          0.933333,     45.8641
      58,          0.950000,     46.5621
      59,          0.966667,     47.2166
      60,          0.983333,     47.8415
      61,          1.000000,     48.4261
      62,          1.016667,     48.9528
      63,          1.033333,     49.3408
      64,          1.050000,     49.6056
      65,          1.066667,     49.7375
      66,          1.083333,     49.7521
      67,          1.100000,     49.7012
      68,          1.116667,     49.6085
      69,          1.133333,     49.4983
      70,          1.150000,     49.3900
      71,          1.166667,     49.2882
      72,          1.183333,     49.1895
      73,          1.200000,     49.1094
      74,          1.216667,     49.0387
      75,          1.233333,     48.9821
      76,          1.250000,     48.9340
      77,          1.266667,     48.8953
      78,          1.283333,     48.8637
      79,          1.300000,     48.8413
      80,          1.316667,     48.8247
      81,          1.333333,     48.8119
      82,          1.350000,     48.8035
      83,          1.366667,     48.7997
      84,          1.383333,     48.8003
      85,          1.400000,     48.8034
      86,          1.416667,     48.8132
      87,          1.433333,     48.8242
      88,          1.450000,     48.8370
      89,          1.466667,     48.8480
      90,          1.483333,     48.8604
      91,          1.500000,     48.8769
      92,          1.516667,     48.8941
      93,          1.533333,     48.9084
      94,          1.550000,     48.9200
      95,          1.566667,     48.9295
      96,          1.583333,     48.9318
      97,          1.600000,     48.9270
      98,          1.616667,     48.9146
      99,          1.633333,     48.8959
     100,          1.650000,     48.8675
     101,          1.666667,     48.8314
     102,          1.683333,     48.7814
     103,          1.700000,     48.7171
     104,          1.716667,     48.6278
     105,          1.733333,     48.5101
     106,          1.750000,     48.3618
     107,          1.766667,     48.1818
     108,          1.783333,     47.9594
     109,          1.800000,     47.7101
     110,          1.816667,     47.4410
     111,          1.833333,     47.1562
     112,          1.850000,     46.8574
     113,          1.866667,     46.5464
     114,          1.883333,     46.2233
     115,          1.900000,     45.8898
     116,          1.916667,     45.5484
     117,          1.933333,     45.2000
     118,          1.950000,     44.8395
     119,          1.966667,     44.4685
     120,          1.983333,     44.0860
     121,          2.000000,     43.6936
     122,          2.016667,     43.2871
     123,          2.033334,     42.8725
     124,          2.050000,     42.4463
     125,          2.066667,     42.0055
     126,          2.083333,     41.5543
     127,          2.100000,     41.0833
     128,          2.116667,     40.5970
     129,          2.133333,     40.0907
     130,          2.150000,     39.5618
     131,          2.166667,     39.0087
     132,          2.183333,     38.4361
     133,          2.200000,     37.8460
     134,          2.216667,     37.2288
     135,          2.233333,     36.5850
     136,          2.250000,     35.9059
     137,          2.266667,     35.1844
     138,          2.283334,     34.4237
     139,          2.300000,     33.6172
     140,          2.316667,     32.7503
     141,          2.333333,     31.8114
     142,          2.350000,     30.7703
     143,          2.366667,     29.4004
     144,          2.383333,     27.6144
     145,          2.400000,     26.0023
     146,          2.416667,     24.4845
     147,          2.433333,     23.0250
     148,          2.450000,     21.6234
     149,          2.466667,     20.2889
     150,          2.483333,     19.0124
     151,          2.500000,     17.8063
     152,          2.516667,     16.6934
     153,          2.533334,     15.6775
     154,          2.550000,     14.7460
     155,          2.566667,     13.9286
     156,          2.583333,     13.2312
     157,          2.600000,     12.6541
     158,          2.616667,     12.1948
     159,          2.633333,     11.8217
     160,          2.650000,     11.5021
     161,          2.666667,     11.2019
     162,          2.683333,     10.9419
     163,          2.700000,     10.6945
     164,          2.716667,     10.4066
     165,          2.733334,     10.1394
     166,          2.750000,      9.8977
     167,          2.766667,      9.6556
     168,          2.783334,      9.4190
     169,          2.800000,      9.1855
     170,          2.816667,      8.9940
     171,          2.833333,      8.7479
     172,          2.850000,      8.5800
     173,          2.866667,      8.3620
     174,          2.883333,      8.1024
     175,          2.900000,      7.8981
     176,          2.916667,      7.7127
     177,          2.933333,      7.5281
     178,          2.950000,      7.3272
     179,          2.966667,      7.1172
     180,          2.983334,      6.9209
     181,          3.000000,      6.7437
