"EG11_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_006.tcf]","Time(h)","F FC01.2_R [EG11_006]"
       1,          0.000000,
       2,          0.016667,E
       3,          0.033333,E
       4,          0.050000,E
       5,          0.066667,E
       6,          0.083333,E
       7,          0.100000,E
       8,          0.116667,E
       9,          0.133333,E
      10,          0.150000,E
      11,          0.166667,E
      12,          0.183333,E
      13,          0.200000,E
      14,          0.216667,E
      15,          0.233333,E
      16,          0.250000,E
      17,          0.266667,E
      18,          0.283333,E
      19,          0.300000,E
      20,          0.316667,E
      21,          0.333333,E
      22,          0.350000,E
      23,          0.366667,E
      24,          0.383333,E
      25,          0.400000,E
      26,          0.416667,E
      27,          0.433333,E
      28,          0.450000,E
      29,          0.466667,E
      30,          0.483333,E
      31,          0.500000,E
      32,          0.516667,E
      33,          0.533333,E
      34,          0.550000,E
      35,          0.566667,E
      36,          0.583333,E
      37,          0.600000,E
      38,          0.616667,E
      39,          0.633333,E
      40,          0.650000,E
      41,          0.666667,E
      42,          0.683333,E
      43,          0.700000,N
      44,          0.716667,T
      45,          0.733333,N
      46,          0.750000,N
      47,          0.766667,N
      48,          0.783333,N
      49,          0.800000,N
      50,          0.816667,N
      51,          0.833333,N
      52,          0.850000,N
      53,          0.866667,N
      54,          0.883333,N
      55,          0.900000,N
      56,          0.916667,N
      57,          0.933333,N
      58,          0.950000,N
      59,          0.966667,N
      60,          0.983333,N
      61,          1.000000,N
      62,          1.016667,N
      63,          1.033333,N
      64,          1.050000,N
      65,          1.066667,N
      66,          1.083333,N
      67,          1.100000,N
      68,          1.116667,N
      69,          1.133333,N
      70,          1.150000,N
      71,          1.166667,N
      72,          1.183333,N
      73,          1.200000,N
      74,          1.216667,N
      75,          1.233333,N
      76,          1.250000,N
      77,          1.266667,N
      78,          1.283333,N
      79,          1.300000,N
      80,          1.316667,N
      81,          1.333333,N
      82,          1.350000,N
      83,          1.366667,N
      84,          1.383333,N
      85,          1.400000,N
      86,          1.416667,N
      87,          1.433333,N
      88,          1.450000,N
      89,          1.466667,N
      90,          1.483333,N
      91,          1.500000,N
      92,          1.516667,N
      93,          1.533333,N
      94,          1.550000,N
      95,          1.566667,N
      96,          1.583333,N
      97,          1.600000,N
      98,          1.616667,N
      99,          1.633333,N
     100,          1.650000,N
     101,          1.666667,N
     102,          1.683333,N
     103,          1.700000,N
     104,          1.716667,N
     105,          1.733333,N
     106,          1.750000,N
     107,          1.766667,N
     108,          1.783333,N
     109,          1.800000,N
     110,          1.816667,N
     111,          1.833333,N
     112,          1.850000,N
     113,          1.866667,N
     114,          1.883333,N
     115,          1.900000,N
     116,          1.916667,N
     117,          1.933333,N
     118,          1.950000,N
     119,          1.966667,N
     120,          1.983333,N
     121,          2.000000,N
     122,          2.016667,N
     123,          2.033334,N
     124,          2.050000,N
     125,          2.066667,N
     126,          2.083333,N
     127,          2.100000,N
     128,          2.116667,N
     129,          2.133333,N
     130,          2.150000,N
     131,          2.166667,N
     132,          2.183333,N
     133,          2.200000,N
     134,          2.216667,N
     135,          2.233333,N
     136,          2.250000,N
     137,          2.266667,N
     138,          2.283334,T
     139,          2.300000,T
     140,          2.316667,T
     141,          2.333333,T
     142,          2.350000,T
     143,          2.366667,T
     144,          2.383333,T
     145,          2.400000,T
     146,          2.416667,S
     147,          2.433333,S
     148,          2.450000,S
     149,          2.466667,S
     150,          2.483333,S
     151,          2.500000,S
     152,          2.516667,S
     153,          2.533334,S
     154,          2.550000,S
     155,          2.566667,S
     156,          2.583333,S
     157,          2.600000,S
     158,          2.616667,S
     159,          2.633333,S
     160,          2.650000,S
     161,          2.666667,S
     162,          2.683333,S
     163,          2.700000,S
     164,          2.716667,S
     165,          2.733334,S
     166,          2.750000,S
     167,          2.766667,S
     168,          2.783334,S
     169,          2.800000,S
     170,          2.816667,S
     171,          2.833333,S
     172,          2.850000,S
     173,          2.866667,S
     174,          2.883333,S
     175,          2.900000,S
     176,          2.916667,S
     177,          2.933333,S
     178,          2.950000,S
     179,          2.966667,S
     180,          2.983334,S
     181,          3.000000,S
