"EG11_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_006.tcf]","Time (h)","H N1 [EG11_006]","H N2 [EG11_006]"
       1,          0.000000,     37.6000,     37.5000
       2,          0.016667,     37.6000,     37.5000
       3,          0.033333,     37.6000,     37.5000
       4,          0.050000,     37.6000,     37.5000
       5,          0.066667,     37.6000,     37.5000
       6,          0.083333,     37.6000,     37.5000
       7,          0.100000,     37.6000,     37.5000
       8,          0.116667,     37.6000,     37.5000
       9,          0.133333,     37.6000,     37.5000
      10,          0.150000,     37.6000,     37.5000
      11,          0.166667,     37.6000,     37.5000
      12,          0.183333,     37.6000,     37.5000
      13,          0.200000,     37.6000,     37.5000
      14,          0.216667,     37.6000,     37.5000
      15,          0.233333,     37.6000,     37.5000
      16,          0.250000,     37.6000,     37.5000
      17,          0.266667,     37.6000,     37.5000
      18,          0.283333,     37.6000,     37.5000
      19,          0.300000,     37.6000,     37.5000
      20,          0.316667,     37.6000,     37.5000
      21,          0.333333,     37.6000,     37.5000
      22,          0.350000,     37.6000,     37.5000
      23,          0.366667,     37.6000,     37.5000
      24,          0.383333,     37.6000,     37.5000
      25,          0.400000,     37.6000,     37.5000
      26,          0.416667,     37.6000,     37.5000
      27,          0.433333,     37.6000,     37.5000
      28,          0.450000,     37.6000,     37.5000
      29,          0.466667,     37.6000,     37.5000
      30,          0.483333,     37.6000,     37.5000
      31,          0.500000,     37.6000,     37.5000
      32,          0.516667,     37.6000,     37.5000
      33,          0.533333,     37.6000,     37.5000
      34,          0.550000,     37.6000,     37.5000
      35,          0.566667,     37.6000,     37.5000
      36,          0.583333,     37.6000,     37.5000
      37,          0.600000,     37.6000,     37.5000
      38,          0.616667,     37.6000,     37.5000
      39,          0.633333,     37.6000,     37.5000
      40,          0.650000,     37.6000,     37.5000
      41,          0.666667,     37.6000,     37.5000
      42,          0.683333,     37.6000,     37.5000
      43,          0.700000,     38.1121,     37.9033
      44,          0.716667,     39.0135,     38.6084
      45,          0.733333,     39.7428,     39.0515
      46,          0.750000,     40.2050,     39.3255
      47,          0.766667,     40.5498,     39.5300
      48,          0.783333,     40.8644,     39.6839
      49,          0.800000,     41.1593,     39.8188
      50,          0.816667,     41.4116,     39.9230
      51,          0.833333,     41.6172,     40.0073
      52,          0.850000,     41.7828,     40.0763
      53,          0.866667,     41.9177,     40.1316
      54,          0.883333,     42.0302,     40.1760
      55,          0.900000,     42.1266,     40.2116
      56,          0.916667,     42.2105,     40.2406
      57,          0.933333,     42.2846,     40.2647
      58,          0.950000,     42.3517,     40.2851
      59,          0.966667,     42.4132,     40.3026
      60,          0.983333,     42.4709,     40.3180
      61,          1.000000,     42.5244,     40.3316
      62,          1.016667,     42.5741,     40.3439
      63,          1.033333,     42.6192,     40.3597
      64,          1.050000,     42.6620,     40.3826
      65,          1.066667,     42.7021,     40.4130
      66,          1.083333,     42.7366,     40.4478
      67,          1.100000,     42.7667,     40.4837
      68,          1.116667,     42.7925,     40.5183
      69,          1.133333,     42.8147,     40.5506
      70,          1.150000,     42.8331,     40.5795
      71,          1.166667,     42.8484,     40.6038
      72,          1.183333,     42.8603,     40.6242
      73,          1.200000,     42.8696,     40.6404
      74,          1.216667,     42.8764,     40.6531
      75,          1.233333,     42.8812,     40.6626
      76,          1.250000,     42.8840,     40.6692
      77,          1.266667,     42.8852,     40.6733
      78,          1.283333,     42.8849,     40.6751
      79,          1.300000,     42.8833,     40.6751
      80,          1.316667,     42.8806,     40.6733
      81,          1.333333,     42.8766,     40.6700
      82,          1.350000,     42.8716,     40.6651
      83,          1.366667,     42.8654,     40.6587
      84,          1.383333,     42.8584,     40.6511
      85,          1.400000,     42.8504,     40.6423
      86,          1.416667,     42.8420,     40.6326
      87,          1.433333,     42.8329,     40.6221
      88,          1.450000,     42.8231,     40.6106
      89,          1.466667,     42.8123,     40.5981
      90,          1.483333,     42.8007,     40.5847
      91,          1.500000,     42.7884,     40.5704
      92,          1.516667,     42.7755,     40.5561
      93,          1.533333,     42.7622,     40.5414
      94,          1.550000,     42.7485,     40.5267
      95,          1.566667,     42.7348,     40.5118
      96,          1.583333,     42.7209,     40.4972
      97,          1.600000,     42.7064,     40.4825
      98,          1.616667,     42.6911,     40.4675
      99,          1.633333,     42.6752,     40.4525
     100,          1.650000,     42.6584,     40.4376
     101,          1.666667,     42.6409,     40.4230
     102,          1.683333,     42.6227,     40.4089
     103,          1.700000,     42.6038,     40.3962
     104,          1.716667,     42.5842,     40.3849
     105,          1.733333,     42.5636,     40.3750
     106,          1.750000,     42.5419,     40.3673
     107,          1.766667,     42.5194,     40.3610
     108,          1.783333,     42.4959,     40.3554
