"EG11_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_007.tcf]","Time (h)","SQ FC04.1 [EG11_007]","SQ FC01.2 [EG11_007]","SQ FC01.1 [EG11_007]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.0000
      15,          0.233333,      0.0000,      0.0000,      0.0000
      16,          0.250000,      0.0000,      0.0000,      0.0000
      17,          0.266667,      0.0000,      0.0000,      0.0000
      18,          0.283333,      0.0000,      0.0000,      0.0000
      19,          0.300000,      0.0000,      0.0000,      0.0000
      20,          0.316667,      0.0000,      0.0000,      0.0000
      21,          0.333333,      0.0000,      0.0000,      0.0000
      22,          0.350000,      0.0000,      0.0000,      0.0060
      23,          0.366667,      0.0000,      0.0000,      0.4659
      24,          0.383333,      0.0000,      0.0000,      1.3729
      25,          0.400000,      0.0000,      0.0000,      2.3989
      26,          0.416667,      0.0000,      0.0000,      3.5443
      27,          0.433333,      0.0000,      0.0000,      4.6488
      28,          0.450000,      0.0000,      0.0000,      5.8866
      29,          0.466667,      0.0000,      0.0000,      7.2096
      30,          0.483333,      0.0000,      0.0000,      8.5998
      31,          0.500000,      0.0000,      0.0000,     10.0244
      32,          0.516667,      0.0000,      0.0000,     11.4411
      33,          0.533333,      0.0000,      0.0000,     13.4410
      34,          0.550000,      0.0000,      0.0000,     15.9951
      35,          0.566667,      0.0000,      0.0000,     18.8625
      36,          0.583333,      0.0000,      0.0000,     21.8445
      37,          0.600000,      0.0000,      0.0000,     24.8177
      38,          0.616667,      0.0000,      0.0000,     27.5033
      39,          0.633333,      0.0000,      0.0000,     29.7575
      40,          0.650000,      0.0000,      0.0000,     31.9136
      41,          0.666667,      0.0000,      0.3757,     33.8662
      42,          0.683333,      0.0000,      5.2670,     35.5348
      43,          0.700000,      0.0000,     10.8924,     35.7730
      44,          0.716667,      0.0000,     16.5144,     35.5378
      45,          0.733333,      0.0000,     21.9997,     35.3858
      46,          0.750000,      0.0000,     27.4082,     35.2564
      47,          0.766667,      0.0000,     32.9428,     35.1621
      48,          0.783333,      0.0000,     36.2516,     35.0844
      49,          0.800000,      0.0000,     39.8752,     35.0281
      50,          0.816667,      0.0000,     43.4437,     34.9876
      51,          0.833333,      0.0000,     46.6666,     34.9566
      52,          0.850000,      0.0000,     49.5441,     34.9330
      53,          0.866667,      0.0000,     52.0815,     34.9072
      54,          0.883333,      0.0000,     54.3155,     34.8932
      55,          0.900000,      0.0000,     56.2908,     34.8839
      56,          0.916667,      0.0000,     58.0470,     34.8779
      57,          0.933333,      0.0000,     59.6063,     34.8723
      58,          0.950000,      0.0000,     61.0035,     34.8638
      59,          0.966667,      0.0000,     62.2770,     34.8591
      60,          0.983333,      0.0000,     63.4477,     34.8573
      61,          1.000000,      0.0000,     64.5172,     34.8569
      62,          1.016667,      0.0000,     65.4975,     34.8560
      63,          1.033333,      0.0000,     66.4205,     34.8504
      64,          1.050000,      0.0000,     67.3575,     34.8499
      65,          1.066667,      0.0000,     68.2528,     34.8530
      66,          1.083333,      0.0000,     69.0787,     34.8588
      67,          1.100000,      0.0000,     69.8409,     34.8621
      68,          1.116667,      0.0000,     70.5523,     34.8554
      69,          1.133333,      0.0000,     71.1924,     34.8604
      70,          1.150000,      0.0000,     71.7657,     34.8661
      71,          1.166667,      0.0000,     72.2722,     34.8659
      72,          1.183333,      0.0000,     72.7043,     34.8712
      73,          1.200000,      0.0000,     73.0678,     34.8817
      74,          1.216667,      0.0000,     73.3566,     34.8983
      75,          1.233333,      0.0000,     73.5792,     34.9216
      76,          1.250000,      0.0000,     73.7381,     34.9438
      77,          1.266667,      0.0000,     73.8370,     34.9411
      78,          1.283333,      0.0000,     73.8806,     34.9351
      79,          1.300000,      0.0000,     73.8755,     34.9343
      80,          1.316667,      0.0000,     73.8251,     34.9536
      81,          1.333333,      0.0000,     73.7308,     34.9421
      82,          1.350000,      0.0000,     73.5898,     34.9192
      83,          1.366667,      0.0000,     73.4034,     34.8756
      84,          1.383333,      0.0000,     73.1781,     34.3718
      85,          1.400000,      0.0000,     72.9152,     33.8085
      86,          1.416667,      0.0000,     72.6138,     33.2234
      87,          1.433333,      0.0000,     72.2739,     32.5937
      88,          1.450000,      0.0000,     71.8938,     31.9761
      89,          1.466667,      0.0000,     71.4742,     31.3386
      90,          1.483333,      0.0000,     71.0153,     30.6950
