"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time (h)","SQ FC04.1_C [EG11_008]","SQ FC01.2_R [EG11_008]","SQ FC01.1_R [EG11_008]","SQ W999 [EG11_008]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724,      0.0000
      15,          0.233333,      0.0000,      0.0000,      1.8008,      0.0000
      16,          0.250000,      0.0000,      0.0000,      2.4688,      0.0000
      17,          0.266667,      0.0000,      0.0000,      2.9900,      0.0000
      18,          0.283333,      0.0000,      0.0000,      3.4291,      0.0000
      19,          0.300000,      0.0000,      0.0000,      3.7830,      0.0000
      20,          0.316667,      0.0000,      0.0000,      4.2773,      0.0000
      21,          0.333333,      0.0000,      0.0000,      4.7758,      0.0000
      22,          0.350000,      0.0000,      0.0000,      5.2782,      0.0000
      23,          0.366667,      0.0000,      0.0000,      5.8236,      0.0000
      24,          0.383333,      0.0000,      0.0000,      6.5092,      0.0000
      25,          0.400000,      0.0000,      0.0000,      7.2117,      0.0000
      26,          0.416667,      0.0000,      0.0000,      8.0269,      0.0000
      27,          0.433333,      0.0000,      0.0000,      8.9891,      0.0000
      28,          0.450000,      0.0000,      0.0000,     10.1407,      0.0000
      29,          0.466667,      0.0000,      0.0000,     11.3503,      0.0000
      30,          0.483333,      0.0000,      0.0000,     13.1022,      0.0000
      31,          0.500000,      0.0000,      0.0000,     14.9184,      0.0000
      32,          0.516667,      0.0000,      0.0000,     16.8542,      0.0000
      33,          0.533333,      0.0000,      2.5886,     19.5766,      0.0000
      34,          0.550000,      0.0000,      3.6492,     23.3379,      0.0000
      35,          0.566667,      0.0000,      4.7003,     27.8980,      0.0000
      36,          0.583333,      0.0000,      5.4987,     30.9843,      0.0000
      37,          0.600000,      0.0000,      6.7782,     33.8573,      0.0000
      38,          0.616667,      0.0000,      8.0892,     36.3338,      0.0000
      39,          0.633333,      0.0000,     10.0802,     38.4640,      0.0000
      40,          0.650000,      0.0000,     12.1454,     40.3588,      0.0000
      41,          0.666667,      0.0000,     14.4057,     42.1247,      0.0000
      42,          0.683333,      0.0000,     17.0105,     43.7717,      0.0000
      43,          0.700000,      0.0000,     19.6215,     45.0709,      0.0000
      44,          0.716667,      0.0000,     21.7535,     45.9540,      0.0000
      45,          0.733333,      0.0000,     23.5723,     46.5134,      0.0000
      46,          0.750000,      0.0000,     25.2059,     46.8586,      0.0000
      47,          0.766667,      0.0000,     26.8775,     47.0762,      0.0000
      48,          0.783333,      0.0000,     28.6773,     47.1993,      0.0000
      49,          0.800000,      0.0000,     30.6503,     47.2742,      0.0000
      50,          0.816667,      0.0000,     32.7945,     47.3268,      0.0000
      51,          0.833333,      0.0000,     34.9383,     47.3668,      0.0000
      52,          0.850000,      0.0000,     36.8590,     47.3965,      0.0000
      53,          0.866667,      0.0000,     38.4635,     47.4151,      0.0000
      54,          0.883333,      0.0000,     39.7873,     47.4281,      0.0000
      55,          0.900000,      0.0000,     40.8610,     47.4390,      0.0000
      56,          0.916667,      0.0000,     41.7581,     47.4480,      0.0000
      57,          0.933333,      0.0000,     42.5144,     47.4562,      0.0000
      58,          0.950000,      0.0000,     43.1721,     47.4582,      0.0000
      59,          0.966667,      0.0000,     43.7555,     47.4576,      0.0000
      60,          0.983333,      0.0000,     44.2877,     47.4556,      0.0000
      61,          1.000000,      0.0000,     44.7845,     47.4529,      0.0000
      62,          1.016667,      0.0000,     45.2440,     47.4488,      0.0000
      63,          1.033333,      0.0000,     45.6710,     47.4373,      0.0157
      64,          1.050000,      0.0000,     46.0191,     47.4225,      0.8442
      65,          1.066667,      0.0000,     46.2343,     47.4060,      3.1847
      66,          1.083333,      0.0000,     46.2593,     47.3885,      6.9153
      67,          1.100000,      0.0000,     46.1689,     47.3677,     11.1636
      68,          1.116667,      0.0000,     46.0196,     47.3297,     15.6093
      69,          1.133333,      0.0000,     45.7797,     47.2847,     19.8711
      70,          1.150000,      0.0000,     45.5403,     47.2315,     23.7417
      71,          1.166667,      0.0000,     45.3265,     47.1763,     27.0762
      72,          1.183333,      0.0000,     45.1472,     47.1184,     29.7934
      73,          1.200000,      0.0000,     44.9910,     47.0545,     31.8887
      74,          1.216667,      0.0000,     44.8809,     46.9880,     33.4303
      75,          1.233333,      0.0000,     44.7912,     46.9189,     34.4538
      76,          1.250000,      0.0000,     44.7308,     46.8477,     35.0467
      77,          1.266667,      0.0000,     44.7046,     46.7727,     35.2383
      78,          1.283333,      0.0000,     44.6740,     46.6841,     35.1190
      79,          1.300000,      0.0000,     44.6608,     46.5866,     34.7411
      80,          1.316667,      0.0000,     44.6612,     46.4819,     34.1330
      81,          1.333333,      0.0000,     44.6723,     46.3722,     33.3139
      82,          1.350000,      0.0000,     44.6925,     46.2573,     32.3178
      83,          1.366667,      0.0000,     44.7193,     46.1361,     31.1317
      84,          1.383333,      0.0000,     44.7544,     46.0077,     29.8021
      85,          1.400000,      0.0000,     44.7949,     45.8721,     28.3593
      86,          1.416667,      0.0000,     44.8406,     45.7280,     26.8432
      87,          1.433333,      0.0000,     44.8899,     45.5734,     25.2711
      88,          1.450000,      0.0000,     44.9429,     45.4136,     23.6561
      89,          1.466667,      0.0000,     44.9985,     45.2439,     22.0059
      90,          1.483333,      0.0000,     45.0566,     45.0596,     20.3404
      91,          1.500000,      0.0000,     45.1166,     44.8608,     18.6918
      92,          1.516667,      0.0000,     45.1775,     44.6432,     17.0764
      93,          1.533333,      0.0000,     45.2327,     44.4042,     15.5012
      94,          1.550000,      0.0000,     45.2834,     44.1305,     13.9810
      95,          1.566667,      0.0000,     45.3259,     43.8045,     12.5157
      96,          1.583333,      0.0000,     45.3660,     43.4143,     11.1173
      97,          1.600000,      0.0000,     45.4071,     42.9635,      9.8217
      98,          1.616667,      0.0000,     45.4495,     42.4817,      8.6458
      99,          1.633333,      0.0000,     45.4947,     41.9613,      7.5877
     100,          1.650000,      0.0000,     45.5358,     41.4030,      6.6380
     101,          1.666667,      0.0000,     45.5729,     40.7947,      5.7825
     102,          1.683333,      0.0000,     45.6046,     40.1378,      5.0101
     103,          1.700000,      0.0000,     45.6322,     39.4185,      4.3076
     104,          1.716667,      0.0000,     45.6565,     38.6283,      3.6627
     105,          1.733333,      0.0000,     45.6743,     37.7682,      3.0752
     106,          1.750000,      0.0000,     45.6873,     36.8289,      2.5353
     107,          1.766667,      0.0000,     45.6906,     35.8041,      2.0403
     108,          1.783333,      0.0000,     45.6858,     34.7279,      1.5894
     109,          1.800000,      0.0000,     45.6710,     33.6013,      1.1857
     110,          1.816667,      0.0000,     45.6456,     32.4037,      0.8315
     111,          1.833333,      0.0000,     45.6076,     31.1421,      0.5275
     112,          1.850000,      0.0000,     45.5564,     29.8153,      0.2685
     113,          1.866667,      0.0000,     45.4875,     28.4395,      0.0962
     114,          1.883333,      0.0000,     45.3995,     26.6934,      0.0127
     115,          1.900000,      0.0000,     45.2871,     25.0409,      0.0000
     116,          1.916667,      0.0000,     45.1553,     23.6478,      0.0000
     117,          1.933333,      0.0000,     45.0060,     22.4835,      0.0000
     118,          1.950000,      0.0000,     44.8396,     21.5141,      0.0000
     119,          1.966667,      0.0000,     44.6567,     20.7284,      0.0000
     120,          1.983333,      0.0000,     44.4581,     20.0761,      0.0000
     121,          2.000000,      0.0000,     44.2445,     19.5294,      0.0000
     122,          2.016667,      0.0000,     44.0168,     19.0676,      0.0000
     123,          2.033334,      0.0000,     43.7780,     18.6268,      0.0000
     124,          2.050000,      0.0000,     43.5281,     18.2013,      0.0000
     125,          2.066667,      0.0000,     43.2646,     17.7743,      0.0000
     126,          2.083333,      0.0000,     42.9940,     17.3405,      0.0000
     127,          2.100000,      0.0000,     42.7108,     16.9036,      0.0000
     128,          2.116667,      0.0000,     42.4164,     16.4513,      0.0000
     129,          2.133333,      0.0000,     42.1113,     15.9751,      0.0000
     130,          2.150000,      0.0000,     41.7938,     15.4754,      0.0000
     131,          2.166667,      0.0000,     41.4628,     14.9612,      0.0000
     132,          2.183333,      0.0000,     41.1185,     14.4667,      0.0000
     133,          2.200000,      0.0000,     40.7561,     13.9564,      0.0000
     134,          2.216667,      0.0000,     40.3763,     13.5397,      0.0000
     135,          2.233333,      0.0000,     39.9732,     13.1997,      0.0000
     136,          2.250000,      0.0000,     39.5479,     12.9090,      0.0000
     137,          2.266667,      0.0000,     39.0922,     12.6571,      0.0000
     138,          2.283334,      0.0000,     38.6085,     12.4347,      0.0000
     139,          2.300000,      0.0000,     38.0944,     12.2011,      0.0000
     140,          2.316667,      0.0000,     37.5552,     11.9604,      0.0000
     141,          2.333333,      0.0000,     36.9858,     11.7342,      0.0000
     142,          2.350000,      0.0000,     36.3755,     11.4815,      0.0000
     143,          2.366667,      0.0000,     35.7212,     11.2713,      0.0000
     144,          2.383333,      0.0000,     35.0162,     11.0279,      0.0000
     145,          2.400000,      0.0000,     34.2529,     10.8132,      0.0000
     146,          2.416667,      0.0000,     33.4180,     10.6081,      0.0000
     147,          2.433333,      0.0000,     32.4922,     10.4196,      0.0000
     148,          2.450000,      0.0000,     31.4471,     10.2580,      0.0000
     149,          2.466667,      0.0000,     30.2565,     10.0943,      0.0000
     150,          2.483333,      0.0000,     28.9443,      9.8892,      0.0000
     151,          2.500000,      0.0000,     27.5327,      9.6648,      0.0000
     152,          2.516667,      0.0000,     26.0233,      9.4349,      0.0000
     153,          2.533334,      0.0000,     24.3927,      9.2004,      0.0000
     154,          2.550000,      0.0000,     22.6496,      8.9895,      0.0000
     155,          2.566667,      0.0000,     20.7924,      8.7685,      0.0000
     156,          2.583333,      0.0000,     18.8411,      8.5267,      0.0000
     157,          2.600000,      0.0000,     16.7886,      8.2661,      0.0000
     158,          2.616667,      0.0000,     14.7157,      8.0293,      0.0000
     159,          2.633333,      0.0000,     13.0533,      7.8193,      0.0000
     160,          2.650000,      0.0000,     12.1068,      7.6431,      0.0000
     161,          2.666667,      0.0000,     11.4246,      7.4422,      0.0000
     162,          2.683333,      0.0000,     10.9307,      7.2526,      0.0000
     163,          2.700000,      0.0000,     10.4728,      7.0704,      0.0000
     164,          2.716667,      0.0000,     10.0844,      6.8760,      0.0000
     165,          2.733334,      0.0000,      9.8042,      6.6705,      0.0000
     166,          2.750000,      0.0000,      9.4707,      6.4649,      0.0000
     167,          2.766667,      0.0000,      9.1898,      6.2471,      0.0000
     168,          2.783334,      0.0000,      8.9287,      6.0820,      0.0000
     169,          2.800000,      0.0000,      8.7492,      5.8351,      0.0000
     170,          2.816667,      0.0000,      8.4829,      5.5823,      0.0000
     171,          2.833333,      0.0000,      8.2408,      5.3328,      0.0000
     172,          2.850000,      0.0000,      8.0121,      5.0818,      0.0000
     173,          2.866667,      0.0000,      7.7980,      4.8298,      0.0000
     174,          2.883333,      0.0000,      7.6093,      4.5849,      0.0000
     175,          2.900000,      0.0000,      7.4221,      4.3363,      0.0000
     176,          2.916667,      0.0000,      7.2166,      4.0952,      0.0000
     177,          2.933333,      0.0000,      7.0106,      3.8520,      0.0000
     178,          2.950000,      0.0000,      6.8095,      3.6310,      0.0000
     179,          2.966667,      0.0000,      6.6359,      3.4354,      0.0000
     180,          2.983334,      0.0000,      6.4202,      3.2508,      0.0000
     181,          3.000000,      0.0000,      6.2754,      3.0667,      0.0000
