"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time (h)","SQ FC04.1_C [EG11_009]","SQ FC01.2_R [EG11_009]","SQ FC01.1_R [EG11_009]","SQ Pump_001 [EG11_009]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724,      0.0000
      15,          0.233333,      0.0000,      0.0000,      1.8008,      0.0000
      16,          0.250000,      0.0000,      0.0000,      2.4688,      0.0000
      17,          0.266667,      0.0000,      0.0000,      2.9900,      0.0000
      18,          0.283333,      0.0000,      0.0000,      3.4291,      0.0000
      19,          0.300000,      0.0000,      0.0000,      3.7830,      0.0000
      20,          0.316667,      0.0000,      0.0000,      4.2773,      0.0000
      21,          0.333333,      0.0000,      0.0000,      4.7758,      0.0000
      22,          0.350000,      0.0000,      0.0000,      5.2782,      0.0000
      23,          0.366667,      0.0000,      0.0000,      5.8236,      0.0000
      24,          0.383333,      0.0000,      0.0000,      6.5092,      0.0000
      25,          0.400000,      0.0000,      0.0000,      7.2117,      0.0000
      26,          0.416667,      0.0000,      0.0000,      8.0269,      0.0000
      27,          0.433333,      0.0000,      0.0000,      8.9891,      0.0000
      28,          0.450000,      0.0000,      0.0000,     10.1407,      0.0000
      29,          0.466667,      0.0000,      0.0000,     11.3503,      0.0000
      30,          0.483333,      0.0000,      0.0000,     13.1022,      0.0000
      31,          0.500000,      0.0000,      0.0000,     14.9184,      0.0000
      32,          0.516667,      0.0000,      0.0000,     16.8542,      0.0000
      33,          0.533333,      0.0000,      2.5460,     19.5766,      0.0000
      34,          0.550000,      0.0000,      3.6621,     23.3379,      0.0000
      35,          0.566667,      0.0000,      4.7592,     27.8980,      0.0000
      36,          0.583333,      0.0000,      5.4861,     30.9843,      0.0000
      37,          0.600000,      0.0000,      6.7880,     33.8573,      0.0000
      38,          0.616667,      0.0000,      8.1484,     36.3338,      0.0000
      39,          0.633333,      0.0000,     10.1344,     38.4640,      0.0000
      40,          0.650000,      0.0000,     12.2037,     40.3588,      0.0000
      41,          0.666667,      0.0000,     14.7617,     42.1247,      0.0100
      42,          0.683333,      0.0000,     17.7272,     43.7717,      0.0101
      43,          0.700000,      0.0000,     20.6734,     45.0709,      0.0102
      44,          0.716667,      0.0000,     23.6391,     45.9540,      0.0102
      45,          0.733333,      0.0000,     26.1812,     46.5135,      0.0103
      46,          0.750000,      0.0000,     28.4901,     46.8585,      0.0104
      47,          0.766667,      0.0000,     30.9121,     47.0762,      0.0105
      48,          0.783333,      0.0000,     33.5220,     47.1993,      0.0105
      49,          0.800000,      0.0000,     36.6547,     47.2742,      0.0106
      50,          0.816667,      0.0000,     40.1189,     47.3269,      0.0106
      51,          0.833333,      0.0000,     43.7224,     47.3668,      0.0107
      52,          0.850000,      0.0000,     47.3089,     47.3965,      0.0107
      53,          0.866667,      0.0000,     50.4356,     47.4152,      0.0108
      54,          0.883333,      0.0000,     53.0335,     47.4282,      0.0108
      55,          0.900000,      0.0000,     55.1187,     47.4391,      0.0108
      56,          0.916667,      0.0000,     56.8375,     47.4481,      0.0109
      57,          0.933333,      0.0000,     58.2856,     47.4562,      0.0109
      58,          0.950000,      0.0000,     59.5210,     47.4582,      0.0109
      59,          0.966667,      0.0000,     60.5924,     47.4577,      0.0109
      60,          0.983333,      0.0000,     61.5426,     47.4556,      0.0110
      61,          1.000000,      0.0000,     62.4044,     47.4529,      0.0110
      62,          1.016667,      0.0000,     63.1855,     47.4489,      0.0110
      63,          1.033333,      0.0000,     63.8939,     47.4373,      0.0110
      64,          1.050000,      0.0000,     64.5431,     47.4225,      0.0110
      65,          1.066667,      0.0000,     65.1698,     47.4060,      0.0110
      66,          1.083333,      0.0000,     65.7895,     47.3885,      0.0110
      67,          1.100000,      0.0000,     66.3596,     47.3677,      0.0110
      68,          1.116667,      0.0000,     66.8862,     47.3297,      0.0110
      69,          1.133333,      0.0000,     67.3725,     47.2847,      0.0110
      70,          1.150000,      0.0000,     67.8216,     47.2315,      0.0110
      71,          1.166667,      0.0000,     68.2279,     47.1764,      0.0110
      72,          1.183333,      0.0000,     68.5980,     47.1184,      0.0110
      73,          1.200000,      0.0000,     68.9286,     47.0545,      0.0110
      74,          1.216667,      0.0000,     69.2226,     46.9880,      0.0110
      75,          1.233333,      0.0000,     69.4798,     46.9189,      0.0110
      76,          1.250000,      0.0000,     69.7023,     46.8477,      0.0110
      77,          1.266667,      0.0000,     69.8923,     46.7727,      0.0110
      78,          1.283333,      0.0000,     70.0502,     46.6841,      0.0110
      79,          1.300000,      0.0000,     70.1781,     46.5867,      0.0110
      80,          1.316667,      0.0000,     70.2763,     46.4819,      0.0110
      81,          1.333333,      0.0000,     70.3434,     46.3722,      0.0110
      82,          1.350000,      0.0000,     70.3786,     46.2573,      0.0110
      83,          1.366667,      0.0000,     70.3801,     46.1361,      0.0110
      84,          1.383333,      0.0000,     70.3493,     46.0077,      0.0110
      85,          1.400000,      0.0000,     70.2857,     45.8721,      0.0110
      86,          1.416667,      0.0000,     70.1904,     45.7280,      0.0110
      87,          1.433333,      0.0000,     70.0640,     45.5735,      0.0110
      88,          1.450000,      0.0000,     69.9071,     45.4136,      0.0110
      89,          1.466667,      0.0000,     69.7177,     45.2439,      0.0110
      90,          1.483333,      0.0000,     69.4970,     45.0597,      0.0110
      91,          1.500000,      0.0000,     69.2462,     44.8609,      0.0110
      92,          1.516667,      0.0000,     68.9668,     44.6432,      0.0110
      93,          1.533333,      0.0000,     68.6594,     44.4042,      0.0110
      94,          1.550000,      0.0000,     68.3233,     44.1305,      0.0110
      95,          1.566667,      0.0000,     67.9594,     43.8045,      0.0110
      96,          1.583333,      0.0000,     67.5702,     43.4143,      0.0110
      97,          1.600000,      0.0000,     67.1576,     42.9634,      0.0110
      98,          1.616667,      0.0000,     66.7268,     42.4817,      0.0110
      99,          1.633333,      0.0000,     66.2804,     41.9614,      0.0110
     100,          1.650000,      0.0000,     65.8196,     41.4030,      0.0110
     101,          1.666667,      0.0000,     65.3448,     40.7947,      0.0110
     102,          1.683333,      0.0000,     64.8544,     40.1378,      0.0110
     103,          1.700000,      0.0000,     64.3482,     39.4184,      0.0110
     104,          1.716667,      0.0000,     63.8256,     38.6283,      0.0110
     105,          1.733333,      0.0000,     63.2840,     37.7682,      0.0110
     106,          1.750000,      0.0000,     62.7220,     36.8288,      0.0109
     107,          1.766667,      0.0000,     62.1321,     35.8040,      0.0109
     108,          1.783333,      0.0000,     61.5111,     34.7278,      0.0109
     109,          1.800000,      0.0000,     60.8611,     33.6010,      0.0109
     110,          1.816667,      0.0000,     60.1741,     32.4034,      0.0109
     111,          1.833333,      0.0000,     59.4493,     31.1416,      0.0109
     112,          1.850000,      0.0000,     58.6748,     29.8148,      0.0109
     113,          1.866667,      0.0000,     57.8438,     28.4385,      0.0109
     114,          1.883333,      0.0000,     56.9481,     26.6919,      0.0109
     115,          1.900000,      0.0000,     55.9767,     25.0393,      0.0108
     116,          1.916667,      0.0000,     54.9173,     23.6460,      0.0108
     117,          1.933333,      0.0000,     53.7705,     22.4823,      0.0108
     118,          1.950000,      0.0000,     52.5270,     21.5125,      0.0108
     119,          1.966667,      0.0000,     51.1744,     20.7271,      0.0108
     120,          1.983333,      0.0000,     49.6895,     20.0754,      0.0107
     121,          2.000000,      0.0000,     48.0516,     19.5281,      0.0107
     122,          2.016667,      0.0000,     46.2316,     19.0665,      0.0107
     123,          2.033334,      0.0000,     44.2370,     18.6256,      0.0107
     124,          2.050000,      0.0000,     42.0334,     18.2001,      0.0106
     125,          2.066667,      0.0000,     39.6717,     17.7725,      0.0106
     126,          2.083333,      0.0000,     37.2466,     17.3395,      0.0106
     127,          2.100000,      0.0000,     34.7769,     16.9008,      0.0105
     128,          2.116667,      0.0000,     32.3819,     16.4506,      0.0105
     129,          2.133333,      0.0000,     30.0848,     15.9744,      0.0105
     130,          2.150000,      0.0000,     27.9067,     15.4746,      0.0104
     131,          2.166667,      0.0000,     25.8757,     14.9601,      0.0104
     132,          2.183333,      0.0000,     24.0640,     14.4654,      0.0103
     133,          2.200000,      0.0000,     22.4445,     13.9549,      0.0103
     134,          2.216667,      0.0000,     21.0570,     13.5386,      0.0102
     135,          2.233333,      0.0000,     19.9134,     13.1997,      0.0102
     136,          2.250000,      0.0000,     18.9111,     12.9080,      0.0101
     137,          2.266667,      0.0000,     18.0934,     12.6570,      0.0101
     138,          2.283334,      0.0000,     17.4137,     12.4338,      0.0101
     139,          2.300000,      0.0000,     16.8189,     12.2016,      0.0101
     140,          2.316667,      0.0000,     16.2764,     11.9763,      0.0101
     141,          2.333333,      0.0000,     15.7839,     11.7335,      0.0100
     142,          2.350000,      0.0000,     15.3372,     11.4788,      0.0100
     143,          2.366667,      0.0000,     14.9292,     11.2686,      0.0100
     144,          2.383333,      0.0000,     14.5820,     11.0251,      0.0100
     145,          2.400000,      0.0000,     14.2352,     10.8142,      0.0100
     146,          2.416667,      0.0000,     13.8988,     10.6075,      0.0100
     147,          2.433333,      0.0000,     13.5677,     10.4176,      0.0100
     148,          2.450000,      0.0000,     13.2587,     10.2555,      0.0099
     149,          2.466667,      0.0000,     12.9774,     10.0931,      0.0099
     150,          2.483333,      0.0000,     12.7193,      9.8893,      0.0099
     151,          2.500000,      0.0000,     12.4652,      9.6614,      0.0099
     152,          2.516667,      0.0000,     12.2187,      9.4326,      0.0099
     153,          2.533334,      0.0000,     11.9791,      9.1988,      0.0099
     154,          2.550000,      0.0000,     11.7609,      8.9874,      0.0099
     155,          2.566667,      0.0000,     11.5717,      8.7666,      0.0000
     156,          2.583333,      0.0000,     11.3594,      8.5284,      0.0000
     157,          2.600000,      0.0000,     11.1928,      8.2660,      0.0000
     158,          2.616667,      0.0000,     10.9439,      8.0273,      0.0000
     159,          2.633333,      0.0000,     10.7092,      7.8170,      0.0000
     160,          2.650000,      0.0000,     10.4841,      7.6455,      0.0000
     161,          2.666667,      0.0000,     10.2603,      7.4438,      0.0000
     162,          2.683333,      0.0000,     10.0458,      7.2529,      0.0000
     163,          2.700000,      0.0000,      9.8148,      7.0694,      0.0000
     164,          2.716667,      0.0000,      9.5824,      6.8763,      0.0000
     165,          2.733334,      0.0000,      9.3731,      6.6706,      0.0000
     166,          2.750000,      0.0000,      9.1596,      6.4646,      0.0000
     167,          2.766667,      0.0000,      8.9625,      6.2508,      0.0000
     168,          2.783334,      0.0000,      8.8110,      6.0719,      0.0000
     169,          2.800000,      0.0000,      8.5871,      5.8305,      0.0000
     170,          2.816667,      0.0000,      8.3716,      5.5789,      0.0000
     171,          2.833333,      0.0000,      1.3774,      5.3306,      0.0000
     172,          2.850000,      0.0000,     16.9845,      5.0798,      0.0000
     173,          2.866667,      0.0000,      1.7062,      4.8281,      0.0000
     174,          2.883333,      0.0000,      1.0690,      4.5840,      0.0000
     175,          2.900000,      0.0000,      1.3892,      4.3356,      0.0000
     176,          2.916667,      0.0000,      1.0043,      4.0945,      0.0000
     177,          2.933333,      0.0000,     12.8701,      3.8511,      0.0000
     178,          2.950000,      0.0000,      0.9638,      3.6311,      0.0000
     179,          2.966667,      0.0000,     15.1129,      3.4227,      0.0000
     180,          2.983334,      0.0000,     15.1782,      3.2476,      0.0000
     181,          3.000000,      0.0000,     15.7872,      3.0676,      0.0000
