"EG11_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_010.tcf]","Time (h)","Q FC01.1_R [EG11_010]","Q FC04.1_C [EG11_010]","Q SG_001 [EG11_010]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000
      14,          0.216667,           0.872,           0.000,           0.000
      15,          0.233333,           1.801,           0.000,           0.000
      16,          0.250000,           2.469,           0.000,           0.000
      17,          0.266667,           2.990,           0.000,           0.000
      18,          0.283333,           3.429,           0.000,           0.000
      19,          0.300000,           3.783,           0.000,           0.000
      20,          0.316667,           4.277,           0.000,           0.000
      21,          0.333333,           4.776,           0.000,           0.000
      22,          0.350000,           5.278,           0.000,           0.000
      23,          0.366667,           5.824,           0.000,           0.000
      24,          0.383333,           6.509,           0.000,           0.000
      25,          0.400000,           7.212,           0.000,           0.000
      26,          0.416667,           8.027,           0.000,           0.000
      27,          0.433333,           8.989,           0.000,           0.000
      28,          0.450000,          10.141,           0.000,           0.000
      29,          0.466667,          11.350,           0.000,           0.000
      30,          0.483333,          13.102,           0.000,           0.000
      31,          0.500000,          14.918,           0.000,           0.000
      32,          0.516667,          16.854,           0.000,           0.000
      33,          0.533333,          19.577,           0.000,           0.000
      34,          0.550000,          23.338,           0.000,           0.000
      35,          0.566667,          27.898,           0.000,           0.000
      36,          0.583333,          30.984,           0.000,           0.000
      37,          0.600000,          33.857,           0.000,           0.000
      38,          0.616667,          36.334,           0.000,           0.000
      39,          0.633333,          38.464,           0.000,           0.000
      40,          0.650000,          40.359,           0.000,           0.000
      41,          0.666667,          42.125,           0.000,           0.000
      42,          0.683333,          43.772,           0.000,           0.000
      43,          0.700000,          45.071,           0.000,           0.488
      44,          0.716667,          45.954,           0.000,           1.263
      45,          0.733333,          46.513,           0.000,           2.133
      46,          0.750000,          46.859,           0.000,           3.070
      47,          0.766667,          47.076,           0.000,           4.073
      48,          0.783333,          47.199,           0.000,          17.951
      49,          0.800000,          47.274,           0.000,          19.028
      50,          0.816667,          47.327,           0.000,          20.161
      51,          0.833333,          47.367,           0.000,          21.261
      52,          0.850000,          47.396,           0.000,          22.279
      53,          0.866667,          47.415,           0.000,          23.183
      54,          0.883333,          47.428,           0.000,          23.975
      55,          0.900000,          47.439,           0.000,          24.679
      56,          0.916667,          47.448,           0.000,          25.310
      57,          0.933333,          47.456,           0.000,          25.877
      58,          0.950000,          47.458,           0.000,          26.391
      59,          0.966667,          47.458,           0.000,          26.868
      60,          0.983333,          47.456,           0.000,          27.303
      61,          1.000000,          47.453,           0.000,          27.704
      62,          1.016667,          47.449,           0.000,          28.113
      63,          1.033333,          47.437,           0.000,          28.524
      64,          1.050000,          47.422,           0.000,          28.894
      65,          1.066667,          47.406,           0.000,          29.249
      66,          1.083333,          47.388,           0.000,          29.580
      67,          1.100000,          47.368,           0.000,          29.901
      68,          1.116667,          47.330,          -0.000,          30.202
      69,          1.133333,          47.285,          -0.000,          30.497
      70,          1.150000,          47.232,          -0.017,          30.770
      71,          1.166667,          47.176,          -0.053,          31.035
      72,          1.183333,          47.118,          -0.101,          31.283
      73,          1.200000,          47.054,          -0.160,          31.519
      74,          1.216667,          46.988,          -0.229,          31.742
      75,          1.233333,          46.919,          -0.305,          31.952
      76,          1.250000,          46.848,          -0.387,          32.151
      77,          1.266667,          46.773,          -0.472,          32.339
      78,          1.283333,          46.684,          -0.564,          32.516
      79,          1.300000,          46.587,          -0.656,          32.683
      80,          1.316667,          46.482,          -0.750,          32.840
      81,          1.333333,          46.372,          -0.842,          32.986
      82,          1.350000,          46.257,          -0.932,          33.122
      83,          1.366667,          46.136,          -1.150,          33.248
      84,          1.383333,          46.008,          -1.246,          33.365
      85,          1.400000,          45.872,          -1.286,          33.471
      86,          1.416667,          45.728,          -1.264,          33.568
      87,          1.433333,          45.574,          -1.181,          33.658
      88,          1.450000,          45.414,          -1.044,          33.740
      89,          1.466667,          45.244,          -0.887,          33.814
      90,          1.483333,          45.060,          -0.729,          33.882
      91,          1.500000,          44.861,          -0.542,          33.943
      92,          1.516667,          44.643,          -0.373,          33.998
      93,          1.533333,          44.404,          -0.340,          34.049
      94,          1.550000,          44.131,          -0.307,          34.093
      95,          1.566667,          43.805,          -0.292,          34.132
      96,          1.583333,          43.414,          -0.273,          34.168
      97,          1.600000,          42.964,          -0.253,          34.200
      98,          1.616667,          42.482,          -0.227,          34.231
      99,          1.633333,          41.962,          -0.221,          34.260
     100,          1.650000,          41.403,          -0.213,          34.286
     101,          1.666667,          40.795,          -0.196,          34.311
     102,          1.683333,          40.138,          -0.182,          34.334
     103,          1.700000,          39.419,          -0.167,          34.355
     104,          1.716667,          38.629,          -0.156,          34.374
     105,          1.733333,          37.769,          -0.135,          34.391
     106,          1.750000,          36.830,          -0.112,          34.405
     107,          1.766667,          35.805,          -0.095,          34.416
     108,          1.783333,          34.729,          -0.072,          34.424
     109,          1.800000,          33.603,          -0.050,          34.430
     110,          1.816667,          32.405,          -0.022,          34.432
     111,          1.833333,          31.144,          -0.002,          34.431
     112,          1.850000,          29.818,           0.000,          34.426
     113,          1.866667,          28.442,           0.046,          34.417
     114,          1.883333,          26.697,           0.098,          34.405
     115,          1.900000,          25.045,           0.141,          34.389
     116,          1.916667,          23.651,           0.184,          34.369
     117,          1.933333,          22.486,           0.218,          34.343
     118,          1.950000,          21.516,           0.242,          34.314
     119,          1.966667,          20.730,           0.273,          34.281
     120,          1.983333,          20.078,           0.304,          34.244
     121,          2.000000,          19.531,           0.317,          34.204
     122,          2.016667,          19.070,           0.327,          34.161
     123,          2.033334,          18.628,           0.346,          34.116
     124,          2.050000,          18.203,           0.320,          34.070
     125,          2.066667,          17.775,           0.358,          34.024
     126,          2.083333,          17.341,           0.375,          33.975
     127,          2.100000,          16.903,           0.347,          33.924
     128,          2.116667,          16.452,           0.358,          33.871
     129,          2.133333,          15.976,           0.373,          33.817
     130,          2.150000,          15.476,           0.384,          33.763
     131,          2.166667,          14.962,           0.369,          33.706
     132,          2.183333,          14.467,           0.383,          33.648
     133,          2.200000,          13.957,           0.387,          33.589
     134,          2.216667,          13.540,           0.385,          33.527
     135,          2.233333,          13.199,           0.386,          33.464
     136,          2.250000,          12.910,           0.387,          33.399
     137,          2.266667,          12.658,           0.389,          33.332
     138,          2.283334,          12.436,           0.382,          33.264
     139,          2.300000,          12.204,           0.384,          33.194
     140,          2.316667,          11.960,           0.380,          33.124
     141,          2.333333,          11.710,           0.378,          33.053
     142,          2.350000,          11.462,           0.379,          32.981
     143,          2.366667,          11.282,           0.376,          32.907
     144,          2.383333,          11.039,           0.371,          32.832
     145,          2.400000,          10.821,           0.364,          32.756
     146,          2.416667,          10.615,           0.363,          32.679
     147,          2.433333,          10.422,           0.350,          32.602
     148,          2.450000,          10.262,           0.347,          32.523
     149,          2.466667,          10.098,           0.342,          32.442
     150,          2.483333,           9.890,           0.332,          32.361
     151,          2.500000,           9.664,           0.325,          32.278
     152,          2.516667,           9.434,           0.323,          32.194
     153,          2.533334,           9.199,           0.317,          32.109
     154,          2.550000,           8.989,           0.309,          32.024
     155,          2.566667,           8.769,           0.300,          31.936
     156,          2.583333,           8.528,           0.291,          31.848
     157,          2.600000,           8.271,           0.271,          31.759
     158,          2.616667,           8.032,           0.243,          31.668
     159,          2.633333,           7.819,           0.218,          31.575
     160,          2.650000,           7.644,           0.197,          31.481
     161,          2.666667,           7.445,           0.178,          31.386
     162,          2.683333,           7.256,           0.161,          31.289
     163,          2.700000,           7.071,           0.146,          31.191
     164,          2.716667,           6.877,           0.132,          31.092
     165,          2.733334,           6.672,           0.121,          30.990
     166,          2.750000,           6.468,           0.110,          30.889
     167,          2.766667,           6.247,           0.101,          30.786
     168,          2.783334,           6.090,           0.092,          30.681
     169,          2.800000,           5.838,           0.085,          30.574
     170,          2.816667,           5.586,           0.078,          30.466
     171,          2.833333,           5.336,           0.072,          30.358
     172,          2.850000,           5.083,           0.067,          30.247
     173,          2.866667,           4.831,           0.062,          30.135
     174,          2.883333,           4.587,           0.057,          30.020
     175,          2.900000,           4.339,           0.053,          29.904
     176,          2.916667,           4.098,           0.049,          29.787
     177,          2.933333,           3.855,           0.046,          29.668
     178,          2.950000,           3.632,           0.043,          29.547
     179,          2.966667,           3.425,           0.040,          29.422
     180,          2.983334,           3.250,           0.037,          29.297
     181,          3.000000,           3.067,           0.035,          29.170
