"EG11_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_010.tcf]","Time(h)","V FC01.1_R [EG11_010]","V FC04.1_C [EG11_010]","V SG_001 [EG11_010]"
       1,          0.000000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000
      11,          0.166667,    0.000,    0.000,    0.000
      12,          0.183333,    0.000,    0.000,    0.000
      13,          0.200000,    0.000,    0.000,    0.000
      14,          0.216667,    1.208,    0.000,    0.000
      15,          0.233333,    1.538,    0.000,    0.000
      16,          0.250000,    1.708,    0.000,    0.000
      17,          0.266667,    1.821,    0.000,    0.000
      18,          0.283333,    1.906,    0.000,    0.000
      19,          0.300000,    1.969,    0.000,    0.000
      20,          0.316667,    2.052,    0.000,    0.000
      21,          0.333333,    2.128,    0.000,    0.000
      22,          0.350000,    2.201,    0.000,    0.000
      23,          0.366667,    2.274,    0.000,    0.000
      24,          0.383333,    2.360,    0.000,    0.000
      25,          0.400000,    2.442,    0.000,    0.000
      26,          0.416667,    2.531,    0.000,    0.000
      27,          0.433333,    2.628,    0.000,    0.000
      28,          0.450000,    2.736,    0.000,    0.000
      29,          0.466667,    2.840,    0.000,    0.000
      30,          0.483333,    2.979,    0.000,    0.000
      31,          0.500000,    3.111,    0.000,    0.000
      32,          0.516667,    3.240,    0.000,    0.000
      33,          0.533333,    3.406,    0.000,    0.000
      34,          0.550000,    3.612,    0.000,    0.000
      35,          0.566667,    4.071,    0.000,    0.000
      36,          0.583333,    5.313,    0.000,    0.000
      37,          0.600000,    5.805,    0.000,    0.000
      38,          0.616667,    6.230,    0.000,    0.000
      39,          0.633333,    6.595,    0.000,    0.000
      40,          0.650000,    6.920,    0.000,    0.000
      41,          0.666667,    7.223,    0.000,    0.000
      42,          0.683333,    7.505,    0.000,    0.000
      43,          0.700000,    7.728,    0.000,    0.185
      44,          0.716667,    7.880,    0.000,    0.255
      45,          0.733333,    7.976,    0.000,    0.303
      46,          0.750000,    8.035,    0.000,    0.342
      47,          0.766667,    8.072,    0.000,    0.376
      48,          0.783333,    8.093,    0.000,    1.476
      49,          0.800000,    8.106,    0.000,    1.392
      50,          0.816667,    8.115,    0.000,    1.314
      51,          0.833333,    8.122,    0.000,    1.246
      52,          0.850000,    8.127,    0.000,    1.189
      53,          0.866667,    8.130,    0.000,    1.143
      54,          0.883333,    8.132,    0.000,    1.105
      55,          0.900000,    8.134,    0.000,    1.073
      56,          0.916667,    8.136,    0.000,    1.047
      57,          0.933333,    8.137,    0.000,    1.024
      58,          0.950000,    8.138,    0.000,    1.004
      59,          0.966667,    8.137,    0.000,    0.986
      60,          0.983333,    8.137,    0.000,    0.970
      61,          1.000000,    8.137,    0.000,    0.956
      62,          1.016667,    8.136,    0.000,    0.942
      63,          1.033333,    8.134,    0.000,    0.929
      64,          1.050000,    8.131,    0.000,    0.917
      65,          1.066667,    8.129,    0.000,    0.906
      66,          1.083333,    8.126,    0.000,    0.895
      67,          1.100000,    8.122,    0.000,    0.886
      68,          1.116667,    8.116,   -0.000,    0.877
      69,          1.133333,    8.108,   -0.000,    0.869
      70,          1.150000,    8.099,   -0.017,    0.861
      71,          1.166667,    8.089,   -0.050,    0.853
      72,          1.183333,    8.079,   -0.085,    0.847
      73,          1.200000,    8.068,   -0.124,    0.840
      74,          1.216667,    8.057,   -0.163,    0.834
      75,          1.233333,    8.045,   -0.202,    0.829
      76,          1.250000,    8.033,   -0.241,    0.824
      77,          1.266667,    8.020,   -0.279,    0.819
      78,          1.283333,    8.005,   -0.316,    0.815
      79,          1.300000,    7.988,   -0.351,    0.810
      80,          1.316667,    7.970,   -0.386,    0.807
      81,          1.333333,    7.951,   -0.418,    0.803
      82,          1.350000,    7.932,   -0.448,    0.800
      83,          1.366667,    7.911,   -0.580,    0.797
      84,          1.383333,    7.889,   -0.596,    0.794
      85,          1.400000,    7.866,   -0.586,    0.791
      86,          1.416667,    7.841,   -0.551,    0.789
      87,          1.433333,    7.814,   -0.495,    0.787
      88,          1.450000,    7.787,   -0.424,    0.785
      89,          1.466667,    7.758,   -0.351,    0.783
      90,          1.483333,    7.726,   -0.282,    0.782
      91,          1.500000,    7.692,   -0.206,    0.780
      92,          1.516667,    7.655,   -0.140,    0.779
      93,          1.533333,    7.614,   -0.126,    0.778
      94,          1.550000,    7.567,   -0.113,    0.777
      95,          1.566667,    7.511,   -0.107,    0.776
      96,          1.583333,    7.444,   -0.100,    0.775
      97,          1.600000,    7.367,   -0.092,    0.774
      98,          1.616667,    7.284,   -0.082,    0.774
      99,          1.633333,    7.195,   -0.080,    0.773
     100,          1.650000,    7.099,   -0.077,    0.773
     101,          1.666667,    6.995,   -0.071,    0.772
     102,          1.683333,    6.882,   -0.066,    0.771
     103,          1.700000,    6.759,   -0.060,    0.771
     104,          1.716667,    6.624,   -0.056,    0.771
     105,          1.733333,    6.476,   -0.048,    0.770
     106,          1.750000,    6.315,   -0.040,    0.770
     107,          1.766667,    6.139,   -0.034,    0.770
     108,          1.783333,    5.955,   -0.026,    0.769
     109,          1.800000,    5.762,   -0.018,    0.769
     110,          1.816667,    5.556,   -0.008,    0.769
     111,          1.833333,    5.340,   -0.001,    0.769
     112,          1.850000,    5.113,    0.000,    0.769
     113,          1.866667,    4.877,    0.013,    0.770
     114,          1.883333,    3.777,    0.029,    0.770
     115,          1.900000,    3.698,    0.041,    0.770
     116,          1.916667,    3.628,    0.054,    0.771
     117,          1.933333,    3.567,    0.064,    0.771
     118,          1.950000,    3.515,    0.071,    0.772
     119,          1.966667,    3.472,    0.081,    0.773
     120,          1.983333,    3.435,    0.090,    0.773
     121,          2.000000,    3.404,    0.093,    0.774
     122,          2.016667,    3.377,    0.097,    0.775
     123,          2.033334,    3.350,    0.102,    0.776
     124,          2.050000,    3.325,    0.094,    0.777
     125,          2.066667,    3.298,    0.106,    0.778
     126,          2.083333,    3.271,    0.111,    0.780
     127,          2.100000,    3.243,    0.103,    0.781
     128,          2.116667,    3.214,    0.107,    0.782
     129,          2.133333,    3.183,    0.112,    0.783
     130,          2.150000,    3.150,    0.115,    0.785
     131,          2.166667,    3.114,    0.111,    0.786
     132,          2.183333,    3.080,    0.116,    0.787
     133,          2.200000,    3.043,    0.118,    0.789
     134,          2.216667,    3.012,    0.118,    0.790
     135,          2.233333,    2.987,    0.120,    0.792
     136,          2.250000,    2.965,    0.120,    0.793
     137,          2.266667,    2.945,    0.122,    0.795
     138,          2.283334,    2.928,    0.121,    0.796
     139,          2.300000,    2.910,    0.123,    0.798
     140,          2.316667,    2.890,    0.123,    0.800
     141,          2.333333,    2.870,    0.123,    0.801
     142,          2.350000,    2.850,    0.125,    0.803
     143,          2.366667,    2.835,    0.125,    0.805
     144,          2.383333,    2.814,    0.125,    0.807
     145,          2.400000,    2.795,    0.124,    0.809
     146,          2.416667,    2.778,    0.629,    0.811
     147,          2.433333,    2.761,    0.639,    0.812
     148,          2.450000,    2.746,    0.668,    0.814
     149,          2.466667,    2.732,    0.694,    0.816
     150,          2.483333,    2.713,    0.715,    0.818
     151,          2.500000,    2.692,    0.744,    0.821
     152,          2.516667,    2.671,    0.790,    0.823
     153,          2.533334,    2.648,    0.829,    0.825
     154,          2.550000,    2.628,    0.868,    0.827
     155,          2.566667,    2.606,    0.912,    0.829
     156,          2.583333,    2.582,    0.960,    0.832
     157,          2.600000,    2.556,    0.971,    0.834
     158,          2.616667,    2.531,    0.946,    0.836
     159,          2.633333,    2.509,    0.923,    0.839
     160,          2.650000,    2.490,    0.901,    0.841
     161,          2.666667,    2.468,    0.880,    0.844
     162,          2.683333,    2.447,    0.860,    0.847
     163,          2.700000,    2.426,    0.841,    0.849
     164,          2.716667,    2.403,    0.823,    0.852
     165,          2.733334,    2.379,    0.806,    0.855
     166,          2.750000,    2.355,    0.790,    0.858
     167,          2.766667,    2.328,    0.774,    0.860
     168,          2.783334,    2.308,    0.759,    0.863
     169,          2.800000,    2.276,    0.745,    0.866
     170,          2.816667,    2.242,    0.732,    0.869
     171,          2.833333,    2.208,    0.719,    0.872
     172,          2.850000,    2.173,    0.706,    0.876
     173,          2.866667,    2.136,    0.694,    0.879
     174,          2.883333,    2.100,    0.682,    0.882
     175,          2.900000,    2.061,    0.671,    0.886
     176,          2.916667,    2.022,    0.661,    0.889
     177,          2.933333,    1.982,    0.651,    0.893
     178,          2.950000,    1.943,    0.641,    0.896
     179,          2.966667,    1.905,    0.631,    0.900
     180,          2.983334,    1.872,    0.622,    0.904
     181,          3.000000,    1.836,    0.613,    0.908
