"EG11_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_010.tcf]","Time (h)","SQ FC04.1_C [EG11_010]","SQ SG_001 [EG11_010]","SQ FC01.1_R [EG11_010]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724
      15,          0.233333,      0.0000,      0.0000,      1.8008
      16,          0.250000,      0.0000,      0.0000,      2.4688
      17,          0.266667,      0.0000,      0.0000,      2.9900
      18,          0.283333,      0.0000,      0.0000,      3.4291
      19,          0.300000,      0.0000,      0.0000,      3.7830
      20,          0.316667,      0.0000,      0.0000,      4.2773
      21,          0.333333,      0.0000,      0.0000,      4.7758
      22,          0.350000,      0.0000,      0.0000,      5.2782
      23,          0.366667,      0.0000,      0.0000,      5.8236
      24,          0.383333,      0.0000,      0.0000,      6.5092
      25,          0.400000,      0.0000,      0.0000,      7.2117
      26,          0.416667,      0.0000,      0.0000,      8.0269
      27,          0.433333,      0.0000,      0.0000,      8.9891
      28,          0.450000,      0.0000,      0.0000,     10.1407
      29,          0.466667,      0.0000,      0.0000,     11.3503
      30,          0.483333,      0.0000,      0.0000,     13.1022
      31,          0.500000,      0.0000,      0.0000,     14.9184
      32,          0.516667,      0.0000,      0.0000,     16.8542
      33,          0.533333,      0.0000,      0.0000,     19.5766
      34,          0.550000,      0.0000,      0.0000,     23.3379
      35,          0.566667,      0.0000,      0.0000,     27.8980
      36,          0.583333,      0.0000,      0.0000,     30.9843
      37,          0.600000,      0.0000,      0.0000,     33.8573
      38,          0.616667,      0.0000,      0.0000,     36.3338
      39,          0.633333,      0.0000,      0.0000,     38.4640
      40,          0.650000,      0.0000,      0.0000,     40.3588
      41,          0.666667,      0.0000,      0.0000,     42.1247
      42,          0.683333,      0.0000,      0.0000,     43.7717
      43,          0.700000,      0.0000,      0.4880,     45.0710
      44,          0.716667,      0.0000,      1.2635,     45.9540
      45,          0.733333,      0.0000,      2.1333,     46.5135
      46,          0.750000,      0.0000,      3.0702,     46.8585
      47,          0.766667,      0.0000,      4.0730,     47.0762
      48,          0.783333,      0.0000,     17.9507,     47.1993
      49,          0.800000,      0.0000,     19.0277,     47.2742
      50,          0.816667,      0.0000,     20.1610,     47.3268
      51,          0.833333,      0.0000,     21.2608,     47.3668
      52,          0.850000,      0.0000,     22.2785,     47.3965
      53,          0.866667,      0.0000,     23.1827,     47.4152
      54,          0.883333,      0.0000,     23.9753,     47.4282
      55,          0.900000,      0.0000,     24.6793,     47.4390
      56,          0.916667,      0.0000,     25.3095,     47.4480
      57,          0.933333,      0.0000,     25.8773,     47.4562
      58,          0.950000,      0.0000,     26.3907,     47.4582
      59,          0.966667,      0.0000,     26.8679,     47.4576
      60,          0.983333,      0.0000,     27.3031,     47.4556
      61,          1.000000,      0.0000,     27.7038,     47.4529
      62,          1.016667,      0.0000,     28.1133,     47.4488
      63,          1.033333,      0.0000,     28.5237,     47.4373
      64,          1.050000,      0.0000,     28.8936,     47.4225
      65,          1.066667,      0.0000,     29.2485,     47.4060
      66,          1.083333,      0.0000,     29.5796,     47.3885
      67,          1.100000,      0.0000,     29.9014,     47.3677
      68,          1.116667,     -0.0001,     30.2020,     47.3297
      69,          1.133333,     -0.0001,     30.4966,     47.2847
      70,          1.150000,     -0.0166,     30.7701,     47.2315
      71,          1.166667,     -0.0531,     31.0349,     47.1763
      72,          1.183333,     -0.1012,     31.2828,     47.1185
      73,          1.200000,     -0.1604,     31.5192,     47.0545
      74,          1.216667,     -0.2293,     31.7416,     46.9880
      75,          1.233333,     -0.3047,     31.9521,     46.9189
      76,          1.250000,     -0.3873,     32.1510,     46.8477
      77,          1.266667,     -0.4724,     32.3393,     46.7727
      78,          1.283333,     -0.5641,     32.5159,     46.6841
      79,          1.300000,     -0.6558,     32.6831,     46.5867
      80,          1.316667,     -0.7497,     32.8397,     46.4820
      81,          1.333333,     -0.8417,     32.9862,     46.3722
      82,          1.350000,     -0.9322,     33.1224,     46.2572
      83,          1.366667,     -1.1498,     33.2485,     46.1361
      84,          1.383333,     -1.2462,     33.3649,     46.0077
      85,          1.400000,     -1.2859,     33.4713,     45.8720
      86,          1.416667,     -1.2638,     33.5680,     45.7280
      87,          1.433333,     -1.1806,     33.6580,     45.5735
      88,          1.450000,     -1.0440,     33.7398,     45.4136
      89,          1.466667,     -0.8874,     33.8140,     45.2440
